asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/19 08:59:35.328,MyClient,final_uav_1,None,None,1779,2733.13,5.95,205961.77,129.95,0.0,129.95,1.27,None
2023/05/19 08:59:35.638,MyClient,final_uav_1,nan,nan,1780,2989.14,9.72,293.95,130.75,0.0,130.75,2.53,nan
2023/05/19 08:59:35.927,MyClient,final_uav_1,nan,nan,1781,3028.41,3.68,283.96,131.22,0.0,131.22,0.0,nan
2023/05/19 08:59:36.242,MyClient,final_uav_1,nan,nan,1782,3179.88,8.58,304.02,130.96,0.0,130.96,0.0,nan
2023/05/19 08:59:36.552,MyClient,final_uav_1,nan,nan,1783,3378.47,8.5,302.68,130.55,0.0,130.55,0.24,nan
2023/05/19 08:59:36.873,MyClient,final_uav_1,nan,nan,1784,3494.77,14.37,306.94,129.61,0.0,129.61,4.6,nan
2023/05/19 08:59:37.166,MyClient,final_uav_1,nan,nan,1785,3670.35,7.37,286.71,130.9,0.0,130.9,0.0,nan
2023/05/19 08:59:37.480,MyClient,final_uav_1,nan,nan,1786,3883.78,5.1,305.29,131.2,0.0,131.2,5.67,nan
2023/05/19 08:59:37.791,MyClient,final_uav_1,nan,nan,1787,3968.34,17.2,301.4,131.08,0.0,131.08,0.0,nan
2023/05/19 08:59:38.083,MyClient,final_uav_1,nan,nan,1788,4106.05,1.06,284.77,130.87,0.0,130.87,0.0,nan
2023/05/19 08:59:38.403,MyClient,final_uav_1,nan,nan,1789,4174.51,11.53,302.52,131.21,0.0,131.21,7.18,nan
2023/05/19 08:59:38.737,MyClient,final_uav_1,nan,nan,1790,4378.44,38.5,317.68,126.6,0.0,126.6,1.77,nan
2023/05/19 08:59:39.031,MyClient,final_uav_1,nan,nan,1791,4410.2,15.91,279.57,130.15,0.0,130.15,2.14,nan
2023/05/19 08:59:39.264,MyClient,final_uav_1,nan,nan,1792,4242.46,3.61,226.76,130.91,0.0,130.91,3.27,nan
2023/05/19 08:59:39.510,MyClient,final_uav_1,nan,nan,1793,4464.87,4.41,241.2,130.51,0.0,130.51,0.0,nan
2023/05/19 08:59:39.763,MyClient,final_uav_1,nan,nan,1794,4503.38,4.49,237.87,130.54,0.0,130.54,0.0,nan
2023/05/19 08:59:40.014,MyClient,final_uav_1,nan,nan,1795,4520.08,4.65,246.15,130.61,0.0,130.61,0.0,nan
2023/05/19 08:59:40.270,MyClient,final_uav_1,nan,nan,1796,4551.28,10.95,242.47,130.79,0.0,130.79,0.0,nan
2023/05/19 08:59:40.507,MyClient,final_uav_1,nan,nan,1797,4569.33,1.66,234.22,131.31,0.0,131.31,0.0,nan
2023/05/19 08:59:40.765,MyClient,final_uav_1,nan,nan,1798,4430.53,5.97,250.91,127.16,0.0,127.16,1.01,nan
2023/05/19 08:59:41.023,MyClient,final_uav_1,nan,nan,1799,4434.83,10.26,245.81,131.77,0.0,131.77,0.0,nan
2023/05/19 08:59:41.275,MyClient,final_uav_1,nan,nan,1800,4668.31,13.46,233.18,131.77,0.0,131.77,0.95,nan
2023/05/19 08:59:41.553,MyClient,final_uav_1,nan,nan,1801,4631.13,24.24,258.57,131.9,0.0,131.9,0.0,nan
2023/05/19 08:59:41.768,MyClient,final_uav_1,nan,nan,1802,4648.3,6.65,203.98,130.95,0.0,130.95,0.0,nan
2023/05/19 08:59:42.025,MyClient,final_uav_1,nan,nan,1803,4663.25,11.69,242.37,127.02,0.0,127.02,0.63,nan
2023/05/19 08:59:42.276,MyClient,final_uav_1,nan,nan,1804,4624.42,4.81,241.62,131.29,0.0,131.29,0.0,nan
2023/05/19 08:59:42.521,MyClient,final_uav_1,nan,nan,1805,4778.97,9.8,235.82,131.29,0.0,131.29,0.0,nan
2023/05/19 08:59:42.771,MyClient,final_uav_1,nan,nan,1806,4805.26,11.29,244.28,131.14,0.0,131.14,0.0,nan
2023/05/19 08:59:43.025,MyClient,final_uav_1,nan,nan,1807,4666.49,12.67,244.75,120.46,0.0,120.46,1.2,nan
2023/05/19 08:59:43.262,MyClient,final_uav_1,nan,nan,1808,4267.7,10.26,226.74,127.37,0.0,127.37,1.5,nan
2023/05/19 08:59:43.489,MyClient,final_uav_1,nan,nan,1809,4235.36,3.38,216.9,129.22,0.0,129.22,0.0,nan
2023/05/19 08:59:43.724,MyClient,final_uav_1,nan,nan,1810,4325.13,6.24,228.01,128.25,0.0,128.25,1.0,nan
2023/05/19 08:59:43.958,MyClient,final_uav_1,nan,nan,1811,4392.9,4.18,224.93,129.31,0.0,129.31,0.0,nan
