asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 08:04:16.775,Client,final_uav_1,None,None,0,5141.97,13.74,96641.12,43.4,0.0,43.4,0.0,None
2023/06/26 08:04:16.799,Client,final_uav_1,nan,nan,1,5104.28,6.56,20.03,42.1,0.0,42.1,1.01,nan
2023/06/26 08:04:16.831,Client,final_uav_1,nan,nan,2,4884.76,4.38,28.83,45.28,0.0,45.28,0.0,nan
2023/06/26 08:04:16.866,Client,final_uav_1,nan,nan,3,4830.68,4.52,32.11,43.48,0.0,43.48,0.0,nan
2023/06/26 08:04:16.901,Client,final_uav_1,nan,nan,4,4851.54,4.74,32.68,43.7,0.51,43.7,0.0,nan
2023/06/26 08:04:16.938,Client,final_uav_1,nan,nan,5,4827.87,6.06,33.69,44.91,0.0,44.91,0.0,nan
2023/06/26 08:04:16.976,Client,final_uav_1,nan,nan,6,4825.42,10.87,36.06,44.78,0.0,44.78,0.0,nan
2023/06/26 08:04:17.007,Client,final_uav_1,nan,nan,7,4836.06,4.89,26.92,43.22,0.0,43.22,0.0,nan
2023/06/26 08:04:17.042,Client,final_uav_1,nan,nan,8,4791.94,4.25,31.37,43.36,0.0,43.36,0.0,nan
2023/06/26 08:04:17.076,Client,final_uav_1,nan,nan,9,4813.44,4.27,32.52,43.92,0.0,43.92,0.0,nan
2023/06/26 08:04:17.111,Client,final_uav_1,nan,nan,10,4782.63,4.7,31.91,44.86,0.0,44.86,0.0,nan
2023/06/26 08:04:17.147,Client,final_uav_1,nan,nan,11,4787.55,4.4,34.18,43.94,0.0,43.94,0.0,nan
2023/06/26 08:04:17.181,Client,final_uav_1,nan,nan,12,4768.89,5.01,29.93,43.45,0.0,43.45,0.52,nan
2023/06/26 08:04:17.218,Client,final_uav_1,nan,nan,13,4742.02,5.53,32.89,39.26,0.0,39.26,0.0,nan
2023/06/26 08:04:17.253,Client,final_uav_1,nan,nan,14,4762.0,7.21,31.38,41.06,0.0,41.06,0.0,nan
2023/06/26 08:04:17.287,Client,final_uav_1,nan,nan,15,4754.2,5.19,31.18,43.34,0.0,43.34,0.55,nan
2023/06/26 08:04:17.320,Client,final_uav_1,nan,nan,16,4731.15,4.28,31.49,43.34,0.0,43.34,0.0,nan
2023/06/26 08:04:17.357,Client,final_uav_1,nan,nan,17,4732.2,5.58,34.24,43.85,0.0,43.85,0.51,nan
2023/06/26 08:04:17.392,Client,final_uav_1,nan,nan,18,4740.17,5.84,32.16,43.63,0.0,43.63,0.0,nan
2023/06/26 08:04:17.430,Client,final_uav_1,nan,nan,19,4663.0,5.97,33.45,45.7,0.0,45.7,0.57,nan
2023/06/26 08:04:17.464,Client,final_uav_1,nan,nan,20,4678.83,5.3,30.05,45.25,0.0,45.25,1.0,nan
2023/06/26 08:04:17.497,Client,final_uav_1,nan,nan,21,4656.03,4.06,30.23,45.24,0.0,45.24,0.0,nan
2023/06/26 08:04:17.531,Client,final_uav_1,nan,nan,22,4638.1,4.4,31.27,44.61,0.0,44.61,0.0,nan
2023/06/26 08:04:17.572,Client,final_uav_1,nan,nan,23,4587.33,5.26,37.86,43.81,0.0,43.81,0.0,nan
2023/06/26 08:04:17.601,Client,final_uav_1,nan,nan,24,4605.86,4.23,25.98,44.9,0.0,44.9,0.0,nan
2023/06/26 08:04:17.639,Client,final_uav_1,nan,nan,25,4600.98,6.63,33.42,43.6,0.0,43.6,0.53,nan
2023/06/26 08:04:17.670,Client,final_uav_1,nan,nan,26,4618.45,4.14,29.31,43.5,0.0,43.5,0.0,nan
2023/06/26 08:04:17.706,Client,final_uav_1,nan,nan,27,4612.31,5.19,34.52,43.77,0.0,43.77,0.53,nan
2023/06/26 08:04:17.745,Client,final_uav_1,nan,nan,28,4616.9,5.1,36.2,44.85,0.0,44.85,1.0,nan
2023/06/26 08:04:17.778,Client,final_uav_1,nan,nan,29,4628.05,5.97,28.82,44.53,0.0,44.53,0.52,nan
2023/06/26 08:04:17.816,Client,final_uav_1,nan,nan,30,4649.58,5.07,34.96,43.51,0.0,43.51,0.0,nan
2023/06/26 08:04:17.844,Client,final_uav_1,nan,nan,31,4651.7,4.37,26.76,43.19,0.0,43.19,0.52,nan
2023/06/26 08:04:17.882,Client,final_uav_1,nan,nan,32,4638.39,5.62,33.84,43.39,0.0,43.39,0.0,nan
2023/06/26 08:04:17.915,Client,final_uav_1,nan,nan,33,4621.84,4.45,30.16,43.98,0.0,43.98,0.98,nan
2023/06/26 08:04:17.950,Client,final_uav_1,nan,nan,34,4635.56,4.67,32.25,43.05,0.0,43.05,0.0,nan
2023/06/26 08:04:17.991,Client,final_uav_1,nan,nan,35,4640.79,9.04,36.9,43.7,0.0,43.7,0.0,nan
2023/06/26 08:04:18.021,Client,final_uav_1,nan,nan,36,4635.29,5.8,27.15,42.71,0.0,42.71,0.0,nan
2023/06/26 08:04:18.055,Client,final_uav_1,nan,nan,37,4637.43,4.0,32.1,41.65,0.0,41.65,0.0,nan
2023/06/26 08:04:18.091,Client,final_uav_1,nan,nan,38,4608.41,4.97,32.92,39.36,0.0,39.36,0.0,nan
