asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/12 09:06:39.493,MyClient,final_uav_1,None,None,2158,1127.86,71.44,14246.12,921.74,94.08,0.02,0.0,None
2023/05/12 09:06:39.746,MyClient,final_uav_1,nan,nan,2159,653.36,45.81,213.24,921.74,30.35,0.02,0.0,nan
2023/05/12 09:06:39.930,MyClient,final_uav_1,nan,nan,2160,547.97,36.28,158.62,921.74,16.58,0.02,0.0,nan
2023/05/12 09:06:40.130,MyClient,final_uav_1,nan,nan,2161,422.7,25.3,171.72,921.74,18.57,0.02,0.0,nan
2023/05/12 09:06:40.320,MyClient,final_uav_1,nan,nan,2162,340.68,24.46,169.43,921.74,12.52,0.02,0.0,nan
2023/05/12 09:06:40.508,MyClient,final_uav_1,nan,nan,2163,356.28,24.69,161.52,921.74,17.84,0.02,0.0,nan
2023/05/12 09:06:40.697,MyClient,final_uav_1,nan,nan,2164,338.44,31.98,165.43,921.74,16.89,0.02,0.0,nan
2023/05/12 09:06:41.032,MyClient,final_uav_1,nan,nan,2165,483.75,63.32,300.94,921.74,21.39,0.02,0.0,nan
2023/05/12 09:06:41.334,MyClient,final_uav_1,nan,nan,2166,613.77,56.15,274.27,921.74,15.5,0.02,0.0,nan
2023/05/12 09:06:41.597,MyClient,final_uav_1,nan,nan,2167,612.31,29.01,242.9,921.74,11.71,0.02,0.0,nan
2023/05/12 09:06:41.833,MyClient,final_uav_1,nan,nan,2168,450.81,55.13,206.74,921.74,15.47,0.02,0.0,nan
2023/05/12 09:06:42.122,MyClient,final_uav_1,nan,nan,2169,513.96,57.88,248.54,921.74,27.73,0.02,0.0,nan
2023/05/12 09:06:42.594,MyClient,final_uav_1,nan,nan,2170,769.14,67.32,419.5,921.74,41.42,0.02,0.0,nan
2023/05/12 09:06:42.842,MyClient,final_uav_1,nan,nan,2171,564.07,25.36,213.35,921.74,26.7,0.02,0.0,nan
2023/05/12 09:06:43.064,MyClient,final_uav_1,nan,nan,2172,462.07,51.99,195.39,921.74,17.31,0.02,0.0,nan
2023/05/12 09:06:43.293,MyClient,final_uav_1,nan,nan,2173,434.78,34.82,203.45,921.74,16.69,0.02,0.0,nan
2023/05/12 09:06:43.480,MyClient,final_uav_1,nan,nan,2174,452.65,28.67,161.46,921.74,16.03,0.02,0.0,nan
2023/05/12 09:06:43.853,MyClient,final_uav_1,nan,nan,2175,602.82,79.06,336.33,921.74,23.74,0.02,0.0,nan
2023/05/12 09:06:44.146,MyClient,final_uav_1,nan,nan,2176,691.92,32.24,251.47,921.74,31.05,0.02,0.0,nan
2023/05/12 09:06:44.331,MyClient,final_uav_1,nan,nan,2177,536.56,32.19,155.52,921.74,19.73,0.02,0.0,nan
2023/05/12 09:06:44.539,MyClient,final_uav_1,nan,nan,2178,546.05,29.12,175.85,921.74,23.06,0.02,0.0,nan
2023/05/12 09:06:44.854,MyClient,final_uav_1,nan,nan,2179,576.67,63.63,277.0,921.74,21.31,0.02,0.0,nan
2023/05/12 09:06:45.276,MyClient,final_uav_1,nan,nan,2180,818.45,56.03,396.38,921.74,17.91,0.02,0.0,nan
2023/05/12 09:06:45.549,MyClient,final_uav_1,nan,nan,2181,600.11,28.26,223.29,921.74,40.07,0.02,0.0,nan
2023/05/12 09:06:45.740,MyClient,final_uav_1,nan,nan,2182,528.24,38.95,164.58,921.74,16.03,0.02,0.0,nan
2023/05/12 09:06:45.913,MyClient,final_uav_1,nan,nan,2183,441.46,28.82,147.38,921.74,15.57,0.02,0.0,nan
2023/05/12 09:06:46.098,MyClient,final_uav_1,nan,nan,2184,425.68,37.5,145.44,921.74,31.97,0.02,0.0,nan
2023/05/12 09:06:46.265,MyClient,final_uav_1,nan,nan,2185,450.82,32.42,141.42,921.74,15.82,0.02,0.0,nan
2023/05/12 09:06:46.451,MyClient,final_uav_1,nan,nan,2186,481.6,32.23,167.27,921.74,11.43,0.02,0.0,nan
2023/05/12 09:06:46.664,MyClient,final_uav_1,nan,nan,2187,501.97,31.12,190.62,921.74,12.32,0.02,1.01,nan
2023/05/12 09:06:46.842,MyClient,final_uav_1,nan,nan,2188,445.73,22.88,155.66,921.74,13.59,0.02,0.0,nan
2023/05/12 09:06:47.035,MyClient,final_uav_1,nan,nan,2189,404.41,39.43,170.25,921.74,11.84,0.02,0.0,nan
2023/05/12 09:06:47.243,MyClient,final_uav_1,nan,nan,2190,448.44,23.96,183.79,921.74,13.87,0.02,0.0,nan
2023/05/12 09:06:47.425,MyClient,final_uav_1,nan,nan,2191,400.45,24.89,154.65,921.74,16.4,0.02,0.0,nan
2023/05/12 09:06:47.624,MyClient,final_uav_1,nan,nan,2192,422.92,32.31,169.75,921.74,14.65,0.02,0.0,nan
2023/05/12 09:06:47.787,MyClient,final_uav_1,nan,nan,2193,483.18,28.08,143.87,921.74,11.04,0.02,0.0,nan
