asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/23 13:04:18.576,MyClient,final_uav_2,None,None,0,91.69,29.53,607489.06,81.0,0.0,81.0,0.53,None
2023/05/23 13:04:18.805,MyClient,final_uav_2,nan,nan,1,207.02,7.13,223.08,119.67,0.0,119.67,0.54,nan
2023/05/23 13:04:19.483,MyClient,final_uav_2,nan,nan,2,727.31,5.96,673.43,121.36,0.0,121.36,1.66,nan
2023/05/23 13:04:20.168,MyClient,final_uav_2,nan,nan,3,571.51,22.54,679.77,112.58,0.0,112.58,0.6,nan
2023/05/23 13:04:20.526,MyClient,final_uav_2,nan,nan,4,219.49,8.72,354.5,121.56,0.0,121.56,1.0,nan
2023/05/23 13:04:20.997,MyClient,final_uav_2,nan,nan,5,69.03,6.64,468.29,112.88,0.0,112.88,1.2,nan
2023/05/23 13:04:21.846,MyClient,final_uav_2,nan,nan,6,537.4,12.88,842.74,119.94,0.0,119.94,0.0,nan
2023/05/23 13:04:22.273,MyClient,final_uav_2,nan,nan,7,331.5,5.73,422.56,121.18,0.0,121.18,0.0,nan
2023/05/23 13:04:22.666,MyClient,final_uav_2,nan,nan,8,36.67,6.49,389.69,121.28,0.0,121.28,1.09,nan
2023/05/23 13:04:22.941,MyClient,final_uav_2,nan,nan,9,-180.89,5.8,272.21,102.73,0.0,102.73,0.0,nan
2023/05/23 13:04:23.647,MyClient,final_uav_2,nan,nan,10,165.02,22.54,697.64,121.39,0.0,121.39,1.26,nan
2023/05/23 13:04:24.229,MyClient,final_uav_2,nan,nan,11,448.75,5.51,578.44,121.0,0.0,121.0,1.0,nan
2023/05/23 13:04:24.771,MyClient,final_uav_2,nan,nan,12,294.89,5.4,537.71,112.35,0.0,112.35,1.24,nan
2023/05/23 13:04:25.419,MyClient,final_uav_2,nan,nan,13,475.71,11.5,644.51,122.31,0.0,122.31,0.0,nan
2023/05/23 13:04:26.117,MyClient,final_uav_2,nan,nan,14,498.7,5.61,693.06,124.57,0.0,124.57,1.0,nan
2023/05/23 13:04:26.920,MyClient,final_uav_2,nan,nan,15,907.7,17.78,800.32,122.08,0.0,122.08,0.08,nan
2023/05/23 13:04:27.345,MyClient,final_uav_2,nan,nan,16,432.13,6.11,421.25,116.18,0.0,116.18,0.0,nan
2023/05/23 13:04:27.932,MyClient,final_uav_2,nan,nan,17,392.33,6.97,584.18,120.76,0.0,120.76,0.0,nan
2023/05/23 13:04:28.543,MyClient,final_uav_2,nan,nan,18,431.6,14.73,605.76,120.75,0.0,120.75,1.0,nan
2023/05/23 13:04:29.089,MyClient,final_uav_2,nan,nan,19,318.47,6.72,541.82,121.03,0.0,121.03,1.07,nan
2023/05/23 13:04:29.767,MyClient,final_uav_2,nan,nan,20,512.47,13.78,673.7,116.72,0.0,116.72,0.0,nan
2023/05/23 13:04:30.634,MyClient,final_uav_2,nan,nan,21,726.2,5.96,863.25,120.66,0.01,120.66,0.3,nan
2023/05/23 13:04:31.244,MyClient,final_uav_2,nan,nan,22,840.6,11.07,605.58,102.8,0.0,102.8,0.0,nan
2023/05/23 13:04:31.608,MyClient,final_uav_2,nan,nan,23,309.56,8.91,360.83,122.02,0.0,122.02,1.0,nan
2023/05/23 13:04:32.075,MyClient,final_uav_2,nan,nan,24,-47.62,5.04,462.21,121.03,0.0,121.03,0.0,nan
2023/05/23 13:04:32.473,MyClient,final_uav_2,nan,nan,25,9.91,13.71,395.02,121.44,0.0,121.44,1.04,nan
2023/05/23 13:04:33.495,MyClient,final_uav_2,nan,nan,26,420.52,6.05,1017.3,116.88,0.0,116.88,0.0,nan
