asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/12 14:04:04.777,MyCloud,preprocessed,result,128,1227,297.53,28.81,26.27,307.33,1976.82,0.38,292.99,98598
2023/05/12 14:04:05.479,MyCloud,preprocessed,result,148,1247,380.51,162.27,82.69,307.33,822.47,0.38,75.63,98599
2023/05/12 14:04:06.202,MyCloud,preprocessed,result,157,1256,280.76,114.16,38.4,307.33,755.79,0.38,21.11,98600
2023/05/12 14:04:06.922,MyCloud,preprocessed,result,163,1262,375.37,59.51,146.4,307.33,716.09,0.38,13.73,98601
2023/05/12 14:04:07.617,MyCloud,preprocessed,result,171,1270,213.8,26.31,25.33,307.33,683.92,0.38,16.73,98602
2023/05/12 14:04:08.106,MyCloud,preprocessed,result,178,1277,307.88,92.59,97.5,307.33,481.56,0.38,13.11,98603
2023/05/12 14:04:08.882,MyCloud,preprocessed,result,184,1283,298.34,38.7,85.92,307.33,714.47,0.38,66.08,98604
2023/05/12 14:04:09.478,MyCloud,preprocessed,result,191,1290,378.41,138.18,97.98,307.33,538.01,0.38,62.99,98605
2023/05/12 14:04:10.196,MyCloud,preprocessed,result,198,1297,226.22,47.03,68.1,307.33,760.06,0.38,13.65,98606
2023/05/12 14:04:10.905,MyCloud,preprocessed,result,206,1305,246.44,46.27,70.02,307.33,697.88,0.38,17.67,98607
2023/05/12 14:04:11.612,MyCloud,preprocessed,result,213,1312,272.47,28.4,88.8,307.33,688.26,0.38,24.01,98608
2023/05/12 14:04:12.306,MyCloud,preprocessed,result,219,1318,363.89,102.01,125.55,307.33,679.33,0.32,20.42,98609
2023/05/12 14:04:12.907,MyCloud,preprocessed,result,227,1326,250.61,47.77,77.89,307.33,607.69,0.38,7.0,98610
2023/05/12 14:04:13.513,MyCloud,preprocessed,result,234,1333,231.85,55.06,64.7,307.33,591.32,0.38,14.52,98611
2023/05/12 14:04:14.090,MyCloud,preprocessed,result,241,1340,272.66,97.15,91.41,307.33,575.62,0.38,8.69,98612
2023/05/12 14:04:14.689,MyCloud,preprocessed,result,248,1347,213.89,43.7,35.93,307.33,591.64,0.32,10.89,98613
2023/05/12 14:04:15.215,MyCloud,preprocessed,result,255,1354,225.39,66.47,52.09,307.33,512.05,0.38,13.23,98614
2023/05/12 14:04:15.904,MyCloud,preprocessed,result,261,1360,281.47,102.89,99.46,307.33,687.12,0.32,9.35,98615
2023/05/12 14:04:16.696,MyCloud,preprocessed,result,269,1368,273.51,71.75,57.81,307.33,782.2,0.38,13.01,98616
2023/05/12 14:04:17.307,MyCloud,preprocessed,result,277,1376,301.47,82.55,84.39,307.33,608.44,0.38,9.96,98617
2023/05/12 14:04:17.906,MyCloud,preprocessed,result,284,1383,302.23,74.35,59.6,307.33,597.13,0.38,7.28,98618
2023/05/12 14:04:18.487,MyCloud,preprocessed,result,290,1389,245.24,63.85,65.35,307.33,572.25,0.38,8.8,98619
2023/05/12 14:04:19.117,MyCloud,preprocessed,result,298,1397,229.95,25.8,93.89,307.33,620.82,0.38,11.3,98620
2023/05/12 14:04:19.810,MyCloud,preprocessed,result,305,1404,250.16,38.41,76.24,307.33,692.67,0.38,8.46,98621
2023/05/12 14:04:20.502,MyCloud,preprocessed,result,312,1411,292.91,74.37,63.62,307.33,673.71,0.38,18.64,98622
