asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/27 07:30:37.902,LocalForwarder,preprocessed,preprocessed,2,41741,909.44,7.74,129696.66,307.36,0.01,307.36,131.4,40516
2023/06/27 07:30:37.996,LocalForwarder,preprocessed,preprocessed,5,41742,787.13,6.66,16.36,307.36,0.02,307.36,206.2,40517
2023/06/27 07:30:38.090,LocalForwarder,preprocessed,preprocessed,6,41743,826.03,5.55,61.16,307.36,0.01,307.36,236.41,40518
2023/06/27 07:30:38.186,LocalForwarder,preprocessed,preprocessed,10,41744,754.99,4.3,44.67,307.36,0.01,307.36,233.87,40519
2023/06/27 07:30:38.279,LocalForwarder,preprocessed,preprocessed,11,41745,789.29,12.62,1.96,307.36,0.01,307.36,276.9,40520
2023/06/27 07:30:38.373,LocalForwarder,preprocessed,preprocessed,12,41746,867.12,21.46,1.83,307.36,0.01,307.36,276.13,40521
2023/06/27 07:30:38.465,LocalForwarder,preprocessed,preprocessed,15,41747,858.97,50.44,1.98,307.36,0.01,307.36,270.76,40522
2023/06/27 07:30:38.558,LocalForwarder,preprocessed,preprocessed,17,41748,900.48,92.89,2.89,307.36,0.01,307.36,271.29,40523
2023/06/27 07:30:38.651,LocalForwarder,preprocessed,preprocessed,18,41749,947.52,137.28,0.4,307.36,0.01,307.36,273.1,40524
2023/06/27 07:30:38.746,LocalForwarder,preprocessed,preprocessed,20,41750,991.37,167.48,2.98,307.36,0.01,307.36,272.99,40525
2023/06/27 07:30:38.845,LocalForwarder,preprocessed,preprocessed,21,41751,1044.42,193.72,4.0,307.36,0.01,307.36,277.69,40526
2023/06/27 07:30:38.938,LocalForwarder,preprocessed,preprocessed,23,41752,1051.37,233.79,1.03,307.36,0.01,307.36,280.78,40527
2023/06/27 07:30:39.031,LocalForwarder,preprocessed,preprocessed,26,41753,1062.68,276.64,0.54,307.36,0.01,307.36,279.01,40528
2023/06/27 07:30:39.127,LocalForwarder,preprocessed,preprocessed,27,41754,1143.53,281.5,2.54,307.36,0.01,307.36,274.48,40529
2023/06/27 07:30:39.220,LocalForwarder,preprocessed,preprocessed,34,41755,920.53,160.94,0.38,307.36,0.01,307.36,274.51,40530
2023/06/27 07:30:39.314,LocalForwarder,preprocessed,preprocessed,36,41756,966.16,194.61,0.37,307.36,0.01,307.36,277.03,40531
2023/06/27 07:30:39.407,LocalForwarder,preprocessed,preprocessed,37,41757,1043.63,195.19,3.37,307.36,0.01,307.36,271.92,40532
