asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/27 07:30:37.767,LocalPreprocessor,input,preprocessed,2,42209,888.63,888.96,126724.4,13.28,11.07,307.36,5.75,41741
2023/06/27 07:30:37.788,LocalPreprocessor,input,preprocessed,5,42210,777.61,778.13,31.85,12.29,2.76,307.36,4.67,41742
2023/06/27 07:30:37.853,LocalPreprocessor,input,preprocessed,6,42211,815.95,791.47,63.21,12.69,4.11,307.36,4.51,41743
2023/06/27 07:30:37.951,LocalPreprocessor,input,preprocessed,10,42212,744.82,745.15,98.43,12.88,5.03,307.36,3.37,41744
2023/06/27 07:30:37.993,LocalPreprocessor,input,preprocessed,11,42213,772.95,773.34,44.02,12.79,2.95,307.36,3.79,41745
2023/06/27 07:30:38.078,LocalPreprocessor,input,preprocessed,12,42214,841.01,811.32,84.15,12.79,4.1,307.36,3.23,41746
2023/06/27 07:30:38.148,LocalPreprocessor,input,preprocessed,15,42215,804.74,805.19,69.53,12.66,3.99,307.36,3.28,41747
2023/06/27 07:30:38.197,LocalPreprocessor,input,preprocessed,17,42216,801.11,773.52,47.2,12.71,5.81,307.36,3.55,41748
2023/06/27 07:30:38.245,LocalPreprocessor,input,preprocessed,18,42217,806.88,780.65,49.68,12.71,3.09,307.36,3.52,41749
2023/06/27 07:30:38.309,LocalPreprocessor,input,preprocessed,20,42218,820.81,785.94,65.67,12.92,3.18,307.36,3.06,41750
2023/06/27 07:30:38.381,LocalPreprocessor,input,preprocessed,21,42219,847.47,793.82,67.22,12.96,2.54,307.36,7.53,41751
2023/06/27 07:30:38.427,LocalPreprocessor,input,preprocessed,23,42220,814.12,777.55,50.01,12.96,2.95,307.36,3.16,41752
2023/06/27 07:30:38.479,LocalPreprocessor,input,preprocessed,26,42221,781.6,782.55,50.32,12.85,3.51,307.36,3.68,41753
2023/06/27 07:30:38.575,LocalPreprocessor,input,preprocessed,27,42222,858.1,823.08,95.84,10.4,3.43,307.36,4.14,41754
2023/06/27 07:30:38.787,LocalPreprocessor,input,preprocessed,34,42223,756.55,755.98,213.81,13.0,2.62,307.36,3.43,41755
2023/06/27 07:30:38.845,LocalPreprocessor,input,preprocessed,36,42224,768.2,768.63,57.65,12.94,2.68,307.36,3.51,41756
2023/06/27 07:30:38.946,LocalPreprocessor,input,preprocessed,37,42225,844.74,826.3,97.63,12.94,3.2,307.36,5.59,41757
2023/06/27 07:30:39.024,LocalPreprocessor,input,preprocessed,38,42226,893.14,841.25,79.55,12.85,3.59,307.36,3.25,41758
2023/06/27 07:30:39.067,LocalPreprocessor,input,preprocessed,41,42227,804.11,772.52,44.36,12.88,2.89,307.36,3.27,41759
2023/06/27 07:30:39.103,LocalPreprocessor,input,preprocessed,42,42228,799.39,770.88,32.79,12.87,4.66,307.36,3.76,41760
2023/06/27 07:30:39.163,LocalPreprocessor,input,preprocessed,43,42229,828.53,787.22,59.62,12.82,3.38,307.36,5.89,41761
2023/06/27 07:30:39.242,LocalPreprocessor,input,preprocessed,45,42230,850.09,808.54,81.15,12.83,3.82,307.36,2.96,41762
