asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/27 06:41:37.354,Client,final_uav_1,None,None,37309,31218.15,7.68,69297.85,39.63,0.0,39.63,0.52,None
2023/06/27 06:41:37.379,Client,final_uav_1,nan,nan,37310,31227.4,4.88,22.79,40.94,0.0,40.94,0.0,nan
2023/06/27 06:41:37.408,Client,final_uav_1,nan,nan,37311,31057.13,4.13,24.57,40.96,0.0,40.96,0.0,nan
2023/06/27 06:41:37.438,Client,final_uav_1,nan,nan,37312,31065.94,2.82,27.36,40.96,0.0,40.96,1.0,nan
2023/06/27 06:41:37.468,Client,final_uav_1,nan,nan,37313,31047.17,4.11,27.11,39.78,0.0,39.78,0.0,nan
2023/06/27 06:41:37.501,Client,final_uav_1,nan,nan,37314,31052.86,4.86,28.83,39.87,0.0,39.87,0.0,nan
2023/06/27 06:41:37.532,Client,final_uav_1,nan,nan,37315,31058.05,4.82,28.27,39.87,0.0,39.87,0.51,nan
2023/06/27 06:41:37.564,Client,final_uav_1,nan,nan,37316,31023.39,4.76,29.25,40.75,0.0,40.75,0.0,nan
2023/06/27 06:41:37.592,Client,final_uav_1,nan,nan,37317,31036.28,4.92,23.63,40.75,0.0,40.75,0.03,nan
2023/06/27 06:41:37.620,Client,final_uav_1,nan,nan,37318,31010.9,3.14,25.87,40.22,1.01,40.22,0.0,nan
2023/06/27 06:41:37.651,Client,final_uav_1,nan,nan,37319,30999.09,3.63,27.77,40.36,0.0,40.36,0.0,nan
2023/06/27 06:41:37.683,Client,final_uav_1,nan,nan,37320,31011.76,3.62,28.41,41.23,0.0,41.23,0.0,nan
2023/06/27 06:41:37.713,Client,final_uav_1,nan,nan,37321,31026.08,4.34,26.71,39.89,0.0,39.89,0.53,nan
2023/06/27 06:41:37.745,Client,final_uav_1,nan,nan,37322,31032.89,4.25,29.15,41.08,0.0,41.08,0.0,nan
2023/06/27 06:41:37.773,Client,final_uav_1,nan,nan,37323,31024.11,4.14,23.95,41.08,0.0,41.08,0.02,nan
2023/06/27 06:41:37.803,Client,final_uav_1,nan,nan,37324,31017.8,3.87,27.63,39.87,0.0,39.87,0.0,nan
2023/06/27 06:41:37.834,Client,final_uav_1,nan,nan,37325,31033.3,4.31,27.46,40.67,0.0,40.67,0.52,nan
2023/06/27 06:41:37.866,Client,final_uav_1,nan,nan,37326,31011.34,4.26,27.66,41.31,0.0,41.31,0.0,nan
2023/06/27 06:41:37.896,Client,final_uav_1,nan,nan,37327,30997.37,3.72,27.94,34.9,0.0,34.9,0.0,nan
2023/06/27 06:41:37.930,Client,final_uav_1,nan,nan,37328,30967.47,4.06,30.3,38.96,0.0,38.96,0.0,nan
2023/06/27 06:41:37.958,Client,final_uav_1,nan,nan,37329,30975.65,4.07,24.01,39.4,0.0,39.4,0.0,nan
2023/06/27 06:41:37.986,Client,final_uav_1,nan,nan,37330,30971.95,4.87,26.28,41.25,0.0,41.25,0.53,nan
2023/06/27 06:41:38.018,Client,final_uav_1,nan,nan,37331,30980.86,4.31,28.82,41.25,0.0,41.25,0.0,nan
2023/06/27 06:41:38.049,Client,final_uav_1,nan,nan,37332,30933.44,4.27,27.34,40.44,0.0,40.44,0.51,nan
2023/06/27 06:41:38.078,Client,final_uav_1,nan,nan,37333,30930.35,4.31,26.24,40.18,0.0,40.18,0.0,nan
2023/06/27 06:41:38.110,Client,final_uav_1,nan,nan,37334,30941.26,4.8,29.51,40.18,0.0,40.18,0.53,nan
2023/06/27 06:41:38.141,Client,final_uav_1,nan,nan,37335,30927.9,3.73,28.23,39.7,0.0,39.7,0.04,nan
2023/06/27 06:41:38.169,Client,final_uav_1,nan,nan,37336,30898.26,3.4,23.79,40.1,0.0,40.1,0.0,nan
2023/06/27 06:41:38.200,Client,final_uav_1,nan,nan,37337,30853.73,3.51,28.38,39.86,0.0,39.86,1.0,nan
2023/06/27 06:41:38.235,Client,final_uav_1,nan,nan,37338,30829.43,3.51,32.0,40.37,0.0,40.37,0.0,nan
2023/06/27 06:41:38.260,Client,final_uav_1,nan,nan,37339,30812.65,3.54,23.03,39.49,0.0,39.49,0.98,nan
2023/06/27 06:41:38.293,Client,final_uav_1,nan,nan,37340,30784.43,3.34,29.23,41.61,0.0,41.61,0.0,nan
2023/06/27 06:41:38.328,Client,final_uav_1,nan,nan,37341,30802.17,4.32,30.74,41.61,0.0,41.61,0.53,nan
2023/06/27 06:41:38.353,Client,final_uav_1,nan,nan,37342,30784.61,4.84,22.3,40.54,0.0,40.54,0.0,nan
2023/06/27 06:41:38.386,Client,final_uav_1,nan,nan,37343,30767.56,4.45,28.56,40.54,0.0,40.54,1.0,nan
2023/06/27 06:41:38.414,Client,final_uav_1,nan,nan,37344,30775.11,3.07,25.03,41.8,0.0,41.8,0.0,nan
2023/06/27 06:41:38.452,Client,final_uav_1,nan,nan,37345,30776.21,5.25,34.19,41.53,0.0,41.53,0.53,nan
2023/06/27 06:41:38.474,Client,final_uav_1,nan,nan,37346,30678.32,3.92,19.83,39.74,0.0,39.74,0.98,nan
2023/06/27 06:41:38.507,Client,final_uav_1,nan,nan,37347,30694.57,4.24,29.23,41.18,0.0,41.18,0.0,nan
2023/06/27 06:41:38.540,Client,final_uav_1,nan,nan,37348,30680.21,5.82,28.41,40.12,0.0,40.12,1.0,nan
2023/06/27 06:41:38.569,Client,final_uav_1,nan,nan,37349,30692.17,6.37,25.5,31.02,0.0,31.02,0.52,nan
2023/06/27 06:41:38.602,Client,final_uav_1,nan,nan,37350,30667.53,4.74,31.29,35.17,0.0,35.17,0.51,nan
2023/06/27 06:41:38.627,Client,final_uav_1,nan,nan,37351,30624.87,3.08,21.21,41.03,0.0,41.03,0.99,nan
2023/06/27 06:41:38.661,Client,final_uav_1,nan,nan,37352,30580.91,3.59,31.68,40.03,0.0,40.03,0.0,nan
2023/06/27 06:41:38.691,Client,final_uav_1,nan,nan,37353,30575.55,3.61,26.0,41.16,0.0,41.16,0.0,nan
2023/06/27 06:41:38.718,Client,final_uav_1,nan,nan,37354,30478.31,3.54,24.69,40.7,0.0,40.7,0.98,nan
2023/06/27 06:41:38.750,Client,final_uav_1,nan,nan,37355,30462.37,4.16,28.62,41.11,0.0,41.11,0.0,nan
2023/06/27 06:41:38.780,Client,final_uav_1,nan,nan,37356,30456.12,3.91,27.55,41.52,0.0,41.52,0.0,nan
2023/06/27 06:41:38.817,Client,final_uav_1,nan,nan,37357,30443.2,5.5,34.48,40.96,0.0,40.96,0.0,nan
2023/06/27 06:41:38.842,Client,final_uav_1,nan,nan,37358,30412.12,3.54,20.52,40.22,0.0,40.22,0.0,nan
2023/06/27 06:41:38.870,Client,final_uav_1,nan,nan,37359,30415.4,3.95,26.4,41.12,0.0,41.12,0.0,nan
2023/06/27 06:41:38.904,Client,final_uav_1,nan,nan,37360,30411.68,4.29,29.29,40.13,0.0,40.13,0.53,nan
2023/06/27 06:41:38.933,Client,final_uav_1,nan,nan,37361,30409.17,3.54,26.43,40.13,0.0,40.13,0.0,nan
2023/06/27 06:41:38.965,Client,final_uav_1,nan,nan,37362,30417.73,5.13,28.25,41.39,0.0,41.39,0.53,nan
2023/06/27 06:41:38.994,Client,final_uav_1,nan,nan,37363,30407.15,4.16,25.88,40.38,0.0,40.38,1.03,nan
2023/06/27 06:41:39.026,Client,final_uav_1,nan,nan,37364,30369.58,4.28,27.74,40.05,0.0,40.05,0.53,nan
2023/06/27 06:41:39.056,Client,final_uav_1,nan,nan,37365,30384.87,5.57,26.61,40.02,0.01,40.02,0.0,nan
2023/06/27 06:41:39.085,Client,final_uav_1,nan,nan,37366,30394.13,4.35,26.56,40.02,0.0,40.02,0.53,nan
2023/06/27 06:41:39.115,Client,final_uav_1,nan,nan,37367,30381.74,3.41,27.42,40.8,0.0,40.8,1.0,nan
2023/06/27 06:41:39.156,Client,final_uav_1,nan,nan,37368,30365.87,4.15,37.64,40.8,0.0,40.8,0.53,nan
2023/06/27 06:41:39.177,Client,final_uav_1,nan,nan,37369,30328.59,4.12,18.4,39.82,0.0,39.82,0.0,nan
2023/06/27 06:41:39.208,Client,final_uav_1,nan,nan,37370,30329.44,4.35,26.86,30.77,0.0,30.77,0.0,nan
2023/06/27 06:41:39.237,Client,final_uav_1,nan,nan,37371,30339.99,3.8,26.19,36.31,0.0,36.31,0.0,nan
2023/06/27 06:41:39.269,Client,final_uav_1,nan,nan,37372,30340.09,3.72,29.47,39.0,0.0,39.0,0.0,nan
2023/06/27 06:41:39.302,Client,final_uav_1,nan,nan,37373,30358.63,4.25,29.09,39.83,0.0,39.83,0.0,nan
2023/06/27 06:41:39.329,Client,final_uav_1,nan,nan,37374,30352.76,4.38,23.85,39.0,0.0,39.0,0.0,nan
2023/06/27 06:41:39.360,Client,final_uav_1,nan,nan,37375,30362.3,4.5,26.41,40.49,0.0,40.49,0.53,nan
2023/06/27 06:41:39.388,Client,final_uav_1,nan,nan,37376,30366.5,3.62,25.96,39.72,0.0,39.72,0.0,nan
2023/06/27 06:41:39.419,Client,final_uav_1,nan,nan,37377,30369.3,4.0,28.38,39.72,0.0,39.72,0.0,nan
2023/06/27 06:41:39.450,Client,final_uav_1,nan,nan,37378,30335.91,4.22,27.22,39.3,0.0,39.3,0.0,nan
2023/06/27 06:41:39.481,Client,final_uav_1,nan,nan,37379,30304.65,3.93,28.65,40.12,0.0,40.12,0.51,nan
2023/06/27 06:41:39.516,Client,final_uav_1,nan,nan,37380,30294.68,4.38,32.22,39.9,0.51,39.9,0.0,nan
2023/06/27 06:41:39.541,Client,final_uav_1,nan,nan,37381,30278.5,3.31,22.67,40.76,0.0,40.76,0.0,nan
2023/06/27 06:41:39.573,Client,final_uav_1,nan,nan,37382,30288.78,3.29,28.46,41.49,0.0,41.49,0.0,nan
2023/06/27 06:41:39.602,Client,final_uav_1,nan,nan,37383,30299.31,4.36,26.43,40.09,0.0,40.09,0.0,nan
2023/06/27 06:41:39.633,Client,final_uav_1,nan,nan,37384,30253.04,4.46,27.86,40.72,0.0,40.72,0.0,nan
2023/06/27 06:41:39.667,Client,final_uav_1,nan,nan,37385,30230.51,5.26,32.16,40.18,0.0,40.18,0.53,nan
2023/06/27 06:41:39.694,Client,final_uav_1,nan,nan,37386,30230.23,4.06,22.64,40.18,0.0,40.18,0.5,nan
2023/06/27 06:41:39.726,Client,final_uav_1,nan,nan,37387,30244.24,5.46,29.4,41.05,0.0,41.05,0.53,nan
2023/06/27 06:41:39.756,Client,final_uav_1,nan,nan,37388,30254.99,3.18,26.08,40.34,0.0,40.34,0.0,nan
2023/06/27 06:41:39.788,Client,final_uav_1,nan,nan,37389,30241.27,6.62,29.09,41.2,0.0,41.2,0.0,nan
2023/06/27 06:41:39.820,Client,final_uav_1,nan,nan,37390,30240.15,4.56,29.04,39.93,0.0,39.93,0.0,nan
2023/06/27 06:41:39.846,Client,final_uav_1,nan,nan,37391,30233.68,3.36,23.76,40.49,0.0,40.49,1.0,nan
2023/06/27 06:41:39.876,Client,final_uav_1,nan,nan,37392,30245.14,4.66,26.47,40.49,0.0,40.49,0.0,nan
2023/06/27 06:41:39.908,Client,final_uav_1,nan,nan,37393,30137.13,3.14,28.92,39.77,0.0,39.77,0.0,nan
2023/06/27 06:41:39.936,Client,final_uav_1,nan,nan,37394,30138.51,2.7,26.41,39.77,0.0,39.77,1.04,nan
2023/06/27 06:41:39.969,Client,final_uav_1,nan,nan,37395,30153.84,3.23,29.24,40.49,0.0,40.49,0.0,nan
2023/06/27 06:41:40.000,Client,final_uav_1,nan,nan,37396,30164.45,4.96,28.21,39.78,0.0,39.78,0.53,nan
2023/06/27 06:41:40.028,Client,final_uav_1,nan,nan,37397,30141.93,3.62,25.57,39.78,0.0,39.78,0.0,nan
2023/06/27 06:41:40.061,Client,final_uav_1,nan,nan,37398,30119.43,4.16,29.01,38.97,0.0,38.97,0.0,nan
2023/06/27 06:41:40.089,Client,final_uav_1,nan,nan,37399,30133.71,2.9,25.63,38.23,0.0,38.23,0.0,nan
2023/06/27 06:41:40.121,Client,final_uav_1,nan,nan,37400,30102.2,3.45,29.46,40.67,0.0,40.67,0.0,nan
2023/06/27 06:41:40.150,Client,final_uav_1,nan,nan,37401,30111.5,3.57,26.09,40.09,0.0,40.09,0.0,nan
2023/06/27 06:41:40.181,Client,final_uav_1,nan,nan,37402,30108.76,4.1,27.94,39.5,0.0,39.5,0.0,nan
2023/06/27 06:41:40.211,Client,final_uav_1,nan,nan,37403,30102.09,3.9,26.37,40.63,0.0,40.63,0.0,nan
2023/06/27 06:41:40.242,Client,final_uav_1,nan,nan,37404,30094.28,3.99,29.35,39.72,0.0,39.72,0.0,nan
2023/06/27 06:41:40.272,Client,final_uav_1,nan,nan,37405,30061.9,4.14,25.84,40.6,0.0,40.6,0.0,nan
2023/06/27 06:41:40.307,Client,final_uav_1,nan,nan,37406,30054.29,4.6,32.49,40.49,0.0,40.49,0.0,nan
2023/06/27 06:41:40.333,Client,final_uav_1,nan,nan,37407,30001.74,3.1,22.64,41.08,0.0,41.08,0.0,nan
2023/06/27 06:41:40.363,Client,final_uav_1,nan,nan,37408,30016.95,3.33,27.21,40.22,0.0,40.22,0.0,nan
2023/06/27 06:41:40.395,Client,final_uav_1,nan,nan,37409,30036.44,3.27,28.96,41.14,0.0,41.14,0.0,nan
2023/06/27 06:41:40.423,Client,final_uav_1,nan,nan,37410,30040.62,3.78,25.45,40.2,0.0,40.2,0.0,nan
2023/06/27 06:41:40.456,Client,final_uav_1,nan,nan,37411,30036.02,4.04,28.99,39.77,0.0,39.77,0.0,nan
2023/06/27 06:41:40.486,Client,final_uav_1,nan,nan,37412,29996.29,3.33,27.59,40.47,0.0,40.47,0.0,nan
2023/06/27 06:41:40.516,Client,final_uav_1,nan,nan,37413,29979.47,4.07,26.88,39.58,0.0,39.58,0.51,nan
2023/06/27 06:41:40.546,Client,final_uav_1,nan,nan,37414,29963.07,3.41,27.28,40.65,0.0,40.65,0.0,nan
2023/06/27 06:41:40.576,Client,final_uav_1,nan,nan,37415,29969.75,3.27,28.07,39.88,0.0,39.88,1.0,nan
2023/06/27 06:41:40.608,Client,final_uav_1,nan,nan,37416,29974.48,3.36,29.38,39.4,0.0,39.4,0.52,nan
2023/06/27 06:41:40.637,Client,final_uav_1,nan,nan,37417,29922.03,3.78,27.34,40.44,0.0,40.44,0.53,nan
2023/06/27 06:41:40.668,Client,final_uav_1,nan,nan,37418,29917.19,3.0,27.87,39.62,0.0,39.62,1.01,nan
2023/06/27 06:41:40.699,Client,final_uav_1,nan,nan,37419,29928.53,3.45,27.56,40.5,0.0,40.5,0.0,nan
2023/06/27 06:41:40.735,Client,final_uav_1,nan,nan,37420,29949.64,4.34,33.8,40.5,0.0,40.5,0.0,nan
2023/06/27 06:41:40.760,Client,final_uav_1,nan,nan,37421,29940.69,4.94,21.53,39.81,0.0,39.81,0.0,nan
2023/06/27 06:41:40.789,Client,final_uav_1,nan,nan,37422,29943.03,3.22,26.66,39.81,0.0,39.81,0.0,nan
2023/06/27 06:41:40.820,Client,final_uav_1,nan,nan,37423,29937.52,3.15,28.05,30.26,0.0,30.26,1.0,nan
2023/06/27 06:41:40.851,Client,final_uav_1,nan,nan,37424,29912.33,3.63,27.52,39.55,0.0,39.55,0.0,nan
2023/06/27 06:41:40.885,Client,final_uav_1,nan,nan,37425,29929.94,4.45,31.15,39.55,0.0,39.55,0.0,nan
2023/06/27 06:41:40.913,Client,final_uav_1,nan,nan,37426,29865.28,4.76,24.21,40.08,0.0,40.08,0.0,nan
2023/06/27 06:41:40.943,Client,final_uav_1,nan,nan,37427,29842.25,4.71,26.69,40.26,0.0,40.26,0.0,nan
2023/06/27 06:41:40.973,Client,final_uav_1,nan,nan,37428,29854.49,4.01,26.67,41.16,0.0,41.16,0.0,nan
2023/06/27 06:41:41.006,Client,final_uav_1,nan,nan,37429,29867.23,6.15,30.52,40.98,0.0,40.98,0.0,nan
2023/06/27 06:41:41.034,Client,final_uav_1,nan,nan,37430,29805.07,4.15,24.94,40.84,0.0,40.84,0.0,nan
2023/06/27 06:41:41.064,Client,final_uav_1,nan,nan,37431,29782.14,3.64,27.27,41.2,0.0,41.2,1.0,nan
2023/06/27 06:41:41.095,Client,final_uav_1,nan,nan,37432,29714.82,2.6,28.67,40.72,0.0,40.72,0.0,nan
2023/06/27 06:41:41.125,Client,final_uav_1,nan,nan,37433,29686.13,4.26,26.66,40.18,0.0,40.18,0.0,nan
2023/06/27 06:41:41.155,Client,final_uav_1,nan,nan,37434,29657.96,3.42,27.21,39.46,0.0,39.46,0.53,nan
2023/06/27 06:41:41.188,Client,final_uav_1,nan,nan,37435,29672.71,3.71,29.81,39.46,0.0,39.46,0.0,nan
2023/06/27 06:41:41.217,Client,final_uav_1,nan,nan,37436,29685.35,3.46,26.6,40.12,0.0,40.12,1.04,nan
2023/06/27 06:41:41.247,Client,final_uav_1,nan,nan,37437,29665.52,3.99,27.94,40.8,0.0,40.8,0.0,nan
2023/06/27 06:41:41.278,Client,final_uav_1,nan,nan,37438,29649.1,3.68,26.74,40.8,0.0,40.8,0.0,nan
2023/06/27 06:41:41.307,Client,final_uav_1,nan,nan,37439,29645.67,3.04,26.91,40.88,0.0,40.88,1.0,nan
2023/06/27 06:41:41.339,Client,final_uav_1,nan,nan,37440,29548.17,4.08,28.35,40.58,0.0,40.58,0.0,nan
2023/06/27 06:41:41.369,Client,final_uav_1,nan,nan,37441,29511.56,3.83,26.99,40.64,0.0,40.64,0.0,nan
