asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 23:38:57.275,MergerSorterProducer,None,None,None,-1,-1,20000.64,20000.64,0.06,0.01,0.06,0.02,None
2023/06/26 23:39:17.278,MergerSorterProducer,None,nan,nan,-1,-1,20000.47,20000.47,0.06,0.01,0.06,0.01,nan
2023/06/26 23:39:37.282,MergerSorterProducer,None,nan,nan,-1,-1,20001.35,20001.35,0.06,0.01,0.06,0.01,nan
2023/06/26 23:39:57.286,MergerSorterProducer,None,nan,nan,-1,-1,20000.68,20000.68,0.06,0.01,0.06,0.01,nan
2023/06/26 23:40:17.291,MergerSorterProducer,None,nan,nan,-1,-1,20000.7,20000.7,0.06,0.02,0.06,0.04,nan
2023/06/26 23:40:37.294,MergerSorterProducer,None,nan,nan,-1,-1,20000.54,20000.54,0.06,0.01,0.06,0.01,nan
2023/06/26 23:40:57.298,MergerSorterProducer,None,nan,nan,-1,-1,20000.54,20000.54,0.06,0.01,0.06,0.01,nan
2023/06/26 23:41:17.302,MergerSorterProducer,None,nan,nan,-1,-1,20000.62,20000.62,0.23,0.05,0.06,0.01,nan
2023/06/26 23:41:37.320,MergerSorterProducer,None,nan,nan,-1,-1,20004.71,20004.71,0.23,1.11,0.23,8.87,nan
2023/06/26 23:41:37.349,MergerSorterProducer,nan,final_uav_1,1,nan,nan,nan,nan,nan,nan,nan,37.51,37309
2023/06/26 23:41:37.379,MergerSorterProducer,nan,final_uav_1,2,nan,nan,nan,nan,nan,nan,nan,67.54,37310
2023/06/26 23:41:37.407,MergerSorterProducer,nan,final_uav_1,5,nan,nan,nan,nan,nan,nan,nan,95.79,37311
2023/06/26 23:41:37.437,MergerSorterProducer,nan,final_uav_1,6,nan,nan,nan,nan,nan,nan,nan,126.09,37312
2023/06/26 23:41:37.467,MergerSorterProducer,nan,final_uav_1,7,nan,nan,nan,nan,nan,nan,nan,156.22,37313
2023/06/26 23:41:37.500,MergerSorterProducer,nan,final_uav_1,8,nan,nan,nan,nan,nan,nan,nan,188.15,37314
