asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/27 07:38:28.553,Client,final_uav_1,None,None,56932,7469.84,5.91,84426.08,40.75,0.0,40.75,0.52,None
2023/06/27 07:38:28.582,Client,final_uav_1,nan,nan,56933,7467.14,3.61,26.01,41.07,0.0,41.07,0.0,nan
2023/06/27 07:38:28.611,Client,final_uav_1,nan,nan,56934,7384.92,3.75,26.63,43.21,0.0,43.21,0.0,nan
2023/06/27 07:38:28.642,Client,final_uav_1,nan,nan,56935,7395.53,4.4,27.65,42.94,0.0,42.94,0.0,nan
2023/06/27 07:38:28.672,Client,final_uav_1,nan,nan,56936,7341.01,3.41,27.49,41.68,0.0,41.68,0.52,nan
2023/06/27 07:38:28.702,Client,final_uav_1,nan,nan,56937,7305.35,3.81,26.67,42.64,0.0,42.64,0.0,nan
2023/06/27 07:38:28.733,Client,final_uav_1,nan,nan,56938,7270.64,3.93,29.12,42.72,0.0,42.72,0.0,nan
2023/06/27 07:38:28.764,Client,final_uav_1,nan,nan,56939,7260.25,3.55,27.07,41.88,0.0,41.88,0.0,nan
2023/06/27 07:38:28.795,Client,final_uav_1,nan,nan,56940,7253.45,3.71,27.82,41.88,0.0,41.88,0.52,nan
2023/06/27 07:38:28.825,Client,final_uav_1,nan,nan,56941,7264.88,3.14,27.31,42.72,0.0,42.72,0.0,nan
2023/06/27 07:38:28.856,Client,final_uav_1,nan,nan,56942,7281.71,4.96,28.82,42.01,0.0,42.01,0.0,nan
2023/06/27 07:38:28.886,Client,final_uav_1,nan,nan,56943,7296.22,3.47,26.51,42.76,0.0,42.76,0.0,nan
2023/06/27 07:38:28.916,Client,final_uav_1,nan,nan,56944,7308.0,4.25,26.93,42.6,0.0,42.6,0.0,nan
2023/06/27 07:38:28.949,Client,final_uav_1,nan,nan,56945,7290.85,5.62,30.39,41.95,0.0,41.95,0.0,nan
2023/06/27 07:38:28.980,Client,final_uav_1,nan,nan,56946,7278.47,5.5,26.73,42.79,0.0,42.79,0.55,nan
2023/06/27 07:38:29.007,Client,final_uav_1,nan,nan,56947,7209.68,3.49,24.24,40.53,0.0,40.53,0.0,nan
2023/06/27 07:38:29.041,Client,final_uav_1,nan,nan,56948,7228.2,4.83,29.3,42.7,0.0,42.7,0.52,nan
2023/06/27 07:38:29.070,Client,final_uav_1,nan,nan,56949,7202.58,4.8,25.71,41.84,0.0,41.84,0.52,nan
2023/06/27 07:38:29.100,Client,final_uav_1,nan,nan,56950,7198.09,3.11,26.56,42.53,0.0,42.53,0.0,nan
2023/06/27 07:38:29.131,Client,final_uav_1,nan,nan,56951,7206.01,4.35,28.23,43.37,0.0,43.37,0.54,nan
2023/06/27 07:38:29.160,Client,final_uav_1,nan,nan,56952,7217.02,3.3,26.43,43.24,0.0,43.24,0.0,nan
2023/06/27 07:38:29.193,Client,final_uav_1,nan,nan,56953,7195.03,3.99,29.65,42.56,0.0,42.56,0.55,nan
2023/06/27 07:38:29.221,Client,final_uav_1,nan,nan,56954,7207.44,3.58,26.0,42.74,0.0,42.74,0.0,nan
2023/06/27 07:38:29.251,Client,final_uav_1,nan,nan,56955,7189.63,2.78,28.21,42.94,0.0,42.94,1.0,nan
2023/06/27 07:38:29.283,Client,final_uav_1,nan,nan,56956,7176.07,3.69,28.91,42.91,0.0,42.91,0.0,nan
2023/06/27 07:38:29.313,Client,final_uav_1,nan,nan,56957,7136.68,3.15,26.46,42.44,0.0,42.44,0.0,nan
2023/06/27 07:38:29.344,Client,final_uav_1,nan,nan,56958,7096.66,4.66,28.5,42.76,0.0,42.76,0.0,nan
2023/06/27 07:38:29.374,Client,final_uav_1,nan,nan,56959,7074.36,3.26,27.09,43.34,0.0,43.34,0.0,nan
2023/06/27 07:38:29.405,Client,final_uav_1,nan,nan,56960,7094.11,3.97,28.51,42.76,0.0,42.76,0.0,nan
2023/06/27 07:38:29.436,Client,final_uav_1,nan,nan,56961,7075.75,3.81,27.31,43.2,0.0,43.2,0.0,nan
2023/06/27 07:38:29.466,Client,final_uav_1,nan,nan,56962,7077.06,4.1,26.34,43.2,0.0,43.2,0.0,nan
2023/06/27 07:38:29.496,Client,final_uav_1,nan,nan,56963,7071.43,2.99,28.89,42.22,0.0,42.22,0.99,nan
2023/06/27 07:38:29.528,Client,final_uav_1,nan,nan,56964,7073.32,4.08,28.0,42.22,0.0,42.22,0.0,nan
