asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/27 00:38:22.084,CloudExecutor,preprocessed,result,2,43180,847.65,-21.78,210921.88,307.33,113.3,0.32,7.55,25830
2023/06/27 00:38:22.201,CloudExecutor,preprocessed,result,5,43181,852.38,61.29,92.29,307.33,114.61,0.32,5.97,25831
2023/06/27 00:38:22.329,CloudExecutor,preprocessed,result,6,43182,951.56,79.51,95.53,307.33,118.62,0.32,11.18,25832
2023/06/27 00:38:22.450,CloudExecutor,preprocessed,result,10,43183,923.21,107.75,92.89,307.33,115.55,0.32,12.56,25833
2023/06/27 00:38:22.565,CloudExecutor,preprocessed,result,12,43185,975.49,35.87,85.45,307.33,112.36,0.32,12.08,25834
2023/06/27 00:38:22.681,CloudExecutor,preprocessed,result,15,43186,995.56,57.89,101.71,307.33,112.76,0.32,11.72,25835
2023/06/27 00:38:22.793,CloudExecutor,preprocessed,result,17,43187,1081.95,71.28,92.49,307.33,110.3,0.32,10.09,25836
2023/06/27 00:38:22.913,CloudExecutor,preprocessed,result,18,43188,1176.97,91.3,92.95,307.33,114.47,0.32,11.7,25837
2023/06/27 00:38:23.029,CloudExecutor,preprocessed,result,20,43189,1202.26,115.37,92.8,307.33,113.99,0.32,10.05,25838
2023/06/27 00:38:23.150,CloudExecutor,preprocessed,result,23,43191,1209.29,45.0,87.45,307.33,114.37,0.32,12.62,25839
2023/06/27 00:38:23.261,CloudExecutor,preprocessed,result,26,43192,1214.54,64.96,91.63,307.33,111.54,0.32,8.98,25840
2023/06/27 00:38:23.381,CloudExecutor,preprocessed,result,27,43193,1310.7,86.07,91.46,307.33,111.05,0.32,14.71,25841
2023/06/27 00:38:23.501,CloudExecutor,preprocessed,result,34,43194,1068.83,108.81,92.49,307.33,118.98,0.32,11.54,25842
2023/06/27 00:38:23.613,CloudExecutor,preprocessed,result,37,43196,1131.28,44.43,93.84,307.33,111.49,0.32,8.59,25843
2023/06/27 00:38:23.733,CloudExecutor,preprocessed,result,38,43197,1217.47,64.58,87.83,307.33,116.32,0.32,8.51,25844
2023/06/27 00:38:23.853,CloudExecutor,preprocessed,result,41,43198,1253.03,91.58,95.65,307.33,115.89,0.32,8.95,25845
2023/06/27 00:38:23.981,CloudExecutor,preprocessed,result,42,43199,1352.96,117.17,90.73,307.33,122.5,0.32,10.6,25846
