asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/27 00:38:22.244,LocalExecutor2,input,result,1,44713,812.8,813.99,77927.75,11.28,337.78,40.73,7.87,65930
2023/06/27 00:38:22.284,LocalExecutor2,input,result,9,44718,905.98,852.43,84.27,11.21,39.7,41.67,5.04,65932
2023/06/27 00:38:22.327,LocalExecutor2,input,result,13,44719,776.92,777.28,77.0,11.37,40.09,41.86,4.54,65933
2023/06/27 00:38:22.365,LocalExecutor2,input,result,14,44720,782.34,782.68,35.9,11.37,33.87,41.86,4.46,65934
2023/06/27 00:38:22.398,LocalExecutor2,input,result,16,44721,785.41,784.73,42.7,11.36,33.05,41.99,2.88,65936
2023/06/27 00:38:22.471,LocalExecutor2,input,result,19,44722,778.24,779.08,83.51,11.33,29.3,41.94,3.28,65937
2023/06/27 00:38:22.591,LocalExecutor2,input,result,22,44723,758.0,758.92,118.59,11.02,28.42,40.52,4.09,65939
2023/06/27 00:38:22.669,LocalExecutor2,input,result,24,44724,769.3,769.59,80.79,11.37,27.85,41.83,3.16,65941
2023/06/27 00:38:22.722,LocalExecutor2,input,result,25,44725,785.41,785.52,49.44,11.51,30.06,42.52,3.27,65943
2023/06/27 00:38:22.801,LocalExecutor2,input,result,28,44726,772.97,773.51,84.05,11.49,26.24,42.54,2.95,65944
2023/06/27 00:38:22.860,LocalExecutor2,input,result,29,44727,814.35,785.55,58.05,11.49,27.69,42.73,2.71,65946
2023/06/27 00:38:22.926,LocalExecutor2,input,result,30,44728,834.99,797.2,68.67,11.53,25.05,42.92,2.63,65947
2023/06/27 00:38:22.995,LocalExecutor2,input,result,31,44729,856.94,794.63,67.33,11.6,26.47,42.9,2.88,65949
2023/06/27 00:38:23.051,LocalExecutor2,input,result,32,44730,843.34,781.87,55.01,11.47,26.73,42.42,3.1,65950
2023/06/27 00:38:23.105,LocalExecutor2,input,result,33,44731,822.94,778.02,49.81,11.54,30.63,42.74,2.98,65952
2023/06/27 00:38:23.156,LocalExecutor2,input,result,35,44732,812.34,783.26,54.37,11.53,26.76,42.74,3.2,65953
2023/06/27 00:38:23.218,LocalExecutor2,input,result,39,44733,761.51,762.14,62.33,11.38,26.87,42.2,2.6,65955
2023/06/27 00:38:23.260,LocalExecutor2,input,result,40,44734,775.04,775.34,42.51,11.38,26.32,42.2,2.79,65956
2023/06/27 00:38:23.364,LocalExecutor2,input,result,44,44735,743.72,744.2,98.6,11.54,29.39,42.45,4.2,65958
2023/06/27 00:38:23.407,LocalExecutor2,input,result,46,44736,742.06,742.45,47.25,11.47,26.18,42.39,3.6,65959
2023/06/27 00:38:23.595,LocalExecutor2,input,result,50,44737,749.16,749.5,187.05,10.97,27.21,39.88,3.31,65962
2023/06/27 00:38:23.759,LocalExecutor2,input,result,53,44738,776.69,777.79,165.03,11.55,27.51,42.6,2.72,65964
2023/06/27 00:38:23.967,LocalExecutor2,input,result,57,44739,778.55,778.64,203.8,11.52,29.3,41.89,3.91,65967
2023/06/27 00:38:24.032,LocalExecutor2,input,result,59,44740,765.16,765.97,68.25,11.53,27.88,42.13,2.98,65969
2023/06/27 00:38:24.094,LocalExecutor2,input,result,60,44741,792.92,793.97,62.95,11.54,26.57,42.21,3.0,65970
2023/06/27 00:38:24.190,LocalExecutor2,input,result,64,44742,747.21,747.33,96.19,11.46,25.39,42.06,3.08,65972
2023/06/27 00:38:24.237,LocalExecutor2,input,result,65,44743,776.43,765.56,48.03,11.53,24.93,42.36,2.82,65973
2023/06/27 00:38:24.301,LocalExecutor2,input,result,66,44744,819.68,787.29,60.2,11.41,26.34,41.95,4.06,65975
2023/06/27 00:38:24.380,LocalExecutor2,input,result,70,44745,751.37,752.09,78.05,11.59,27.38,42.66,3.94,65977
2023/06/27 00:38:24.419,LocalExecutor2,input,result,71,44746,771.36,771.78,38.6,11.59,28.74,42.66,3.26,65978
2023/06/27 00:38:24.483,LocalExecutor2,input,result,73,44747,805.71,793.27,65.98,11.59,25.82,42.17,3.32,65980
2023/06/27 00:38:24.561,LocalExecutor2,input,result,75,44748,821.69,808.68,80.24,11.56,25.13,41.95,2.74,65981
2023/06/27 00:38:24.641,LocalExecutor2,input,result,77,44749,840.52,807.86,79.09,10.03,25.71,36.05,2.61,65983
2023/06/27 00:38:24.690,LocalExecutor2,input,result,78,44750,843.43,770.74,43.02,10.9,28.16,39.93,5.07,65984
2023/06/27 00:38:24.720,LocalExecutor2,input,result,79,44751,791.94,761.23,33.53,11.38,28.53,41.14,3.0,65985
2023/06/27 00:38:24.787,LocalExecutor2,input,result,80,44752,819.52,795.91,65.35,11.55,25.67,42.09,6.5,65987
2023/06/27 00:38:24.825,LocalExecutor2,input,result,81,44753,829.96,769.78,41.28,11.54,25.91,42.13,3.09,65988
2023/06/27 00:38:24.892,LocalExecutor2,input,result,84,44754,796.51,796.81,66.39,11.65,26.82,42.42,3.08,65990
2023/06/27 00:38:24.970,LocalExecutor2,input,result,87,44755,773.58,773.0,78.03,11.51,26.2,41.88,3.24,65992
2023/06/27 00:38:25.050,LocalExecutor2,input,result,88,44756,810.77,811.15,80.9,11.49,25.5,41.82,2.86,65993
2023/06/27 00:38:25.091,LocalExecutor2,input,result,90,44757,784.61,761.57,38.9,11.52,27.28,42.04,2.78,65995
2023/06/27 00:38:25.203,LocalExecutor2,input,result,92,44758,851.75,823.09,111.98,11.51,27.49,41.96,3.08,65997
