asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/27 07:38:22.116,LocalForwarder,preprocessed,preprocessed,2,45010,868.12,8.26,116982.64,307.36,0.01,307.36,131.37,43180
2023/06/27 07:38:22.209,LocalForwarder,preprocessed,preprocessed,5,45011,791.47,6.39,31.48,307.36,0.01,307.36,191.15,43181
2023/06/27 07:38:22.306,LocalForwarder,preprocessed,preprocessed,6,45012,815.73,4.67,40.72,307.36,0.01,307.36,244.59,43182
2023/06/27 07:38:22.400,LocalForwarder,preprocessed,preprocessed,10,45013,765.68,4.21,41.53,307.36,0.01,307.36,238.45,43183
2023/06/27 07:38:22.494,LocalForwarder,preprocessed,preprocessed,11,45014,809.37,5.18,14.67,307.36,0.01,307.36,265.53,43184
2023/06/27 07:38:22.597,LocalForwarder,preprocessed,preprocessed,12,45015,850.89,20.28,2.08,307.36,0.03,307.36,282.45,43185
2023/06/27 07:38:22.691,LocalForwarder,preprocessed,preprocessed,15,45016,848.88,74.2,2.56,307.36,0.01,307.36,283.01,43186
2023/06/27 07:38:22.785,LocalForwarder,preprocessed,preprocessed,17,45017,910.79,117.16,0.45,307.36,0.01,307.36,285.14,43187
2023/06/27 07:38:22.879,LocalForwarder,preprocessed,preprocessed,18,45018,997.96,127.32,3.55,307.36,0.01,307.36,273.36,43188
2023/06/27 07:38:22.974,LocalForwarder,preprocessed,preprocessed,20,45019,995.45,136.56,0.36,307.36,0.01,307.36,277.24,43189
2023/06/27 07:38:23.072,LocalForwarder,preprocessed,preprocessed,21,45020,1034.16,202.7,3.86,307.36,0.01,307.36,276.98,43190
2023/06/27 07:38:23.165,LocalForwarder,preprocessed,preprocessed,23,45021,1073.27,223.99,0.39,307.36,0.01,307.36,280.62,43191
2023/06/27 07:38:23.258,LocalForwarder,preprocessed,preprocessed,26,45022,1055.51,270.95,0.34,307.36,0.01,307.36,278.32,43192
