asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/27 07:38:22.250,LocalForwarder2,result,result,2,25830,1127.59,166.89,116757.42,0.32,0.01,0.32,5.9,65931
2023/06/27 07:38:22.366,LocalForwarder2,result,result,5,25831,1136.63,168.52,117.51,0.32,0.01,0.32,2.78,65935
2023/06/27 07:38:22.484,LocalForwarder2,result,result,6,25832,1235.98,164.96,116.47,0.32,0.01,0.32,2.51,65938
2023/06/27 07:38:22.606,LocalForwarder2,result,result,10,25833,1204.73,165.29,117.05,0.32,0.01,0.32,4.35,65940
2023/06/27 07:38:22.721,LocalForwarder2,result,result,12,25834,1254.25,165.66,113.71,0.32,0.01,0.32,2.97,65942
2023/06/27 07:38:22.836,LocalForwarder2,result,result,15,25835,1273.85,165.2,113.41,0.32,0.01,0.32,2.71,65945
2023/06/27 07:38:22.951,LocalForwarder2,result,result,17,25836,1358.32,165.65,112.43,0.32,0.01,0.32,2.98,65948
2023/06/27 07:38:23.069,LocalForwarder2,result,result,18,25837,1457.3,165.62,115.78,0.32,0.01,0.32,2.75,65951
2023/06/27 07:38:23.185,LocalForwarder2,result,result,20,25838,1481.27,164.35,114.78,0.32,0.01,0.32,2.58,65954
2023/06/27 07:38:23.305,LocalForwarder2,result,result,23,25839,1490.44,166.15,118.05,0.32,0.01,0.32,3.09,65957
2023/06/27 07:38:23.418,LocalForwarder2,result,result,26,25840,1492.13,165.53,111.9,0.32,0.01,0.32,2.26,65960
2023/06/27 07:38:23.545,LocalForwarder2,result,result,27,25841,1594.17,171.54,118.88,0.32,0.01,0.32,6.52,65961
2023/06/27 07:38:23.655,LocalForwarder2,result,result,34,25842,1352.88,164.84,112.98,0.32,0.01,0.32,2.55,65963
2023/06/27 07:38:23.770,LocalForwarder2,result,result,37,25843,1408.12,165.26,113.59,0.32,0.01,0.32,2.36,65965
2023/06/27 07:38:23.890,LocalForwarder2,result,result,38,25844,1499.1,164.19,118.08,0.32,0.01,0.32,2.45,65966
