asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/27 07:38:21.981,LocalPreprocessor,input,preprocessed,2,45479,843.59,844.63,113813.13,11.17,14.44,307.36,5.43,45010
2023/06/27 07:38:22.017,LocalPreprocessor,input,preprocessed,5,45480,780.82,780.77,49.58,11.5,3.25,307.36,5.07,45011
2023/06/27 07:38:22.060,LocalPreprocessor,input,preprocessed,6,45481,806.14,773.16,44.05,11.49,3.73,307.36,3.66,45012
2023/06/27 07:38:22.161,LocalPreprocessor,input,preprocessed,10,45482,756.69,757.23,101.39,11.25,3.73,307.36,3.42,45013
2023/06/27 07:38:22.228,LocalPreprocessor,input,preprocessed,11,45483,801.01,801.84,67.11,11.25,2.99,307.36,3.53,45014
2023/06/27 07:38:22.297,LocalPreprocessor,input,preprocessed,12,45484,826.35,792.71,69.23,11.31,3.57,307.36,3.23,45015
2023/06/27 07:38:22.338,LocalPreprocessor,input,preprocessed,15,45485,770.57,770.89,39.67,11.39,3.59,307.36,4.22,45016
2023/06/27 07:38:22.386,LocalPreprocessor,input,preprocessed,17,45486,789.04,776.36,48.14,11.36,4.06,307.36,3.42,45017
2023/06/27 07:38:22.483,LocalPreprocessor,input,preprocessed,18,45487,865.09,823.54,95.32,11.32,4.7,307.36,3.89,45018
2023/06/27 07:38:22.564,LocalPreprocessor,input,preprocessed,20,45488,854.33,809.44,81.49,11.33,3.71,307.36,3.91,45019
2023/06/27 07:38:22.601,LocalPreprocessor,input,preprocessed,21,45489,827.34,792.85,32.75,8.76,3.54,307.36,7.39,45020
2023/06/27 07:38:22.664,LocalPreprocessor,input,preprocessed,23,45490,845.04,796.96,68.75,11.4,3.28,307.36,3.43,45021
2023/06/27 07:38:22.712,LocalPreprocessor,input,preprocessed,26,45491,780.09,780.49,47.71,11.51,4.14,307.36,3.37,45022
2023/06/27 07:38:22.814,LocalPreprocessor,input,preprocessed,27,45492,864.12,829.48,102.47,11.48,3.34,307.36,3.28,45023
2023/06/27 07:38:23.048,LocalPreprocessor,input,preprocessed,34,45493,740.75,740.72,233.4,11.53,3.68,307.36,3.57,45024
2023/06/27 07:38:23.100,LocalPreprocessor,input,preprocessed,36,45494,746.68,747.15,51.07,11.52,4.02,307.36,3.75,45025
2023/06/27 07:38:23.154,LocalPreprocessor,input,preprocessed,37,45495,785.76,785.9,53.41,11.52,3.76,307.36,3.47,45026
2023/06/27 07:38:23.211,LocalPreprocessor,input,preprocessed,38,45496,815.18,786.34,58.6,11.52,2.86,307.36,3.44,45027
2023/06/27 07:38:23.247,LocalPreprocessor,input,preprocessed,41,45497,765.34,765.89,33.97,11.45,4.35,307.36,3.33,45028
2023/06/27 07:38:23.307,LocalPreprocessor,input,preprocessed,42,45498,804.8,787.0,59.39,11.4,5.04,307.36,3.61,45029
2023/06/27 07:38:23.368,LocalPreprocessor,input,preprocessed,43,45499,840.61,785.57,57.76,11.54,3.31,307.36,7.31,45030
2023/06/27 07:38:23.414,LocalPreprocessor,input,preprocessed,45,45500,808.81,778.69,50.33,11.47,3.37,307.36,3.43,45031
2023/06/27 07:38:23.483,LocalPreprocessor,input,preprocessed,47,45501,827.61,796.96,69.02,11.45,3.59,307.36,2.98,45032
2023/06/27 07:38:23.540,LocalPreprocessor,input,preprocessed,48,45502,833.07,783.41,55.72,11.45,3.48,307.36,4.13,45033
2023/06/27 07:38:23.600,LocalPreprocessor,input,preprocessed,49,45503,834.08,788.42,60.82,8.69,3.65,307.36,3.41,45034
2023/06/27 07:38:23.678,LocalPreprocessor,input,preprocessed,51,45504,837.38,806.39,79.95,11.34,3.14,307.36,2.97,45035
2023/06/27 07:38:23.748,LocalPreprocessor,input,preprocessed,52,45505,858.64,796.67,68.02,11.45,3.18,307.36,3.58,45036
2023/06/27 07:38:23.840,LocalPreprocessor,input,preprocessed,54,45506,845.26,796.33,91.31,11.55,3.69,307.36,3.33,45037
2023/06/27 07:38:23.882,LocalPreprocessor,input,preprocessed,55,45507,820.6,770.72,42.46,11.64,4.14,307.36,3.11,45038
2023/06/27 07:38:23.966,LocalPreprocessor,input,preprocessed,56,45508,842.37,808.93,81.69,11.6,4.23,307.36,3.78,45039
2023/06/27 07:38:24.032,LocalPreprocessor,input,preprocessed,58,45509,819.3,791.4,63.71,11.52,4.25,307.36,7.54,45040
2023/06/27 07:38:24.084,LocalPreprocessor,input,preprocessed,61,45510,791.46,792.27,56.82,11.51,3.63,307.36,3.47,45041
2023/06/27 07:38:24.133,LocalPreprocessor,input,preprocessed,62,45511,807.59,775.39,48.99,11.51,2.89,307.36,3.68,45042
2023/06/27 07:38:24.195,LocalPreprocessor,input,preprocessed,63,45512,815.91,787.12,60.11,11.42,3.46,307.36,3.91,45043
2023/06/27 07:38:24.258,LocalPreprocessor,input,preprocessed,67,45513,756.08,756.64,64.82,11.58,3.25,307.36,3.38,45044
2023/06/27 07:38:24.320,LocalPreprocessor,input,preprocessed,68,45514,804.05,792.63,61.44,11.58,3.2,307.36,3.21,45045
2023/06/27 07:38:24.379,LocalPreprocessor,input,preprocessed,69,45515,844.06,785.52,58.02,11.52,3.21,307.36,3.65,45046
2023/06/27 07:38:24.423,LocalPreprocessor,input,preprocessed,72,45516,786.42,775.23,43.49,11.52,3.44,307.36,3.56,45047
2023/06/27 07:38:24.497,LocalPreprocessor,input,preprocessed,74,45517,828.3,787.79,75.66,11.59,3.06,307.36,3.06,45048
2023/06/27 07:38:24.575,LocalPreprocessor,input,preprocessed,76,45518,839.52,802.83,77.95,8.62,2.6,307.36,3.13,45049
2023/06/27 07:38:24.795,LocalPreprocessor,input,preprocessed,82,45519,745.1,744.93,210.44,11.64,3.69,307.36,9.08,45050
2023/06/27 07:38:24.849,LocalPreprocessor,input,preprocessed,83,45520,792.69,792.98,63.36,11.56,2.8,307.36,3.5,45051
2023/06/27 07:38:24.895,LocalPreprocessor,input,preprocessed,85,45521,785.76,771.08,43.92,11.6,4.68,307.36,3.52,45052
2023/06/27 07:38:24.965,LocalPreprocessor,input,preprocessed,86,45522,834.55,797.85,70.76,11.6,2.39,307.36,4.09,45053
2023/06/27 07:38:25.048,LocalPreprocessor,input,preprocessed,89,45523,812.39,812.74,81.74,11.49,3.46,307.36,4.19,45054
2023/06/27 07:38:25.128,LocalPreprocessor,input,preprocessed,91,45524,816.56,808.9,81.99,11.47,2.6,307.36,3.12,45055
2023/06/27 07:38:25.206,LocalPreprocessor,input,preprocessed,93,45525,841.71,804.08,75.8,11.53,4.16,307.36,3.39,45056
2023/06/27 07:38:25.265,LocalPreprocessor,input,preprocessed,94,45526,849.46,788.34,59.86,11.53,3.2,307.36,3.0,45057
2023/06/27 07:38:25.352,LocalPreprocessor,input,preprocessed,95,45527,865.42,811.58,84.36,11.5,4.15,307.36,4.6,45058
2023/06/27 07:38:25.392,LocalPreprocessor,input,preprocessed,98,45528,776.47,777.44,41.52,11.53,3.72,307.36,3.4,45059
2023/06/27 07:38:25.508,LocalPreprocessor,input,preprocessed,101,45529,766.94,767.67,113.36,11.49,3.3,307.36,6.41,45060
2023/06/27 07:38:25.567,LocalPreprocessor,input,preprocessed,103,45530,753.3,753.48,62.71,10.9,3.11,307.36,3.38,45061
2023/06/27 07:38:25.747,LocalPreprocessor,input,preprocessed,106,45531,763.66,763.81,180.28,11.44,3.1,307.36,3.25,45062
2023/06/27 07:38:25.948,LocalPreprocessor,input,preprocessed,110,45532,772.65,773.29,200.34,11.4,2.86,307.36,3.1,45063
2023/06/27 07:38:26.043,LocalPreprocessor,input,preprocessed,111,45533,829.07,828.49,96.11,11.45,2.58,307.36,2.97,45064
2023/06/27 07:38:26.082,LocalPreprocessor,input,preprocessed,113,45534,801.56,762.27,38.26,11.34,2.23,307.36,3.05,45065
2023/06/27 07:38:26.131,LocalPreprocessor,input,preprocessed,116,45535,743.87,744.54,47.5,11.37,3.09,307.36,3.79,45066
2023/06/27 07:38:26.215,LocalPreprocessor,input,preprocessed,118,45536,762.97,763.62,84.39,11.18,3.62,307.36,3.21,45067
2023/06/27 07:38:26.329,LocalPreprocessor,input,preprocessed,121,45537,776.77,777.52,114.21,11.34,3.0,307.36,3.36,45068
2023/06/27 07:38:26.399,LocalPreprocessor,input,preprocessed,122,45538,801.12,802.09,63.85,11.34,4.28,307.36,4.39,45069
2023/06/27 07:38:26.449,LocalPreprocessor,input,preprocessed,124,45539,794.35,780.77,53.02,11.19,2.94,307.36,6.12,45070
2023/06/27 07:38:26.524,LocalPreprocessor,input,preprocessed,125,45540,850.36,803.94,75.6,11.3,3.93,307.36,3.94,45071
2023/06/27 07:38:26.629,LocalPreprocessor,input,preprocessed,129,45541,780.26,780.47,106.85,11.23,2.68,307.36,3.35,45072
2023/06/27 07:38:26.682,LocalPreprocessor,input,preprocessed,130,45542,784.4,784.72,51.63,11.23,3.39,307.36,3.56,45073
2023/06/27 07:38:26.733,LocalPreprocessor,input,preprocessed,131,45543,813.84,779.07,51.77,11.47,2.71,307.36,3.93,45074
2023/06/27 07:38:26.830,LocalPreprocessor,input,preprocessed,134,45544,826.57,826.72,96.37,11.45,2.88,307.36,3.95,45075
2023/06/27 07:38:26.879,LocalPreprocessor,input,preprocessed,135,45545,831.5,775.71,48.5,11.45,4.06,307.36,3.19,45076
2023/06/27 07:38:26.938,LocalPreprocessor,input,preprocessed,136,45546,827.11,793.05,61.65,11.37,2.24,307.36,3.0,45077
2023/06/27 07:38:26.993,LocalPreprocessor,input,preprocessed,137,45547,840.87,781.65,53.45,11.4,2.8,307.36,3.41,45078
2023/06/27 07:38:27.046,LocalPreprocessor,input,preprocessed,138,45548,819.58,780.97,53.19,11.34,2.7,307.36,3.02,45079
2023/06/27 07:38:27.117,LocalPreprocessor,input,preprocessed,139,45549,838.12,794.14,66.99,11.39,3.51,307.36,5.77,45080
2023/06/27 07:38:27.191,LocalPreprocessor,input,preprocessed,140,45550,853.16,804.35,77.08,11.36,2.98,307.36,3.42,45081
2023/06/27 07:38:27.270,LocalPreprocessor,input,preprocessed,144,45551,775.12,774.34,79.0,11.37,3.39,307.36,3.1,45082
2023/06/27 07:38:27.342,LocalPreprocessor,input,preprocessed,145,45552,808.02,808.83,72.27,11.37,2.73,307.36,3.37,45083
2023/06/27 07:38:27.392,LocalPreprocessor,input,preprocessed,146,45553,800.73,776.66,49.28,11.4,2.64,307.36,3.24,45084
2023/06/27 07:38:27.453,LocalPreprocessor,input,preprocessed,147,45554,828.42,786.93,58.15,11.4,2.84,307.36,5.79,45085
2023/06/27 07:38:27.496,LocalPreprocessor,input,preprocessed,148,45555,827.7,773.61,46.86,11.37,2.36,307.36,3.29,45086
2023/06/27 07:38:27.533,LocalPreprocessor,input,preprocessed,149,45556,798.09,762.5,35.91,11.44,3.09,307.36,3.15,45087
2023/06/27 07:38:27.567,LocalPreprocessor,input,preprocessed,150,45557,787.49,762.08,34.34,10.26,3.08,307.36,2.99,45088
2023/06/27 07:38:27.653,LocalPreprocessor,input,preprocessed,151,45558,839.06,811.93,84.74,11.04,2.36,307.36,4.26,45089
2023/06/27 07:38:27.741,LocalPreprocessor,input,preprocessed,152,45559,889.25,810.76,83.29,11.31,3.47,307.36,7.12,45090
2023/06/27 07:38:27.815,LocalPreprocessor,input,preprocessed,154,45560,830.11,806.91,77.88,11.46,2.72,307.36,3.9,45091
2023/06/27 07:38:27.894,LocalPreprocessor,input,preprocessed,156,45561,863.02,808.54,81.03,11.44,2.42,307.36,3.14,45092
2023/06/27 07:38:27.993,LocalPreprocessor,input,preprocessed,158,45562,853.54,819.22,90.1,11.42,3.83,307.36,8.71,45093
2023/06/27 07:38:28.027,LocalPreprocessor,input,preprocessed,161,45563,773.79,774.65,39.7,11.37,3.82,307.36,3.7,45094
2023/06/27 07:38:28.151,LocalPreprocessor,input,preprocessed,162,45564,879.94,854.55,125.33,11.41,3.15,307.36,3.09,45095
2023/06/27 07:38:28.213,LocalPreprocessor,input,preprocessed,165,45565,817.24,788.56,61.06,11.37,4.06,307.36,3.18,45096
2023/06/27 07:38:28.300,LocalPreprocessor,input,preprocessed,167,45566,831.09,813.93,83.92,11.42,4.84,307.36,4.95,45097
