asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/27 00:36:40.402,MergerSorterProducer,None,None,None,-1,-1,4001.17,4001.17,0.06,0.01,0.06,0.02,None
2023/06/27 00:36:44.406,MergerSorterProducer,None,nan,nan,-1,-1,4000.35,4000.35,0.06,0.01,0.06,0.01,nan
2023/06/27 00:36:48.411,MergerSorterProducer,None,nan,nan,-1,-1,4000.85,4000.85,0.06,0.02,0.06,0.02,nan
2023/06/27 00:36:52.415,MergerSorterProducer,None,nan,nan,-1,-1,4000.46,4000.46,0.06,0.01,0.06,0.01,nan
2023/06/27 00:36:56.419,MergerSorterProducer,None,nan,nan,-1,-1,4000.71,4000.71,0.06,0.01,0.06,0.01,nan
2023/06/27 00:37:00.425,MergerSorterProducer,None,nan,nan,-1,-1,4000.68,4000.68,0.06,0.02,0.06,0.06,nan
2023/06/27 00:37:04.429,MergerSorterProducer,None,nan,nan,-1,-1,4001.12,4001.12,0.06,0.01,0.06,0.01,nan
2023/06/27 00:37:08.433,MergerSorterProducer,None,nan,nan,-1,-1,4000.95,4000.95,0.06,0.01,0.06,0.01,nan
2023/06/27 00:37:12.436,MergerSorterProducer,None,nan,nan,-1,-1,4000.56,4000.56,0.06,0.01,0.06,0.01,nan
2023/06/27 00:37:16.439,MergerSorterProducer,None,nan,nan,-1,-1,4000.31,4000.31,0.06,0.01,0.06,0.01,nan
2023/06/27 00:37:20.443,MergerSorterProducer,None,nan,nan,-1,-1,4001.08,4001.08,0.06,0.01,0.06,0.01,nan
2023/06/27 00:37:24.446,MergerSorterProducer,None,nan,nan,-1,-1,4000.17,4000.17,0.06,0.01,0.06,0.01,nan
2023/06/27 00:37:28.450,MergerSorterProducer,None,nan,nan,-1,-1,4000.97,4000.97,0.06,0.01,0.06,0.01,nan
2023/06/27 00:37:32.454,MergerSorterProducer,None,nan,nan,-1,-1,4001.29,4001.29,0.06,0.01,0.06,0.01,nan
2023/06/27 00:37:36.461,MergerSorterProducer,None,nan,nan,-1,-1,4001.93,4001.93,0.06,0.03,0.06,0.01,nan
2023/06/27 00:37:40.467,MergerSorterProducer,None,nan,nan,-1,-1,4001.6,4001.6,0.06,0.01,0.06,0.01,nan
2023/06/27 00:37:44.471,MergerSorterProducer,None,nan,nan,-1,-1,4000.74,4000.74,0.06,0.01,0.06,0.01,nan
