asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/27 07:15:30.501,LocalForwarder2,result,result,2,21817,1392.44,174.12,122135.04,0.32,0.01,0.32,5.56,52654
2023/06/27 07:15:30.621,LocalForwarder2,result,result,5,21818,1378.21,177.19,120.07,0.38,0.01,0.38,2.74,52656
2023/06/27 07:15:30.747,LocalForwarder2,result,result,6,21819,1488.64,171.59,124.25,0.38,0.01,0.38,2.64,52659
2023/06/27 07:15:30.866,LocalForwarder2,result,result,10,21820,1410.51,171.58,117.04,0.32,0.01,0.32,2.83,52662
2023/06/27 07:15:30.992,LocalForwarder2,result,result,11,21821,1513.48,171.85,124.12,0.38,0.01,0.38,2.31,52665
2023/06/27 07:15:31.109,LocalForwarder2,result,result,15,21822,1496.49,171.74,114.89,0.38,0.01,0.38,2.64,52668
2023/06/27 07:15:31.225,LocalForwarder2,result,result,17,21823,1565.2,171.64,114.95,0.32,0.01,0.32,2.29,52671
2023/06/27 07:15:31.348,LocalForwarder2,result,result,18,21824,1672.56,171.34,121.0,0.32,0.01,0.32,2.42,52674
2023/06/27 07:15:31.482,LocalForwarder2,result,result,20,21825,1704.26,173.71,124.24,0.38,0.01,0.38,9.04,52675
2023/06/27 07:15:31.591,LocalForwarder2,result,result,23,21826,1712.78,171.95,112.46,0.38,0.01,0.38,3.09,52678
2023/06/27 07:15:31.721,LocalForwarder2,result,result,26,21827,1733.31,177.08,128.83,0.38,0.01,0.38,2.41,52680
2023/06/27 07:15:31.836,LocalForwarder2,result,result,27,21828,1827.62,173.73,111.74,0.38,0.01,0.38,2.87,52681
2023/06/27 07:15:31.958,LocalForwarder2,result,result,34,21829,1648.65,171.99,120.33,0.32,0.01,0.32,3.26,52683
2023/06/27 07:15:32.073,LocalForwarder2,result,result,37,21830,1666.88,171.76,113.82,0.38,0.01,0.38,2.52,52685
2023/06/27 07:15:32.212,LocalForwarder2,result,result,38,21831,1769.35,177.08,121.71,0.38,0.02,0.38,10.59,52687
2023/06/27 07:15:32.321,LocalForwarder2,result,result,41,21832,1768.75,176.21,109.69,0.32,0.05,0.32,7.92,52689
2023/06/27 07:15:32.445,LocalForwarder2,result,result,42,21833,1872.27,180.45,114.86,0.32,0.1,0.32,5.19,52691
2023/06/27 07:15:32.562,LocalForwarder2,result,result,43,21834,1937.12,176.32,107.6,0.38,0.02,0.38,13.52,52694
2023/06/27 07:15:32.677,LocalForwarder2,result,result,45,21835,1955.09,179.4,115.39,0.38,0.02,0.38,8.3,52697
2023/06/27 07:15:32.786,LocalForwarder2,result,result,48,21836,1962.47,176.81,106.2,0.38,0.01,0.38,7.96,52700
