asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/19 13:14:38.788,UAVFrameProducer,None,input,1,-1,-1,0.0,2.0,921.74,0.0,921.76,892.09,0
2023/06/19 13:14:39.443,UAVFrameProducer,None,input,2,-1,-1,19.0,31.99,921.74,0.0,921.76,1513.14,1
2023/06/19 13:14:40.437,UAVFrameProducer,None,input,3,-1,-1,6.8,12.94,921.74,0.0,921.76,2488.79,2
2023/06/19 13:14:41.153,UAVFrameProducer,None,input,4,-1,-1,0.0,14.01,921.74,0.0,921.76,2323.8,3
2023/06/19 13:14:41.731,UAVFrameProducer,None,input,5,-1,-1,0.0,3.64,921.74,0.0,921.76,2233.56,4
2023/06/19 13:14:42.270,UAVFrameProducer,None,input,6,-1,-1,0.0,4.99,921.74,0.0,921.76,1812.66,5
2023/06/19 13:14:42.910,UAVFrameProducer,None,input,7,-1,-1,0.0,15.45,921.74,0.0,921.76,1736.93,6
2023/06/19 13:14:43.733,UAVFrameProducer,None,input,8,-1,-1,0.0,6.82,921.74,0.0,921.76,1982.09,7
2023/06/19 13:14:44.476,UAVFrameProducer,None,input,9,-1,-1,0.0,9.4,921.74,0.0,921.76,2178.83,8
2023/06/19 13:14:44.908,UAVFrameProducer,None,input,10,-1,-1,0.0,3.95,921.74,0.0,921.76,1978.44,9
2023/06/19 13:14:45.763,UAVFrameProducer,None,input,11,-1,-1,0.0,2.0,921.74,0.0,921.76,1998.7,10
2023/06/19 13:14:46.456,UAVFrameProducer,None,input,12,-1,-1,0.0,4.41,921.74,1.0,921.76,1952.37,11
2023/06/19 13:14:47.054,UAVFrameProducer,None,input,13,-1,-1,0.0,7.58,921.74,0.0,921.76,2132.39,12
2023/06/19 13:14:47.667,UAVFrameProducer,None,input,14,-1,-1,0.0,11.26,921.74,0.0,921.76,1881.42,13
2023/06/19 13:14:48.283,UAVFrameProducer,None,input,15,-1,-1,0.0,11.7,921.74,0.0,921.76,1807.39,14
2023/06/19 13:14:48.976,UAVFrameProducer,None,input,16,-1,-1,0.0,3.77,921.74,0.0,921.76,1896.87,15
2023/06/19 13:14:49.638,UAVFrameProducer,None,input,17,-1,-1,0.0,4.59,921.74,0.0,921.76,1957.19,16
2023/06/19 13:14:50.255,UAVFrameProducer,None,input,18,-1,-1,0.0,3.0,921.74,0.0,921.76,1945.52,17
2023/06/19 13:14:50.988,UAVFrameProducer,None,input,19,-1,-1,0.0,5.33,921.74,0.0,921.76,2000.93,18
2023/06/19 13:14:51.883,UAVFrameProducer,None,input,20,-1,-1,0.0,1.33,921.74,0.0,921.76,2216.32,19
2023/06/19 13:14:52.575,UAVFrameProducer,None,input,21,-1,-1,0.07,9.58,921.74,0.0,921.76,2300.3,20
2023/06/19 13:14:53.387,UAVFrameProducer,None,input,22,-1,-1,0.0,2.0,921.74,0.0,921.76,2366.32,21
2023/06/19 13:14:54.745,UAVFrameProducer,None,input,23,-1,-1,0.0,18.28,921.74,0.0,921.76,2824.25,22
2023/06/19 13:14:55.538,UAVFrameProducer,None,input,24,-1,-1,0.0,4.0,921.74,0.0,921.76,2926.49,23
2023/06/19 13:14:56.178,UAVFrameProducer,None,input,25,-1,-1,0.0,0.0,921.74,0.0,921.76,2762.99,24
2023/06/19 13:14:56.752,UAVFrameProducer,None,input,26,-1,-1,0.0,4.04,921.74,0.0,921.76,1996.08,25
2023/06/19 13:14:57.510,UAVFrameProducer,None,input,27,-1,-1,0.0,12.04,921.74,0.0,921.76,1954.69,26
2023/06/19 13:14:58.544,UAVFrameProducer,None,input,28,-1,-1,0.0,8.74,921.74,0.0,921.76,2341.49,27
2023/06/19 13:14:59.420,UAVFrameProducer,None,input,29,-1,-1,0.0,8.86,921.74,0.0,921.76,2643.22,28
2023/06/19 13:14:59.997,UAVFrameProducer,None,input,30,-1,-1,0.0,6.06,921.74,0.0,921.76,2466.33,29
2023/06/19 13:15:00.924,UAVFrameProducer,None,input,31,-1,-1,0.0,0.0,921.74,0.0,921.76,2365.67,30
2023/06/19 13:15:01.515,UAVFrameProducer,None,input,32,-1,-1,0.0,5.77,921.74,0.0,921.76,2073.91,31
2023/06/19 13:15:02.244,UAVFrameProducer,None,input,33,-1,-1,0.0,5.26,921.74,0.0,921.76,2222.76,32
2023/06/19 13:15:03.178,UAVFrameProducer,None,input,34,-1,-1,0.0,9.99,921.74,0.0,921.76,2232.56,33
2023/06/19 13:15:03.821,UAVFrameProducer,None,input,35,-1,-1,0.0,7.29,921.74,0.0,921.76,2290.13,34
2023/06/19 13:15:04.578,UAVFrameProducer,None,input,36,-1,-1,0.0,4.0,921.74,0.0,921.76,2317.92,35
2023/06/19 13:15:05.668,UAVFrameProducer,None,input,37,-1,-1,0.0,11.62,921.74,0.0,921.76,2469.17,36
2023/06/19 13:15:06.273,UAVFrameProducer,None,input,38,-1,-1,0.0,7.01,921.74,0.0,921.76,2411.7,37
2023/06/19 13:15:06.896,UAVFrameProducer,None,input,39,-1,-1,0.0,11.6,921.74,0.0,921.76,2298.59,38
2023/06/19 13:15:07.479,UAVFrameProducer,None,input,40,-1,-1,0.0,12.0,921.74,0.0,921.76,1779.73,39
2023/06/19 13:15:08.091,UAVFrameProducer,None,input,41,-1,-1,0.0,11.17,921.74,0.0,921.76,1801.58,40
2023/06/19 13:15:08.916,UAVFrameProducer,None,input,42,-1,-1,0.0,6.0,921.74,0.0,921.76,1997.79,41
2023/06/19 13:15:09.563,UAVFrameProducer,None,input,43,-1,-1,0.0,8.12,921.74,0.0,921.76,2065.74,42
2023/06/19 13:15:10.190,UAVFrameProducer,None,input,44,-1,-1,0.0,20.34,921.74,0.0,921.76,2075.57,43
2023/06/19 13:15:10.923,UAVFrameProducer,None,input,45,-1,-1,0.0,9.99,921.74,0.0,921.76,1991.93,44
2023/06/19 13:15:11.763,UAVFrameProducer,None,input,46,-1,-1,0.0,10.5,921.74,0.0,921.76,2171.1,45
2023/06/19 13:15:12.557,UAVFrameProducer,None,input,47,-1,-1,0.0,4.07,921.74,0.0,921.76,2352.43,46
2023/06/19 13:15:13.609,UAVFrameProducer,None,input,48,-1,-1,0.0,5.0,921.74,0.0,921.76,2652.63,47
2023/06/19 13:15:14.435,UAVFrameProducer,None,input,49,-1,-1,0.0,17.25,921.74,0.0,921.76,2651.08,48
2023/06/19 13:15:15.239,UAVFrameProducer,None,input,50,-1,-1,0.0,8.0,921.74,0.0,921.76,2663.08,49
2023/06/19 13:15:16.062,UAVFrameProducer,None,input,51,-1,-1,0.0,10.92,921.74,0.0,921.76,2436.8,50
2023/06/19 13:15:16.857,UAVFrameProducer,None,input,52,-1,-1,0.0,11.0,921.74,0.0,921.76,2393.49,51
2023/06/19 13:15:17.533,UAVFrameProducer,None,input,53,-1,-1,0.0,9.05,921.74,0.0,921.76,2277.74,52
2023/06/19 13:15:18.092,UAVFrameProducer,None,input,54,-1,-1,0.0,3.0,921.74,0.0,921.76,2006.81,53
2023/06/19 13:15:18.884,UAVFrameProducer,None,input,55,-1,-1,0.0,9.04,921.74,0.0,921.76,2008.37,54
2023/06/19 13:15:19.562,UAVFrameProducer,None,input,56,-1,-1,0.0,3.99,921.74,0.0,921.76,2015.49,55
2023/06/19 13:15:20.277,UAVFrameProducer,None,input,57,-1,-1,0.0,18.28,921.74,0.0,921.76,2156.65,56
2023/06/19 13:15:20.814,UAVFrameProducer,None,input,58,-1,-1,0.0,12.16,921.74,0.0,921.76,1899.44,57
2023/06/19 13:15:21.382,UAVFrameProducer,None,input,59,-1,-1,0.0,4.32,921.74,0.0,921.76,1800.99,58
2023/06/19 13:15:21.911,UAVFrameProducer,None,input,60,-1,-1,0.0,10.0,921.74,0.0,921.76,1614.57,59
2023/06/19 13:15:22.611,UAVFrameProducer,None,input,61,-1,-1,0.0,6.0,921.74,0.0,921.76,1777.73,60
2023/06/19 13:15:23.388,UAVFrameProducer,None,input,62,-1,-1,0.0,2.53,921.74,0.0,921.76,1963.31,61
2023/06/19 13:15:24.022,UAVFrameProducer,None,input,63,-1,-1,0.0,4.0,921.74,0.0,921.76,2098.55,62
2023/06/19 13:15:24.659,UAVFrameProducer,None,input,64,-1,-1,0.0,12.5,921.74,1.01,921.76,2028.19,63
2023/06/19 13:15:25.252,UAVFrameProducer,None,input,65,-1,-1,0.0,11.91,921.74,0.0,921.76,1850.03,64
2023/06/19 13:15:25.911,UAVFrameProducer,None,input,66,-1,-1,0.0,13.38,921.74,0.0,921.76,1872.12,65
2023/06/19 13:15:26.452,UAVFrameProducer,None,input,67,-1,-1,0.0,1.0,921.74,0.0,921.76,1778.13,66
2023/06/19 13:15:26.993,UAVFrameProducer,None,input,68,-1,-1,0.0,0.0,921.74,0.0,921.76,1725.44,67
2023/06/19 13:15:27.547,UAVFrameProducer,None,input,69,-1,-1,0.0,6.0,921.74,0.0,921.76,1627.87,68
2023/06/19 13:15:28.353,UAVFrameProducer,None,input,70,-1,-1,0.0,8.12,921.74,0.0,921.76,1875.31,69
2023/06/19 13:15:29.379,UAVFrameProducer,None,input,71,-1,-1,0.0,3.55,921.74,0.0,921.76,2375.59,70
2023/06/19 13:15:30.211,UAVFrameProducer,None,input,72,-1,-1,0.0,1.0,921.74,0.0,921.76,2655.19,71
2023/06/19 13:15:31.112,UAVFrameProducer,None,input,73,-1,-1,0.0,6.24,921.74,0.0,921.76,2731.38,72
2023/06/19 13:15:32.111,UAVFrameProducer,None,input,74,-1,-1,0.0,2.8,921.74,0.0,921.76,2682.81,73
2023/06/19 13:15:32.978,UAVFrameProducer,None,input,75,-1,-1,0.0,13.01,921.74,0.0,921.76,2745.22,74
2023/06/19 13:15:33.829,UAVFrameProducer,None,input,76,-1,-1,0.0,8.0,921.74,0.0,921.76,2696.25,75
2023/06/19 13:15:34.404,UAVFrameProducer,None,input,77,-1,-1,0.0,6.68,921.74,0.0,921.76,2280.8,76
2023/06/19 13:15:34.980,UAVFrameProducer,None,input,78,-1,-1,1.0,7.99,921.74,0.0,921.76,1985.63,77
2023/06/19 13:15:35.544,UAVFrameProducer,None,input,79,-1,-1,0.0,9.82,921.74,0.0,921.76,1694.73,78
2023/06/19 13:15:36.265,UAVFrameProducer,None,input,80,-1,-1,0.0,0.0,921.74,0.0,921.76,1851.02,79
2023/06/19 13:15:37.129,UAVFrameProducer,None,input,81,-1,-1,0.0,7.0,921.74,0.0,921.76,2128.67,80
2023/06/19 13:15:38.090,UAVFrameProducer,None,input,82,-1,-1,1.0,4.0,921.74,0.0,921.76,2470.36,81
