asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/19 22:14:12.241,UAVFrameProducer,None,input,1,-1,-1,0.0,2.0,120.14,0.0,240.16,1206.26,416
2023/06/19 22:14:12.373,UAVFrameProducer,None,input,2,-1,-1,17.0,28.0,120.14,0.0,240.16,1311.77,417
2023/06/19 22:14:12.696,UAVFrameProducer,None,input,3,-1,-1,14.0,15.99,120.14,0.99,240.16,1609.05,418
2023/06/19 22:14:12.899,UAVFrameProducer,None,input,4,-1,-1,0.0,9.0,120.14,0.0,240.16,641.72,419
2023/06/19 22:14:13.149,UAVFrameProducer,None,input,5,-1,-1,0.0,3.0,120.14,0.0,240.16,753.67,420
2023/06/19 22:14:13.317,UAVFrameProducer,None,input,6,-1,-1,0.0,3.0,120.14,0.0,240.16,603.82,421
2023/06/19 22:14:13.489,UAVFrameProducer,None,input,7,-1,-1,0.0,3.0,120.14,0.0,240.16,571.86,422
2023/06/19 22:14:13.625,UAVFrameProducer,None,input,8,-1,-1,0.0,3.21,120.14,0.0,240.16,459.69,423
2023/06/19 22:14:13.783,UAVFrameProducer,None,input,9,-1,-1,0.0,3.0,120.14,0.0,240.16,447.3,424
2023/06/19 22:14:14.075,UAVFrameProducer,None,input,10,-1,-1,0.0,4.01,120.14,0.0,240.16,567.21,425
2023/06/19 22:14:14.319,UAVFrameProducer,None,input,11,-1,-1,0.0,2.0,120.14,0.0,240.16,675.31,426
2023/06/19 22:14:14.567,UAVFrameProducer,None,input,12,-1,-1,0.0,3.0,120.14,0.0,240.16,769.13,427
2023/06/19 22:14:14.766,UAVFrameProducer,None,input,13,-1,-1,0.0,1.0,120.14,0.0,240.16,687.62,428
2023/06/19 22:14:14.981,UAVFrameProducer,None,input,14,-1,-1,0.0,3.0,120.14,0.0,240.16,646.61,429
2023/06/19 22:14:15.182,UAVFrameProducer,None,input,15,-1,-1,0.0,2.99,120.14,0.0,240.16,596.36,430
2023/06/19 22:14:15.384,UAVFrameProducer,None,input,16,-1,-1,0.0,1.98,120.14,0.0,240.16,599.3,431
2023/06/19 22:14:15.508,UAVFrameProducer,None,input,17,-1,-1,0.0,1.96,120.14,0.0,240.16,508.4,432
2023/06/19 22:14:15.666,UAVFrameProducer,None,input,18,-1,-1,0.0,1.98,120.14,0.0,240.16,464.98,433
2023/06/19 22:14:15.926,UAVFrameProducer,None,input,19,-1,-1,0.0,2.0,120.14,0.0,240.16,526.57,434
2023/06/19 22:14:16.129,UAVFrameProducer,None,input,20,-1,-1,0.0,1.96,120.14,0.0,240.16,605.01,435
2023/06/19 22:14:16.332,UAVFrameProducer,None,input,21,-1,-1,0.0,4.94,120.14,0.0,240.16,651.09,436
2023/06/19 22:14:16.769,UAVFrameProducer,None,input,22,-1,-1,0.0,2.0,120.14,0.0,240.16,823.99,437
2023/06/19 22:14:17.247,UAVFrameProducer,None,input,23,-1,-1,0.0,0.99,120.14,0.0,240.16,1083.34,438
2023/06/19 22:14:17.400,UAVFrameProducer,None,input,24,-1,-1,0.0,3.0,120.14,0.0,240.16,1051.51,439
2023/06/19 22:14:17.757,UAVFrameProducer,None,input,25,-1,-1,0.0,3.99,120.14,0.0,240.16,971.09,440
2023/06/19 22:14:17.894,UAVFrameProducer,None,input,26,-1,-1,0.0,0.98,120.14,0.0,240.16,616.33,441
2023/06/19 22:14:18.037,UAVFrameProducer,None,input,27,-1,-1,0.0,1.0,120.14,0.0,240.16,604.45,442
2023/06/19 22:14:18.238,UAVFrameProducer,None,input,28,-1,-1,0.0,2.0,120.14,1.01,240.16,465.15,443
2023/06/19 22:14:18.378,UAVFrameProducer,None,input,29,-1,-1,0.0,2.0,120.14,0.0,240.16,465.29,444
2023/06/19 22:14:18.516,UAVFrameProducer,None,input,30,-1,-1,0.0,1.99,120.14,0.0,240.16,459.34,445
2023/06/19 22:14:18.761,UAVFrameProducer,None,input,31,-1,-1,0.0,2.0,120.14,0.0,240.16,505.3,446
2023/06/19 22:14:18.995,UAVFrameProducer,None,input,32,-1,-1,0.0,2.01,120.14,0.0,240.16,600.53,447
2023/06/19 22:14:19.241,UAVFrameProducer,None,input,33,-1,-1,0.0,1.96,120.14,0.0,240.16,707.22,448
2023/06/19 22:14:19.487,UAVFrameProducer,None,input,34,-1,-1,0.0,2.0,120.14,0.0,240.16,709.59,449
2023/06/19 22:14:19.687,UAVFrameProducer,None,input,35,-1,-1,0.0,1.99,120.14,0.0,240.16,675.69,450
2023/06/19 22:14:19.965,UAVFrameProducer,None,input,36,-1,-1,0.0,1.97,120.14,0.0,240.16,707.37,451
2023/06/19 22:14:20.228,UAVFrameProducer,None,input,37,-1,-1,0.0,2.0,120.14,0.0,240.16,725.72,452
2023/06/19 22:14:20.367,UAVFrameProducer,None,input,38,-1,-1,0.0,2.0,120.14,0.0,240.16,663.75,453
2023/06/19 22:14:20.504,UAVFrameProducer,None,input,39,-1,-1,0.0,1.98,120.14,0.0,240.16,521.29,454
2023/06/19 22:14:20.644,UAVFrameProducer,None,input,40,-1,-1,0.0,2.0,120.14,0.0,240.16,397.17,455
2023/06/19 22:14:21.168,UAVFrameProducer,None,input,41,-1,-1,0.0,1.99,120.14,0.0,240.16,783.33,456
2023/06/19 22:14:21.400,UAVFrameProducer,None,input,42,-1,-1,0.0,0.98,120.14,0.0,240.16,879.18,457
2023/06/19 22:14:21.556,UAVFrameProducer,None,input,43,-1,-1,0.0,1.51,120.14,0.0,240.16,895.51,458
2023/06/19 22:14:21.710,UAVFrameProducer,None,input,44,-1,-1,0.0,1.97,120.14,0.0,240.16,523.95,459
2023/06/19 22:14:21.926,UAVFrameProducer,None,input,45,-1,-1,0.0,1.94,120.14,0.0,240.16,508.02,460
2023/06/19 22:14:22.112,UAVFrameProducer,None,input,46,-1,-1,0.0,3.0,120.14,0.0,240.16,537.86,461
2023/06/19 22:14:22.237,UAVFrameProducer,None,input,47,-1,-1,0.0,1.99,120.14,0.0,240.16,508.97,462
2023/06/19 22:14:22.392,UAVFrameProducer,None,input,48,-1,-1,0.0,2.02,120.14,0.0,240.16,447.69,463
2023/06/19 22:14:22.562,UAVFrameProducer,None,input,49,-1,-1,0.0,0.0,120.14,0.0,240.16,446.44,464
2023/06/19 22:14:22.700,UAVFrameProducer,None,input,50,-1,-1,0.0,1.96,120.14,0.0,240.16,446.7,465
2023/06/19 22:14:22.822,UAVFrameProducer,None,input,51,-1,-1,0.0,1.99,120.14,0.0,240.16,414.68,466
2023/06/19 22:14:22.945,UAVFrameProducer,None,input,52,-1,-1,0.0,3.01,120.14,0.0,240.16,366.03,467
2023/06/19 22:14:23.130,UAVFrameProducer,None,input,53,-1,-1,0.0,1.97,120.14,0.0,240.16,410.24,468
2023/06/19 22:14:23.423,UAVFrameProducer,None,input,54,-1,-1,0.0,2.01,120.14,0.0,240.16,584.88,469
2023/06/19 22:14:23.872,UAVFrameProducer,None,input,55,-1,-1,0.0,1.98,120.14,0.0,240.16,909.23,470
2023/06/19 22:14:24.848,UAVFrameProducer,None,input,56,-1,-1,0.0,1.98,120.14,0.0,240.16,1700.16,471
2023/06/19 22:14:25.621,UAVFrameProducer,None,input,57,-1,-1,0.0,1.98,120.14,0.0,240.16,2180.0,472
2023/06/19 22:14:25.760,UAVFrameProducer,None,input,58,-1,-1,0.0,2.51,120.14,0.0,240.16,1871.08,473
2023/06/19 22:14:25.916,UAVFrameProducer,None,input,59,-1,-1,0.0,0.93,120.14,0.0,240.16,1035.9,474
2023/06/19 22:14:26.055,UAVFrameProducer,None,input,60,-1,-1,0.0,2.0,120.14,0.0,240.16,417.28,475
2023/06/19 22:14:26.273,UAVFrameProducer,None,input,61,-1,-1,0.0,1.98,120.14,0.0,240.16,494.72,476
2023/06/19 22:14:26.412,UAVFrameProducer,None,input,62,-1,-1,0.0,1.94,120.14,0.0,240.16,479.1,477
2023/06/19 22:14:26.551,UAVFrameProducer,None,input,63,-1,-1,0.0,2.0,120.14,0.0,240.16,478.06,478
2023/06/19 22:14:26.860,UAVFrameProducer,None,input,64,-1,-1,0.0,2.0,120.14,0.0,240.16,570.6,479
2023/06/19 22:14:26.987,UAVFrameProducer,None,input,65,-1,-1,0.0,1.98,120.14,0.0,240.16,557.35,480
2023/06/19 22:14:27.140,UAVFrameProducer,None,input,66,-1,-1,0.0,2.0,120.14,0.0,240.16,569.96,481
2023/06/19 22:14:27.278,UAVFrameProducer,None,input,67,-1,-1,0.0,1.99,120.14,0.0,240.16,401.05,482
2023/06/19 22:14:27.418,UAVFrameProducer,None,input,68,-1,-1,0.0,0.99,120.14,0.0,240.16,393.98,483
2023/06/19 22:14:27.542,UAVFrameProducer,None,input,69,-1,-1,0.0,2.0,120.14,0.0,240.16,386.58,484
2023/06/19 22:14:27.685,UAVFrameProducer,None,input,70,-1,-1,0.0,1.99,120.14,0.0,240.16,388.73,485
2023/06/19 22:14:27.812,UAVFrameProducer,None,input,71,-1,-1,0.0,0.99,120.14,1.0,240.16,357.64,486
2023/06/19 22:14:27.967,UAVFrameProducer,None,input,72,-1,-1,0.0,2.0,120.14,0.0,240.16,405.09,487
2023/06/19 22:14:28.087,UAVFrameProducer,None,input,73,-1,-1,0.0,2.98,120.14,0.0,240.16,383.38,488
2023/06/19 22:14:28.207,UAVFrameProducer,None,input,74,-1,-1,0.0,8.0,120.14,0.0,240.16,375.61,489
2023/06/19 22:14:28.363,UAVFrameProducer,None,input,75,-1,-1,0.0,7.0,120.14,0.0,240.16,376.25,490
2023/06/19 22:14:28.496,UAVFrameProducer,None,input,76,-1,-1,0.0,5.0,120.14,0.0,240.16,399.25,491
2023/06/19 22:14:28.651,UAVFrameProducer,None,input,77,-1,-1,0.0,2.7,120.14,0.0,240.16,424.52,492
2023/06/19 22:14:28.774,UAVFrameProducer,None,input,78,-1,-1,0.0,9.0,120.14,0.0,240.16,388.4,493
2023/06/19 22:14:28.912,UAVFrameProducer,None,input,79,-1,-1,0.0,3.01,120.14,0.0,240.16,398.19,494
2023/06/19 22:14:29.034,UAVFrameProducer,None,input,80,-1,-1,0.0,2.99,120.14,0.0,240.16,366.34,495
2023/06/19 22:14:29.220,UAVFrameProducer,None,input,81,-1,-1,0.0,2.0,120.14,0.0,240.16,430.47,496
2023/06/19 22:14:29.944,UAVFrameProducer,None,input,82,-1,-1,0.0,2.02,120.14,0.0,240.16,1016.38,497
2023/06/19 22:14:30.395,UAVFrameProducer,None,input,83,-1,-1,0.0,2.0,120.14,0.0,240.16,1341.55,498
2023/06/19 22:14:30.770,UAVFrameProducer,None,input,84,-1,-1,0.0,1.59,120.14,0.0,240.16,1528.95,499
2023/06/19 22:14:30.938,UAVFrameProducer,None,input,85,-1,-1,0.0,2.0,120.14,0.0,240.16,973.36,500
2023/06/19 22:14:31.092,UAVFrameProducer,None,input,86,-1,-1,0.0,4.99,120.14,0.0,240.16,677.99,501
2023/06/19 22:14:31.232,UAVFrameProducer,None,input,87,-1,-1,0.0,6.02,120.14,0.0,240.16,447.21,502
2023/06/19 22:14:31.386,UAVFrameProducer,None,input,88,-1,-1,0.0,5.0,120.14,0.0,240.16,427.93,503
2023/06/19 22:14:31.540,UAVFrameProducer,None,input,89,-1,-1,0.0,4.99,120.14,0.0,240.16,428.95,504
2023/06/19 22:14:31.675,UAVFrameProducer,None,input,90,-1,-1,0.0,2.01,120.14,0.0,240.16,409.68,505
2023/06/19 22:14:31.814,UAVFrameProducer,None,input,91,-1,-1,0.0,4.0,120.14,0.0,240.16,410.97,506
2023/06/19 22:14:31.937,UAVFrameProducer,None,input,92,-1,-1,0.0,3.0,120.14,0.0,240.16,378.97,507
2023/06/19 22:14:32.060,UAVFrameProducer,None,input,93,-1,-1,0.0,2.53,120.14,0.0,240.16,366.3,508
2023/06/19 22:14:32.199,UAVFrameProducer,None,input,94,-1,-1,0.0,3.0,120.14,0.0,240.16,368.01,509
2023/06/19 22:14:32.337,UAVFrameProducer,None,input,95,-1,-1,0.0,1.97,120.14,0.0,240.16,382.95,510
2023/06/19 22:14:32.473,UAVFrameProducer,None,input,96,-1,-1,0.0,2.0,120.14,0.0,240.16,395.53,511
2023/06/19 22:14:32.594,UAVFrameProducer,None,input,97,-1,-1,0.0,1.96,120.14,0.0,240.16,377.68,512
2023/06/19 22:14:32.735,UAVFrameProducer,None,input,98,-1,-1,0.0,2.03,120.14,0.0,240.16,380.54,513
2023/06/19 22:14:32.861,UAVFrameProducer,None,input,99,-1,-1,0.0,3.0,120.14,0.0,240.16,368.82,514
2023/06/19 22:14:32.983,UAVFrameProducer,None,input,100,-1,-1,0.0,2.0,120.14,0.0,240.16,371.92,515
2023/06/19 22:14:33.123,UAVFrameProducer,None,input,101,-1,-1,0.0,1.01,120.14,0.0,240.16,356.0,516
2023/06/19 22:14:33.278,UAVFrameProducer,None,input,102,-1,-1,0.0,3.0,120.14,0.0,240.16,400.97,517
2023/06/19 22:14:33.417,UAVFrameProducer,None,input,103,-1,-1,0.0,2.99,120.14,0.0,240.16,416.9,518
2023/06/19 22:14:33.941,UAVFrameProducer,None,input,104,-1,-1,0.0,2.0,120.14,0.0,240.16,799.65,519
2023/06/19 22:14:34.187,UAVFrameProducer,None,input,105,-1,-1,0.0,1.99,120.14,0.0,240.16,892.65,520
2023/06/19 22:14:34.308,UAVFrameProducer,None,input,106,-1,-1,0.0,3.0,120.14,0.0,240.16,873.84,521
2023/06/19 22:14:34.663,UAVFrameProducer,None,input,107,-1,-1,0.0,1.99,120.14,0.0,240.16,706.81,522
2023/06/19 22:14:34.818,UAVFrameProducer,None,input,108,-1,-1,0.0,3.0,120.14,0.0,240.16,615.35,523
2023/06/19 22:14:34.941,UAVFrameProducer,None,input,109,-1,-1,0.0,3.0,120.14,0.0,240.16,614.56,524
2023/06/19 22:14:35.079,UAVFrameProducer,None,input,110,-1,-1,0.0,2.0,120.14,0.0,240.16,396.76,525
2023/06/19 22:14:35.218,UAVFrameProducer,None,input,111,-1,-1,0.0,3.0,120.14,0.0,240.16,382.52,526
2023/06/19 22:14:35.339,UAVFrameProducer,None,input,112,-1,-1,0.0,3.0,120.14,0.0,240.16,380.8,527
2023/06/19 22:14:35.463,UAVFrameProducer,None,input,113,-1,-1,0.0,2.0,120.14,0.0,240.16,367.11,528
2023/06/19 22:14:35.602,UAVFrameProducer,None,input,114,-1,-1,0.0,4.0,120.14,0.0,240.16,368.36,529
2023/06/19 22:14:35.709,UAVFrameProducer,None,input,115,-1,-1,0.0,1.99,120.14,0.0,240.16,353.02,530
2023/06/19 22:14:35.861,UAVFrameProducer,None,input,116,-1,-1,0.0,1.99,120.14,0.0,240.16,381.89,531
2023/06/19 22:14:35.988,UAVFrameProducer,None,input,117,-1,-1,0.0,1.98,120.14,0.0,240.16,367.38,532
2023/06/19 22:14:36.124,UAVFrameProducer,None,input,118,-1,-1,0.0,2.02,120.14,0.0,240.16,398.35,533
2023/06/19 22:14:36.263,UAVFrameProducer,None,input,119,-1,-1,0.0,1.98,120.14,0.0,240.16,383.41,534
2023/06/19 22:14:36.403,UAVFrameProducer,None,input,120,-1,-1,0.0,5.01,120.14,1.0,240.16,399.9,535
2023/06/19 22:14:36.560,UAVFrameProducer,None,input,121,-1,-1,0.0,2.0,120.14,0.0,240.16,417.45,536
2023/06/19 22:14:36.697,UAVFrameProducer,None,input,122,-1,-1,0.0,2.02,120.14,0.0,240.16,418.27,537
2023/06/19 22:14:36.839,UAVFrameProducer,None,input,123,-1,-1,0.0,2.0,120.14,0.0,240.16,419.92,538
2023/06/19 22:14:36.995,UAVFrameProducer,None,input,124,-1,-1,0.0,1.99,120.14,0.0,240.16,417.21,539
2023/06/19 22:14:37.130,UAVFrameProducer,None,input,125,-1,-1,0.0,1.99,120.14,0.0,240.16,412.51,540
2023/06/19 22:14:37.236,UAVFrameProducer,None,input,126,-1,-1,0.0,3.0,120.14,0.0,240.16,363.0,541
2023/06/19 22:14:37.366,UAVFrameProducer,None,input,127,-1,-1,0.0,8.0,120.14,0.0,240.16,347.44,542
2023/06/19 22:14:37.500,UAVFrameProducer,None,input,128,-1,-1,0.0,6.0,120.14,0.0,240.16,348.45,543
2023/06/19 22:14:37.634,UAVFrameProducer,None,input,129,-1,-1,0.0,0.0,120.14,0.0,240.16,388.6,544
2023/06/19 22:14:37.771,UAVFrameProducer,None,input,130,-1,-1,0.0,7.99,120.14,0.0,240.16,388.11,545
2023/06/19 22:14:37.910,UAVFrameProducer,None,input,131,-1,-1,0.0,6.0,120.14,0.0,240.16,389.06,546
2023/06/19 22:14:38.051,UAVFrameProducer,None,input,132,-1,-1,0.0,1.0,120.14,0.0,240.16,399.44,547
2023/06/19 22:14:38.175,UAVFrameProducer,None,input,133,-1,-1,0.0,2.02,120.14,0.0,240.16,385.96,548
2023/06/19 22:14:38.298,UAVFrameProducer,None,input,134,-1,-1,0.0,1.97,120.14,0.0,240.16,369.05,549
2023/06/19 22:14:38.438,UAVFrameProducer,None,input,135,-1,-1,0.0,2.96,120.14,0.0,240.16,368.65,550
2023/06/19 22:14:38.576,UAVFrameProducer,None,input,136,-1,-1,0.0,1.92,120.14,0.0,240.16,382.72,551
2023/06/19 22:14:38.716,UAVFrameProducer,None,input,137,-1,-1,0.0,1.99,120.14,0.0,240.16,399.81,552
2023/06/19 22:14:38.852,UAVFrameProducer,None,input,138,-1,-1,0.0,2.0,120.14,0.0,240.16,396.85,553
2023/06/19 22:14:38.977,UAVFrameProducer,None,input,139,-1,-1,0.0,2.02,120.14,0.0,240.16,383.11,554
2023/06/19 22:14:39.084,UAVFrameProducer,None,input,140,-1,-1,0.0,2.99,120.14,0.0,240.16,351.63,555
2023/06/19 22:14:39.224,UAVFrameProducer,None,input,141,-1,-1,0.0,0.98,120.14,0.0,240.16,337.95,556
2023/06/19 22:14:39.347,UAVFrameProducer,None,input,142,-1,-1,0.0,3.0,120.14,0.0,240.16,354.17,557
2023/06/19 22:14:39.486,UAVFrameProducer,None,input,143,-1,-1,0.0,2.0,120.14,0.0,240.16,384.21,558
2023/06/19 22:14:39.609,UAVFrameProducer,None,input,144,-1,-1,0.0,2.08,120.14,0.0,240.16,367.44,559
2023/06/19 22:14:39.731,UAVFrameProducer,None,input,145,-1,-1,0.0,1.98,120.14,0.0,240.16,366.78,560
2023/06/19 22:14:40.024,UAVFrameProducer,None,input,146,-1,-1,0.0,2.98,120.14,0.0,240.16,521.67,561
