asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/25 23:59:39.642,Client,final_uav_1,None,None,2215,543.94,1935.47,116528.59,53.63,0.0,53.63,0.0,None
2023/06/25 23:59:39.667,Client,final_uav_1,nan,nan,2216,235.58,1920.47,18.01,53.11,0.0,53.11,0.0,nan
2023/06/25 23:59:39.697,Client,final_uav_1,nan,nan,2217,192.93,1917.82,24.43,53.58,0.0,53.58,0.0,nan
2023/06/25 23:59:39.732,Client,final_uav_1,nan,nan,2218,166.0,1913.47,25.0,53.78,0.0,53.78,0.32,nan
2023/06/25 23:59:39.789,Client,final_uav_1,nan,nan,2219,163.01,1915.49,51.97,53.48,0.0,53.48,0.0,nan
2023/06/25 23:59:39.839,Client,final_uav_1,nan,nan,2220,143.01,1909.48,40.0,40.58,0.0,40.58,0.75,nan
2023/06/25 23:59:39.921,Client,final_uav_1,nan,nan,2221,173.3,1909.78,77.3,50.61,0.0,50.61,0.0,nan
2023/06/25 23:59:39.971,Client,final_uav_1,nan,nan,2222,171.27,1912.77,46.55,52.67,0.0,52.67,1.04,nan
2023/06/25 23:59:40.000,Client,final_uav_1,nan,nan,2223,136.3,1910.78,26.2,53.19,0.0,53.19,1.16,nan
2023/06/25 23:59:40.052,Client,final_uav_1,nan,nan,2224,126.0,1910.78,47.0,52.77,0.0,52.77,0.0,nan
2023/06/25 23:59:40.109,Client,final_uav_1,nan,nan,2225,151.01,1914.79,45.72,53.16,0.0,53.16,0.0,nan
2023/06/25 23:59:40.170,Client,final_uav_1,nan,nan,2226,155.0,1908.78,56.72,53.48,0.0,53.48,0.67,nan
2023/06/25 23:59:40.227,Client,final_uav_1,nan,nan,2227,160.01,1911.78,46.01,53.46,0.0,53.46,1.47,nan
2023/06/25 23:59:40.609,Client,final_uav_1,nan,nan,2228,473.52,1974.3,376.6,53.3,0.0,53.3,0.0,nan
2023/06/25 23:59:40.665,Client,final_uav_1,nan,nan,2229,478.08,1966.85,51.56,53.33,0.0,53.33,1.0,nan
2023/06/25 23:59:40.716,Client,final_uav_1,nan,nan,2230,460.04,1910.82,46.82,53.17,0.0,53.17,1.0,nan
2023/06/25 23:59:40.752,Client,final_uav_1,nan,nan,2231,162.65,1910.94,31.82,53.56,0.0,53.56,0.0,nan
2023/06/25 23:59:40.796,Client,final_uav_1,nan,nan,2232,136.31,1910.16,38.29,53.51,0.0,53.51,0.0,nan
2023/06/25 23:59:40.864,Client,final_uav_1,nan,nan,2233,151.36,1915.18,66.02,40.23,0.0,40.23,0.0,nan
2023/06/25 23:59:40.899,Client,final_uav_1,nan,nan,2234,137.59,1910.44,27.93,52.41,0.0,52.41,0.0,nan
2023/06/25 23:59:40.939,Client,final_uav_1,nan,nan,2235,115.43,1909.95,35.62,52.98,0.0,52.98,0.85,nan
