asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/25 23:59:39.225,UAVFrameProducer,None,input,1,-1,-1,0.0,0.0,921.74,1.0,15.49,130.94,2233
2023/06/25 23:59:39.269,UAVFrameProducer,None,input,2,-1,-1,15.99,34.0,921.74,0.0,15.34,148.96,2234
2023/06/25 23:59:39.315,UAVFrameProducer,None,input,3,-1,-1,25.44,10.04,921.74,0.0,15.33,149.99,2235
2023/06/25 23:59:39.363,UAVFrameProducer,None,input,4,-1,-1,0.0,5.0,921.74,0.0,15.37,114.02,2236
2023/06/25 23:59:39.403,UAVFrameProducer,None,input,5,-1,-1,0.0,2.0,921.74,0.0,15.39,108.01,2237
2023/06/25 23:59:39.469,UAVFrameProducer,None,input,6,-1,-1,0.0,2.7,921.74,1.0,15.36,124.02,2238
2023/06/25 23:59:39.541,UAVFrameProducer,None,input,7,-1,-1,0.0,4.0,921.74,0.0,15.4,156.0,2239
2023/06/25 23:59:39.601,UAVFrameProducer,None,input,8,-1,-1,0.0,10.0,921.74,0.0,15.36,169.58,2240
2023/06/25 23:59:39.654,UAVFrameProducer,None,input,9,-1,-1,0.0,13.0,921.74,0.5,15.47,150.92,2241
2023/06/25 23:59:39.725,UAVFrameProducer,None,input,10,-1,-1,0.0,6.0,921.74,1.0,15.49,161.0,2242
2023/06/25 23:59:39.771,UAVFrameProducer,None,input,11,-1,-1,0.0,5.01,921.74,0.0,15.51,146.19,2243
2023/06/25 23:59:39.837,UAVFrameProducer,None,input,12,-1,-1,0.0,4.0,921.74,0.0,12.08,145.76,2244
2023/06/25 23:59:39.903,UAVFrameProducer,None,input,13,-1,-1,0.0,2.0,921.74,0.94,14.69,154.0,2245
2023/06/25 23:59:39.933,UAVFrameProducer,None,input,14,-1,-1,0.0,3.0,921.74,0.0,15.23,133.3,2246
2023/06/25 23:59:39.985,UAVFrameProducer,None,input,15,-1,-1,0.0,7.0,921.74,0.0,15.38,121.3,2247
2023/06/25 23:59:40.040,UAVFrameProducer,None,input,16,-1,-1,1.01,6.96,921.74,0.0,15.3,116.0,2248
2023/06/25 23:59:40.106,UAVFrameProducer,None,input,17,-1,-1,0.0,5.0,921.74,0.0,15.39,153.01,2249
2023/06/25 23:59:40.160,UAVFrameProducer,None,input,18,-1,-1,0.0,3.31,921.74,0.0,15.4,146.0,2250
2023/06/25 23:59:40.229,UAVFrameProducer,None,input,19,-1,-1,0.0,2.49,921.74,0.0,15.44,165.3,2251
2023/06/25 23:59:40.527,UAVFrameProducer,None,input,20,-1,-1,0.0,5.99,921.74,0.0,15.41,392.47,2252
2023/06/25 23:59:40.624,UAVFrameProducer,None,input,21,-1,-1,0.0,4.03,921.74,0.0,15.39,437.65,2253
2023/06/25 23:59:40.681,UAVFrameProducer,None,input,22,-1,-1,0.0,6.53,921.74,0.0,15.35,425.48,2254
2023/06/25 23:59:40.739,UAVFrameProducer,None,input,23,-1,-1,0.0,12.22,921.74,0.0,15.45,150.41,2255
2023/06/25 23:59:40.800,UAVFrameProducer,None,input,24,-1,-1,0.0,2.11,921.74,0.0,15.43,142.31,2256
2023/06/25 23:59:40.833,UAVFrameProducer,None,input,25,-1,-1,0.0,4.78,921.74,0.0,11.98,119.54,2257
2023/06/25 23:59:40.879,UAVFrameProducer,None,input,26,-1,-1,0.0,3.93,921.74,0.0,15.13,118.03,2258
2023/06/25 23:59:40.936,UAVFrameProducer,None,input,27,-1,-1,0.0,4.0,921.74,0.0,15.29,111.28,2259
2023/06/25 23:59:40.995,UAVFrameProducer,None,input,28,-1,-1,0.0,4.0,921.74,0.0,15.39,137.61,2260
2023/06/25 23:59:41.039,UAVFrameProducer,None,input,29,-1,-1,0.0,5.34,921.74,0.0,15.45,130.9,2261
2023/06/25 23:59:41.098,UAVFrameProducer,None,input,30,-1,-1,0.0,6.41,921.74,0.0,15.4,135.71,2262
2023/06/25 23:59:41.169,UAVFrameProducer,None,input,31,-1,-1,0.0,5.0,921.74,0.0,15.33,152.24,2263
2023/06/25 23:59:41.255,UAVFrameProducer,None,input,32,-1,-1,0.0,4.01,921.74,0.0,15.35,195.05,2264
2023/06/25 23:59:41.323,UAVFrameProducer,None,input,33,-1,-1,0.0,3.0,921.74,0.0,15.38,179.46,2265
2023/06/25 23:59:41.384,UAVFrameProducer,None,input,34,-1,-1,0.0,3.0,921.74,0.0,15.36,184.19,2266
2023/06/25 23:59:41.441,UAVFrameProducer,None,input,35,-1,-1,0.0,5.97,921.74,0.0,15.38,156.92,2267
2023/06/25 23:59:41.504,UAVFrameProducer,None,input,36,-1,-1,0.0,3.99,921.74,0.0,15.37,155.87,2268
2023/06/25 23:59:41.548,UAVFrameProducer,None,input,37,-1,-1,0.0,4.0,921.74,0.0,15.33,141.43,2269
2023/06/25 23:59:41.619,UAVFrameProducer,None,input,38,-1,-1,0.0,7.0,921.74,0.0,15.32,148.38,2270
2023/06/25 23:59:41.692,UAVFrameProducer,None,input,39,-1,-1,0.0,7.52,921.74,0.0,15.35,154.74,2271
2023/06/25 23:59:41.771,UAVFrameProducer,None,input,40,-1,-1,0.0,15.99,921.74,0.0,15.35,204.99,2272
2023/06/25 23:59:41.813,UAVFrameProducer,None,input,41,-1,-1,0.0,13.86,921.74,0.0,15.37,169.39,2273
2023/06/25 23:59:41.895,UAVFrameProducer,None,input,42,-1,-1,0.0,5.97,921.74,0.0,16.05,168.59,2274
2023/06/25 23:59:41.930,UAVFrameProducer,None,input,43,-1,-1,0.0,6.55,921.74,0.0,17.12,140.25,2275
2023/06/25 23:59:41.988,UAVFrameProducer,None,input,44,-1,-1,0.0,3.93,921.74,0.0,17.38,143.13,2276
2023/06/25 23:59:42.037,UAVFrameProducer,None,input,45,-1,-1,0.0,0.74,921.74,0.0,17.23,117.8,2277
2023/06/25 23:59:42.168,UAVFrameProducer,None,input,46,-1,-1,0.0,4.98,921.74,0.0,17.02,217.41,2278
2023/06/25 23:59:42.264,UAVFrameProducer,None,input,47,-1,-1,0.0,7.2,921.74,0.0,16.75,248.23,2279
2023/06/25 23:59:42.314,UAVFrameProducer,None,input,48,-1,-1,0.0,8.0,921.74,0.0,16.51,240.6,2280
2023/06/25 23:59:42.396,UAVFrameProducer,None,input,49,-1,-1,0.0,10.01,921.74,0.0,16.29,156.95,2281
2023/06/25 23:59:42.432,UAVFrameProducer,None,input,50,-1,-1,0.0,3.0,921.74,0.0,16.67,143.16,2282
2023/06/25 23:59:42.466,UAVFrameProducer,None,input,51,-1,-1,0.0,1.99,921.74,0.0,16.93,86.03,2283
2023/06/25 23:59:42.532,UAVFrameProducer,None,input,52,-1,-1,0.0,5.17,921.74,0.0,17.16,108.93,2284
2023/06/25 23:59:42.570,UAVFrameProducer,None,input,53,-1,-1,0.0,13.09,921.74,0.0,17.17,117.82,2285
2023/06/25 23:59:42.635,UAVFrameProducer,None,input,54,-1,-1,0.0,5.0,921.74,0.0,17.12,135.0,2286
2023/06/25 23:59:42.680,UAVFrameProducer,None,input,55,-1,-1,0.0,9.23,921.74,0.0,17.12,120.01,2287
2023/06/25 23:59:42.741,UAVFrameProducer,None,input,56,-1,-1,0.0,3.0,921.74,0.0,17.09,146.0,2288
2023/06/25 23:59:42.813,UAVFrameProducer,None,input,57,-1,-1,0.0,0.0,921.74,0.0,16.99,156.45,2289
2023/06/25 23:59:42.860,UAVFrameProducer,None,input,58,-1,-1,0.0,5.0,921.74,0.0,14.71,153.97,2290
2023/06/25 23:59:42.921,UAVFrameProducer,None,input,59,-1,-1,0.0,3.12,921.74,0.0,15.95,157.85,2291
2023/06/25 23:59:42.999,UAVFrameProducer,None,input,60,-1,-1,0.0,2.27,921.74,0.0,16.2,154.48,2292
2023/06/25 23:59:43.068,UAVFrameProducer,None,input,61,-1,-1,0.0,4.0,921.74,0.0,16.39,181.94,2293
2023/06/25 23:59:43.121,UAVFrameProducer,None,input,62,-1,-1,0.0,13.91,921.74,0.0,16.33,163.11,2294
2023/06/25 23:59:43.189,UAVFrameProducer,None,input,63,-1,-1,0.0,12.76,921.74,0.0,16.36,139.45,2295
2023/06/25 23:59:43.279,UAVFrameProducer,None,input,64,-1,-1,0.0,4.06,921.74,0.0,16.46,187.04,2296
2023/06/25 23:59:43.352,UAVFrameProducer,None,input,65,-1,-1,0.0,3.0,921.74,0.0,16.44,204.49,2297
2023/06/25 23:59:43.428,UAVFrameProducer,None,input,66,-1,-1,0.0,10.0,921.74,0.0,16.39,190.29,2298
2023/06/25 23:59:43.514,UAVFrameProducer,None,input,67,-1,-1,0.0,7.0,921.74,0.0,16.32,202.94,2299
2023/06/25 23:59:43.623,UAVFrameProducer,None,input,68,-1,-1,0.0,4.0,921.74,0.0,16.36,244.32,2300
2023/06/25 23:59:43.674,UAVFrameProducer,None,input,69,-1,-1,0.0,6.92,921.74,0.0,16.47,195.96,2301
2023/06/25 23:59:43.767,UAVFrameProducer,None,input,70,-1,-1,0.0,1.84,921.74,0.0,16.44,176.8,2302
2023/06/25 23:59:43.837,UAVFrameProducer,None,input,71,-1,-1,0.0,4.1,921.74,0.0,16.64,190.27,2303
2023/06/25 23:59:43.901,UAVFrameProducer,None,input,72,-1,-1,0.0,5.16,921.74,0.0,14.95,188.36,2304
2023/06/25 23:59:43.963,UAVFrameProducer,None,input,73,-1,-1,0.0,13.37,921.74,0.0,16.23,155.41,2305
2023/06/25 23:59:44.018,UAVFrameProducer,None,input,74,-1,-1,0.0,6.84,921.74,0.0,16.5,150.55,2306
2023/06/25 23:59:44.121,UAVFrameProducer,None,input,75,-1,-1,0.0,9.96,921.74,0.0,16.52,172.29,2307
2023/06/25 23:59:44.164,UAVFrameProducer,None,input,76,-1,-1,0.0,4.3,921.74,0.0,16.55,178.99,2308
2023/06/25 23:59:44.244,UAVFrameProducer,None,input,77,-1,-1,0.0,2.0,921.74,0.0,16.58,199.5,2309
2023/06/25 23:59:44.343,UAVFrameProducer,None,input,78,-1,-1,0.0,26.95,921.74,0.0,16.58,193.61,2310
2023/06/25 23:59:44.436,UAVFrameProducer,None,input,79,-1,-1,0.0,2.65,921.74,0.0,16.53,216.5,2311
2023/06/25 23:59:44.509,UAVFrameProducer,None,input,80,-1,-1,0.0,5.21,921.74,0.0,16.46,206.45,2312
2023/06/25 23:59:44.594,UAVFrameProducer,None,input,81,-1,-1,0.0,3.8,921.74,0.0,16.46,180.1,2313
2023/06/25 23:59:44.646,UAVFrameProducer,None,input,82,-1,-1,0.72,3.66,921.74,0.0,16.46,157.28,2314
2023/06/25 23:59:44.712,UAVFrameProducer,None,input,83,-1,-1,0.0,5.43,921.74,0.0,16.49,180.69,2315
2023/06/25 23:59:44.774,UAVFrameProducer,None,input,84,-1,-1,0.0,9.64,921.74,0.0,16.43,139.28,2316
2023/06/25 23:59:44.861,UAVFrameProducer,None,input,85,-1,-1,0.0,3.07,921.74,0.0,12.99,186.99,2317
2023/06/25 23:59:44.905,UAVFrameProducer,None,input,86,-1,-1,0.0,3.57,921.74,0.0,15.71,166.78,2318
2023/06/25 23:59:45.006,UAVFrameProducer,None,input,87,-1,-1,0.0,14.66,921.74,0.0,16.11,166.6,2319
2023/06/25 23:59:45.069,UAVFrameProducer,None,input,88,-1,-1,0.0,3.01,921.74,0.0,16.49,187.73,2320
2023/06/25 23:59:45.139,UAVFrameProducer,None,input,89,-1,-1,0.0,2.78,921.74,0.0,16.54,159.71,2321
2023/06/25 23:59:45.213,UAVFrameProducer,None,input,90,-1,-1,0.0,4.26,921.74,0.0,16.5,189.66,2322
2023/06/25 23:59:45.268,UAVFrameProducer,None,input,91,-1,-1,0.0,11.48,921.74,0.0,16.54,142.73,2323
2023/06/25 23:59:45.327,UAVFrameProducer,None,input,92,-1,-1,0.0,4.16,921.74,0.0,16.52,128.59,2324
2023/06/25 23:59:45.420,UAVFrameProducer,None,input,93,-1,-1,0.0,4.0,921.74,0.0,16.5,160.43,2325
2023/06/25 23:59:45.484,UAVFrameProducer,None,input,94,-1,-1,0.0,3.0,921.74,0.0,16.54,187.5,2326
2023/06/25 23:59:45.562,UAVFrameProducer,None,input,95,-1,-1,0.0,11.0,921.74,0.0,16.54,173.13,2327
2023/06/25 23:59:45.640,UAVFrameProducer,None,input,96,-1,-1,0.11,4.29,921.74,0.0,16.5,196.42,2328
2023/06/25 23:59:45.683,UAVFrameProducer,None,input,97,-1,-1,0.0,18.0,921.74,0.0,16.5,166.06,2329
2023/06/25 23:59:45.730,UAVFrameProducer,None,input,98,-1,-1,0.0,14.0,921.74,0.0,16.61,109.49,2330
2023/06/25 23:59:45.783,UAVFrameProducer,None,input,99,-1,-1,0.0,5.0,921.74,0.0,13.01,120.52,2331
2023/06/25 23:59:45.834,UAVFrameProducer,None,input,100,-1,-1,0.0,2.99,921.74,0.0,14.81,126.04,2332
2023/06/25 23:59:45.867,UAVFrameProducer,None,input,101,-1,-1,0.0,5.01,921.74,0.0,15.81,109.49,2333
2023/06/25 23:59:45.941,UAVFrameProducer,None,input,102,-1,-1,0.0,6.22,921.74,0.0,16.37,123.49,2334
2023/06/25 23:59:46.042,UAVFrameProducer,None,input,103,-1,-1,0.0,13.64,921.74,0.0,16.41,196.86,2335
2023/06/25 23:59:46.104,UAVFrameProducer,None,input,104,-1,-1,0.0,3.0,921.74,0.0,16.57,199.74,2336
2023/06/25 23:59:46.179,UAVFrameProducer,None,input,105,-1,-1,0.0,18.58,921.74,0.0,16.52,187.69,2337
2023/06/25 23:59:46.254,UAVFrameProducer,None,input,106,-1,-1,0.0,2.46,921.74,0.0,16.66,190.25,2338
2023/06/25 23:59:46.308,UAVFrameProducer,None,input,107,-1,-1,0.0,8.87,921.74,0.0,16.47,170.35,2339
2023/06/25 23:59:46.367,UAVFrameProducer,None,input,108,-1,-1,0.0,6.55,921.74,0.0,16.54,155.29,2340
2023/06/25 23:59:46.429,UAVFrameProducer,None,input,109,-1,-1,0.0,6.6,921.74,0.0,16.56,142.01,2341
2023/06/25 23:59:46.467,UAVFrameProducer,None,input,110,-1,-1,0.0,3.99,921.74,0.0,16.52,130.72,2342
2023/06/25 23:59:46.546,UAVFrameProducer,None,input,111,-1,-1,0.0,4.85,921.74,0.0,16.52,144.65,2343
2023/06/25 23:59:46.617,UAVFrameProducer,None,input,112,-1,-1,0.0,4.69,921.74,0.0,16.5,158.66,2344
2023/06/25 23:59:46.681,UAVFrameProducer,None,input,113,-1,-1,0.0,3.45,921.74,0.0,16.52,168.74,2345
