asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 01:30:40.457,UAVFrameProducer,None,input,1,-1,-1,0.0,1.21,230.54,0.0,8.27,1247.81,12267
2023/06/26 01:30:40.798,UAVFrameProducer,None,input,2,-1,-1,19.56,34.55,230.54,0.0,8.27,1566.05,12268
2023/06/26 01:30:41.833,UAVFrameProducer,None,input,3,-1,-1,19.09,3.0,230.54,0.0,8.31,2578.45,12269
2023/06/26 01:30:42.685,UAVFrameProducer,None,input,4,-1,-1,0.0,2.75,230.54,0.0,8.37,2189.33,12270
2023/06/26 01:30:43.235,UAVFrameProducer,None,input,5,-1,-1,0.0,8.63,230.54,0.0,8.33,2417.84,12271
2023/06/26 01:30:43.654,UAVFrameProducer,None,input,6,-1,-1,0.0,5.32,230.54,0.0,8.25,1804.74,12272
2023/06/26 01:30:44.133,UAVFrameProducer,None,input,7,-1,-1,0.0,7.53,230.54,0.0,8.22,1418.18,12273
2023/06/26 01:30:44.296,UAVFrameProducer,None,input,8,-1,-1,0.0,10.27,230.54,0.0,8.21,1026.88,12274
2023/06/26 01:30:44.651,UAVFrameProducer,None,input,9,-1,-1,0.0,3.53,230.54,0.0,8.19,965.36,12275
2023/06/26 01:30:44.980,UAVFrameProducer,None,input,10,-1,-1,0.0,5.79,230.54,0.0,8.13,834.86,12276
2023/06/26 01:30:45.310,UAVFrameProducer,None,input,11,-1,-1,0.0,7.3,230.54,0.0,8.18,995.09,12277
2023/06/26 01:30:45.782,UAVFrameProducer,None,input,12,-1,-1,0.0,8.08,230.54,0.0,8.19,1114.28,12278
2023/06/26 01:30:45.954,UAVFrameProducer,None,input,13,-1,-1,0.0,15.75,230.54,0.0,8.21,961.85,12279
2023/06/26 01:30:46.320,UAVFrameProducer,None,input,14,-1,-1,0.0,14.92,230.54,0.0,8.16,991.16,12280
2023/06/26 01:30:46.416,UAVFrameProducer,None,input,15,-1,-1,0.0,12.55,230.54,0.0,8.32,611.02,12281
2023/06/26 01:30:46.419,UAVFrameProducer,None,input,16,-1,-1,0.0,9.89,230.54,0.0,7.87,449.93,12282
2023/06/26 01:30:48.551,UAVFrameProducer,None,input,17,-1,-1,11.81,2.35,230.54,0.0,7.99,2566.27,12283
2023/06/26 01:30:48.555,UAVFrameProducer,None,input,18,-1,-1,0.0,2.9,230.54,0.0,8.2,2202.86,12284
2023/06/26 01:30:48.803,UAVFrameProducer,None,input,19,-1,-1,11.0,18.39,230.54,0.0,8.2,2431.49,12285
2023/06/26 01:30:49.595,UAVFrameProducer,None,input,20,-1,-1,0.0,14.21,230.54,0.0,8.13,3164.31,12287
2023/06/26 01:30:49.864,UAVFrameProducer,None,input,21,-1,-1,0.0,7.66,230.54,0.0,8.8,1297.26,12288
2023/06/26 01:30:51.832,UAVFrameProducer,None,input,22,-1,-1,0.0,3.0,230.54,0.0,8.84,3014.71,12289
2023/06/26 01:30:55.136,UAVFrameProducer,None,input,23,-1,-1,0.0,5.54,230.54,0.0,8.49,5528.38,12292
2023/06/26 01:31:05.238,UAVFrameProducer,None,input,24,-1,-1,0.0,3.68,230.54,0.0,8.5,15356.7,12297
2023/06/26 01:31:05.240,UAVFrameProducer,None,input,25,-1,-1,0.0,6.42,230.54,0.0,7.74,13394.14,12298
2023/06/26 01:31:08.403,UAVFrameProducer,None,input,26,-1,-1,10.35,3.0,230.54,0.0,7.86,16542.99,12338
2023/06/26 01:31:08.405,UAVFrameProducer,None,input,27,-1,-1,0.0,11.67,230.54,0.0,8.04,13248.15,12339
2023/06/26 01:31:09.370,UAVFrameProducer,None,input,28,-1,-1,7.33,9.66,230.54,0.0,8.15,14196.77,12346
2023/06/26 01:31:09.378,UAVFrameProducer,None,input,29,-1,-1,0.0,11.22,230.54,0.0,7.88,4095.75,12347
2023/06/26 01:31:10.355,UAVFrameProducer,None,input,30,-1,-1,25.87,17.28,230.54,0.0,7.96,5042.96,12352
2023/06/26 01:31:10.362,UAVFrameProducer,None,input,31,-1,-1,0.0,13.54,230.54,0.0,7.95,1934.53,12353
2023/06/26 01:31:10.839,UAVFrameProducer,None,input,32,-1,-1,9.59,8.57,230.54,0.0,7.95,2400.08,12358
2023/06/26 01:31:10.842,UAVFrameProducer,None,input,33,-1,-1,0.0,16.81,230.54,0.0,8.02,1431.94,12359
2023/06/26 01:31:11.243,UAVFrameProducer,None,input,34,-1,-1,15.07,8.33,230.54,0.0,8.02,1812.24,12363
2023/06/26 01:31:11.246,UAVFrameProducer,None,input,35,-1,-1,0.0,16.84,230.54,0.0,7.82,861.09,12364
2023/06/26 01:31:11.784,UAVFrameProducer,None,input,36,-1,-1,13.48,10.6,230.54,0.0,7.82,1369.53,12371
2023/06/26 01:31:11.789,UAVFrameProducer,None,input,37,-1,-1,0.0,5.26,230.54,0.0,8.04,923.51,12372
2023/06/26 01:31:12.227,UAVFrameProducer,None,input,38,-1,-1,21.55,2.98,230.54,0.0,8.04,1338.34,12375
2023/06/26 01:31:12.229,UAVFrameProducer,None,input,39,-1,-1,0.0,8.0,230.54,0.0,8.03,965.93,12376
2023/06/26 01:31:12.516,UAVFrameProducer,None,input,40,-1,-1,14.07,11.37,230.54,0.0,8.03,1229.81,12379
2023/06/26 01:31:12.519,UAVFrameProducer,None,input,41,-1,-1,0.0,9.82,230.54,0.0,8.09,717.41,12380
2023/06/26 01:31:12.628,UAVFrameProducer,None,input,42,-1,-1,9.49,5.32,230.54,0.0,8.09,810.64,12383
2023/06/26 01:31:12.962,UAVFrameProducer,None,input,43,-1,-1,0.0,5.42,230.54,0.0,10.21,718.53,12385
2023/06/26 01:31:13.058,UAVFrameProducer,None,input,44,-1,-1,0.0,7.34,230.54,0.0,10.13,523.7,12388
2023/06/26 01:31:13.140,UAVFrameProducer,None,input,45,-1,-1,0.0,9.11,230.54,0.0,10.13,498.96,12390
2023/06/26 01:31:13.329,UAVFrameProducer,None,input,46,-1,-1,0.0,3.62,230.54,0.0,10.13,351.06,12392
2023/06/26 01:31:13.619,UAVFrameProducer,None,input,47,-1,-1,0.0,4.57,230.54,0.0,10.13,547.13,12395
2023/06/26 01:31:14.108,UAVFrameProducer,None,input,48,-1,-1,0.0,4.91,230.54,0.0,10.13,953.51,12397
2023/06/26 01:31:14.559,UAVFrameProducer,None,input,49,-1,-1,0.0,3.0,230.54,0.0,10.13,1211.7,12400
2023/06/26 01:31:14.718,UAVFrameProducer,None,input,50,-1,-1,0.0,10.17,230.54,0.0,10.13,1069.24,12403
2023/06/26 01:31:14.866,UAVFrameProducer,None,input,51,-1,-1,0.0,5.94,230.54,0.0,10.13,742.65,12406
2023/06/26 01:31:15.170,UAVFrameProducer,None,input,52,-1,-1,0.0,9.44,230.54,0.0,11.85,572.11,12410
