asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 00:09:25.988,UAVFrameProducer,None,input,1,-1,-1,0.0,1.0,186.77,0.0,186.78,160.73,5167
2023/06/26 00:09:26.075,UAVFrameProducer,None,input,2,-1,-1,29.97,11.04,186.77,0.0,186.78,213.99,5168
2023/06/26 00:09:26.157,UAVFrameProducer,None,input,3,-1,-1,12.99,9.01,186.77,0.0,186.78,274.92,5169
2023/06/26 00:09:26.223,UAVFrameProducer,None,input,4,-1,-1,0.0,2.0,186.77,0.0,186.78,199.9,5170
2023/06/26 00:09:26.318,UAVFrameProducer,None,input,5,-1,-1,0.0,3.0,186.77,0.0,186.78,227.91,5171
2023/06/26 00:09:26.439,UAVFrameProducer,None,input,6,-1,-1,0.0,3.0,186.77,0.0,186.78,265.91,5172
2023/06/26 00:09:26.509,UAVFrameProducer,None,input,7,-1,-1,0.0,2.0,186.77,0.0,186.78,248.45,5173
2023/06/26 00:09:26.589,UAVFrameProducer,None,input,8,-1,-1,0.0,2.83,186.77,0.0,186.78,234.45,5174
2023/06/26 00:09:26.683,UAVFrameProducer,None,input,9,-1,-1,0.0,6.01,186.77,0.0,186.78,223.51,5175
2023/06/26 00:09:26.782,UAVFrameProducer,None,input,10,-1,-1,1.0,12.66,186.77,0.0,186.78,251.29,5176
2023/06/26 00:09:26.864,UAVFrameProducer,None,input,11,-1,-1,0.0,10.26,186.77,0.0,186.78,250.34,5177
2023/06/26 00:09:26.959,UAVFrameProducer,None,input,12,-1,-1,0.0,1.92,186.77,0.0,186.78,239.15,5178
2023/06/26 00:09:27.059,UAVFrameProducer,None,input,13,-1,-1,0.0,19.11,186.77,0.0,186.78,256.11,5179
2023/06/26 00:09:27.143,UAVFrameProducer,None,input,14,-1,-1,0.0,7.09,186.77,0.0,186.78,262.43,5180
2023/06/26 00:09:27.254,UAVFrameProducer,None,input,15,-1,-1,0.0,12.65,186.77,0.0,186.78,274.15,5181
2023/06/26 00:09:27.332,UAVFrameProducer,None,input,16,-1,-1,0.0,6.59,186.77,0.0,186.78,238.54,5182
2023/06/26 00:09:27.400,UAVFrameProducer,None,input,17,-1,-1,0.0,1.56,186.77,0.0,186.78,199.6,5183
