asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/25 23:37:05.352,Client,final_uav_1,None,None,0,975.38,1962.98,55357.52,96.31,0.0,96.31,0.0,None
2023/06/25 23:37:05.455,Client,final_uav_1,nan,nan,1,456.52,1988.9,98.11,96.09,0.0,96.09,0.0,nan
2023/06/25 23:37:05.547,Client,final_uav_1,nan,nan,2,431.48,2037.61,79.36,95.83,0.0,95.83,1.0,nan
2023/06/25 23:37:05.707,Client,final_uav_1,nan,nan,3,518.8,2139.81,151.32,86.56,0.0,86.56,1.04,nan
2023/06/25 23:37:05.717,Client,final_uav_1,nan,nan,4,433.34,2055.35,1.0,94.41,0.0,94.41,1.0,nan
2023/06/25 23:37:05.794,Client,final_uav_1,nan,nan,5,423.94,1988.23,66.51,95.7,0.0,95.7,1.03,nan
2023/06/25 23:37:05.899,Client,final_uav_1,nan,nan,6,425.64,1983.58,96.53,96.3,0.0,96.3,0.0,nan
2023/06/25 23:37:05.996,Client,final_uav_1,nan,nan,7,372.75,1963.02,82.44,95.5,0.0,95.5,1.0,nan
2023/06/25 23:37:06.101,Client,final_uav_1,nan,nan,8,388.56,1989.49,89.95,92.94,0.0,92.94,0.0,nan
2023/06/25 23:37:06.191,Client,final_uav_1,nan,nan,9,339.11,1961.44,79.73,93.79,0.0,93.79,1.0,nan
2023/06/25 23:37:06.247,Client,final_uav_1,nan,nan,10,315.99,1935.51,52.45,96.8,0.0,96.8,1.0,nan
2023/06/25 23:37:06.347,Client,final_uav_1,nan,nan,11,304.0,1927.7,94.11,98.02,0.0,98.02,0.0,nan
2023/06/25 23:37:06.429,Client,final_uav_1,nan,nan,12,289.19,1923.13,74.01,98.27,0.0,98.27,0.0,nan
2023/06/25 23:37:06.589,Client,final_uav_1,nan,nan,13,328.13,1971.08,150.0,95.28,0.0,95.28,0.0,nan
2023/06/25 23:37:06.689,Client,final_uav_1,nan,nan,14,351.68,1969.9,91.17,97.69,0.0,97.69,1.6,nan
