asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/25 23:37:04.661,UAVFrameProducer,None,input,1,-1,-1,0.0,1.0,186.77,0.0,186.78,286.89,0
2023/06/25 23:37:04.803,UAVFrameProducer,None,input,2,-1,-1,32.17,15.0,186.77,0.0,186.78,397.63,1
2023/06/25 23:37:04.880,UAVFrameProducer,None,input,3,-1,-1,25.83,5.17,186.77,0.0,186.78,444.76,2
2023/06/25 23:37:04.977,UAVFrameProducer,None,input,4,-1,-1,0.0,9.34,186.77,0.0,186.78,291.05,3
2023/06/25 23:37:05.065,UAVFrameProducer,None,input,5,-1,-1,0.0,4.07,186.77,0.0,186.78,235.13,4
2023/06/25 23:37:05.166,UAVFrameProducer,None,input,6,-1,-1,0.0,4.0,186.77,0.0,186.78,268.15,5
2023/06/25 23:37:05.244,UAVFrameProducer,None,input,7,-1,-1,0.0,7.36,186.77,0.0,186.78,247.62,6
2023/06/25 23:37:05.343,UAVFrameProducer,None,input,8,-1,-1,0.0,3.0,186.77,0.0,186.78,235.86,7
2023/06/25 23:37:05.453,UAVFrameProducer,None,input,9,-1,-1,0.0,3.0,186.77,0.0,186.78,267.9,8
2023/06/25 23:37:05.571,UAVFrameProducer,None,input,10,-1,-1,0.0,3.0,186.77,0.0,186.78,289.8,9
2023/06/25 23:37:05.682,UAVFrameProducer,None,input,11,-1,-1,0.0,4.32,186.77,0.0,186.78,316.65,10
2023/06/25 23:37:05.803,UAVFrameProducer,None,input,12,-1,-1,0.0,2.35,186.77,0.0,186.78,333.7,11
2023/06/25 23:37:05.912,UAVFrameProducer,None,input,13,-1,-1,0.0,4.34,186.77,0.0,186.78,301.36,12
2023/06/25 23:37:06.024,UAVFrameProducer,None,input,14,-1,-1,0.0,10.01,186.77,0.0,186.78,313.76,13
2023/06/25 23:37:06.120,UAVFrameProducer,None,input,15,-1,-1,0.0,4.25,186.77,0.0,186.78,273.79,14
2023/06/25 23:37:06.212,UAVFrameProducer,None,input,16,-1,-1,0.0,3.0,186.77,0.0,186.78,281.7,15
2023/06/25 23:37:06.310,UAVFrameProducer,None,input,17,-1,-1,0.0,6.31,186.77,0.0,186.78,272.92,16
2023/06/25 23:37:06.414,UAVFrameProducer,None,input,18,-1,-1,0.0,3.86,186.77,0.0,186.78,273.59,17
2023/06/25 23:37:06.508,UAVFrameProducer,None,input,19,-1,-1,0.0,2.0,186.77,0.0,186.78,254.98,18
2023/06/25 23:37:06.602,UAVFrameProducer,None,input,20,-1,-1,0.0,2.66,186.77,0.0,186.78,265.81,19
2023/06/25 23:37:06.703,UAVFrameProducer,None,input,21,-1,-1,0.0,9.17,186.77,0.0,186.78,267.76,20
2023/06/25 23:37:06.796,UAVFrameProducer,None,input,22,-1,-1,0.0,2.04,186.77,0.0,186.78,269.6,21
2023/06/25 23:37:06.916,UAVFrameProducer,None,input,23,-1,-1,0.0,5.55,186.77,0.0,186.78,298.02,22
2023/06/25 23:37:07.023,UAVFrameProducer,None,input,24,-1,-1,0.0,3.14,186.77,0.0,186.78,304.83,23
2023/06/25 23:37:07.115,UAVFrameProducer,None,input,25,-1,-1,0.0,3.45,186.77,0.0,186.78,299.99,24
2023/06/25 23:37:07.213,UAVFrameProducer,None,input,26,-1,-1,0.0,3.87,186.77,0.0,186.78,275.71,25
2023/06/25 23:37:07.328,UAVFrameProducer,None,input,27,-1,-1,0.0,7.53,186.77,0.0,186.78,286.7,26
2023/06/25 23:37:07.407,UAVFrameProducer,None,input,28,-1,-1,0.0,2.17,186.77,0.0,186.78,254.24,27
2023/06/25 23:37:07.514,UAVFrameProducer,None,input,29,-1,-1,0.0,4.2,186.77,0.0,186.78,279.35,28
2023/06/25 23:37:07.606,UAVFrameProducer,None,input,30,-1,-1,0.0,5.0,186.77,0.0,186.78,259.83,29
2023/06/25 23:37:07.719,UAVFrameProducer,None,input,31,-1,-1,0.0,3.08,186.77,0.0,186.78,277.0,30
2023/06/25 23:37:07.818,UAVFrameProducer,None,input,32,-1,-1,0.0,4.13,186.77,1.01,186.78,288.76,31
2023/06/25 23:37:07.919,UAVFrameProducer,None,input,33,-1,-1,0.0,3.0,186.77,0.0,186.78,293.45,32
2023/06/25 23:37:08.002,UAVFrameProducer,None,input,34,-1,-1,0.0,3.0,186.77,0.0,186.78,264.7,33
2023/06/25 23:37:08.093,UAVFrameProducer,None,input,35,-1,-1,0.0,2.03,186.77,0.0,186.78,260.19,34
2023/06/25 23:37:08.190,UAVFrameProducer,None,input,36,-1,-1,0.0,12.19,186.77,0.0,186.78,254.03,35
2023/06/25 23:37:08.309,UAVFrameProducer,None,input,37,-1,-1,0.0,12.58,186.77,0.0,186.78,276.07,36
2023/06/25 23:37:08.415,UAVFrameProducer,None,input,38,-1,-1,0.0,18.47,186.77,0.0,186.78,301.25,37
2023/06/25 23:37:08.517,UAVFrameProducer,None,input,39,-1,-1,0.0,5.21,186.77,0.0,186.78,290.13,38
2023/06/25 23:37:08.633,UAVFrameProducer,None,input,40,-1,-1,0.0,4.81,186.77,0.0,186.78,308.86,39
2023/06/25 23:37:08.736,UAVFrameProducer,None,input,41,-1,-1,0.04,6.53,186.77,0.0,186.78,298.67,40
2023/06/25 23:37:08.823,UAVFrameProducer,None,input,42,-1,-1,0.0,4.56,186.77,0.0,186.78,290.1,41
2023/06/25 23:37:08.920,UAVFrameProducer,None,input,43,-1,-1,0.0,3.6,186.77,0.0,186.78,254.53,42
2023/06/25 23:37:09.027,UAVFrameProducer,None,input,44,-1,-1,0.0,0.0,186.77,0.0,186.78,274.26,43
2023/06/25 23:37:09.111,UAVFrameProducer,None,input,45,-1,-1,0.0,3.89,186.77,0.0,186.78,264.09,44
