asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 02:18:04.128,Client,final_uav_1,None,None,20414,389.51,1912.68,86437.83,49.84,0.0,49.84,0.0,None
2023/06/26 02:18:04.146,Client,final_uav_1,nan,nan,20415,218.22,1898.12,14.22,49.59,0.0,49.59,0.56,nan
2023/06/26 02:18:04.205,Client,final_uav_1,nan,nan,20416,208.89,1916.69,49.01,50.27,0.0,50.27,1.02,nan
2023/06/26 02:18:04.226,Client,final_uav_1,nan,nan,20417,169.36,1907.0,15.31,49.86,0.0,49.86,0.0,nan
2023/06/26 02:18:04.296,Client,final_uav_1,nan,nan,20418,181.25,1897.93,64.26,50.11,0.0,50.11,2.0,nan
2023/06/26 02:18:04.352,Client,final_uav_1,nan,nan,20419,186.34,1898.02,48.1,50.05,0.0,50.05,0.4,nan
2023/06/26 02:18:04.401,Client,final_uav_1,nan,nan,20420,165.04,1905.04,40.2,50.12,0.0,50.12,0.0,nan
2023/06/26 02:18:04.440,Client,final_uav_1,nan,nan,20421,144.32,1900.25,34.69,50.31,0.0,50.31,1.0,nan
2023/06/26 02:18:04.490,Client,final_uav_1,nan,nan,20422,121.37,1898.39,31.45,41.48,0.0,41.48,0.0,nan
2023/06/26 02:18:04.557,Client,final_uav_1,nan,nan,20423,151.64,1908.2,58.96,46.22,0.0,46.22,1.1,nan
2023/06/26 02:18:04.611,Client,final_uav_1,nan,nan,20424,162.32,1901.57,37.64,47.53,0.0,47.53,1.23,nan
2023/06/26 02:18:04.672,Client,final_uav_1,nan,nan,20425,158.38,1899.79,49.14,48.37,0.0,48.37,0.84,nan
2023/06/26 02:18:04.731,Client,final_uav_1,nan,nan,20426,174.42,1905.73,52.74,48.9,0.0,48.9,0.0,nan
2023/06/26 02:18:04.781,Client,final_uav_1,nan,nan,20427,150.76,1893.76,40.1,48.55,0.0,48.55,0.0,nan
2023/06/26 02:18:04.832,Client,final_uav_1,nan,nan,20428,144.83,1901.9,44.8,49.13,0.0,49.13,0.0,nan
2023/06/26 02:18:04.890,Client,final_uav_1,nan,nan,20429,138.86,1898.8,41.89,49.26,0.0,49.26,0.0,nan
2023/06/26 02:18:04.939,Client,final_uav_1,nan,nan,20430,148.5,1899.78,44.16,49.68,0.0,49.68,0.0,nan
2023/06/26 02:18:05.003,Client,final_uav_1,nan,nan,20431,162.69,1897.59,60.87,49.66,0.0,49.66,1.0,nan
2023/06/26 02:18:05.056,Client,final_uav_1,nan,nan,20432,149.74,1902.53,44.82,49.98,0.0,49.98,0.0,nan
2023/06/26 02:18:05.107,Client,final_uav_1,nan,nan,20433,132.78,1897.37,42.47,49.94,0.0,49.94,1.44,nan
2023/06/26 02:18:05.164,Client,final_uav_1,nan,nan,20434,155.59,1899.5,51.31,50.36,0.0,50.36,1.0,nan
2023/06/26 02:18:05.223,Client,final_uav_1,nan,nan,20435,153.84,1898.45,48.55,50.32,0.0,50.32,0.0,nan
2023/06/26 02:18:05.274,Client,final_uav_1,nan,nan,20436,140.37,1904.47,35.23,50.37,0.0,50.37,8.3,nan
2023/06/26 02:18:05.344,Client,final_uav_1,nan,nan,20437,154.25,1911.29,58.64,49.82,0.0,49.82,0.0,nan
2023/06/26 02:18:05.660,Client,final_uav_1,nan,nan,20438,440.72,1905.17,311.89,55.52,0.0,55.52,0.0,nan
2023/06/26 02:18:05.687,Client,final_uav_1,nan,nan,20439,164.23,1896.1,22.81,48.54,0.0,48.54,1.0,nan
