asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 02:09:58.593,UAVFrameProducer,None,input,1,-1,-1,0.24,1.96,921.74,0.0,8.9,98.6,25379
2023/06/26 02:09:58.652,UAVFrameProducer,None,input,2,-1,-1,32.23,54.49,921.74,0.0,9.64,110.11,25380
2023/06/26 02:09:58.719,UAVFrameProducer,None,input,3,-1,-1,10.02,12.0,921.74,0.0,9.65,159.09,25381
2023/06/26 02:09:58.768,UAVFrameProducer,None,input,4,-1,-1,0.0,4.25,921.74,0.0,9.61,150.99,25382
2023/06/26 02:09:58.822,UAVFrameProducer,None,input,5,-1,-1,0.0,6.0,921.74,0.0,8.91,137.99,25383
2023/06/26 02:09:58.883,UAVFrameProducer,None,input,6,-1,-1,0.0,2.72,921.74,0.0,9.6,138.16,25384
2023/06/26 02:09:58.936,UAVFrameProducer,None,input,7,-1,-1,0.0,5.0,921.74,0.0,9.63,133.79,25385
2023/06/26 02:09:59.008,UAVFrameProducer,None,input,8,-1,-1,0.0,3.97,921.74,0.0,9.61,154.17,25386
2023/06/26 02:09:59.053,UAVFrameProducer,None,input,9,-1,-1,0.0,11.0,921.74,0.0,9.63,140.93,25387
2023/06/26 02:09:59.108,UAVFrameProducer,None,input,10,-1,-1,0.0,3.19,921.74,0.75,9.64,138.01,25388
2023/06/26 02:09:59.157,UAVFrameProducer,None,input,11,-1,-1,0.0,10.0,921.74,0.0,9.62,120.89,25389
2023/06/26 02:09:59.220,UAVFrameProducer,None,input,12,-1,-1,0.0,7.62,921.74,0.0,9.63,136.75,25390
2023/06/26 02:09:59.253,UAVFrameProducer,None,input,13,-1,-1,0.0,2.0,921.74,0.0,9.61,124.48,25391
2023/06/26 02:09:59.309,UAVFrameProducer,None,input,14,-1,-1,0.0,3.73,921.74,0.0,9.63,115.56,25392
2023/06/26 02:09:59.353,UAVFrameProducer,None,input,15,-1,-1,0.0,15.99,921.74,0.0,9.65,116.55,25393
2023/06/26 02:09:59.435,UAVFrameProducer,None,input,16,-1,-1,0.0,7.61,921.74,0.0,9.66,161.31,25394
2023/06/26 02:09:59.487,UAVFrameProducer,None,input,17,-1,-1,0.0,8.8,921.74,0.0,9.66,151.75,25395
2023/06/26 02:09:59.541,UAVFrameProducer,None,input,18,-1,-1,0.0,5.43,921.74,0.0,8.94,140.18,25396
2023/06/26 02:09:59.605,UAVFrameProducer,None,input,19,-1,-1,0.0,3.59,921.74,0.0,9.51,152.44,25397
2023/06/26 02:09:59.661,UAVFrameProducer,None,input,20,-1,-1,0.0,16.79,921.74,0.0,9.54,156.57,25398
2023/06/26 02:09:59.700,UAVFrameProducer,None,input,21,-1,-1,0.0,9.05,921.74,0.0,9.56,135.97,25399
2023/06/26 02:09:59.744,UAVFrameProducer,None,input,22,-1,-1,0.0,17.59,921.74,0.0,9.59,119.21,25400
2023/06/26 02:09:59.817,UAVFrameProducer,None,input,23,-1,-1,0.0,11.48,921.74,0.0,9.59,134.55,25401
2023/06/26 02:09:59.869,UAVFrameProducer,None,input,24,-1,-1,0.0,1.75,921.74,0.0,9.63,141.38,25402
2023/06/26 02:09:59.946,UAVFrameProducer,None,input,25,-1,-1,0.0,7.88,921.74,0.0,9.59,154.94,25403
2023/06/26 02:10:00.024,UAVFrameProducer,None,input,26,-1,-1,0.0,6.07,921.74,0.0,9.64,173.06,25404
2023/06/26 02:10:00.078,UAVFrameProducer,None,input,27,-1,-1,0.0,3.68,921.74,0.0,9.64,159.58,25405
2023/06/26 02:10:00.129,UAVFrameProducer,None,input,28,-1,-1,0.0,10.15,921.74,0.0,9.63,156.97,25406
2023/06/26 02:10:00.162,UAVFrameProducer,None,input,29,-1,-1,0.0,13.11,921.74,0.0,9.65,122.55,25407
2023/06/26 02:10:00.224,UAVFrameProducer,None,input,30,-1,-1,0.0,2.08,921.74,0.0,9.65,121.19,25408
2023/06/26 02:10:00.277,UAVFrameProducer,None,input,31,-1,-1,0.0,14.86,921.74,0.0,9.6,125.07,25409
2023/06/26 02:10:00.327,UAVFrameProducer,None,input,32,-1,-1,0.0,5.97,921.74,8.55,9.62,124.15,25410
2023/06/26 02:10:00.380,UAVFrameProducer,None,input,33,-1,-1,1.0,9.76,921.74,0.0,9.64,143.64,25411
2023/06/26 02:10:00.432,UAVFrameProducer,None,input,34,-1,-1,0.0,9.3,921.74,0.0,9.62,120.63,25412
2023/06/26 02:10:00.484,UAVFrameProducer,None,input,35,-1,-1,0.0,2.43,921.74,0.0,8.91,123.22,25413
2023/06/26 02:10:00.534,UAVFrameProducer,None,input,36,-1,-1,0.0,3.86,921.74,0.0,9.17,121.36,25414
2023/06/26 02:10:00.716,UAVFrameProducer,None,input,37,-1,-1,0.0,3.12,921.74,0.0,9.45,252.14,25415
2023/06/26 02:10:00.789,UAVFrameProducer,None,input,38,-1,-1,0.0,4.67,921.74,0.0,9.51,272.5,25416
2023/06/26 02:10:00.867,UAVFrameProducer,None,input,39,-1,-1,0.0,3.32,921.74,0.0,9.59,302.4,25417
2023/06/26 02:10:00.922,UAVFrameProducer,None,input,40,-1,-1,0.0,5.0,921.74,0.0,9.65,180.71,25418
2023/06/26 02:10:00.984,UAVFrameProducer,None,input,41,-1,-1,0.0,5.78,921.74,0.0,9.66,182.21,25419
2023/06/26 02:10:01.052,UAVFrameProducer,None,input,42,-1,-1,0.0,14.3,921.74,0.0,9.62,160.91,25420
2023/06/26 02:10:01.084,UAVFrameProducer,None,input,43,-1,-1,0.0,9.98,921.74,0.0,9.65,142.57,25421
2023/06/26 02:10:01.141,UAVFrameProducer,None,input,44,-1,-1,0.0,4.68,921.74,0.0,9.65,136.68,25422
2023/06/26 02:10:01.200,UAVFrameProducer,None,input,45,-1,-1,0.0,7.06,921.74,0.0,9.65,125.53,25423
2023/06/26 02:10:01.256,UAVFrameProducer,None,input,46,-1,-1,0.0,2.0,921.74,0.0,9.67,152.19,25424
2023/06/26 02:10:01.285,UAVFrameProducer,None,input,47,-1,-1,0.0,11.08,921.74,0.0,9.65,111.58,25425
2023/06/26 02:10:01.339,UAVFrameProducer,None,input,48,-1,-1,0.0,8.3,921.74,0.0,9.64,117.29,25427
2023/06/26 02:10:01.470,UAVFrameProducer,None,input,49,-1,-1,0.0,8.46,921.74,0.0,9.65,196.8,25429
2023/06/26 02:10:01.593,UAVFrameProducer,None,input,50,-1,-1,0.0,14.43,921.74,0.0,9.62,273.55,25432
2023/06/26 02:10:01.709,UAVFrameProducer,None,input,51,-1,-1,0.0,8.82,921.74,0.0,8.94,352.96,25434
2023/06/26 02:10:01.776,UAVFrameProducer,None,input,52,-1,-1,0.0,3.52,921.74,0.0,9.55,286.12,25436
2023/06/26 02:10:01.827,UAVFrameProducer,None,input,53,-1,-1,0.0,4.75,921.74,0.0,9.6,222.51,25438
2023/06/26 02:10:01.892,UAVFrameProducer,None,input,54,-1,-1,0.0,10.0,921.74,0.0,9.64,158.95,25440
2023/06/26 02:10:01.974,UAVFrameProducer,None,input,55,-1,-1,0.0,5.01,921.74,0.0,9.64,187.02,25443
2023/06/26 02:10:02.043,UAVFrameProducer,None,input,56,-1,-1,0.0,7.81,921.74,0.0,9.62,196.47,25445
2023/06/26 02:10:02.135,UAVFrameProducer,None,input,57,-1,-1,0.0,3.8,921.74,1.0,9.62,220.25,25448
2023/06/26 02:10:02.211,UAVFrameProducer,None,input,58,-1,-1,0.0,4.82,921.74,0.0,9.64,223.25,25451
2023/06/26 02:10:02.308,UAVFrameProducer,None,input,59,-1,-1,0.0,12.18,921.74,0.0,9.65,233.11,25454
2023/06/26 02:10:02.500,UAVFrameProducer,None,input,60,-1,-1,0.0,11.2,921.74,0.0,9.64,344.04,25456
2023/06/26 02:10:02.567,UAVFrameProducer,None,input,61,-1,-1,0.0,14.87,921.74,0.0,9.67,329.99,25460
2023/06/26 02:10:02.636,UAVFrameProducer,None,input,62,-1,-1,0.0,10.14,921.74,0.0,9.65,301.35,25462
