asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 00:22:22.501,Client,final_uav_1,None,None,7780,405.13,1920.79,28232.49,64.08,0.0,64.08,0.73,None
2023/06/26 00:22:22.556,Client,final_uav_1,nan,nan,7781,176.97,1910.49,40.1,64.81,0.0,64.81,0.0,nan
2023/06/26 00:22:22.588,Client,final_uav_1,nan,nan,7782,191.98,1915.05,24.82,64.78,0.0,64.78,0.0,nan
2023/06/26 00:22:22.620,Client,final_uav_1,nan,nan,7783,149.96,1915.05,24.04,64.52,0.0,64.52,0.0,nan
2023/06/26 00:22:22.659,Client,final_uav_1,nan,nan,7784,147.57,1913.05,35.0,64.72,0.0,64.72,0.0,nan
2023/06/26 00:22:22.701,Client,final_uav_1,nan,nan,7785,126.72,1911.66,38.61,64.72,0.0,64.72,0.0,nan
2023/06/26 00:22:22.750,Client,final_uav_1,nan,nan,7786,140.59,1909.64,39.91,64.64,0.0,64.64,1.0,nan
2023/06/26 00:22:22.819,Client,final_uav_1,nan,nan,7787,163.87,1927.93,64.33,64.5,0.0,64.5,0.0,nan
2023/06/26 00:22:22.887,Client,final_uav_1,nan,nan,7788,180.73,1915.84,61.44,57.7,0.0,57.7,0.0,nan
2023/06/26 00:22:22.934,Client,final_uav_1,nan,nan,7789,174.64,1914.35,37.77,61.56,0.0,61.56,1.0,nan
2023/06/26 00:22:23.003,Client,final_uav_1,nan,nan,7790,179.96,1913.92,52.1,62.62,0.0,62.62,8.15,nan
2023/06/26 00:22:23.070,Client,final_uav_1,nan,nan,7791,183.99,1909.45,59.03,64.09,0.0,64.09,3.21,nan
2023/06/26 00:22:23.128,Client,final_uav_1,nan,nan,7792,179.85,1913.86,56.19,64.67,1.0,64.67,0.0,nan
2023/06/26 00:22:23.171,Client,final_uav_1,nan,nan,7793,148.83,1909.18,42.33,64.3,0.0,64.3,0.0,nan
2023/06/26 00:22:23.218,Client,final_uav_1,nan,nan,7794,132.44,1922.86,42.12,64.13,0.0,64.13,0.0,nan
2023/06/26 00:22:23.268,Client,final_uav_1,nan,nan,7795,139.76,1928.41,46.58,64.59,0.0,64.59,0.0,nan
2023/06/26 00:22:23.316,Client,final_uav_1,nan,nan,7796,160.62,1922.14,42.38,64.12,0.0,64.12,1.03,nan
2023/06/26 00:22:23.361,Client,final_uav_1,nan,nan,7797,166.9,1914.81,38.29,64.6,0.0,64.6,0.0,nan
2023/06/26 00:22:23.469,Client,final_uav_1,nan,nan,7798,212.27,1928.26,104.37,64.16,0.0,64.16,0.0,nan
2023/06/26 00:22:23.514,Client,final_uav_1,nan,nan,7799,192.17,1910.88,42.52,64.26,0.0,64.26,0.0,nan
2023/06/26 00:22:23.555,Client,final_uav_1,nan,nan,7800,140.57,1910.67,34.57,64.76,0.0,64.76,0.0,nan
