asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 00:22:22.225,UAVFrameProducer,None,input,1,-1,-1,0.0,0.0,921.74,0.0,16.65,137.4,7824
2023/06/26 00:22:22.287,UAVFrameProducer,None,input,2,-1,-1,11.0,36.95,921.74,0.0,16.81,181.17,7825
2023/06/26 00:22:22.346,UAVFrameProducer,None,input,3,-1,-1,25.55,10.46,921.74,0.0,16.78,193.26,7826
2023/06/26 00:22:22.377,UAVFrameProducer,None,input,4,-1,-1,0.0,2.81,921.74,0.0,16.8,109.4,7827
2023/06/26 00:22:22.439,UAVFrameProducer,None,input,5,-1,-1,0.0,3.0,921.74,0.0,16.73,125.09,7828
2023/06/26 00:22:22.490,UAVFrameProducer,None,input,6,-1,-1,0.0,8.0,921.74,0.0,16.91,120.86,7829
2023/06/26 00:22:22.544,UAVFrameProducer,None,input,7,-1,-1,1.0,3.71,921.74,0.0,16.89,150.41,7830
2023/06/26 00:22:22.592,UAVFrameProducer,None,input,8,-1,-1,0.0,14.0,921.74,0.0,16.84,123.41,7831
2023/06/26 00:22:22.634,UAVFrameProducer,None,input,9,-1,-1,0.0,3.0,921.74,0.0,16.93,123.57,7832
2023/06/26 00:22:22.681,UAVFrameProducer,None,input,10,-1,-1,0.0,7.99,921.74,0.0,16.93,106.12,7833
2023/06/26 00:22:22.732,UAVFrameProducer,None,input,11,-1,-1,0.0,2.43,921.74,0.0,16.86,125.82,7834
2023/06/26 00:22:22.787,UAVFrameProducer,None,input,12,-1,-1,0.0,2.18,921.74,0.0,16.86,130.12,7835
2023/06/26 00:22:22.860,UAVFrameProducer,None,input,13,-1,-1,0.0,3.0,921.74,0.0,14.77,158.66,7836
2023/06/26 00:22:22.923,UAVFrameProducer,None,input,14,-1,-1,0.0,3.02,921.74,0.0,15.91,164.1,7837
2023/06/26 00:22:23.002,UAVFrameProducer,None,input,15,-1,-1,0.0,10.01,921.74,0.0,16.27,191.37,7838
2023/06/26 00:22:23.064,UAVFrameProducer,None,input,16,-1,-1,0.0,1.14,921.74,0.0,16.73,181.99,7839
2023/06/26 00:22:23.119,UAVFrameProducer,None,input,17,-1,-1,0.0,11.03,921.74,0.0,16.88,169.62,7840
2023/06/26 00:22:23.128,UAVFrameProducer,None,input,18,-1,-1,0.0,5.35,921.74,0.0,16.8,106.5,7841
2023/06/26 00:22:23.171,UAVFrameProducer,None,input,19,-1,-1,0.0,4.93,921.74,0.0,16.77,83.49,7842
2023/06/26 00:22:23.239,UAVFrameProducer,None,input,20,-1,-1,0.0,0.28,921.74,0.0,16.84,110.25,7843
2023/06/26 00:22:23.284,UAVFrameProducer,None,input,21,-1,-1,15.05,18.69,921.74,0.0,16.77,131.18,7844
2023/06/26 00:22:23.372,UAVFrameProducer,None,input,22,-1,-1,0.0,5.77,921.74,0.0,16.89,179.17,7845
