asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/25 23:47:19.714,Client,final_uav_1,None,None,598,1629.59,1933.46,79005.88,96.97,0.0,96.97,1.0,None
2023/06/25 23:47:19.761,Client,final_uav_1,nan,nan,599,525.77,1923.76,40.58,97.02,0.0,97.02,1.01,nan
2023/06/25 23:47:19.800,Client,final_uav_1,nan,nan,600,413.74,1923.25,34.41,96.46,0.0,96.46,0.0,nan
2023/06/25 23:47:19.877,Client,final_uav_1,nan,nan,601,389.86,1917.22,71.15,96.42,0.0,96.42,0.57,nan
2023/06/25 23:47:20.015,Client,final_uav_1,nan,nan,602,348.57,1915.19,131.76,92.66,0.0,92.66,0.99,nan
2023/06/25 23:47:20.144,Client,final_uav_1,nan,nan,603,348.28,1915.69,123.82,96.36,0.0,96.36,1.08,nan
2023/06/25 23:47:20.284,Client,final_uav_1,nan,nan,604,347.4,1921.23,135.23,96.77,0.0,96.77,0.0,nan
2023/06/25 23:47:20.383,Client,final_uav_1,nan,nan,605,315.06,1917.29,95.11,96.77,0.0,96.77,0.0,nan
2023/06/25 23:47:20.481,Client,final_uav_1,nan,nan,606,276.88,1914.77,95.06,96.78,0.0,96.78,0.0,nan
2023/06/25 23:47:20.619,Client,final_uav_1,nan,nan,607,319.15,1921.25,133.61,96.18,0.0,96.18,0.0,nan
2023/06/25 23:47:20.747,Client,final_uav_1,nan,nan,608,344.87,1917.57,117.35,96.59,0.0,96.59,0.0,nan
2023/06/25 23:47:20.968,Client,final_uav_1,nan,nan,609,432.58,1930.09,216.19,96.5,0.0,96.5,0.0,nan
2023/06/25 23:47:21.095,Client,final_uav_1,nan,nan,610,423.91,1943.47,123.34,94.83,0.0,94.83,0.0,nan
2023/06/25 23:47:21.152,Client,final_uav_1,nan,nan,611,383.14,1921.91,53.92,96.25,0.0,96.25,0.0,nan
2023/06/25 23:47:21.229,Client,final_uav_1,nan,nan,612,235.19,1924.68,73.01,96.66,0.0,96.66,0.0,nan
2023/06/25 23:47:21.356,Client,final_uav_1,nan,nan,613,299.84,1919.29,121.41,96.73,0.0,96.73,0.84,nan
2023/06/25 23:47:21.545,Client,final_uav_1,nan,nan,614,410.03,1926.93,185.94,96.38,0.0,96.38,0.0,nan
2023/06/25 23:47:21.694,Client,final_uav_1,nan,nan,615,420.56,1917.53,144.1,96.53,0.0,96.53,1.0,nan
2023/06/25 23:47:21.826,Client,final_uav_1,nan,nan,616,381.01,1916.42,127.85,96.58,0.0,96.58,1.73,nan
2023/06/25 23:47:21.943,Client,final_uav_1,nan,nan,617,325.62,1914.69,112.75,74.91,0.0,74.91,1.04,nan
2023/06/25 23:47:22.040,Client,final_uav_1,nan,nan,618,291.86,1914.86,93.04,95.45,0.0,95.45,0.0,nan
2023/06/25 23:47:22.186,Client,final_uav_1,nan,nan,619,320.1,1922.27,143.46,95.64,0.0,95.64,0.0,nan
2023/06/25 23:47:22.334,Client,final_uav_1,nan,nan,620,367.75,1964.7,144.43,94.67,0.0,94.67,0.51,nan
2023/06/25 23:47:22.421,Client,final_uav_1,nan,nan,621,320.15,1919.66,78.2,96.73,0.0,96.73,1.49,nan
2023/06/25 23:47:22.504,Client,final_uav_1,nan,nan,622,302.11,1918.81,79.48,98.08,0.0,98.08,0.0,nan
2023/06/25 23:47:22.619,Client,final_uav_1,nan,nan,623,320.43,1921.28,110.58,97.9,0.0,97.9,0.0,nan
2023/06/25 23:47:22.737,Client,final_uav_1,nan,nan,624,311.14,1917.56,115.92,97.88,0.0,97.88,0.0,nan
2023/06/25 23:47:22.875,Client,final_uav_1,nan,nan,625,339.02,1922.33,133.5,98.3,0.0,98.3,0.0,nan
2023/06/25 23:47:22.951,Client,final_uav_1,nan,nan,626,287.75,1919.97,71.65,94.67,0.0,94.67,1.72,nan
2023/06/25 23:47:23.061,Client,final_uav_1,nan,nan,627,266.36,1925.48,106.78,99.22,0.0,99.22,1.0,nan
2023/06/25 23:47:23.141,Client,final_uav_1,nan,nan,628,283.02,1918.41,71.91,99.39,0.0,99.39,0.0,nan
2023/06/25 23:47:23.285,Client,final_uav_1,nan,nan,629,311.65,1924.29,134.26,99.47,0.0,99.47,0.0,nan
2023/06/25 23:47:23.531,Client,final_uav_1,nan,nan,630,481.09,1925.73,241.91,99.33,0.0,99.33,1.49,nan
2023/06/25 23:47:23.684,Client,final_uav_1,nan,nan,631,480.23,1933.56,142.97,99.51,0.0,99.51,0.0,nan
2023/06/25 23:47:23.782,Client,final_uav_1,nan,nan,632,400.71,1920.79,91.61,100.05,0.0,100.05,3.31,nan
2023/06/25 23:47:23.908,Client,final_uav_1,nan,nan,633,340.15,1916.66,120.42,79.37,0.0,79.37,0.0,nan
2023/06/25 23:47:24.056,Client,final_uav_1,nan,nan,634,353.73,1918.46,142.94,98.23,0.0,98.23,1.0,nan
2023/06/25 23:47:24.182,Client,final_uav_1,nan,nan,635,350.29,1923.91,121.86,99.86,0.0,99.86,0.0,nan
2023/06/25 23:47:24.275,Client,final_uav_1,nan,nan,636,327.5,1922.71,90.41,100.39,0.0,100.39,0.0,nan
2023/06/25 23:47:24.409,Client,final_uav_1,nan,nan,637,311.73,1925.26,128.94,99.83,0.0,99.83,0.0,nan
2023/06/25 23:47:24.503,Client,final_uav_1,nan,nan,638,316.11,1921.3,91.59,100.16,0.0,100.16,1.0,nan
2023/06/25 23:47:24.651,Client,final_uav_1,nan,nan,639,335.32,1922.48,143.75,100.24,0.0,100.24,1.0,nan
