asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 02:30:03.463,UAVFrameProducer,None,input,1,-1,-1,0.0,2.0,230.54,0.0,9.36,119.08,37239
2023/06/26 02:30:03.502,UAVFrameProducer,None,input,2,-1,-1,10.04,79.98,230.54,0.0,9.69,133.07,37241
2023/06/26 02:30:03.549,UAVFrameProducer,None,input,3,-1,-1,14.01,16.0,230.54,0.0,9.71,157.4,37242
2023/06/26 02:30:03.586,UAVFrameProducer,None,input,4,-1,-1,0.0,8.99,230.54,0.0,9.49,103.32,37244
2023/06/26 02:30:03.629,UAVFrameProducer,None,input,5,-1,-1,0.0,3.0,230.54,0.0,9.68,106.41,37246
2023/06/26 02:30:03.667,UAVFrameProducer,None,input,6,-1,-1,0.0,10.0,230.54,0.0,9.77,100.0,37248
2023/06/26 02:30:03.702,UAVFrameProducer,None,input,7,-1,-1,0.0,6.07,230.54,0.0,9.75,93.99,37250
2023/06/26 02:30:03.739,UAVFrameProducer,None,input,8,-1,-1,0.0,6.0,230.54,0.0,9.63,93.13,37252
2023/06/26 02:30:03.780,UAVFrameProducer,None,input,9,-1,-1,0.0,3.0,230.54,0.0,9.67,96.06,37253
2023/06/26 02:30:03.814,UAVFrameProducer,None,input,10,-1,-1,0.0,2.99,230.54,0.0,9.65,95.02,37255
2023/06/26 02:30:03.872,UAVFrameProducer,None,input,11,-1,-1,0.0,4.17,230.54,0.0,9.78,109.99,37256
2023/06/26 02:30:03.900,UAVFrameProducer,None,input,12,-1,-1,0.0,7.0,230.54,0.0,9.2,102.0,37258
2023/06/26 02:30:03.947,UAVFrameProducer,None,input,13,-1,-1,0.0,2.99,230.54,0.0,9.6,119.3,37260
2023/06/26 02:30:03.994,UAVFrameProducer,None,input,14,-1,-1,0.0,7.02,230.54,0.0,9.71,108.65,37262
2023/06/26 02:30:04.044,UAVFrameProducer,None,input,15,-1,-1,0.0,1.99,230.54,0.0,9.75,129.68,37264
2023/06/26 02:30:04.072,UAVFrameProducer,None,input,16,-1,-1,0.0,2.98,230.54,0.0,9.76,107.59,37266
2023/06/26 02:30:04.101,UAVFrameProducer,None,input,17,-1,-1,0.0,3.0,230.54,0.0,9.74,87.5,37267
2023/06/26 02:30:04.133,UAVFrameProducer,None,input,18,-1,-1,0.0,3.99,230.54,0.0,9.68,72.97,37269
2023/06/26 02:30:04.164,UAVFrameProducer,None,input,19,-1,-1,0.0,0.0,230.54,0.0,9.73,78.65,37270
2023/06/26 02:30:04.196,UAVFrameProducer,None,input,20,-1,-1,0.0,0.0,230.54,0.0,9.73,78.49,37272
2023/06/26 02:30:04.227,UAVFrameProducer,None,input,21,-1,-1,0.0,0.0,230.54,0.0,9.75,93.88,37273
2023/06/26 02:30:04.242,UAVFrameProducer,None,input,22,-1,-1,0.0,0.0,230.54,0.0,9.64,61.92,37275
2023/06/26 02:30:04.274,UAVFrameProducer,None,input,23,-1,-1,0.0,0.0,230.54,0.0,9.72,62.39,37276
2023/06/26 02:30:04.320,UAVFrameProducer,None,input,24,-1,-1,0.0,0.0,230.54,0.0,9.73,78.1,37278
2023/06/26 02:30:04.336,UAVFrameProducer,None,input,25,-1,-1,0.0,0.0,230.54,0.0,9.7,78.73,37280
2023/06/26 02:30:04.382,UAVFrameProducer,None,input,26,-1,-1,0.0,0.0,230.54,0.0,9.7,93.15,37282
2023/06/26 02:30:04.414,UAVFrameProducer,None,input,27,-1,-1,0.0,0.0,230.54,0.0,9.74,77.66,37283
2023/06/26 02:30:04.429,UAVFrameProducer,None,input,28,-1,-1,0.0,0.0,230.54,0.0,9.78,62.14,37285
2023/06/26 02:30:04.461,UAVFrameProducer,None,input,29,-1,-1,0.0,15.26,230.54,0.0,9.75,78.37,37287
2023/06/26 02:30:04.492,UAVFrameProducer,None,input,30,-1,-1,0.0,0.0,230.54,0.0,9.78,78.2,37288
2023/06/26 02:30:04.508,UAVFrameProducer,None,input,31,-1,-1,0.0,0.0,230.54,0.0,9.78,78.17,37289
2023/06/26 02:30:04.539,UAVFrameProducer,None,input,32,-1,-1,0.0,0.0,230.54,0.0,9.76,62.25,37291
2023/06/26 02:30:04.570,UAVFrameProducer,None,input,33,-1,-1,0.0,0.0,230.54,0.0,9.75,78.15,37293
2023/06/26 02:30:04.601,UAVFrameProducer,None,input,34,-1,-1,0.0,0.0,230.54,0.0,9.76,78.12,37294
2023/06/26 02:30:04.649,UAVFrameProducer,None,input,35,-1,-1,0.0,0.0,230.54,0.0,9.76,93.92,37296
2023/06/26 02:30:04.664,UAVFrameProducer,None,input,36,-1,-1,0.0,0.0,230.54,0.0,8.78,78.2,37298
2023/06/26 02:30:04.711,UAVFrameProducer,None,input,37,-1,-1,0.0,0.0,230.54,0.0,8.78,109.76,37299
2023/06/26 02:30:04.758,UAVFrameProducer,None,input,38,-1,-1,0.0,0.0,230.54,0.0,9.43,109.57,37301
2023/06/26 02:30:04.789,UAVFrameProducer,None,input,39,-1,-1,0.0,0.0,230.54,0.0,9.43,109.3,37303
2023/06/26 02:30:04.836,UAVFrameProducer,None,input,40,-1,-1,0.0,0.0,230.54,0.0,9.58,109.41,37305
2023/06/26 02:30:04.899,UAVFrameProducer,None,input,41,-1,-1,0.0,0.0,230.54,0.0,9.58,140.57,37307
2023/06/26 02:30:04.930,UAVFrameProducer,None,input,42,-1,-1,0.0,0.0,230.54,0.0,9.68,109.45,37309
2023/06/26 02:30:04.961,UAVFrameProducer,None,input,43,-1,-1,0.0,0.0,230.54,0.0,9.65,109.08,37310
2023/06/26 02:30:05.008,UAVFrameProducer,None,input,44,-1,-1,0.0,0.0,230.54,0.0,9.67,93.75,37312
2023/06/26 02:30:05.073,UAVFrameProducer,None,input,45,-1,-1,0.0,0.0,230.54,0.0,9.63,128.23,37315
2023/06/26 02:30:05.103,UAVFrameProducer,None,input,46,-1,-1,0.0,0.0,230.54,0.0,9.65,126.03,37316
2023/06/26 02:30:05.149,UAVFrameProducer,None,input,47,-1,-1,0.0,0.0,230.54,0.0,9.74,125.73,37318
2023/06/26 02:30:05.196,UAVFrameProducer,None,input,48,-1,-1,0.0,0.0,230.54,0.0,9.79,110.06,37320
2023/06/26 02:30:05.228,UAVFrameProducer,None,input,49,-1,-1,0.0,0.0,230.54,0.0,9.7,93.73,37322
2023/06/26 02:30:05.258,UAVFrameProducer,None,input,50,-1,-1,0.0,0.0,230.54,0.0,9.76,93.19,37323
2023/06/26 02:30:05.274,UAVFrameProducer,None,input,51,-1,-1,0.0,0.0,230.54,0.0,9.71,62.69,37325
2023/06/26 02:30:05.321,UAVFrameProducer,None,input,52,-1,-1,0.0,0.0,230.54,0.0,9.69,78.2,37326
2023/06/26 02:30:05.368,UAVFrameProducer,None,input,53,-1,-1,0.0,0.0,230.54,0.0,9.73,109.41,37329
2023/06/26 02:30:05.399,UAVFrameProducer,None,input,54,-1,-1,0.0,0.0,230.54,0.0,9.73,108.77,37331
2023/06/26 02:30:05.431,UAVFrameProducer,None,input,55,-1,-1,0.0,0.0,230.54,0.0,9.73,94.02,37332
2023/06/26 02:30:05.493,UAVFrameProducer,None,input,56,-1,-1,0.0,0.0,230.54,0.0,9.71,109.65,37334
2023/06/26 02:30:05.540,UAVFrameProducer,None,input,57,-1,-1,0.0,0.0,230.54,0.0,9.73,140.98,37336
2023/06/26 02:30:05.571,UAVFrameProducer,None,input,58,-1,-1,0.0,0.0,230.54,0.0,9.75,109.15,37338
2023/06/26 02:30:05.603,UAVFrameProducer,None,input,59,-1,-1,0.0,0.0,230.54,0.0,9.71,94.16,37339
2023/06/26 02:30:05.649,UAVFrameProducer,None,input,60,-1,-1,0.0,0.0,230.54,0.0,9.7,93.7,37341
2023/06/26 02:30:05.665,UAVFrameProducer,None,input,61,-1,-1,0.0,0.0,230.54,0.0,8.14,93.73,37343
2023/06/26 02:30:05.696,UAVFrameProducer,None,input,62,-1,-1,0.0,0.0,230.54,0.0,9.2,77.92,37345
2023/06/26 02:30:05.727,UAVFrameProducer,None,input,63,-1,-1,0.0,0.0,230.54,0.0,9.36,62.11,37347
2023/06/26 02:30:05.758,UAVFrameProducer,None,input,64,-1,-1,0.0,0.0,230.54,0.0,9.49,78.16,37348
2023/06/26 02:30:05.790,UAVFrameProducer,None,input,65,-1,-1,0.0,0.0,230.54,0.0,9.49,78.39,37350
2023/06/26 02:30:05.853,UAVFrameProducer,None,input,66,-1,-1,0.0,0.0,230.54,0.0,9.52,110.01,37351
2023/06/26 02:30:05.883,UAVFrameProducer,None,input,67,-1,-1,0.0,0.0,230.54,0.0,9.68,109.42,37353
2023/06/26 02:30:05.914,UAVFrameProducer,None,input,68,-1,-1,0.0,0.0,230.54,0.0,9.6,109.29,37356
2023/06/26 02:30:05.930,UAVFrameProducer,None,input,69,-1,-1,0.0,0.0,230.54,0.0,9.62,77.52,37357
2023/06/26 02:30:05.946,UAVFrameProducer,None,input,70,-1,-1,0.0,0.0,230.54,0.0,9.75,46.74,37358
2023/06/26 02:30:05.961,UAVFrameProducer,None,input,71,-1,-1,0.0,0.0,230.54,0.0,9.71,31.24,37360
2023/06/26 02:30:06.008,UAVFrameProducer,None,input,72,-1,-1,0.0,0.0,230.54,0.0,9.71,62.6,37361
2023/06/26 02:30:06.039,UAVFrameProducer,None,input,73,-1,-1,0.0,0.0,230.54,0.0,9.71,78.1,37363
2023/06/26 02:30:06.074,UAVFrameProducer,None,input,74,-1,-1,0.0,0.0,230.54,0.0,9.71,97.28,37365
2023/06/26 02:30:06.102,UAVFrameProducer,None,input,75,-1,-1,0.0,0.0,230.54,0.0,9.74,94.17,37367
2023/06/26 02:30:06.118,UAVFrameProducer,None,input,76,-1,-1,0.0,0.0,230.54,0.0,9.74,62.88,37368
2023/06/26 02:30:06.134,UAVFrameProducer,None,input,77,-1,-1,0.0,0.0,230.54,0.0,9.77,46.92,37370
2023/06/26 02:30:06.165,UAVFrameProducer,None,input,78,-1,-1,0.0,0.0,230.54,0.0,9.77,62.54,37371
2023/06/26 02:30:06.196,UAVFrameProducer,None,input,79,-1,-1,0.0,0.0,230.54,0.0,9.76,62.54,37373
2023/06/26 02:30:06.227,UAVFrameProducer,None,input,80,-1,-1,0.0,0.0,230.54,0.0,9.73,78.16,37374
2023/06/26 02:30:06.243,UAVFrameProducer,None,input,81,-1,-1,0.0,0.0,230.54,0.0,9.73,78.09,37376
2023/06/26 02:30:06.259,UAVFrameProducer,None,input,82,-1,-1,0.0,0.0,230.54,0.0,9.78,46.91,37377
2023/06/26 02:30:06.290,UAVFrameProducer,None,input,83,-1,-1,0.0,0.0,230.54,0.0,9.82,62.46,37378
2023/06/26 02:30:06.306,UAVFrameProducer,None,input,84,-1,-1,0.0,0.0,230.54,0.0,9.72,62.5,37380
2023/06/26 02:30:06.337,UAVFrameProducer,None,input,85,-1,-1,0.0,0.0,230.54,0.0,9.75,62.54,37381
2023/06/26 02:30:06.352,UAVFrameProducer,None,input,86,-1,-1,0.0,0.0,230.54,0.0,9.75,46.87,37383
2023/06/26 02:30:06.368,UAVFrameProducer,None,input,87,-1,-1,0.0,0.0,230.54,0.0,9.76,46.88,37384
2023/06/26 02:30:06.399,UAVFrameProducer,None,input,88,-1,-1,0.0,0.0,230.54,0.0,9.76,62.49,37386
2023/06/26 02:30:06.431,UAVFrameProducer,None,input,89,-1,-1,0.0,0.0,230.54,0.0,9.79,78.17,37387
2023/06/26 02:30:06.462,UAVFrameProducer,None,input,90,-1,-1,0.0,0.0,230.54,0.0,9.8,78.16,37388
