asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 00:01:20.059,Client,final_uav_1,None,None,3881,-1744.87,4.37,46.01,50.54,0.0,50.54,0.0,None
2023/06/26 00:01:20.105,Client,final_uav_1,nan,nan,3882,-1738.43,4.44,43.09,53.44,0.0,53.44,0.0,nan
2023/06/26 00:01:20.148,Client,final_uav_1,nan,nan,3883,-1762.46,3.31,39.87,53.99,0.0,53.99,0.0,nan
2023/06/26 00:01:20.207,Client,final_uav_1,nan,nan,3884,-1767.44,3.33,56.01,54.38,0.0,54.38,0.0,nan
2023/06/26 00:01:20.262,Client,final_uav_1,nan,nan,3885,-1736.34,3.54,53.23,54.26,0.0,54.26,0.96,nan
2023/06/26 00:01:20.316,Client,final_uav_1,nan,nan,3886,-1730.63,4.51,51.02,54.45,0.0,54.45,0.0,nan
2023/06/26 00:01:20.384,Client,final_uav_1,nan,nan,3887,-1749.88,3.2,64.69,54.63,0.0,54.63,1.02,nan
2023/06/26 00:01:20.499,Client,final_uav_1,nan,nan,3888,-1684.21,4.03,112.31,54.85,0.0,54.85,0.0,nan
2023/06/26 00:01:20.532,Client,final_uav_1,nan,nan,3889,-1740.27,2.98,29.86,55.07,0.0,55.07,0.98,nan
2023/06/26 00:01:20.567,Client,final_uav_1,nan,nan,3890,-1779.57,4.29,32.04,54.3,0.0,54.3,0.0,nan
2023/06/26 00:01:20.638,Client,final_uav_1,nan,nan,3891,-1758.4,3.68,68.43,54.84,0.0,54.84,0.0,nan
2023/06/26 00:01:20.684,Client,final_uav_1,nan,nan,3892,-1747.41,3.42,44.74,54.84,0.0,54.84,1.05,nan
2023/06/26 00:01:20.742,Client,final_uav_1,nan,nan,3893,-1771.06,2.79,56.28,55.2,0.0,55.2,0.0,nan
2023/06/26 00:01:20.826,Client,final_uav_1,nan,nan,3894,-1737.88,3.53,80.75,54.13,0.0,54.13,0.0,nan
2023/06/26 00:01:20.867,Client,final_uav_1,nan,nan,3895,-1769.61,2.76,39.23,54.46,0.0,54.46,1.0,nan
2023/06/26 00:01:20.960,Client,final_uav_1,nan,nan,3896,-1735.79,3.41,89.65,54.71,0.0,54.71,0.0,nan
2023/06/26 00:01:21.014,Client,final_uav_1,nan,nan,3897,-1720.44,3.76,51.35,48.05,0.0,48.05,0.0,nan
2023/06/26 00:01:21.056,Client,final_uav_1,nan,nan,3898,-1794.36,3.21,39.45,53.98,0.0,53.98,0.0,nan
2023/06/26 00:01:21.144,Client,final_uav_1,nan,nan,3899,-1738.53,3.06,84.85,54.38,0.0,54.38,0.0,nan
2023/06/26 00:01:21.211,Client,final_uav_1,nan,nan,3900,-1710.67,6.39,65.33,54.67,0.0,54.67,0.0,nan
2023/06/26 00:01:21.253,Client,final_uav_1,nan,nan,3901,-1773.18,3.57,39.18,55.9,0.0,55.9,0.0,nan
2023/06/26 00:01:21.298,Client,final_uav_1,nan,nan,3902,-1776.67,2.84,43.27,55.27,0.0,55.27,1.02,nan
2023/06/26 00:01:21.374,Client,final_uav_1,nan,nan,3903,-1742.82,2.69,72.86,55.63,0.0,55.63,1.0,nan
2023/06/26 00:01:21.443,Client,final_uav_1,nan,nan,3904,-1745.59,2.92,67.23,55.24,0.0,55.24,1.0,nan
2023/06/26 00:01:21.539,Client,final_uav_1,nan,nan,3905,-1717.48,4.03,92.11,55.45,0.0,55.45,0.0,nan
2023/06/26 00:01:21.592,Client,final_uav_1,nan,nan,3906,-1740.09,3.48,51.46,55.05,0.0,55.05,1.0,nan
2023/06/26 00:01:21.666,Client,final_uav_1,nan,nan,3907,-1707.63,2.88,72.4,55.28,0.0,55.28,0.0,nan
2023/06/26 00:01:21.725,Client,final_uav_1,nan,nan,3908,-1714.49,4.02,56.06,55.5,0.0,55.5,0.0,nan
2023/06/26 00:01:21.770,Client,final_uav_1,nan,nan,3909,-1764.45,3.06,42.12,54.68,0.0,54.68,0.0,nan
2023/06/26 00:01:21.835,Client,final_uav_1,nan,nan,3910,-1762.96,3.56,63.49,55.26,0.0,55.26,0.0,nan
2023/06/26 00:01:21.879,Client,final_uav_1,nan,nan,3911,-1758.84,3.66,42.11,54.9,0.0,54.9,0.0,nan
2023/06/26 00:01:21.915,Client,final_uav_1,nan,nan,3912,-1797.59,2.93,33.26,55.3,0.0,55.3,0.0,nan
2023/06/26 00:01:21.975,Client,final_uav_1,nan,nan,3913,-1776.59,3.93,57.0,46.98,0.0,46.98,0.0,nan
