asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/25 23:59:37.718,Client,final_uav_1,None,None,2215,-1378.1,12.95,195096.94,53.63,0.0,53.63,0.0,None
2023/06/25 23:59:37.752,Client,final_uav_1,nan,nan,2216,-1678.39,6.51,29.04,53.11,0.0,53.11,0.52,nan
2023/06/25 23:59:37.781,Client,final_uav_1,nan,nan,2217,-1720.97,3.58,27.07,53.58,0.0,53.58,0.0,nan
2023/06/25 23:59:37.821,Client,final_uav_1,nan,nan,2218,-1743.12,4.37,37.18,53.78,0.0,53.78,0.0,nan
2023/06/25 23:59:37.877,Client,final_uav_1,nan,nan,2219,-1748.66,4.41,53.35,53.48,0.0,53.48,0.53,nan
2023/06/25 23:59:37.926,Client,final_uav_1,nan,nan,2220,-1762.51,3.96,47.45,40.58,0.0,40.58,0.0,nan
2023/06/25 23:59:38.015,Client,final_uav_1,nan,nan,2221,-1732.77,3.7,84.29,50.61,0.0,50.61,0.0,nan
2023/06/25 23:59:38.066,Client,final_uav_1,nan,nan,2222,-1733.93,7.57,47.68,52.67,0.0,52.67,0.0,nan
2023/06/25 23:59:38.093,Client,final_uav_1,nan,nan,2223,-1770.06,4.41,24.66,53.19,0.0,53.19,0.52,nan
2023/06/25 23:59:38.145,Client,final_uav_1,nan,nan,2224,-1779.86,3.92,49.41,52.77,0.0,52.77,0.0,nan
2023/06/25 23:59:38.193,Client,final_uav_1,nan,nan,2225,-1759.3,4.47,44.94,53.16,0.0,53.16,0.0,nan
2023/06/25 23:59:38.265,Client,final_uav_1,nan,nan,2226,-1749.59,4.19,70.11,53.48,0.0,53.48,0.52,nan
2023/06/25 23:59:38.315,Client,final_uav_1,nan,nan,2227,-1747.0,3.77,46.96,53.46,0.0,53.46,0.0,nan
2023/06/25 23:59:38.638,Client,final_uav_1,nan,nan,2228,-1496.71,4.06,320.22,53.3,0.0,53.3,0.0,nan
2023/06/25 23:59:38.701,Client,final_uav_1,nan,nan,2229,-1485.31,3.47,61.3,53.33,0.0,53.33,0.0,nan
2023/06/25 23:59:38.809,Client,final_uav_1,nan,nan,2230,-1446.96,3.81,104.66,53.17,0.0,53.17,0.0,nan
2023/06/25 23:59:38.843,Client,final_uav_1,nan,nan,2231,-1744.93,3.37,31.4,53.56,0.0,53.56,0.0,nan
2023/06/25 23:59:38.888,Client,final_uav_1,nan,nan,2232,-1770.01,3.85,42.38,53.51,0.0,53.51,0.0,nan
2023/06/25 23:59:38.957,Client,final_uav_1,nan,nan,2233,-1757.14,6.68,66.24,40.23,0.0,40.23,0.0,nan
2023/06/25 23:59:38.991,Client,final_uav_1,nan,nan,2234,-1768.47,4.38,30.66,52.41,0.0,52.41,0.0,nan
2023/06/25 23:59:39.033,Client,final_uav_1,nan,nan,2235,-1790.2,4.31,38.81,52.98,0.0,52.98,0.52,nan
2023/06/25 23:59:39.087,Client,final_uav_1,nan,nan,2236,-1768.46,3.72,52.23,53.35,0.0,53.35,0.52,nan
2023/06/25 23:59:39.144,Client,final_uav_1,nan,nan,2237,-1764.36,4.53,54.21,53.56,0.0,53.56,0.0,nan
2023/06/25 23:59:39.187,Client,final_uav_1,nan,nan,2238,-1775.24,3.55,39.94,53.35,0.0,53.35,0.0,nan
2023/06/25 23:59:39.256,Client,final_uav_1,nan,nan,2239,-1760.25,3.54,67.35,52.9,0.0,52.9,0.0,nan
2023/06/25 23:59:39.329,Client,final_uav_1,nan,nan,2240,-1730.67,4.12,70.5,52.91,0.0,52.91,0.52,nan
2023/06/25 23:59:39.409,Client,final_uav_1,nan,nan,2241,-1733.13,4.1,77.38,53.23,0.0,53.23,0.0,nan
2023/06/25 23:59:39.473,Client,final_uav_1,nan,nan,2242,-1725.91,3.92,61.23,53.16,0.0,53.16,0.0,nan
2023/06/25 23:59:39.537,Client,final_uav_1,nan,nan,2243,-1745.98,3.99,60.88,53.16,0.0,53.16,0.0,nan
2023/06/25 23:59:39.619,Client,final_uav_1,nan,nan,2244,-1728.51,4.83,79.73,53.1,0.0,53.1,0.0,nan
2023/06/25 23:59:39.663,Client,final_uav_1,nan,nan,2245,-1742.93,4.34,40.79,53.27,0.0,53.27,0.52,nan
2023/06/25 23:59:39.694,Client,final_uav_1,nan,nan,2246,-1776.78,4.69,27.73,52.81,0.0,52.81,0.0,nan
2023/06/25 23:59:39.773,Client,final_uav_1,nan,nan,2247,-1762.53,4.05,76.79,53.23,0.0,53.23,0.52,nan
2023/06/25 23:59:39.852,Client,final_uav_1,nan,nan,2248,-1714.93,4.65,75.94,53.23,0.0,53.23,0.0,nan
2023/06/25 23:59:39.921,Client,final_uav_1,nan,nan,2249,-1722.88,4.43,67.05,53.11,0.0,53.11,0.0,nan
2023/06/25 23:59:39.975,Client,final_uav_1,nan,nan,2250,-1748.08,5.05,49.45,55.91,0.0,55.91,0.53,nan
2023/06/25 23:59:40.051,Client,final_uav_1,nan,nan,2251,-1737.44,3.66,74.44,60.06,0.0,60.06,0.52,nan
2023/06/25 23:59:40.085,Client,final_uav_1,nan,nan,2252,-1757.37,4.32,31.05,61.14,0.0,61.14,0.0,nan
2023/06/25 23:59:40.142,Client,final_uav_1,nan,nan,2253,-1776.74,3.95,54.51,60.67,0.5,60.67,0.02,nan
2023/06/25 23:59:40.261,Client,final_uav_1,nan,nan,2254,-1686.64,7.21,116.56,59.73,0.0,59.73,0.0,nan
2023/06/25 23:59:40.356,Client,final_uav_1,nan,nan,2255,-1660.57,4.49,92.13,58.68,0.0,58.68,0.0,nan
2023/06/25 23:59:40.419,Client,final_uav_1,nan,nan,2256,-1654.02,4.43,60.78,57.81,0.0,57.81,0.52,nan
2023/06/25 23:59:40.475,Client,final_uav_1,nan,nan,2257,-1765.02,3.85,52.74,56.81,0.0,56.81,0.0,nan
2023/06/25 23:59:40.548,Client,final_uav_1,nan,nan,2258,-1741.07,3.62,70.16,58.26,0.0,58.26,0.0,nan
2023/06/25 23:59:40.580,Client,final_uav_1,nan,nan,2259,-1798.03,3.79,30.53,59.17,0.0,59.17,0.0,nan
2023/06/25 23:59:40.622,Client,final_uav_1,nan,nan,2260,-1796.37,4.54,37.99,60.15,0.0,60.15,0.0,nan
2023/06/25 23:59:40.724,Client,final_uav_1,nan,nan,2261,-1729.21,7.34,99.09,59.95,0.0,59.95,0.0,nan
2023/06/25 23:59:40.750,Client,final_uav_1,nan,nan,2262,-1748.98,3.89,23.93,60.17,0.0,60.17,0.0,nan
2023/06/25 23:59:40.803,Client,final_uav_1,nan,nan,2263,-1756.76,4.09,50.03,59.98,0.0,59.98,0.0,nan
2023/06/25 23:59:40.839,Client,final_uav_1,nan,nan,2264,-1756.94,4.91,33.11,59.88,0.0,59.88,0.0,nan
2023/06/25 23:59:40.891,Client,final_uav_1,nan,nan,2265,-1763.01,4.91,48.84,59.54,0.0,59.54,0.0,nan
2023/06/25 23:59:40.957,Client,final_uav_1,nan,nan,2266,-1750.13,3.72,63.72,50.67,0.0,50.67,0.0,nan
2023/06/25 23:59:41.016,Client,final_uav_1,nan,nan,2267,-1744.66,4.19,56.38,55.55,0.0,55.55,0.0,nan
2023/06/25 23:59:41.082,Client,final_uav_1,nan,nan,2268,-1758.07,5.05,62.6,56.5,0.0,56.5,0.52,nan
2023/06/25 23:59:41.171,Client,final_uav_1,nan,nan,2269,-1715.92,4.0,85.81,57.16,0.0,57.16,0.0,nan
2023/06/25 23:59:41.222,Client,final_uav_1,nan,nan,2270,-1736.53,4.15,48.35,56.9,0.0,56.9,0.0,nan
2023/06/25 23:59:41.278,Client,final_uav_1,nan,nan,2271,-1768.66,4.16,53.41,57.04,0.0,57.04,0.03,nan
2023/06/25 23:59:41.387,Client,final_uav_1,nan,nan,2272,-1702.08,3.77,106.76,57.34,0.0,57.34,0.52,nan
2023/06/25 23:59:41.437,Client,final_uav_1,nan,nan,2273,-1710.25,4.65,45.75,57.29,0.0,57.29,0.0,nan
2023/06/25 23:59:41.511,Client,final_uav_1,nan,nan,2274,-1725.53,7.42,71.61,57.18,0.0,57.18,0.0,nan
2023/06/25 23:59:41.601,Client,final_uav_1,nan,nan,2275,-1710.61,4.8,86.24,56.92,0.0,56.92,0.0,nan
2023/06/25 23:59:41.680,Client,final_uav_1,nan,nan,2276,-1698.88,4.33,76.41,57.07,0.0,57.07,0.52,nan
2023/06/25 23:59:41.777,Client,final_uav_1,nan,nan,2277,-1700.22,3.54,94.61,57.57,0.0,57.57,0.53,nan
2023/06/25 23:59:41.839,Client,final_uav_1,nan,nan,2278,-1746.48,4.37,59.18,57.29,0.0,57.29,0.59,nan
2023/06/25 23:59:41.929,Client,final_uav_1,nan,nan,2279,-1715.46,4.75,86.23,58.04,0.0,58.04,0.0,nan
2023/06/25 23:59:41.999,Client,final_uav_1,nan,nan,2280,-1710.75,4.48,66.62,51.71,0.0,51.71,0.0,nan
2023/06/25 23:59:42.064,Client,final_uav_1,nan,nan,2281,-1741.95,4.89,63.28,56.61,0.0,56.61,0.0,nan
2023/06/25 23:59:42.115,Client,final_uav_1,nan,nan,2282,-1752.9,3.6,47.19,57.53,0.0,57.53,0.0,nan
2023/06/25 23:59:42.175,Client,final_uav_1,nan,nan,2283,-1771.86,5.39,57.64,57.52,0.0,57.52,0.0,nan
2023/06/25 23:59:42.279,Client,final_uav_1,nan,nan,2284,-1706.0,3.48,101.46,57.76,0.0,57.76,0.0,nan
2023/06/25 23:59:42.328,Client,final_uav_1,nan,nan,2285,-1715.74,4.67,46.02,57.93,0.0,57.93,0.0,nan
2023/06/25 23:59:42.454,Client,final_uav_1,nan,nan,2286,-1695.43,4.32,123.44,57.8,0.0,57.8,0.53,nan
2023/06/25 23:59:42.503,Client,final_uav_1,nan,nan,2287,-1716.29,4.28,45.81,57.74,0.0,57.74,0.0,nan
2023/06/25 23:59:42.599,Client,final_uav_1,nan,nan,2288,-1703.39,5.06,93.15,57.54,0.0,57.54,0.0,nan
2023/06/25 23:59:42.659,Client,final_uav_1,nan,nan,2289,-1753.69,4.57,57.36,57.48,0.0,57.48,0.52,nan
2023/06/25 23:59:42.761,Client,final_uav_1,nan,nan,2290,-1728.56,7.94,98.76,57.61,0.0,57.61,0.52,nan
2023/06/25 23:59:42.807,Client,final_uav_1,nan,nan,2291,-1722.59,4.58,43.47,57.79,0.0,57.79,0.0,nan
2023/06/25 23:59:42.867,Client,final_uav_1,nan,nan,2292,-1763.24,4.54,56.3,57.44,0.0,57.44,0.0,nan
2023/06/25 23:59:42.970,Client,final_uav_1,nan,nan,2293,-1703.97,5.01,100.33,43.97,0.0,43.97,0.52,nan
2023/06/25 23:59:43.022,Client,final_uav_1,nan,nan,2294,-1716.54,4.64,48.44,54.48,0.53,54.48,0.0,nan
2023/06/25 23:59:43.073,Client,final_uav_1,nan,nan,2295,-1767.18,5.27,46.83,56.21,0.0,56.21,0.0,nan
2023/06/25 23:59:43.163,Client,final_uav_1,nan,nan,2296,-1716.64,5.91,85.79,57.76,0.0,57.76,0.53,nan
2023/06/25 23:59:43.247,Client,final_uav_1,nan,nan,2297,-1732.93,6.02,79.86,57.76,0.0,57.76,0.52,nan
2023/06/25 23:59:43.311,Client,final_uav_1,nan,nan,2298,-1712.71,5.8,60.55,57.62,0.0,57.62,0.0,nan
2023/06/25 23:59:43.380,Client,final_uav_1,nan,nan,2299,-1745.91,4.34,66.91,57.78,0.0,57.78,0.0,nan
2023/06/25 23:59:43.420,Client,final_uav_1,nan,nan,2300,-1774.22,2.96,38.55,57.78,0.0,57.78,0.0,nan
2023/06/25 23:59:43.517,Client,final_uav_1,nan,nan,2301,-1742.36,3.62,93.34,57.6,0.0,57.6,0.0,nan
2023/06/25 23:59:43.571,Client,final_uav_1,nan,nan,2302,-1715.49,4.74,51.08,57.92,0.0,57.92,0.52,nan
2023/06/25 23:59:43.644,Client,final_uav_1,nan,nan,2303,-1739.32,4.06,70.2,57.8,0.0,57.8,0.0,nan
2023/06/25 23:59:43.742,Client,final_uav_1,nan,nan,2304,-1700.38,3.33,95.64,57.51,0.0,57.51,0.0,nan
2023/06/25 23:59:43.790,Client,final_uav_1,nan,nan,2305,-1727.01,4.39,45.39,57.57,0.0,57.57,0.0,nan
2023/06/25 23:59:43.845,Client,final_uav_1,nan,nan,2306,-1775.5,3.71,52.24,57.87,0.0,57.87,0.0,nan
2023/06/25 23:59:43.882,Client,final_uav_1,nan,nan,2307,-1779.08,4.06,33.77,44.04,0.0,44.04,0.0,nan
2023/06/25 23:59:43.938,Client,final_uav_1,nan,nan,2308,-1770.56,3.9,54.32,51.17,0.0,51.17,0.0,nan
2023/06/25 23:59:43.984,Client,final_uav_1,nan,nan,2309,-1772.51,7.22,43.72,54.84,0.0,54.84,0.0,nan
2023/06/25 23:59:44.034,Client,final_uav_1,nan,nan,2310,-1777.43,4.0,47.16,57.22,0.0,57.22,0.0,nan
2023/06/25 23:59:44.114,Client,final_uav_1,nan,nan,2311,-1730.88,4.54,76.38,57.42,0.0,57.42,0.52,nan
2023/06/25 23:59:44.188,Client,final_uav_1,nan,nan,2312,-1713.53,4.26,71.62,57.96,0.0,57.96,0.0,nan
2023/06/25 23:59:44.264,Client,final_uav_1,nan,nan,2313,-1725.81,3.99,72.69,57.76,0.0,57.76,0.0,nan
2023/06/25 23:59:44.334,Client,final_uav_1,nan,nan,2314,-1729.26,4.4,67.8,58.08,0.0,58.08,0.0,nan
2023/06/25 23:59:44.413,Client,final_uav_1,nan,nan,2315,-1724.31,3.41,76.89,57.59,0.0,57.59,0.0,nan
2023/06/25 23:59:44.461,Client,final_uav_1,nan,nan,2316,-1750.42,4.13,45.04,57.73,0.0,57.73,0.0,nan
2023/06/25 23:59:44.530,Client,final_uav_1,nan,nan,2317,-1757.23,3.62,65.89,57.91,0.0,57.91,0.0,nan
2023/06/25 23:59:44.588,Client,final_uav_1,nan,nan,2318,-1746.88,4.89,56.38,57.8,0.0,57.8,0.52,nan
2023/06/25 23:59:44.633,Client,final_uav_1,nan,nan,2319,-1764.88,4.3,41.77,57.71,0.0,57.71,0.0,nan
2023/06/25 23:59:44.698,Client,final_uav_1,nan,nan,2320,-1757.72,4.2,62.25,57.63,0.0,57.63,0.0,nan
2023/06/25 23:59:44.762,Client,final_uav_1,nan,nan,2321,-1750.15,4.33,61.48,57.89,0.0,57.89,0.0,nan
2023/06/25 23:59:44.842,Client,final_uav_1,nan,nan,2322,-1730.83,4.68,76.72,57.92,0.0,57.92,0.0,nan
