asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/25 16:59:37.715,LocalInferencer1,input,final_uav_1,1,2233,-1789.84,-1788.66,208271.73,921.74,394.5,53.61,11.21,2215
2023/06/25 16:59:37.751,LocalInferencer1,input,final_uav_1,8,2240,-1720.56,-1780.59,49.76,921.74,33.88,53.09,5.72,2216
2023/06/25 16:59:37.781,LocalInferencer1,input,final_uav_1,9,2241,-1754.76,-1805.15,59.68,921.74,28.15,53.57,3.07,2217
2023/06/25 16:59:37.820,LocalInferencer1,input,final_uav_1,10,2242,-1774.81,-1823.25,64.8,921.74,25.88,53.76,3.19,2218
2023/06/25 16:59:37.876,LocalInferencer1,input,final_uav_1,11,2243,-1778.88,-1830.23,56.58,921.74,24.82,53.47,3.24,2219
2023/06/25 16:59:37.927,LocalInferencer1,input,final_uav_1,12,2244,-1792.9,-1836.36,50.68,921.74,24.91,40.56,3.24,2220
2023/06/25 16:59:38.014,LocalInferencer1,input,final_uav_1,13,2245,-1761.07,-1799.53,88.11,921.74,23.29,50.59,2.97,2221
2023/06/25 16:59:38.065,LocalInferencer1,input,final_uav_1,14,2246,-1768.1,-1821.53,44.49,921.74,25.22,52.66,6.11,2222
2023/06/25 16:59:38.093,LocalInferencer1,input,final_uav_1,15,2247,-1802.02,-1852.49,24.12,921.74,26.48,53.17,3.0,2223
2023/06/25 16:59:38.144,LocalInferencer1,input,final_uav_1,16,2248,-1809.58,-1825.71,59.0,921.74,24.43,52.76,3.18,2224
2023/06/25 16:59:38.192,LocalInferencer1,input,final_uav_1,17,2249,-1788.76,-1840.92,46.72,921.74,23.74,53.15,3.2,2225
2023/06/25 16:59:38.265,LocalInferencer1,input,final_uav_1,18,2250,-1778.13,-1813.29,73.29,921.74,22.87,53.47,3.36,2226
2023/06/25 16:59:38.314,LocalInferencer1,input,final_uav_1,19,2251,-1775.72,-1837.88,49.1,921.74,23.54,53.44,3.07,2227
2023/06/25 16:59:38.637,LocalInferencer1,input,final_uav_1,20,2252,-1525.44,-1565.59,322.76,921.74,23.42,53.28,3.05,2228
2023/06/25 16:59:38.701,LocalInferencer1,input,final_uav_1,21,2253,-1512.75,-1568.86,64.34,921.74,22.71,53.31,3.01,2229
2023/06/25 16:59:38.809,LocalInferencer1,input,final_uav_1,22,2254,-1475.16,-1782.32,106.23,921.74,22.74,53.15,3.59,2230
2023/06/25 16:59:38.843,LocalInferencer1,input,final_uav_1,23,2255,-1773.42,-1833.03,33.52,921.74,23.19,53.55,2.97,2231
2023/06/25 16:59:38.887,LocalInferencer1,input,final_uav_1,24,2256,-1797.66,-1839.74,45.18,921.74,22.32,53.49,3.08,2232
2023/06/25 16:59:38.962,LocalInferencer1,input,final_uav_1,25,2257,-1787.98,-1822.09,65.27,921.74,22.84,40.22,11.35,2233
