asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 02:30:01.653,Client,final_uav_1,None,None,22066,-1481.35,8.76,29307.92,76.64,0.0,76.64,2.0,None
2023/06/26 02:30:01.690,Client,final_uav_1,nan,nan,22067,-1682.5,4.76,32.58,70.87,0.0,70.87,0.0,nan
2023/06/26 02:30:01.735,Client,final_uav_1,nan,nan,22068,-1705.54,8.3,40.47,73.61,0.0,73.61,0.53,nan
2023/06/26 02:30:01.775,Client,final_uav_1,nan,nan,22069,-1720.19,6.23,35.36,75.01,0.0,75.01,1.0,nan
2023/06/26 02:30:01.811,Client,final_uav_1,nan,nan,22070,-1743.21,4.25,32.0,75.67,0.0,75.67,0.0,nan
2023/06/26 02:30:01.866,Client,final_uav_1,nan,nan,22071,-1726.85,5.79,53.04,76.48,0.0,76.48,1.0,nan
2023/06/26 02:30:01.947,Client,final_uav_1,nan,nan,22072,-1702.42,4.82,77.03,75.85,0.0,75.85,1.0,nan
2023/06/26 02:30:01.989,Client,final_uav_2,nan,nan,12374,-1351.83,7.33,39.52,75.47,0.0,75.47,1.0,nan
2023/06/26 02:30:02.029,Client,final_uav_2,nan,nan,12375,-1341.7,5.48,34.59,77.94,0.0,77.94,1.05,nan
2023/06/26 02:30:02.111,Client,final_uav_2,nan,nan,12376,-1277.36,5.81,78.79,78.29,0.0,78.29,1.0,nan
2023/06/26 02:30:02.146,Client,final_uav_2,nan,nan,12377,-1376.92,4.24,31.78,78.38,0.0,78.38,0.01,nan
2023/06/26 02:30:02.186,Client,final_uav_2,nan,nan,12378,-1381.79,5.78,37.0,78.61,0.0,78.61,0.0,nan
2023/06/26 02:30:02.231,Client,final_uav_1,nan,nan,22073,-1707.83,8.78,42.01,76.93,0.0,76.93,1.0,nan
2023/06/26 02:30:02.266,Client,final_uav_2,nan,nan,12379,-1380.79,4.78,32.0,77.52,0.0,77.52,1.0,nan
2023/06/26 02:30:02.303,Client,final_uav_2,nan,nan,12380,-1382.24,7.33,32.55,77.95,0.0,77.95,1.0,nan
2023/06/26 02:30:02.363,Client,final_uav_2,nan,nan,12381,-1358.38,5.2,54.87,77.7,0.0,77.7,1.0,nan
2023/06/26 02:30:02.407,Client,final_uav_1,nan,nan,22074,-1683.65,4.2,41.0,77.2,0.0,77.2,0.99,nan
2023/06/26 02:30:02.440,Client,final_uav_1,nan,nan,22075,-1721.3,4.41,30.21,76.65,0.0,76.65,1.0,nan
2023/06/26 02:30:02.480,Client,final_uav_1,nan,nan,22076,-1709.74,6.41,36.0,76.99,0.0,76.99,1.0,nan
2023/06/26 02:30:02.513,Client,final_uav_2,nan,nan,12382,-1373.3,4.33,29.92,78.31,0.0,78.31,1.0,nan
2023/06/26 02:30:02.545,Client,final_uav_1,nan,nan,22077,-1736.03,5.19,30.3,63.63,0.0,63.63,0.52,nan
2023/06/26 02:30:02.579,Client,final_uav_2,nan,nan,12383,-1336.45,4.15,30.39,78.66,0.0,78.66,1.0,nan
2023/06/26 02:30:02.615,Client,final_uav_2,nan,nan,12384,-1351.27,6.62,32.49,78.15,0.0,78.15,0.54,nan
2023/06/26 02:30:02.645,Client,final_uav_1,nan,nan,22078,-1720.29,5.32,27.54,71.16,0.0,71.16,0.52,nan
2023/06/26 02:30:02.676,Client,final_uav_2,nan,nan,12385,-1385.92,3.35,27.95,78.08,0.0,78.08,0.0,nan
2023/06/26 02:30:02.709,Client,final_uav_1,nan,nan,22079,-1715.92,5.65,29.3,73.67,0.0,73.67,1.0,nan
2023/06/26 02:30:02.755,Client,final_uav_2,nan,nan,12386,-1363.55,5.04,42.89,78.75,0.0,78.75,0.53,nan
2023/06/26 02:30:02.789,Client,final_uav_2,nan,nan,12387,-1393.19,4.8,30.61,78.0,0.0,78.0,1.1,nan
2023/06/26 02:30:02.822,Client,final_uav_1,nan,nan,22080,-1722.87,5.28,28.81,75.57,0.0,75.57,1.0,nan
2023/06/26 02:30:02.866,Client,final_uav_2,nan,nan,12388,-1377.62,5.77,40.11,78.73,0.0,78.73,1.0,nan
2023/06/26 02:30:02.908,Client,final_uav_2,nan,nan,12389,-1351.71,5.3,38.0,78.3,0.0,78.3,0.99,nan
2023/06/26 02:30:02.951,Client,final_uav_1,nan,nan,22081,-1758.87,15.88,40.59,76.23,0.0,76.23,0.0,nan
