asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/25 17:37:16.642,LocalInferencer1,input,final_uav_1,1,10102,-1775.31,-1775.44,125107.41,11.61,247.75,90.02,6.25,10049
2023/06/25 17:37:16.684,LocalInferencer1,input,final_uav_1,5,10106,-1758.26,-1812.0,59.5,11.5,41.56,89.55,3.61,10050
2023/06/25 17:37:16.719,LocalInferencer1,input,final_uav_1,6,10107,-1774.4,-1827.15,52.74,11.42,31.88,88.96,3.43,10051
2023/06/25 17:37:16.754,LocalInferencer1,input,final_uav_1,7,10108,-1797.4,-1837.95,36.36,11.48,30.66,89.46,4.43,10052
2023/06/25 17:37:16.789,LocalInferencer1,input,final_uav_1,8,10109,-1809.84,-1837.62,41.53,11.53,31.83,89.27,3.08,10053
2023/06/25 17:37:16.859,LocalInferencer1,input,final_uav_1,9,10110,-1767.86,-1811.58,72.74,11.56,28.78,89.74,3.25,10054
2023/06/25 17:37:16.905,LocalInferencer1,input,final_uav_1,10,10111,-1772.67,-1842.37,45.03,11.57,30.23,89.85,2.88,10055
2023/06/25 17:37:16.960,LocalInferencer1,input,final_uav_1,11,10112,-1796.89,-1832.58,54.14,11.52,29.58,89.73,3.0,10056
2023/06/25 17:37:17.027,LocalInferencer1,input,final_uav_1,12,10113,-1794.08,-1844.77,41.96,10.73,54.8,84.0,3.1,10057
2023/06/25 17:37:17.071,LocalInferencer1,input,final_uav_1,13,10114,-1783.14,-1819.81,66.86,11.25,32.25,87.42,2.72,10058
2023/06/25 17:37:17.119,LocalInferencer1,input,final_uav_1,14,10115,-1778.41,-1838.58,48.04,11.58,31.43,89.52,3.41,10059
2023/06/25 17:37:17.180,LocalInferencer1,input,final_uav_1,15,10116,-1785.02,-1826.29,60.18,11.67,31.65,90.19,3.54,10060
2023/06/25 17:37:17.222,LocalInferencer1,input,final_uav_1,16,10117,-1787.79,-1845.14,41.31,11.66,31.12,90.45,4.68,10061
2023/06/25 17:37:17.524,LocalInferencer1,input,final_uav_1,17,10118,-1814.74,-1852.07,36.11,11.78,299.08,95.82,3.75,10062
2023/06/25 17:37:17.558,LocalInferencer1,input,final_uav_1,23,10124,-1784.36,-1834.51,46.75,11.75,30.94,90.63,3.06,10063
2023/06/25 17:37:17.610,LocalInferencer1,input,final_uav_1,24,10125,-1782.29,-1835.06,57.94,11.69,29.48,90.56,2.82,10064
2023/06/25 17:37:17.655,LocalInferencer1,input,final_uav_1,25,10126,-1795.41,-1837.27,44.53,11.72,30.55,90.68,2.85,10065
2023/06/25 17:37:17.708,LocalInferencer1,input,final_uav_1,26,10127,-1784.85,-1832.06,54.18,11.72,29.39,90.68,2.91,10066
2023/06/25 17:37:17.760,LocalInferencer1,input,final_uav_1,27,10128,-1782.33,-1837.81,53.72,11.72,27.86,90.5,2.82,10067
2023/06/25 17:37:17.812,LocalInferencer1,input,final_uav_1,28,10129,-1791.32,-1834.96,51.04,11.73,27.9,90.65,3.04,10068
2023/06/25 17:37:17.866,LocalInferencer1,input,final_uav_1,29,10130,-1789.7,-1835.4,50.51,11.73,28.35,90.65,6.08,10069
2023/06/25 17:37:17.912,LocalInferencer1,input,final_uav_1,30,10131,-1792.37,-1837.15,49.15,11.74,28.65,90.81,2.98,10070
2023/06/25 17:37:17.953,LocalInferencer1,input,final_uav_1,31,10132,-1801.9,-1843.29,40.68,11.69,29.18,90.44,2.7,10071
2023/06/25 17:37:18.005,LocalInferencer1,input,final_uav_1,32,10133,-1796.16,-1838.39,48.66,10.83,28.59,84.72,5.32,10072
2023/06/25 17:37:18.043,LocalInferencer1,input,final_uav_1,33,10134,-1805.92,-1853.63,33.82,11.24,35.02,92.04,3.12,10073
2023/06/25 17:37:18.083,LocalInferencer1,input,final_uav_1,34,10135,-1811.51,-1840.16,46.27,11.5,29.91,88.87,2.94,10074
2023/06/25 17:37:18.133,LocalInferencer1,input,final_uav_1,35,10136,-1795.83,-1835.33,50.72,11.59,29.27,89.98,2.95,10075
2023/06/25 17:37:18.194,LocalInferencer1,input,final_uav_1,36,10137,-1784.98,-1831.99,53.16,11.74,29.53,90.86,4.72,10076
2023/06/25 17:37:18.277,LocalInferencer1,input,final_uav_1,37,10138,-1765.17,-1814.97,69.17,11.75,36.17,91.01,11.34,10077
2023/06/25 17:37:18.333,LocalInferencer1,input,final_uav_1,38,10139,-1759.25,-1812.4,70.03,11.7,32.99,90.5,3.24,10078
2023/06/25 17:37:18.394,LocalInferencer1,input,final_uav_1,39,10140,-1785.16,-1838.25,43.44,11.66,44.21,90.29,7.23,10079
2023/06/25 17:37:18.428,LocalInferencer1,input,final_uav_1,40,10141,-1798.38,-1834.53,41.63,11.73,34.42,90.7,3.71,10080
2023/06/25 17:37:18.460,LocalInferencer1,input,final_uav_1,41,10142,-1802.69,-1835.6,42.76,11.6,28.87,90.34,3.08,10081
2023/06/25 17:37:18.514,LocalInferencer1,input,final_uav_1,42,10143,-1790.78,-1819.68,61.11,11.68,27.5,90.58,2.84,10082
2023/06/25 17:37:18.587,LocalInferencer1,input,final_uav_1,43,10144,-1752.15,-1815.31,71.17,11.71,28.27,90.67,2.94,10083
2023/06/25 17:37:18.634,LocalInferencer1,input,final_uav_1,44,10145,-1773.62,-1839.61,47.69,11.63,28.05,90.4,3.02,10084
2023/06/25 17:37:18.701,LocalInferencer1,input,final_uav_1,45,10146,-1782.18,-1822.86,62.65,11.64,32.63,95.62,2.83,10085
2023/06/25 17:37:18.745,LocalInferencer1,input,final_uav_1,46,10147,-1781.55,-1827.37,46.3,11.66,29.91,90.3,2.94,10086
2023/06/25 17:37:18.806,LocalInferencer1,input,final_uav_1,47,10148,-1770.18,-1821.79,63.35,11.62,27.92,89.98,2.86,10087
2023/06/25 17:37:18.878,LocalInferencer1,input,final_uav_1,48,10149,-1757.76,-1814.84,70.97,11.58,28.29,90.17,2.88,10088
2023/06/25 17:37:18.947,LocalInferencer1,input,final_uav_1,49,10150,-1755.74,-1817.7,65.07,11.52,29.78,89.87,3.88,10089
2023/06/25 17:37:19.002,LocalInferencer1,input,final_uav_1,50,10151,-1774.19,-1837.03,49.23,11.59,36.17,89.95,3.56,10090
2023/06/25 17:37:19.035,LocalInferencer1,input,final_uav_1,51,10152,-1802.21,-1839.18,35.35,10.68,30.67,84.04,2.91,10091
2023/06/25 17:37:19.088,LocalInferencer1,input,final_uav_1,52,10153,-1796.86,-1829.48,56.24,11.36,28.56,88.11,6.37,10092
2023/06/25 17:37:19.132,LocalInferencer1,input,final_uav_1,53,10154,-1789.63,-1842.48,44.8,11.36,30.64,88.58,3.09,10093
2023/06/25 17:37:19.177,LocalInferencer1,input,final_uav_1,54,10155,-1812.45,-1841.61,42.85,11.32,33.03,88.31,3.08,10094
2023/06/25 17:37:19.218,LocalInferencer1,input,final_uav_1,55,10156,-1801.29,-1840.97,43.51,11.3,31.16,88.0,2.88,10095
2023/06/25 17:37:19.292,LocalInferencer1,input,final_uav_1,56,10157,-1769.61,-1811.29,76.58,11.31,27.73,88.22,2.72,10096
2023/06/25 17:37:19.355,LocalInferencer1,input,final_uav_1,57,10158,-1762.28,-1782.96,62.21,11.32,27.96,88.38,3.03,10097
2023/06/25 17:37:19.409,LocalInferencer1,input,final_uav_1,58,10159,-1735.41,-1835.08,51.47,11.4,30.43,88.5,3.01,10098
2023/06/25 17:37:19.452,LocalInferencer1,input,final_uav_1,59,10160,-1794.46,-1843.14,44.12,11.43,29.89,88.72,2.88,10099
2023/06/25 17:37:19.500,LocalInferencer1,input,final_uav_1,60,10161,-1806.51,-1838.18,47.71,11.33,29.27,88.42,2.87,10100
2023/06/25 17:37:19.550,LocalInferencer1,input,final_uav_1,61,10162,-1792.3,-1835.93,51.29,11.29,28.24,88.14,2.86,10101
2023/06/25 17:37:19.609,LocalInferencer1,input,final_uav_1,62,10163,-1780.85,-1827.44,59.34,11.29,28.25,88.18,2.85,10102
2023/06/25 17:37:19.674,LocalInferencer1,input,final_uav_1,63,10164,-1770.59,-1824.22,63.06,11.31,29.97,88.24,2.79,10103
2023/06/25 17:37:19.720,LocalInferencer1,input,final_uav_1,64,10165,-1788.89,-1841.42,45.51,11.3,30.26,88.01,2.89,10104
2023/06/25 17:37:19.767,LocalInferencer1,input,final_uav_1,65,10166,-1799.11,-1840.74,46.69,11.34,30.77,88.44,2.78,10105
2023/06/25 17:37:19.816,LocalInferencer1,input,final_uav_1,66,10167,-1798.6,-1838.22,49.46,11.29,29.36,88.06,2.86,10106
2023/06/25 17:37:19.854,LocalInferencer1,input,final_uav_1,67,10168,-1810.09,-1849.7,37.43,11.29,30.21,88.06,2.78,10107
2023/06/25 17:37:19.924,LocalInferencer1,input,final_uav_1,68,10169,-1792.34,-1816.96,70.64,11.32,29.12,88.4,2.89,10108
2023/06/25 17:37:19.976,LocalInferencer1,input,final_uav_1,69,10170,-1768.57,-1832.2,52.42,11.39,28.57,88.61,3.01,10109
2023/06/25 17:37:20.021,LocalInferencer1,input,final_uav_1,70,10171,-1792.18,-1842.81,44.32,10.43,29.34,82.15,2.88,10110
2023/06/25 17:37:20.071,LocalInferencer1,input,final_uav_1,71,10172,-1801.2,-1839.72,45.65,11.19,30.28,87.41,4.93,10111
2023/06/25 17:37:20.106,LocalInferencer1,input,final_uav_1,72,10173,-1814.85,-1847.45,36.6,11.22,31.7,88.09,2.7,10112
2023/06/25 17:37:20.158,LocalInferencer1,input,final_uav_1,73,10174,-1799.97,-1834.45,51.6,11.28,30.39,88.22,4.23,10113
2023/06/25 17:37:20.190,LocalInferencer1,input,final_uav_1,74,10175,-1805.96,-1850.91,28.21,11.36,29.43,88.77,2.85,10114
2023/06/25 17:37:20.230,LocalInferencer1,input,final_uav_1,75,10176,-1817.38,-1839.79,46.2,11.39,29.69,88.97,2.84,10115
2023/06/25 17:37:20.272,LocalInferencer1,input,final_uav_1,76,10177,-1798.08,-1842.39,44.51,11.37,27.36,89.19,2.8,10116
2023/06/25 17:37:20.325,LocalInferencer1,input,final_uav_1,77,10178,-1799.82,-1840.56,46.65,11.38,29.63,88.78,6.09,10117
2023/06/25 17:37:20.354,LocalInferencer1,input,final_uav_1,78,10179,-1811.25,-1852.36,27.44,11.44,28.64,88.96,2.95,10118
2023/06/25 17:37:20.404,LocalInferencer1,input,final_uav_1,79,10180,-1809.16,-1832.98,53.79,11.37,28.62,88.96,3.87,10119
2023/06/25 17:37:20.443,LocalInferencer1,input,final_uav_1,80,10181,-1793.06,-1840.25,41.6,11.32,27.8,88.57,3.09,10120
2023/06/25 17:37:20.517,LocalInferencer1,input,final_uav_1,81,10182,-1770.66,-1813.74,72.58,11.33,29.35,88.21,2.89,10121
2023/06/25 17:37:20.587,LocalInferencer1,input,final_uav_1,82,10183,-1748.51,-1784.05,71.55,11.48,28.16,89.04,2.64,10122
2023/06/25 17:37:20.653,LocalInferencer1,input,final_uav_1,83,10184,-1722.26,-1824.16,62.68,11.41,28.22,88.69,4.68,10123
2023/06/25 17:37:20.693,LocalInferencer1,input,final_uav_1,84,10185,-1787.63,-1844.74,40.54,11.31,28.0,88.01,2.8,10124
2023/06/25 17:37:20.749,LocalInferencer1,input,final_uav_1,85,10186,-1795.12,-1825.03,57.98,11.34,27.71,88.02,2.72,10125
2023/06/25 17:37:20.801,LocalInferencer1,input,final_uav_1,86,10187,-1775.02,-1835.3,51.62,11.31,27.62,88.08,2.8,10126
2023/06/25 17:37:20.851,LocalInferencer1,input,final_uav_1,87,10188,-1792.11,-1838.94,48.22,11.51,28.77,89.24,3.22,10127
