asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 00:09:24.368,Client,final_uav_1,None,None,5133,-1461.64,8.13,74093.88,98.88,0.0,98.88,0.67,None
2023/06/26 00:09:24.407,Client,final_uav_1,nan,nan,5134,-1616.96,5.54,34.74,98.31,0.0,98.31,1.0,nan
2023/06/26 00:09:24.439,Client,final_uav_1,nan,nan,5135,-1651.94,3.56,30.02,97.98,0.0,97.98,0.98,nan
2023/06/26 00:09:24.549,Client,final_uav_1,nan,nan,5136,-1622.75,3.75,108.66,98.53,0.0,98.53,0.0,nan
2023/06/26 00:09:24.632,Client,final_uav_1,nan,nan,5137,-1626.19,4.21,79.44,98.19,0.0,98.19,0.0,nan
2023/06/26 00:09:24.699,Client,final_uav_1,nan,nan,5138,-1656.06,4.52,63.31,98.7,0.0,98.7,1.0,nan
2023/06/26 00:09:24.801,Client,final_uav_1,nan,nan,5139,-1657.55,3.86,100.32,98.21,0.0,98.21,0.99,nan
2023/06/26 00:09:24.881,Client,final_uav_1,nan,nan,5140,-1646.85,3.79,76.91,98.28,0.0,98.28,0.0,nan
2023/06/26 00:09:24.972,Client,final_uav_1,nan,nan,5141,-1640.56,3.51,87.74,98.17,0.0,98.17,0.0,nan
2023/06/26 00:09:25.049,Client,final_uav_1,nan,nan,5142,-1669.07,3.16,75.66,86.78,0.0,86.78,1.0,nan
2023/06/26 00:09:25.191,Client,final_uav_1,nan,nan,5143,-1613.79,4.03,137.87,95.64,0.0,95.64,1.0,nan
2023/06/26 00:09:25.261,Client,final_uav_1,nan,nan,5144,-1619.13,3.66,69.61,97.85,0.0,97.85,1.01,nan
2023/06/26 00:09:25.357,Client,final_uav_1,nan,nan,5145,-1624.75,4.06,92.37,98.87,0.0,98.87,0.0,nan
2023/06/26 00:09:25.440,Client,final_uav_1,nan,nan,5146,-1653.3,3.53,80.47,98.29,0.0,98.29,1.0,nan
2023/06/26 00:09:25.514,Client,final_uav_1,nan,nan,5147,-1684.85,3.82,71.25,98.16,0.0,98.16,0.98,nan
2023/06/26 00:09:25.585,Client,final_uav_1,nan,nan,5148,-1689.29,7.48,67.68,98.48,0.0,98.48,0.0,nan
2023/06/26 00:09:25.671,Client,final_uav_1,nan,nan,5149,-1677.58,3.91,82.44,98.11,0.0,98.11,0.0,nan
2023/06/26 00:09:25.734,Client,final_uav_1,nan,nan,5150,-1677.8,4.58,60.71,98.25,0.0,98.25,0.0,nan
2023/06/26 00:09:25.811,Client,final_uav_1,nan,nan,5151,-1670.86,4.06,73.48,98.33,0.0,98.33,0.0,nan
2023/06/26 00:09:25.894,Client,final_uav_1,nan,nan,5152,-1670.04,3.77,80.71,97.99,0.0,97.99,0.0,nan
2023/06/26 00:09:25.983,Client,final_uav_1,nan,nan,5153,-1656.26,4.15,85.38,97.71,0.0,97.71,0.0,nan
2023/06/26 00:09:26.049,Client,final_uav_1,nan,nan,5154,-1683.47,3.7,63.55,86.34,0.0,86.34,1.0,nan
2023/06/26 00:09:26.130,Client,final_uav_1,nan,nan,5155,-1678.98,4.14,78.43,95.71,0.0,95.71,0.0,nan
