asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/25 23:37:03.420,Client,final_uav_1,None,None,0,-957.36,29.81,46673.45,96.31,0.0,96.31,0.0,None
2023/06/25 23:37:03.472,Client,final_uav_1,nan,nan,1,-1525.47,6.92,48.61,96.09,0.0,96.09,1.0,nan
2023/06/25 23:37:03.508,Client,final_uav_1,nan,nan,2,-1600.53,5.6,31.68,95.83,0.0,95.83,1.0,nan
2023/06/25 23:37:03.572,Client,final_uav_1,nan,nan,3,-1614.02,6.98,60.33,86.56,0.0,86.56,0.0,nan
2023/06/25 23:37:03.665,Client,final_uav_1,nan,nan,4,-1617.0,6.0,89.82,94.41,0.0,94.41,0.0,nan
2023/06/25 23:37:03.806,Client,final_uav_1,nan,nan,5,-1559.29,5.0,138.0,95.7,0.0,95.7,0.0,nan
2023/06/25 23:37:03.921,Client,final_uav_1,nan,nan,6,-1549.26,6.99,112.23,96.3,0.0,96.3,0.53,nan
2023/06/25 23:37:04.027,Client,final_uav_1,nan,nan,7,-1584.52,5.75,102.61,95.5,0.0,95.5,0.53,nan
2023/06/25 23:37:04.116,Client,final_uav_1,nan,nan,8,-1594.24,6.69,85.78,92.94,0.0,92.94,0.01,nan
2023/06/25 23:37:04.230,Client,final_uav_1,nan,nan,9,-1616.79,5.54,110.71,93.79,0.0,93.79,0.0,nan
2023/06/25 23:37:04.318,Client,final_uav_1,nan,nan,10,-1613.23,6.3,85.16,96.8,0.0,96.8,0.0,nan
2023/06/25 23:37:04.421,Client,final_uav_1,nan,nan,11,-1617.71,5.99,100.17,98.02,0.0,98.02,0.0,nan
2023/06/25 23:37:04.509,Client,final_uav_1,nan,nan,12,-1628.5,5.44,83.67,98.27,0.0,98.27,0.52,nan
2023/06/25 23:37:04.629,Client,final_uav_1,nan,nan,13,-1626.07,16.89,117.29,95.28,0.0,95.28,0.52,nan
2023/06/25 23:37:04.722,Client,final_uav_1,nan,nan,14,-1613.13,5.6,90.05,97.69,0.0,97.69,0.51,nan
2023/06/25 23:37:04.821,Client,final_uav_1,nan,nan,15,-1613.76,6.12,95.31,98.69,0.5,98.69,0.0,nan
2023/06/25 23:37:04.922,Client,final_uav_1,nan,nan,16,-1604.54,6.22,97.45,98.98,0.0,98.98,0.53,nan
2023/06/25 23:37:05.016,Client,final_uav_1,nan,nan,17,-1602.54,5.62,90.78,98.83,0.0,98.83,0.0,nan
2023/06/25 23:37:05.132,Client,final_uav_1,nan,nan,18,-1585.28,5.37,114.11,98.97,0.0,98.97,0.52,nan
2023/06/25 23:37:05.232,Client,final_uav_1,nan,nan,19,-1584.0,4.82,95.85,99.08,0.0,99.08,0.0,nan
2023/06/25 23:37:05.326,Client,final_uav_1,nan,nan,20,-1611.7,5.78,90.89,99.43,0.0,99.43,0.52,nan
2023/06/25 23:37:05.431,Client,final_uav_1,nan,nan,21,-1610.34,4.84,102.45,98.68,0.0,98.68,0.51,nan
2023/06/25 23:37:05.556,Client,final_uav_1,nan,nan,22,-1597.91,6.87,119.55,98.59,0.0,98.59,0.0,nan
2023/06/25 23:37:05.656,Client,final_uav_1,nan,nan,23,-1580.27,15.38,93.01,94.72,0.01,94.72,0.0,nan
2023/06/25 23:37:05.729,Client,final_uav_1,nan,nan,24,-1616.92,5.33,67.67,97.2,0.0,97.2,0.61,nan
2023/06/25 23:37:05.834,Client,final_uav_1,nan,nan,25,-1608.99,13.62,100.92,97.21,0.0,97.21,1.0,nan
2023/06/25 23:37:05.931,Client,final_uav_1,nan,nan,26,-1598.55,4.82,93.15,97.43,0.0,97.43,0.52,nan
2023/06/25 23:37:06.021,Client,final_uav_1,nan,nan,27,-1604.07,5.59,86.62,97.82,0.0,97.82,0.0,nan
2023/06/25 23:37:06.107,Client,final_uav_1,nan,nan,28,-1631.12,5.57,82.35,97.86,0.0,97.86,0.0,nan
2023/06/25 23:37:06.203,Client,final_uav_1,nan,nan,29,-1628.93,5.21,93.95,98.08,0.0,98.08,0.0,nan
2023/06/25 23:37:06.296,Client,final_uav_1,nan,nan,30,-1637.41,4.87,90.54,97.92,0.0,97.92,0.53,nan
2023/06/25 23:37:06.405,Client,final_uav_1,nan,nan,31,-1627.32,4.95,104.94,98.44,0.0,98.44,0.0,nan
2023/06/25 23:37:06.520,Client,final_uav_1,nan,nan,32,-1591.8,5.33,112.21,98.86,0.0,98.86,0.0,nan
2023/06/25 23:37:06.602,Client,final_uav_1,nan,nan,33,-1624.15,5.28,78.84,90.92,0.0,90.92,0.0,nan
2023/06/25 23:37:06.742,Client,final_uav_1,nan,nan,34,-1581.26,5.0,136.67,99.53,0.0,99.53,0.0,nan
2023/06/25 23:37:06.841,Client,final_uav_1,nan,nan,35,-1592.0,5.82,96.16,99.5,0.0,99.5,0.53,nan
2023/06/25 23:37:06.926,Client,final_uav_1,nan,nan,36,-1606.62,5.01,81.59,99.66,0.0,99.66,0.51,nan
2023/06/25 23:37:07.021,Client,final_uav_1,nan,nan,37,-1643.22,4.66,91.49,98.94,0.0,98.94,0.0,nan
2023/06/25 23:37:07.185,Client,final_uav_1,nan,nan,38,-1568.88,42.29,160.45,99.29,0.0,99.29,0.53,nan
2023/06/25 23:37:07.244,Client,final_uav_1,nan,nan,39,-1605.0,5.43,54.98,99.53,0.0,99.53,0.0,nan
2023/06/25 23:37:07.300,Client,final_uav_1,nan,nan,40,-1650.29,5.43,53.0,99.53,0.0,99.53,0.0,nan
2023/06/25 23:37:07.401,Client,final_uav_1,nan,nan,41,-1648.13,4.99,97.5,99.45,0.0,99.45,0.0,nan
2023/06/25 23:37:07.508,Client,final_uav_1,nan,nan,42,-1609.36,5.19,104.08,99.28,0.01,99.28,0.0,nan
2023/06/25 23:37:07.628,Client,final_uav_1,nan,nan,43,-1590.56,4.91,117.04,99.07,0.0,99.07,0.53,nan
2023/06/25 23:37:07.722,Client,final_uav_1,nan,nan,44,-1612.6,6.18,90.61,99.16,0.0,99.16,0.53,nan
2023/06/25 23:37:07.823,Client,final_uav_1,nan,nan,45,-1589.73,5.82,97.49,99.06,0.0,99.06,0.52,nan
2023/06/25 23:37:07.900,Client,final_uav_1,nan,nan,46,-1649.25,4.97,74.02,99.37,0.0,99.37,0.52,nan
2023/06/25 23:37:07.993,Client,final_uav_1,nan,nan,47,-1653.72,4.36,90.3,99.28,0.0,99.28,1.0,nan
2023/06/25 23:37:08.120,Client,final_uav_1,nan,nan,48,-1578.64,5.87,123.48,99.33,0.0,99.33,0.0,nan
2023/06/25 23:37:08.209,Client,final_uav_1,nan,nan,49,-1573.2,5.64,86.11,99.75,0.0,99.75,0.53,nan
2023/06/25 23:37:08.287,Client,final_uav_1,nan,nan,50,-1667.35,5.07,74.71,99.53,0.0,99.53,0.52,nan
2023/06/25 23:37:08.411,Client,final_uav_1,nan,nan,51,-1618.73,10.19,120.92,99.11,0.0,99.11,0.52,nan
2023/06/25 23:37:08.506,Client,final_uav_1,nan,nan,52,-1594.64,4.66,90.89,99.69,0.0,99.69,0.0,nan
2023/06/25 23:37:08.628,Client,final_uav_1,nan,nan,53,-1553.05,4.48,118.15,76.53,0.0,76.53,0.53,nan
2023/06/25 23:37:08.691,Client,final_uav_1,nan,nan,54,-1611.27,4.82,61.06,97.67,0.0,97.67,0.53,nan
2023/06/25 23:37:08.881,Client,final_uav_1,nan,nan,55,-1574.67,4.98,188.07,99.22,0.0,99.22,0.0,nan
2023/06/25 23:37:08.981,Client,final_uav_1,nan,nan,56,-1531.05,5.6,95.34,99.09,0.0,99.09,0.53,nan
2023/06/25 23:37:09.087,Client,final_uav_1,nan,nan,57,-1519.47,5.18,103.43,99.06,0.0,99.06,0.52,nan
2023/06/25 23:37:09.223,Client,final_uav_1,nan,nan,58,-1569.34,5.74,132.41,99.15,0.0,99.15,0.53,nan
2023/06/25 23:37:09.319,Client,final_uav_1,nan,nan,59,-1598.28,5.25,93.32,99.32,0.0,99.32,0.52,nan
2023/06/25 23:37:09.503,Client,final_uav_1,nan,nan,60,-1548.23,5.46,181.6,99.11,0.0,99.11,0.53,nan
2023/06/25 23:37:09.599,Client,final_uav_1,nan,nan,61,-1551.43,4.47,92.59,98.95,0.0,98.95,0.0,nan
2023/06/25 23:37:09.709,Client,final_uav_1,nan,nan,62,-1601.38,12.17,107.55,96.64,0.0,96.64,0.0,nan
2023/06/25 23:37:09.824,Client,final_uav_1,nan,nan,63,-1624.05,3.93,111.62,98.08,0.0,98.08,0.0,nan
2023/06/25 23:37:09.943,Client,final_uav_1,nan,nan,64,-1586.78,4.82,116.75,98.5,0.0,98.5,0.52,nan
2023/06/25 23:37:10.033,Client,final_uav_1,nan,nan,65,-1591.11,5.51,86.53,98.21,0.0,98.21,0.0,nan
2023/06/25 23:37:10.171,Client,final_uav_1,nan,nan,66,-1607.47,5.11,135.35,98.63,0.0,98.63,0.53,nan
2023/06/25 23:37:10.301,Client,final_uav_1,nan,nan,67,-1547.89,5.11,126.87,98.1,0.0,98.1,0.0,nan
2023/06/25 23:37:10.405,Client,final_uav_1,nan,nan,68,-1541.04,4.5,99.66,98.47,0.0,98.47,0.53,nan
2023/06/25 23:37:10.515,Client,final_uav_1,nan,nan,69,-1602.91,5.04,105.84,97.42,0.0,97.42,0.0,nan
2023/06/25 23:37:10.651,Client,final_uav_1,nan,nan,70,-1552.76,5.18,132.94,89.82,0.0,89.82,0.52,nan
2023/06/25 23:37:10.789,Client,final_uav_1,nan,nan,71,-1552.64,5.17,135.29,97.77,0.0,97.77,0.0,nan
2023/06/25 23:37:10.876,Client,final_uav_1,nan,nan,72,-1611.04,5.28,83.57,98.41,0.0,98.41,0.53,nan
2023/06/25 23:37:10.981,Client,final_uav_1,nan,nan,73,-1609.77,13.77,100.6,99.34,0.0,99.34,0.0,nan
2023/06/25 23:37:11.070,Client,final_uav_1,nan,nan,74,-1634.88,5.14,86.15,99.43,0.0,99.43,0.52,nan
2023/06/25 23:37:11.189,Client,final_uav_1,nan,nan,75,-1606.21,4.82,115.54,99.3,0.0,99.3,0.52,nan
2023/06/25 23:37:11.289,Client,final_uav_1,nan,nan,76,-1607.64,4.91,96.88,99.6,0.0,99.6,0.0,nan
2023/06/25 23:37:11.402,Client,final_uav_1,nan,nan,77,-1577.32,4.59,109.54,99.52,0.0,99.52,0.0,nan
2023/06/25 23:37:11.499,Client,final_uav_1,nan,nan,78,-1585.45,5.39,94.18,99.31,0.0,99.31,0.0,nan
2023/06/25 23:37:11.594,Client,final_uav_1,nan,nan,79,-1630.18,4.41,91.88,90.41,0.0,90.41,0.52,nan
