asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/25 16:37:03.405,LocalInferencer1,input,final_uav_1,1,0,-1640.71,-1639.43,120484.05,186.77,644.69,96.3,21.56,0
2023/06/25 16:37:03.470,LocalInferencer1,input,final_uav_1,7,6,-1610.63,-1714.2,78.52,186.77,76.14,96.08,5.11,1
2023/06/25 16:37:03.506,LocalInferencer1,input,final_uav_1,8,7,-1641.43,-1716.24,96.0,186.77,33.37,95.81,3.82,2
2023/06/25 16:37:03.570,LocalInferencer1,input,final_uav_1,9,8,-1652.33,-1740.25,111.75,186.77,29.28,86.55,4.29,3
2023/06/25 16:37:03.663,LocalInferencer1,input,final_uav_1,10,9,-1653.52,-1733.45,93.2,186.77,29.65,94.39,3.77,4
2023/06/25 16:37:03.803,LocalInferencer1,input,final_uav_1,11,10,-1595.8,-1697.33,139.95,186.77,29.08,95.69,3.7,5
2023/06/25 16:37:03.919,LocalInferencer1,input,final_uav_1,12,11,-1589.37,-1726.04,111.77,186.77,30.35,96.28,4.52,6
2023/06/25 16:37:04.025,LocalInferencer1,input,final_uav_1,13,12,-1621.16,-1713.83,109.09,186.77,28.65,95.48,3.95,7
2023/06/25 16:37:04.115,LocalInferencer1,input,final_uav_1,14,13,-1632.26,-1760.27,87.12,186.77,29.07,92.92,5.44,8
2023/06/25 16:37:04.228,LocalInferencer1,input,final_uav_1,15,14,-1653.63,-1733.24,114.51,186.77,28.92,93.78,4.11,9
2023/06/25 16:37:04.316,LocalInferencer1,input,final_uav_1,16,15,-1651.0,-1756.43,86.23,186.77,29.57,96.78,4.63,10
2023/06/25 16:37:04.420,LocalInferencer1,input,final_uav_1,17,16,-1655.03,-1751.27,103.72,186.77,29.38,98.01,4.39,11
2023/06/25 16:37:04.507,LocalInferencer1,input,final_uav_1,18,17,-1664.47,-1779.48,88.3,186.77,28.26,98.25,4.05,12
2023/06/25 16:37:04.628,LocalInferencer1,input,final_uav_1,19,18,-1673.98,-1749.97,107.92,186.77,29.32,95.27,15.03,13
2023/06/25 16:37:04.722,LocalInferencer1,input,final_uav_1,20,19,-1652.2,-1748.88,101.47,186.77,31.92,97.67,4.76,14
2023/06/25 16:37:04.820,LocalInferencer1,input,final_uav_1,21,20,-1651.55,-1739.62,99.93,186.77,29.82,98.67,4.22,15
2023/06/25 16:37:04.921,LocalInferencer1,input,final_uav_1,22,21,-1640.87,-1728.05,101.9,186.77,28.25,98.96,4.74,16
2023/06/25 16:37:05.015,LocalInferencer1,input,final_uav_1,23,22,-1641.58,-1738.32,89.91,186.77,31.12,98.82,4.57,17
2023/06/25 16:37:05.132,LocalInferencer1,input,final_uav_1,24,23,-1622.68,-1716.99,118.24,186.77,30.09,98.96,4.64,18
2023/06/25 16:37:05.232,LocalInferencer1,input,final_uav_1,25,24,-1618.86,-1737.98,101.38,186.77,28.25,99.06,4.0,19
2023/06/25 16:37:05.325,LocalInferencer1,input,final_uav_1,26,25,-1648.78,-1750.25,91.27,186.77,29.51,99.41,4.36,20
2023/06/25 16:37:05.431,LocalInferencer1,input,final_uav_1,27,26,-1646.39,-1750.14,106.62,186.77,28.6,98.66,4.52,21
2023/06/25 16:37:05.554,LocalInferencer1,input,final_uav_1,28,27,-1655.77,-1734.74,99.26,186.77,46.81,98.58,5.34,22
2023/06/25 16:37:05.653,LocalInferencer1,input,final_uav_1,29,28,-1642.83,-1749.09,95.17,186.77,40.64,94.7,14.5,23
2023/06/25 16:37:05.729,LocalInferencer1,input,final_uav_1,30,29,-1662.26,-1752.9,91.22,186.77,38.3,97.19,4.1,24
2023/06/25 16:37:05.833,LocalInferencer1,input,final_uav_1,31,30,-1655.95,-1737.27,102.66,186.77,31.16,97.19,13.35,25
2023/06/25 16:37:05.931,LocalInferencer1,input,final_uav_1,32,31,-1644.74,-1736.31,97.42,186.77,39.37,97.42,5.14,26
2023/06/25 16:37:06.021,LocalInferencer1,input,final_uav_1,33,32,-1642.9,-1751.67,96.6,186.77,31.91,97.81,4.23,27
2023/06/25 16:37:06.106,LocalInferencer1,input,final_uav_1,34,33,-1667.68,-1758.93,87.15,186.77,29.48,97.84,4.72,28
2023/06/25 16:37:06.203,LocalInferencer1,input,final_uav_1,35,34,-1665.2,-1763.98,96.59,186.77,29.7,98.07,4.89,29
2023/06/25 16:37:06.296,LocalInferencer1,input,final_uav_1,36,35,-1674.28,-1767.91,92.35,186.77,29.68,97.9,4.14,30
2023/06/25 16:37:06.405,LocalInferencer1,input,final_uav_1,37,36,-1662.77,-1737.4,109.21,186.77,28.71,98.43,3.91,31
