asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 02:18:02.221,Client,final_uav_1,None,None,20414,-1512.29,9.42,142374.52,49.84,0.0,49.84,0.52,None
2023/06/26 02:18:02.252,Client,final_uav_1,nan,nan,20415,-1674.98,4.91,28.79,49.59,0.0,49.59,0.0,nan
2023/06/26 02:18:02.288,Client,final_uav_1,nan,nan,20416,-1702.84,4.97,32.53,50.27,0.0,50.27,0.0,nan
2023/06/26 02:18:02.320,Client,final_uav_1,nan,nan,20417,-1734.12,3.51,29.48,49.86,0.0,49.86,0.0,nan
2023/06/26 02:18:02.401,Client,final_uav_1,nan,nan,20418,-1712.19,4.49,76.8,50.11,0.51,50.11,0.0,nan
2023/06/26 02:18:02.454,Client,final_uav_1,nan,nan,20419,-1708.14,4.07,50.41,50.05,0.0,50.05,0.53,nan
2023/06/26 02:18:02.496,Client,final_uav_1,nan,nan,20420,-1736.25,3.75,39.57,50.12,0.0,50.12,0.0,nan
2023/06/26 02:18:02.542,Client,final_uav_1,nan,nan,20421,-1751.93,4.0,43.64,50.31,0.0,50.31,0.0,nan
2023/06/26 02:18:02.581,Client,final_uav_1,nan,nan,20422,-1773.72,3.29,36.71,41.48,0.0,41.48,0.0,nan
2023/06/26 02:18:02.651,Client,final_uav_1,nan,nan,20423,-1751.89,4.67,66.98,46.22,0.0,46.22,0.0,nan
2023/06/26 02:18:02.701,Client,final_uav_1,nan,nan,20424,-1735.89,3.36,49.01,47.53,0.0,47.53,0.51,nan
2023/06/26 02:18:02.769,Client,final_uav_1,nan,nan,20425,-1736.93,4.48,65.09,48.37,0.0,48.37,0.52,nan
2023/06/26 02:18:02.828,Client,final_uav_1,nan,nan,20426,-1727.31,4.0,56.43,48.9,0.0,48.9,0.0,nan
2023/06/26 02:18:02.884,Client,final_uav_1,nan,nan,20427,-1739.67,3.32,53.25,48.55,0.0,48.55,0.0,nan
2023/06/26 02:18:02.932,Client,final_uav_1,nan,nan,20428,-1753.67,3.4,45.57,49.13,0.0,49.13,0.52,nan
2023/06/26 02:18:02.984,Client,final_uav_1,nan,nan,20429,-1756.32,3.63,48.34,49.26,0.0,49.26,0.52,nan
2023/06/26 02:18:03.043,Client,final_uav_1,nan,nan,20430,-1746.87,4.41,57.14,49.68,0.0,49.68,0.0,nan
2023/06/26 02:18:03.110,Client,final_uav_1,nan,nan,20431,-1730.74,4.16,64.13,49.66,0.0,49.66,0.05,nan
2023/06/26 02:18:03.154,Client,final_uav_1,nan,nan,20432,-1748.52,4.27,41.45,49.98,0.0,49.98,0.0,nan
2023/06/26 02:18:03.208,Client,final_uav_1,nan,nan,20433,-1760.55,4.04,50.62,49.94,0.0,49.94,0.0,nan
2023/06/26 02:18:03.267,Client,final_uav_1,nan,nan,20434,-1739.81,4.62,56.41,50.36,0.0,50.36,0.0,nan
2023/06/26 02:18:03.328,Client,final_uav_1,nan,nan,20435,-1740.35,4.27,57.48,50.32,0.0,50.32,0.53,nan
2023/06/26 02:18:03.365,Client,final_uav_1,nan,nan,20436,-1760.49,3.61,33.63,50.37,0.0,50.37,0.0,nan
2023/06/26 02:18:03.437,Client,final_uav_1,nan,nan,20437,-1749.57,7.47,68.65,49.82,0.0,49.82,0.53,nan
2023/06/26 02:18:03.761,Client,final_uav_1,nan,nan,20438,-1458.74,5.71,321.61,55.52,0.0,55.52,0.0,nan
2023/06/26 02:18:03.793,Client,final_uav_1,nan,nan,20439,-1728.6,3.26,29.94,48.54,0.0,48.54,0.0,nan
2023/06/26 02:18:03.838,Client,final_uav_1,nan,nan,20440,-1750.43,3.92,41.46,49.25,0.0,49.25,0.0,nan
2023/06/26 02:18:03.905,Client,final_uav_1,nan,nan,20441,-1733.53,3.86,64.0,49.78,0.0,49.78,0.0,nan
2023/06/26 02:18:03.962,Client,final_uav_1,nan,nan,20442,-1729.98,3.75,55.24,49.52,0.0,49.52,0.54,nan
2023/06/26 02:18:04.033,Client,final_uav_1,nan,nan,20443,-1733.28,4.61,67.23,49.94,0.0,49.94,0.51,nan
2023/06/26 02:18:04.082,Client,final_uav_1,nan,nan,20444,-1738.03,3.75,47.55,49.65,0.0,49.65,0.52,nan
2023/06/26 02:18:04.145,Client,final_uav_1,nan,nan,20445,-1746.85,3.75,58.85,50.39,0.0,50.39,1.02,nan
2023/06/26 02:18:04.203,Client,final_uav_1,nan,nan,20446,-1736.28,6.58,54.96,49.95,0.0,49.95,0.51,nan
2023/06/26 02:18:04.253,Client,final_uav_2,nan,nan,8969,-1417.49,5.76,47.04,44.85,0.0,44.85,0.52,nan
2023/06/26 02:18:04.284,Client,final_uav_1,nan,nan,20447,-1718.98,3.68,27.79,49.95,0.0,49.95,0.0,nan
2023/06/26 02:18:04.333,Client,final_uav_1,nan,nan,20448,-1723.37,5.2,46.36,50.59,0.0,50.59,0.0,nan
