asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/25 19:18:02.218,LocalInferencer1,input,final_uav_1,1,30938,-1781.91,-1780.98,200637.89,13.87,257.66,49.82,7.32,20414
2023/06/25 19:18:02.253,LocalInferencer1,input,final_uav_1,5,30942,-1716.14,-1766.19,72.23,13.85,34.75,49.57,4.51,20415
2023/06/25 19:18:02.288,LocalInferencer1,input,final_uav_1,6,30943,-1741.0,-1796.14,58.79,13.92,32.3,50.26,3.85,20416
2023/06/25 19:18:02.319,LocalInferencer1,input,final_uav_1,7,30944,-1769.51,-1820.82,49.77,13.89,30.24,49.85,2.72,20417
2023/06/25 19:18:02.400,LocalInferencer1,input,final_uav_1,8,30945,-1769.2,-1810.46,63.91,13.91,51.25,50.09,3.28,20418
2023/06/25 19:18:02.453,LocalInferencer1,input,final_uav_1,9,30946,-1753.48,-1814.75,64.65,13.92,40.33,50.03,2.93,20419
2023/06/25 19:18:02.495,LocalInferencer1,input,final_uav_1,10,30947,-1766.43,-1819.37,57.24,13.98,25.0,50.11,3.07,20420
2023/06/25 19:18:02.541,LocalInferencer1,input,final_uav_1,11,30948,-1781.51,-1833.52,46.66,14.01,24.4,50.3,3.05,20421
2023/06/25 19:18:02.581,LocalInferencer1,input,final_uav_1,12,30949,-1802.03,-1838.94,40.61,11.58,23.53,41.46,2.81,20422
2023/06/25 19:18:02.650,LocalInferencer1,input,final_uav_1,13,30950,-1783.49,-1812.84,65.98,12.99,26.06,46.2,3.01,20423
2023/06/25 19:18:02.702,LocalInferencer1,input,final_uav_1,14,30951,-1766.02,-1825.7,53.06,13.35,25.09,47.51,3.01,20424
2023/06/25 19:18:02.768,LocalInferencer1,input,final_uav_1,15,30952,-1767.01,-1808.53,67.01,13.53,24.48,48.35,2.96,20425
2023/06/25 19:18:02.827,LocalInferencer1,input,final_uav_1,16,30953,-1755.56,-1816.2,60.17,13.65,23.25,48.89,2.84,20426
2023/06/25 19:18:02.883,LocalInferencer1,input,final_uav_1,17,30954,-1770.19,-1825.13,53.9,13.66,25.43,48.53,2.82,20427
2023/06/25 19:18:02.932,LocalInferencer1,input,final_uav_1,18,30955,-1782.99,-1829.86,49.33,13.72,24.32,49.12,2.75,20428
2023/06/25 19:18:02.983,LocalInferencer1,input,final_uav_1,19,30956,-1786.19,-1829.18,50.56,13.81,24.56,49.24,2.62,20429
2023/06/25 19:18:03.042,LocalInferencer1,input,final_uav_1,20,30957,-1776.9,-1819.57,59.45,13.87,24.76,49.67,2.78,20430
2023/06/25 19:18:03.110,LocalInferencer1,input,final_uav_1,21,30958,-1761.08,-1811.12,66.36,13.85,25.38,49.64,3.01,20431
