asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 02:09:57.189,Client,final_uav_1,None,None,18220,-1310.64,7.64,189459.49,26.31,0.0,26.31,1.0,None
2023/06/26 02:09:57.222,Client,final_uav_1,nan,nan,18221,-1689.0,4.98,30.36,29.76,0.0,29.76,1.0,nan
2023/06/26 02:09:57.660,Client,final_uav_1,nan,nan,18222,-1312.94,8.98,432.0,35.11,0.0,35.11,0.0,nan
2023/06/26 02:09:57.714,Client,final_uav_1,nan,nan,18223,-1687.44,9.92,46.94,26.94,0.0,26.94,1.0,nan
2023/06/26 02:09:57.781,Client,final_uav_1,nan,nan,18224,-1673.63,9.49,58.58,29.5,0.0,29.5,0.0,nan
2023/06/26 02:09:57.860,Client,final_uav_1,nan,nan,18225,-1643.64,10.39,70.89,35.58,0.0,35.58,0.0,nan
2023/06/26 02:09:57.907,Client,final_uav_1,nan,nan,18226,-1720.79,8.39,41.0,29.66,0.0,29.66,1.0,nan
2023/06/26 02:09:57.966,Client,final_uav_1,nan,nan,18227,-1720.23,9.68,50.28,29.66,0.0,29.66,0.0,nan
2023/06/26 02:09:58.077,Client,final_uav_1,nan,nan,18228,-1654.33,40.96,98.28,29.85,0.0,29.85,1.0,nan
2023/06/26 02:09:58.173,Client,final_uav_1,nan,nan,18229,-1620.66,14.78,87.82,29.63,0.0,29.63,1.01,nan
2023/06/26 02:09:58.231,Client,final_uav_1,nan,nan,18230,-1617.95,4.78,53.0,29.73,0.0,29.73,0.0,nan
2023/06/26 02:09:58.265,Client,final_uav_1,nan,nan,18231,-1703.87,4.06,30.75,29.43,0.0,29.43,0.0,nan
2023/06/26 02:09:58.300,Client,final_uav_1,nan,nan,18232,-1739.24,3.14,32.0,29.84,0.0,29.84,0.0,nan
2023/06/26 02:09:58.345,Client,final_uav_1,nan,nan,18233,-1756.36,2.84,42.7,29.93,0.0,29.93,1.05,nan
2023/06/26 02:09:58.389,Client,final_uav_1,nan,nan,18234,-1760.82,7.07,40.25,29.6,0.0,29.6,0.0,nan
