asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/25 19:09:57.186,LocalInferencer1,input,final_uav_1,1,25379,-1797.7,-1796.65,209967.6,8.9,475.47,26.3,6.77,18220
2023/06/25 19:09:57.223,LocalInferencer1,input,final_uav_1,9,25387,-1731.36,-1777.32,69.86,9.63,36.56,29.75,4.76,18221
2023/06/25 19:09:57.661,LocalInferencer1,input,final_uav_1,10,25388,-1750.75,-1806.79,68.18,9.64,426.4,35.09,9.47,18222
2023/06/25 19:09:57.715,LocalInferencer1,input,final_uav_1,18,25396,-1748.36,-1798.57,49.85,8.94,47.47,26.92,10.05,18223
2023/06/25 19:09:57.782,LocalInferencer1,input,final_uav_1,19,25397,-1747.2,-1796.02,70.24,9.51,61.69,29.48,10.09,18224
2023/06/25 19:09:57.861,LocalInferencer1,input,final_uav_1,20,25398,-1730.32,-1785.24,46.54,9.54,73.9,35.56,10.54,18225
2023/06/25 19:09:57.915,LocalInferencer1,input,final_uav_1,22,25400,-1774.6,-1825.36,27.91,9.59,43.87,29.64,16.94,18226
2023/06/25 19:09:57.961,LocalInferencer1,input,final_uav_1,23,25401,-1778.91,-1812.84,63.34,9.59,45.02,29.65,6.46,18227
2023/06/25 19:09:58.081,LocalInferencer1,input,final_uav_1,24,25402,-1752.07,-1794.65,63.6,9.63,51.9,29.84,47.34,18228
2023/06/25 19:09:58.182,LocalInferencer1,input,final_uav_1,25,25403,-1740.72,-1783.36,59.45,9.59,85.79,29.61,18.84,18229
2023/06/25 19:09:58.232,LocalInferencer1,input,final_uav_1,26,25404,-1684.9,-1737.06,75.31,9.64,58.87,29.71,5.75,18230
2023/06/25 19:09:58.267,LocalInferencer1,input,final_uav_1,28,25406,-1741.26,-1808.26,50.92,9.63,32.38,29.41,4.58,18231
2023/06/25 19:09:58.299,LocalInferencer1,input,final_uav_1,29,25407,-1774.96,-1832.53,42.89,9.65,31.08,29.82,2.57,18232
2023/06/25 19:09:58.345,LocalInferencer1,input,final_uav_1,30,25408,-1787.28,-1829.02,50.29,9.65,26.5,29.91,2.54,18233
2023/06/25 19:09:58.388,LocalInferencer1,input,final_uav_1,31,25409,-1796.9,-1836.92,37.71,9.6,27.92,29.59,6.29,18234
2023/06/25 19:09:58.451,LocalInferencer1,input,final_uav_1,32,25410,-1780.73,-1808.34,69.63,9.62,24.94,29.72,2.86,18235
2023/06/25 19:09:58.503,LocalInferencer1,input,final_uav_1,33,25411,-1762.86,-1829.57,50.68,9.64,25.84,29.79,2.81,18236
2023/06/25 19:09:58.554,LocalInferencer1,input,final_uav_1,34,25412,-1784.56,-1824.63,52.85,9.62,23.98,30.07,2.73,18237
2023/06/25 19:09:58.600,LocalInferencer1,input,final_uav_1,35,25413,-1789.85,-1833.78,43.44,8.91,25.37,26.34,2.82,18238
2023/06/25 19:09:58.694,LocalInferencer1,input,final_uav_1,36,25414,-1781.88,-1818.02,58.09,9.17,36.63,27.48,17.31,18239
2023/06/25 19:09:58.784,LocalInferencer1,input,final_uav_1,37,25415,-1779.29,-1817.64,52.59,9.45,58.11,28.7,23.75,18240
2023/06/25 19:09:58.886,LocalInferencer1,input,final_uav_1,38,25416,-1657.82,-1695.1,176.0,9.51,24.68,29.32,2.72,18241
2023/06/25 19:09:58.950,LocalInferencer1,input,final_uav_1,39,25417,-1638.94,-1813.63,63.48,9.59,25.04,29.47,2.65,18242
2023/06/25 19:09:59.032,LocalInferencer1,input,final_uav_1,40,25418,-1737.85,-1798.16,81.17,9.65,25.75,29.55,2.62,18243
2023/06/25 19:09:59.090,LocalInferencer1,input,final_uav_1,41,25419,-1741.56,-1821.22,57.91,9.66,24.86,30.04,3.35,18244
2023/06/25 19:09:59.148,LocalInferencer1,input,final_uav_1,42,25420,-1770.65,-1817.55,57.42,9.62,25.57,29.67,2.6,18245
2023/06/25 19:09:59.215,LocalInferencer1,input,final_uav_1,43,25421,-1754.56,-1808.72,68.63,9.65,23.84,29.86,2.79,18246
2023/06/25 19:09:59.250,LocalInferencer1,input,final_uav_1,44,25422,-1781.73,-1844.87,33.71,9.65,24.84,29.95,2.67,18247
2023/06/25 19:09:59.317,LocalInferencer1,input,final_uav_1,45,25423,-1785.57,-1812.06,66.93,9.65,25.05,30.04,2.66,18248
2023/06/25 19:09:59.364,LocalInferencer1,input,final_uav_1,46,25424,-1766.59,-1833.57,47.22,9.67,24.67,29.63,2.87,18249
2023/06/25 19:09:59.420,LocalInferencer1,input,final_uav_1,47,25425,-1785.09,-1826.59,52.96,9.65,25.69,29.99,4.3,18250
2023/06/25 19:09:59.455,LocalInferencer1,input,final_uav_2,1,25426,-1405.37,-1404.91,10.21,14.97,30.44,54.67,5.15,6356
2023/06/25 19:09:59.491,LocalInferencer1,input,final_uav_1,48,25427,-1771.39,-1817.09,27.49,9.64,33.58,29.93,4.73,18251
2023/06/25 19:09:59.521,LocalInferencer1,input,final_uav_1,49,25429,-1784.73,-1818.06,17.46,9.65,28.82,30.18,2.67,18252
2023/06/25 19:09:59.558,LocalInferencer1,input,final_uav_2,3,25430,-1336.95,-1463.48,44.15,15.03,28.32,54.6,2.86,6357
2023/06/25 19:09:59.640,LocalInferencer1,input,final_uav_2,4,25431,-1399.3,-1454.17,81.08,14.92,26.02,54.39,4.44,6358
2023/06/25 19:09:59.672,LocalInferencer1,input,final_uav_1,50,25432,-1683.43,-1711.61,2.73,9.62,28.77,30.14,5.16,18253
2023/06/25 19:09:59.738,LocalInferencer1,input,final_uav_2,5,25433,-1374.41,-1434.81,96.49,14.95,25.77,54.23,3.81,6359
2023/06/25 19:09:59.766,LocalInferencer1,input,final_uav_1,51,25434,-1619.69,-1744.84,22.62,8.94,26.78,26.95,2.66,18254
2023/06/25 19:09:59.807,LocalInferencer1,input,final_uav_2,6,25435,-1380.47,-1461.93,48.08,14.4,25.91,52.49,2.73,6360
2023/06/25 19:09:59.879,LocalInferencer1,input,final_uav_1,52,25436,-1642.22,-1753.77,71.05,9.55,26.62,36.29,2.71,18255
2023/06/25 19:09:59.917,LocalInferencer1,input,final_uav_2,7,25437,-1365.38,-1410.33,37.27,14.93,25.14,54.47,4.29,6361
2023/06/25 19:09:59.948,LocalInferencer1,input,final_uav_1,53,25438,-1689.35,-1811.06,22.51,9.6,28.86,29.75,3.71,18256
2023/06/25 19:09:59.981,LocalInferencer1,input,final_uav_2,8,25439,-1366.02,-1412.29,31.93,14.99,29.02,54.56,4.17,6362
2023/06/25 19:10:00.010,LocalInferencer1,input,final_uav_2,9,25441,-1380.77,-1489.16,12.11,14.78,28.27,53.85,2.99,6363
2023/06/25 19:10:00.054,LocalInferencer1,input,final_uav_2,10,25442,-1453.92,-1484.92,41.48,14.99,28.29,54.63,5.71,6364
2023/06/25 19:10:00.083,LocalInferencer1,input,final_uav_1,55,25443,-1738.68,-1791.62,34.11,9.64,28.5,29.42,4.13,18257
2023/06/25 19:10:00.125,LocalInferencer1,input,final_uav_2,11,25444,-1434.86,-1465.99,9.33,14.94,26.86,54.45,15.76,6365
