asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 00:22:20.586,Client,final_uav_1,None,None,7780,-1504.7,9.08,62704.25,64.08,0.0,64.08,0.53,None
2023/06/26 00:22:20.641,Client,final_uav_1,nan,nan,7781,-1727.64,5.88,53.1,64.81,0.0,64.81,0.0,nan
2023/06/26 00:22:20.674,Client,final_uav_1,nan,nan,7782,-1718.7,4.38,29.4,64.78,0.0,64.78,0.0,nan
2023/06/26 00:22:20.707,Client,final_uav_1,nan,nan,7783,-1760.69,4.4,29.89,64.52,0.0,64.52,0.51,nan
2023/06/26 00:22:20.749,Client,final_uav_1,nan,nan,7784,-1761.47,4.01,39.54,64.72,0.0,64.72,0.0,nan
2023/06/26 00:22:20.794,Client,final_uav_1,nan,nan,7785,-1780.12,4.82,41.67,64.72,0.0,64.72,0.0,nan
2023/06/26 00:22:20.841,Client,final_uav_1,nan,nan,7786,-1765.11,3.94,45.04,64.64,0.0,64.64,0.0,nan
2023/06/26 00:22:20.895,Client,final_uav_1,nan,nan,7787,-1758.91,5.14,50.64,64.5,0.0,64.5,0.52,nan
2023/06/26 00:22:20.970,Client,final_uav_1,nan,nan,7788,-1731.76,3.36,72.65,57.7,0.0,57.7,0.99,nan
2023/06/26 00:22:21.020,Client,final_uav_1,nan,nan,7789,-1736.31,3.39,47.4,61.56,0.0,61.56,0.0,nan
2023/06/26 00:22:21.080,Client,final_uav_1,nan,nan,7790,-1729.18,4.78,57.25,62.62,0.0,62.62,0.51,nan
2023/06/26 00:22:21.160,Client,final_uav_1,nan,nan,7791,-1721.67,3.8,76.92,64.09,0.0,64.09,0.0,nan
2023/06/26 00:22:21.219,Client,final_uav_1,nan,nan,7792,-1730.21,4.32,56.3,64.67,0.0,64.67,0.51,nan
2023/06/26 00:22:21.268,Client,final_uav_1,nan,nan,7793,-1755.65,4.7,45.7,64.3,0.0,64.3,0.0,nan
2023/06/26 00:22:21.298,Client,final_uav_1,nan,nan,7794,-1786.73,3.69,27.39,64.13,0.0,64.13,0.0,nan
2023/06/26 00:22:21.343,Client,final_uav_1,nan,nan,7795,-1785.0,3.65,41.04,64.59,0.0,64.59,0.0,nan
2023/06/26 00:22:21.394,Client,final_uav_1,nan,nan,7796,-1758.34,3.18,49.0,64.12,0.0,64.12,0.0,nan
2023/06/26 00:22:21.450,Client,final_uav_1,nan,nan,7797,-1742.91,5.01,54.3,64.6,0.0,64.6,0.0,nan
2023/06/26 00:22:21.546,Client,final_uav_1,nan,nan,7798,-1712.08,3.92,93.25,64.16,0.0,64.16,0.0,nan
2023/06/26 00:22:21.606,Client,final_uav_1,nan,nan,7799,-1715.37,3.34,57.81,64.26,0.0,64.26,0.0,nan
2023/06/26 00:22:21.646,Client,final_uav_1,nan,nan,7800,-1766.01,4.09,37.12,64.76,0.0,64.76,0.0,nan
2023/06/26 00:22:21.705,Client,final_uav_1,nan,nan,7801,-1746.08,3.5,55.78,64.11,0.0,64.11,0.0,nan
2023/06/26 00:22:21.769,Client,final_uav_1,nan,nan,7802,-1737.65,4.13,61.98,64.31,0.0,64.31,0.0,nan
2023/06/26 00:22:21.825,Client,final_uav_1,nan,nan,7803,-1747.88,6.54,53.27,64.48,0.0,64.48,0.52,nan
2023/06/26 00:22:21.867,Client,final_uav_1,nan,nan,7804,-1770.38,3.65,38.5,64.53,0.0,64.53,0.57,nan
2023/06/26 00:22:21.926,Client,final_uav_1,nan,nan,7805,-1767.74,4.45,56.56,52.66,0.0,52.66,0.0,nan
2023/06/26 00:22:21.962,Client,final_uav_1,nan,nan,7806,-1766.08,4.82,32.22,57.59,0.0,57.59,0.0,nan
2023/06/26 00:22:21.999,Client,final_uav_1,nan,nan,7807,-1796.78,4.23,34.29,63.16,0.0,63.16,0.51,nan
2023/06/26 00:22:22.049,Client,final_uav_1,nan,nan,7808,-1775.99,4.23,46.95,63.7,0.0,63.7,0.0,nan
2023/06/26 00:22:22.098,Client,final_uav_1,nan,nan,7809,-1760.73,3.45,46.7,64.3,0.0,64.3,0.0,nan
2023/06/26 00:22:22.144,Client,final_uav_1,nan,nan,7810,-1772.63,3.88,44.75,64.02,0.0,64.02,0.01,nan
2023/06/26 00:22:22.204,Client,final_uav_1,nan,nan,7811,-1753.22,4.06,57.1,64.43,0.0,64.43,0.0,nan
2023/06/26 00:22:22.270,Client,final_uav_1,nan,nan,7812,-1738.12,3.72,64.06,64.53,0.0,64.53,0.0,nan
2023/06/26 00:22:22.336,Client,final_uav_1,nan,nan,7813,-1736.52,3.64,63.26,64.5,0.0,64.5,0.53,nan
2023/06/26 00:22:22.384,Client,final_uav_1,nan,nan,7814,-1756.62,5.22,45.44,64.09,0.0,64.09,0.0,nan
2023/06/26 00:22:22.415,Client,final_uav_1,nan,nan,7815,-1787.74,4.46,28.1,64.47,0.0,64.47,0.0,nan
2023/06/26 00:22:22.446,Client,final_uav_1,nan,nan,7816,-1794.19,2.75,29.22,64.36,0.0,64.36,0.0,nan
2023/06/26 00:22:22.498,Client,final_uav_1,nan,nan,7817,-1769.05,4.47,49.0,64.47,0.0,64.47,0.52,nan
2023/06/26 00:22:22.528,Client,final_uav_1,nan,nan,7818,-1777.57,3.95,26.89,64.38,0.01,64.38,0.0,nan
2023/06/26 00:22:22.563,Client,final_uav_1,nan,nan,7819,-1800.5,3.53,32.41,64.82,0.0,64.82,0.0,nan
2023/06/26 00:22:22.607,Client,final_uav_1,nan,nan,7820,-1782.79,4.03,40.85,63.8,0.0,63.8,0.0,nan
2023/06/26 00:22:22.680,Client,final_uav_1,nan,nan,7821,-1743.51,4.0,70.84,64.47,0.0,64.47,0.52,nan
2023/06/26 00:22:22.747,Client,final_uav_1,nan,nan,7822,-1723.03,4.51,65.38,64.89,0.0,64.89,0.0,nan
2023/06/26 00:22:22.806,Client,final_uav_1,nan,nan,7823,-1734.91,3.46,55.87,64.3,0.0,64.3,0.0,nan
2023/06/26 00:22:22.866,Client,final_uav_1,nan,nan,7824,-1739.85,4.16,57.93,64.54,0.0,64.54,0.52,nan
2023/06/26 00:22:22.921,Client,final_uav_1,nan,nan,7825,-1756.07,3.5,52.23,64.21,0.0,64.21,0.0,nan
2023/06/26 00:22:22.975,Client,final_uav_1,nan,nan,7826,-1761.94,3.82,51.68,58.2,0.0,58.2,0.0,nan
2023/06/26 00:22:23.061,Client,final_uav_1,nan,nan,7827,-1727.35,6.88,82.86,62.98,0.0,62.98,1.0,nan
2023/06/26 00:22:23.115,Client,final_uav_1,nan,nan,7828,-1726.76,4.99,50.21,64.14,0.0,64.14,0.54,nan
2023/06/26 00:22:23.154,Client,final_uav_1,nan,nan,7829,-1756.29,3.22,36.61,64.21,0.0,64.21,0.0,nan
2023/06/26 00:22:23.211,Client,final_uav_1,nan,nan,7830,-1762.34,3.7,54.87,64.3,0.0,64.3,0.0,nan
2023/06/26 00:22:23.260,Client,final_uav_1,nan,nan,7831,-1761.45,3.58,45.79,64.31,0.0,64.31,0.0,nan
2023/06/26 00:22:23.301,Client,final_uav_1,nan,nan,7832,-1780.65,4.54,39.89,64.3,0.0,64.3,0.0,nan
2023/06/26 00:22:23.333,Client,final_uav_1,nan,nan,7833,-1793.98,4.18,28.59,64.54,0.0,64.54,0.0,nan
2023/06/26 00:22:23.380,Client,final_uav_1,nan,nan,7834,-1783.92,4.54,44.23,64.53,0.0,64.53,0.57,nan
2023/06/26 00:22:23.424,Client,final_uav_1,nan,nan,7835,-1758.44,4.06,41.37,64.38,0.0,64.38,0.0,nan
2023/06/26 00:22:23.480,Client,final_uav_1,nan,nan,7836,-1766.69,4.29,53.62,64.31,0.0,64.31,0.0,nan
2023/06/26 00:22:23.540,Client,final_uav_1,nan,nan,7837,-1746.25,3.73,58.36,64.49,0.0,64.49,0.52,nan
2023/06/26 00:22:23.581,Client,final_uav_1,nan,nan,7838,-1767.04,3.34,37.98,64.45,0.0,64.45,0.52,nan
2023/06/26 00:22:23.669,Client,final_uav_1,nan,nan,7839,-1724.23,4.31,85.34,64.26,0.0,64.26,0.53,nan
2023/06/26 00:22:23.716,Client,final_uav_1,nan,nan,7840,-1757.03,3.54,44.6,64.05,0.0,64.05,0.52,nan
2023/06/26 00:22:23.792,Client,final_uav_1,nan,nan,7841,-1736.27,3.23,73.53,64.25,0.0,64.25,0.0,nan
2023/06/26 00:22:23.837,Client,final_uav_1,nan,nan,7842,-1758.27,3.93,41.55,64.33,0.0,64.33,0.0,nan
2023/06/26 00:22:23.941,Client,final_uav_1,nan,nan,7843,-1715.43,5.04,101.39,63.98,0.0,63.98,0.0,nan
2023/06/26 00:22:23.996,Client,final_uav_1,nan,nan,7844,-1722.11,4.47,50.76,57.67,0.0,57.67,0.52,nan
2023/06/26 00:22:24.044,Client,final_uav_1,nan,nan,7845,-1762.35,4.43,46.33,63.13,0.0,63.13,0.55,nan
