asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/25 23:47:17.797,Client,final_uav_1,None,None,598,-283.37,21.02,72678.19,96.97,0.0,96.97,0.51,None
2023/06/25 23:47:17.842,Client,final_uav_1,nan,nan,599,-1392.27,5.73,40.98,97.02,0.0,97.02,0.0,nan
2023/06/25 23:47:17.881,Client,final_uav_1,nan,nan,600,-1504.77,4.75,35.26,96.46,0.0,96.46,0.0,nan
2023/06/25 23:47:17.962,Client,final_uav_1,nan,nan,601,-1522.78,4.59,77.7,96.42,0.0,96.42,1.0,nan
2023/06/25 23:47:18.101,Client,final_uav_1,nan,nan,602,-1562.64,3.98,135.39,92.66,0.0,92.66,0.0,nan
2023/06/25 23:47:18.231,Client,final_uav_1,nan,nan,603,-1562.54,4.87,125.84,96.36,0.0,96.36,0.52,nan
2023/06/25 23:47:18.370,Client,final_uav_1,nan,nan,604,-1566.25,7.57,136.09,96.77,0.0,96.77,0.53,nan
2023/06/25 23:47:18.471,Client,final_uav_1,nan,nan,605,-1597.75,4.48,97.31,96.77,0.0,96.77,0.0,nan
2023/06/25 23:47:18.570,Client,final_uav_1,nan,nan,606,-1634.08,4.31,96.17,96.78,0.0,96.78,0.0,nan
2023/06/25 23:47:18.703,Client,final_uav_1,nan,nan,607,-1597.75,4.35,130.31,96.18,0.0,96.18,0.54,nan
2023/06/25 23:47:18.835,Client,final_uav_1,nan,nan,608,-1567.58,5.64,128.55,96.59,0.0,96.59,0.0,nan
2023/06/25 23:47:19.049,Client,final_uav_1,nan,nan,609,-1486.0,11.51,210.7,96.5,0.0,96.5,0.0,nan
2023/06/25 23:47:19.155,Client,final_uav_1,nan,nan,610,-1514.82,4.73,103.06,94.83,0.0,94.83,0.0,nan
2023/06/25 23:47:19.235,Client,final_uav_1,nan,nan,611,-1533.14,5.62,76.2,96.25,0.0,96.25,0.53,nan
2023/06/25 23:47:19.309,Client,final_uav_1,nan,nan,612,-1685.07,4.42,70.37,96.66,0.0,96.66,0.0,nan
2023/06/25 23:47:19.440,Client,final_uav_1,nan,nan,613,-1614.51,4.95,128.9,96.73,0.0,96.73,0.0,nan
2023/06/25 23:47:19.623,Client,final_uav_1,nan,nan,614,-1511.83,5.08,179.93,96.38,0.0,96.38,0.53,nan
2023/06/25 23:47:19.780,Client,final_uav_1,nan,nan,615,-1492.72,4.25,153.06,96.53,0.0,96.53,0.0,nan
2023/06/25 23:47:19.913,Client,final_uav_1,nan,nan,616,-1530.65,4.76,130.63,96.58,0.0,96.58,0.0,nan
2023/06/25 23:47:20.032,Client,final_uav_1,nan,nan,617,-1585.52,3.56,115.66,74.91,0.0,74.91,0.0,nan
2023/06/25 23:47:20.129,Client,final_uav_1,nan,nan,618,-1618.48,4.59,93.83,95.45,0.0,95.45,0.53,nan
2023/06/25 23:47:20.274,Client,final_uav_1,nan,nan,619,-1591.52,10.66,142.93,95.64,0.0,95.64,0.58,nan
2023/06/25 23:47:20.374,Client,final_uav_1,nan,nan,620,-1591.77,5.18,96.85,94.67,0.0,94.67,0.0,nan
2023/06/25 23:47:20.503,Client,final_uav_1,nan,nan,621,-1594.87,4.64,124.8,96.73,0.0,96.73,0.52,nan
2023/06/25 23:47:20.590,Client,final_uav_1,nan,nan,622,-1612.03,4.67,83.36,98.08,0.0,98.08,0.0,nan
2023/06/25 23:47:20.703,Client,final_uav_1,nan,nan,623,-1595.3,5.55,109.77,97.9,0.0,97.9,0.52,nan
2023/06/25 23:47:20.824,Client,final_uav_1,nan,nan,624,-1602.09,4.32,118.65,97.88,0.0,97.88,0.0,nan
2023/06/25 23:47:20.957,Client,final_uav_1,nan,nan,625,-1578.37,4.94,128.95,98.3,0.0,98.3,0.52,nan
2023/06/25 23:47:21.038,Client,final_uav_1,nan,nan,626,-1625.19,7.04,76.89,94.67,0.0,94.67,0.54,nan
2023/06/25 23:47:21.140,Client,final_uav_1,nan,nan,627,-1653.37,4.75,98.48,99.22,0.0,99.22,0.52,nan
2023/06/25 23:47:21.223,Client,final_uav_1,nan,nan,628,-1630.68,4.72,79.86,99.39,0.0,99.39,0.0,nan
2023/06/25 23:47:21.362,Client,final_uav_1,nan,nan,629,-1607.83,4.81,136.47,99.47,0.0,99.47,0.53,nan
2023/06/25 23:47:21.616,Client,final_uav_1,nan,nan,630,-1433.62,11.02,250.11,99.33,0.0,99.33,0.0,nan
2023/06/25 23:47:21.752,Client,final_uav_1,nan,nan,631,-1448.49,4.85,132.78,99.51,0.0,99.51,0.52,nan
2023/06/25 23:47:21.862,Client,final_uav_1,nan,nan,632,-1515.34,4.74,106.24,100.05,0.0,100.05,0.52,nan
2023/06/25 23:47:21.995,Client,final_uav_1,nan,nan,633,-1572.39,4.11,129.28,79.37,0.0,79.37,0.0,nan
2023/06/25 23:47:22.141,Client,final_uav_1,nan,nan,634,-1560.41,4.84,143.14,98.23,0.0,98.23,0.52,nan
2023/06/25 23:47:22.264,Client,final_uav_1,nan,nan,635,-1567.53,6.09,119.19,99.86,0.0,99.86,0.51,nan
2023/06/25 23:47:22.358,Client,final_uav_1,nan,nan,636,-1589.69,5.52,89.62,100.39,0.0,100.39,0.0,nan
2023/06/25 23:47:22.492,Client,final_uav_1,nan,nan,637,-1605.11,8.41,129.76,99.83,0.0,99.83,0.57,nan
2023/06/25 23:47:22.588,Client,final_uav_1,nan,nan,638,-1600.58,4.61,90.49,100.16,0.0,100.16,1.04,nan
2023/06/25 23:47:22.732,Client,final_uav_1,nan,nan,639,-1582.91,4.24,141.48,100.24,0.0,100.24,0.0,nan
2023/06/25 23:47:22.916,Client,final_uav_1,nan,nan,640,-1500.93,58.16,180.87,100.1,0.0,100.1,0.53,nan
2023/06/25 23:47:22.976,Client,final_uav_1,nan,nan,641,-1546.71,7.83,57.04,100.4,0.0,100.4,0.0,nan
2023/06/25 23:47:23.079,Client,final_uav_1,nan,nan,642,-1618.01,4.9,100.91,97.82,0.0,97.82,0.03,nan
2023/06/25 23:47:23.184,Client,final_uav_1,nan,nan,643,-1601.79,4.9,101.83,100.0,0.0,100.0,0.53,nan
2023/06/25 23:47:23.288,Client,final_uav_1,nan,nan,644,-1625.83,4.74,100.16,100.04,0.0,100.04,0.0,nan
2023/06/25 23:47:23.396,Client,final_uav_1,nan,nan,645,-1623.93,3.89,105.55,100.13,0.0,100.13,0.0,nan
2023/06/25 23:47:23.495,Client,final_uav_1,nan,nan,646,-1628.26,5.31,96.81,99.97,0.0,99.97,0.0,nan
2023/06/25 23:47:23.597,Client,final_uav_1,nan,nan,647,-1635.94,4.55,98.64,100.4,0.0,100.4,0.52,nan
2023/06/25 23:47:23.683,Client,final_uav_1,nan,nan,648,-1648.52,4.78,82.95,100.16,0.0,100.16,0.54,nan
2023/06/25 23:47:23.787,Client,final_uav_1,nan,nan,649,-1647.12,4.43,100.03,100.24,0.0,100.24,1.13,nan
2023/06/25 23:47:23.887,Client,final_uav_1,nan,nan,650,-1630.54,5.28,96.85,100.4,0.0,100.4,0.53,nan
2023/06/25 23:47:23.974,Client,final_uav_1,nan,nan,651,-1642.24,5.31,83.82,89.22,0.0,89.22,0.52,nan
2023/06/25 23:47:24.079,Client,final_uav_1,nan,nan,652,-1638.44,11.54,101.62,99.0,0.0,99.0,0.0,nan
2023/06/25 23:47:24.174,Client,final_uav_1,nan,nan,653,-1609.36,4.36,92.69,100.19,0.0,100.19,0.52,nan
2023/06/25 23:47:24.297,Client,final_uav_1,nan,nan,654,-1612.95,5.6,119.95,99.88,0.0,99.88,0.0,nan
2023/06/25 23:47:24.392,Client,final_uav_1,nan,nan,655,-1613.31,5.93,91.18,99.93,0.0,99.93,0.51,nan
2023/06/25 23:47:24.493,Client,final_uav_1,nan,nan,656,-1638.87,4.65,98.05,100.31,0.0,100.31,0.52,nan
2023/06/25 23:47:24.600,Client,final_uav_1,nan,nan,657,-1621.77,5.49,102.65,100.36,0.0,100.36,0.0,nan
2023/06/25 23:47:24.682,Client,final_uav_1,nan,nan,658,-1639.19,4.87,80.26,100.37,0.0,100.37,0.51,nan
2023/06/25 23:47:24.844,Client,final_uav_1,nan,nan,659,-1588.17,4.7,157.74,99.94,0.0,99.94,1.0,nan
2023/06/25 23:47:24.952,Client,final_uav_1,nan,nan,660,-1549.76,5.26,105.52,99.97,0.0,99.97,0.0,nan
2023/06/25 23:47:25.086,Client,final_uav_1,nan,nan,661,-1565.37,4.57,131.17,94.95,0.0,94.95,0.54,nan
2023/06/25 23:47:25.194,Client,final_uav_1,nan,nan,662,-1588.68,5.56,104.35,98.61,0.0,98.61,0.0,nan
2023/06/25 23:47:25.293,Client,final_uav_1,nan,nan,663,-1628.68,10.95,96.72,98.53,0.0,98.53,0.0,nan
2023/06/25 23:47:25.387,Client,final_uav_1,nan,nan,664,-1632.78,4.65,90.64,98.54,0.0,98.54,0.52,nan
2023/06/25 23:47:25.476,Client,final_uav_1,nan,nan,665,-1643.27,5.1,84.83,98.29,0.0,98.29,0.52,nan
2023/06/25 23:47:25.593,Client,final_uav_1,nan,nan,666,-1628.67,5.23,113.85,98.6,0.0,98.6,0.52,nan
2023/06/25 23:47:25.719,Client,final_uav_1,nan,nan,667,-1582.19,5.19,121.88,98.65,0.0,98.65,1.0,nan
2023/06/25 23:47:25.846,Client,final_uav_1,nan,nan,668,-1568.46,5.3,123.88,98.42,0.0,98.42,0.02,nan
2023/06/25 23:47:25.962,Client,final_uav_1,nan,nan,669,-1582.77,5.35,112.91,97.72,0.0,97.72,0.01,nan
2023/06/25 23:47:26.107,Client,final_uav_1,nan,nan,670,-1565.36,4.67,141.71,93.83,0.0,93.83,0.0,nan
2023/06/25 23:47:26.226,Client,final_uav_1,nan,nan,671,-1573.94,4.48,115.59,95.51,0.51,95.51,0.0,nan
2023/06/25 23:47:26.296,Client,final_uav_1,nan,nan,672,-1618.3,4.36,67.72,92.17,0.0,92.17,0.0,nan
2023/06/25 23:47:26.401,Client,final_uav_1,nan,nan,673,-1659.37,4.54,101.56,91.5,0.0,91.5,0.0,nan
2023/06/25 23:47:26.510,Client,final_uav_1,nan,nan,674,-1606.29,10.07,106.34,92.28,0.0,92.28,1.0,nan
2023/06/25 23:47:26.629,Client,final_uav_1,nan,nan,675,-1604.97,4.95,115.84,94.36,0.0,94.36,0.52,nan
2023/06/25 23:47:26.763,Client,final_uav_1,nan,nan,676,-1567.94,6.16,130.51,95.67,0.0,95.67,0.53,nan
2023/06/25 23:47:26.869,Client,final_uav_1,nan,nan,677,-1595.0,6.06,101.65,97.24,0.0,97.24,0.0,nan
2023/06/25 23:47:26.947,Client,final_uav_1,nan,nan,678,-1648.56,4.13,74.95,76.04,0.0,76.04,0.0,nan
2023/06/25 23:47:27.063,Client,final_uav_1,nan,nan,679,-1635.57,3.77,113.02,96.98,0.0,96.98,0.0,nan
2023/06/25 23:47:27.156,Client,final_uav_1,nan,nan,680,-1610.4,4.88,90.99,97.62,0.0,97.62,0.5,nan
2023/06/25 23:47:27.286,Client,final_uav_1,nan,nan,681,-1611.51,5.2,126.48,98.21,0.0,98.21,0.0,nan
2023/06/25 23:47:27.393,Client,final_uav_1,nan,nan,682,-1592.36,5.53,103.69,97.76,0.0,97.76,0.0,nan
2023/06/25 23:47:27.519,Client,final_uav_1,nan,nan,683,-1601.52,5.0,122.85,98.06,0.0,98.06,0.53,nan
2023/06/25 23:47:27.597,Client,final_uav_1,nan,nan,684,-1626.17,5.14,75.5,97.97,0.0,97.97,0.0,nan
2023/06/25 23:47:27.696,Client,final_uav_1,nan,nan,685,-1653.31,4.68,96.41,98.38,0.0,98.38,0.53,nan
2023/06/25 23:47:27.809,Client,final_uav_1,nan,nan,686,-1614.31,9.82,109.98,98.11,0.0,98.11,0.0,nan
2023/06/25 23:47:27.908,Client,final_uav_1,nan,nan,687,-1624.81,5.63,95.93,98.18,0.0,98.18,0.0,nan
2023/06/25 23:47:27.999,Client,final_uav_1,nan,nan,688,-1633.64,4.76,88.95,94.28,0.0,94.28,0.52,nan
2023/06/25 23:47:28.135,Client,final_uav_1,nan,nan,689,-1605.5,5.15,132.78,97.44,0.0,97.44,0.52,nan
2023/06/25 23:47:28.253,Client,final_uav_1,nan,nan,690,-1583.62,4.63,114.34,98.0,0.0,98.0,0.53,nan
2023/06/25 23:47:28.355,Client,final_uav_1,nan,nan,691,-1612.03,6.09,99.34,97.78,0.0,97.78,0.52,nan
2023/06/25 23:47:28.522,Client,final_uav_1,nan,nan,692,-1568.29,5.52,163.29,98.21,0.0,98.21,0.52,nan
2023/06/25 23:47:28.632,Client,final_uav_1,nan,nan,693,-1555.06,6.49,106.84,98.23,0.0,98.23,0.53,nan
2023/06/25 23:47:28.728,Client,final_uav_1,nan,nan,694,-1606.54,4.63,93.01,98.54,0.0,98.54,0.0,nan
2023/06/25 23:47:28.832,Client,final_uav_1,nan,nan,695,-1634.51,4.85,101.1,98.62,0.0,98.62,0.8,nan
2023/06/25 23:47:28.976,Client,final_uav_1,nan,nan,696,-1590.94,4.69,139.92,76.65,0.0,76.65,0.53,nan
2023/06/25 23:47:29.111,Client,final_uav_1,nan,nan,697,-1556.0,9.74,131.83,96.0,0.0,96.0,0.52,nan
2023/06/25 23:47:29.227,Client,final_uav_1,nan,nan,698,-1577.55,3.88,113.02,98.14,0.0,98.14,0.53,nan
2023/06/25 23:47:29.339,Client,final_uav_1,nan,nan,699,-1590.61,5.24,109.18,98.29,0.0,98.29,0.0,nan
2023/06/25 23:47:29.457,Client,final_uav_1,nan,nan,700,-1608.72,4.98,115.08,98.11,0.0,98.11,0.02,nan
2023/06/25 23:47:29.550,Client,final_uav_1,nan,nan,701,-1615.79,4.32,90.18,98.44,0.0,98.44,0.0,nan
2023/06/25 23:47:29.656,Client,final_uav_1,nan,nan,702,-1639.27,3.58,103.18,98.37,0.0,98.37,0.0,nan
2023/06/25 23:47:29.780,Client,final_uav_1,nan,nan,703,-1610.12,4.19,120.55,98.33,0.0,98.33,0.54,nan
2023/06/25 23:47:29.887,Client,final_uav_1,nan,nan,704,-1598.11,4.46,102.51,98.12,0.0,98.12,0.0,nan
2023/06/25 23:47:29.986,Client,final_uav_1,nan,nan,705,-1626.71,4.26,96.71,90.02,0.0,90.02,0.0,nan
2023/06/25 23:47:30.088,Client,final_uav_1,nan,nan,706,-1630.97,5.37,98.93,97.32,0.0,97.32,0.51,nan
2023/06/25 23:47:30.232,Client,final_uav_1,nan,nan,707,-1587.12,4.93,140.89,97.98,0.0,97.98,0.0,nan
2023/06/25 23:47:30.603,Client,final_uav_1,nan,nan,708,-1317.49,49.65,368.59,98.27,0.0,98.27,0.52,nan
2023/06/25 23:47:30.654,Client,final_uav_1,nan,nan,709,-1410.99,4.57,48.32,98.24,0.0,98.24,0.0,nan
2023/06/25 23:47:30.785,Client,final_uav_1,nan,nan,710,-1414.02,5.25,127.47,98.34,0.0,98.34,0.52,nan
2023/06/25 23:47:30.886,Client,final_uav_1,nan,nan,711,-1601.05,5.21,97.82,98.59,0.0,98.59,0.52,nan
2023/06/25 23:47:30.986,Client,final_uav_1,nan,nan,712,-1635.39,4.72,96.39,89.8,0.0,89.8,0.0,nan
2023/06/25 23:47:31.112,Client,final_uav_1,nan,nan,713,-1607.82,4.69,123.34,97.06,0.0,97.06,0.0,nan
2023/06/25 23:47:31.222,Client,final_uav_1,nan,nan,714,-1598.87,4.95,106.21,98.09,0.0,98.09,0.0,nan
2023/06/25 23:47:31.309,Client,final_uav_1,nan,nan,715,-1610.73,4.06,84.03,98.06,0.0,98.06,0.0,nan
2023/06/25 23:47:31.418,Client,final_uav_1,nan,nan,716,-1636.12,4.07,105.91,98.21,0.0,98.21,0.0,nan
2023/06/25 23:47:31.556,Client,final_uav_1,nan,nan,717,-1565.1,5.54,134.35,98.44,0.0,98.44,0.52,nan
2023/06/25 23:47:31.821,Client,final_uav_1,nan,nan,718,-1429.8,11.08,262.17,98.49,0.0,98.49,0.52,nan
2023/06/25 23:47:31.921,Client,final_uav_1,nan,nan,719,-1465.41,4.95,96.74,97.43,0.0,97.43,0.0,nan
2023/06/25 23:47:32.024,Client,final_uav_1,nan,nan,720,-1464.35,5.16,99.09,104.24,0.0,104.24,0.53,nan
2023/06/25 23:47:32.120,Client,final_uav_1,nan,nan,721,-1637.36,4.5,92.46,97.63,0.0,97.63,0.0,nan
2023/06/25 23:47:32.203,Client,final_uav_1,nan,nan,722,-1653.0,3.62,79.85,98.36,0.0,98.36,0.0,nan
2023/06/25 23:47:32.298,Client,final_uav_1,nan,nan,723,-1658.96,5.1,91.95,98.07,0.0,98.07,0.0,nan
2023/06/25 23:47:32.389,Client,final_uav_1,nan,nan,724,-1645.6,4.11,88.37,98.02,0.0,98.02,0.0,nan
2023/06/25 23:47:32.493,Client,final_uav_1,nan,nan,725,-1642.54,5.75,100.5,98.44,0.0,98.44,0.53,nan
2023/06/25 23:47:32.600,Client,final_uav_1,nan,nan,726,-1624.0,4.91,103.92,98.22,0.0,98.22,0.53,nan
2023/06/25 23:47:32.721,Client,final_uav_1,nan,nan,727,-1604.62,4.88,115.36,98.3,0.0,98.3,0.52,nan
2023/06/25 23:47:32.818,Client,final_uav_1,nan,nan,728,-1604.31,5.87,95.09,98.7,0.0,98.7,0.52,nan
2023/06/25 23:47:32.927,Client,final_uav_1,nan,nan,729,-1624.71,5.1,105.63,98.47,0.0,98.47,0.0,nan
2023/06/25 23:47:33.050,Client,final_uav_1,nan,nan,730,-1606.73,10.12,118.87,94.4,0.0,94.4,0.52,nan
2023/06/25 23:47:33.138,Client,final_uav_1,nan,nan,731,-1616.01,4.77,85.92,97.47,0.0,97.47,0.53,nan
2023/06/25 23:47:33.269,Client,final_uav_1,nan,nan,732,-1609.05,4.36,127.45,97.84,0.0,97.84,0.0,nan
2023/06/25 23:47:33.421,Client,final_uav_1,nan,nan,733,-1547.83,4.63,148.14,98.15,0.0,98.15,0.52,nan
2023/06/25 23:47:33.547,Client,final_uav_1,nan,nan,734,-1522.69,4.7,122.55,98.33,0.0,98.33,0.0,nan
2023/06/25 23:47:33.699,Client,final_uav_1,nan,nan,735,-1499.7,4.65,148.75,98.76,0.0,98.76,0.52,nan
2023/06/25 23:47:33.843,Client,final_uav_1,nan,nan,736,-1510.22,4.22,140.39,98.47,0.0,98.47,0.52,nan
2023/06/25 23:47:33.989,Client,final_uav_1,nan,nan,737,-1496.21,4.47,142.44,98.3,0.0,98.3,0.0,nan
2023/06/25 23:47:34.137,Client,final_uav_1,nan,nan,738,-1517.85,5.2,145.05,94.05,0.0,94.05,0.52,nan
2023/06/25 23:47:34.323,Client,final_uav_1,nan,nan,739,-1456.96,32.27,183.41,97.66,0.0,97.66,0.51,nan
2023/06/25 23:47:34.430,Client,final_uav_1,nan,nan,740,-1487.3,5.3,103.92,98.25,0.0,98.25,0.0,nan
2023/06/25 23:47:34.537,Client,final_uav_1,nan,nan,741,-1545.48,5.17,103.73,98.17,0.0,98.17,0.0,nan
2023/06/25 23:47:34.661,Client,final_uav_1,nan,nan,742,-1596.4,5.35,120.51,98.16,0.0,98.16,0.56,nan
2023/06/25 23:47:34.793,Client,final_uav_1,nan,nan,743,-1542.4,4.74,127.62,98.36,0.0,98.36,0.0,nan
2023/06/25 23:47:34.934,Client,final_uav_1,nan,nan,744,-1531.5,4.65,138.29,98.58,0.01,98.58,0.0,nan
2023/06/25 23:47:35.054,Client,final_uav_1,nan,nan,745,-1544.55,4.93,117.62,89.61,0.0,89.61,0.55,nan
2023/06/25 23:47:35.153,Client,final_uav_1,nan,nan,746,-1599.38,4.33,96.19,97.59,0.0,97.59,0.0,nan
2023/06/25 23:47:35.292,Client,final_uav_1,nan,nan,747,-1595.35,4.26,135.78,98.39,0.0,98.39,0.0,nan
2023/06/25 23:47:35.421,Client,final_uav_1,nan,nan,748,-1563.65,4.06,125.65,98.03,0.0,98.03,0.56,nan
