asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/25 16:47:17.796,LocalInferencer1,input,final_uav_1,1,603,-1638.28,-1637.3,205190.68,147.6,1322.92,96.95,19.38,598
2023/06/25 16:47:17.842,LocalInferencer1,input,final_uav_1,11,613,-1448.61,-1597.53,114.69,147.6,47.47,97.0,5.56,599
2023/06/25 16:47:17.880,LocalInferencer1,input,final_uav_1,12,614,-1547.9,-1644.32,161.98,147.6,36.48,96.44,3.32,600
2023/06/25 16:47:17.960,LocalInferencer1,input,final_uav_1,13,615,-1561.05,-1734.63,133.24,147.6,31.71,96.4,3.47,601
2023/06/25 16:47:18.101,LocalInferencer1,input,final_uav_1,14,616,-1600.38,-1725.69,139.17,147.6,31.5,92.64,3.4,602
2023/06/25 16:47:18.230,LocalInferencer1,input,final_uav_1,15,617,-1600.28,-1739.82,129.54,147.6,30.83,96.35,3.56,603
2023/06/25 16:47:18.366,LocalInferencer1,input,final_uav_1,16,618,-1606.68,-1734.8,135.3,147.6,30.62,96.75,3.29,604
2023/06/25 16:47:18.470,LocalInferencer1,input,final_uav_1,17,619,-1636.21,-1766.91,102.41,147.6,32.27,96.75,3.81,605
2023/06/25 16:47:18.570,LocalInferencer1,input,final_uav_1,18,620,-1670.42,-1762.46,100.95,147.6,30.23,96.76,3.36,606
2023/06/25 16:47:18.702,LocalInferencer1,input,final_uav_1,19,621,-1635.04,-1731.87,131.7,147.6,30.84,96.16,3.24,607
2023/06/25 16:47:18.834,LocalInferencer1,input,final_uav_1,20,622,-1605.32,-1734.57,130.06,147.6,29.95,96.58,4.03,608
2023/06/25 16:47:19.048,LocalInferencer1,input,final_uav_1,21,623,-1528.95,-1661.39,208.62,147.6,29.78,96.49,10.51,609
2023/06/25 16:47:19.153,LocalInferencer1,input,final_uav_1,22,624,-1551.06,-1646.44,112.57,147.6,29.34,94.81,3.42,610
2023/06/25 16:47:19.233,LocalInferencer1,input,final_uav_1,23,625,-1571.72,-1791.89,74.91,147.6,31.5,96.23,3.51,611
2023/06/25 16:47:19.308,LocalInferencer1,input,final_uav_1,24,626,-1720.87,-1777.33,77.38,147.6,28.96,96.65,3.96,612
2023/06/25 16:47:19.440,LocalInferencer1,input,final_uav_1,25,627,-1652.91,-1726.36,128.28,147.6,31.7,96.71,3.87,613
2023/06/25 16:47:19.622,LocalInferencer1,input,final_uav_1,26,628,-1567.52,-1700.55,164.96,147.6,49.04,96.37,3.52,614
2023/06/25 16:47:19.779,LocalInferencer1,input,final_uav_1,27,629,-1529.24,-1690.22,175.17,147.6,30.39,96.52,3.85,615
2023/06/25 16:47:19.912,LocalInferencer1,input,final_uav_1,28,630,-1566.03,-1731.57,134.16,147.6,28.38,96.57,3.91,616
2023/06/25 16:47:20.031,LocalInferencer1,input,final_uav_1,29,631,-1622.74,-1749.59,116.42,147.6,31.46,74.89,3.32,617
2023/06/25 16:47:20.128,LocalInferencer1,input,final_uav_1,30,632,-1654.72,-1771.67,97.46,147.6,29.5,95.44,3.58,618
2023/06/25 16:47:20.274,LocalInferencer1,input,final_uav_1,31,633,-1635.27,-1732.04,138.15,147.6,30.97,95.62,9.96,619
2023/06/25 16:47:20.373,LocalInferencer1,input,final_uav_1,32,634,-1630.2,-1758.2,104.34,147.6,30.98,94.66,3.85,620
2023/06/25 16:47:20.502,LocalInferencer1,input,final_uav_1,33,635,-1632.01,-1732.44,128.88,147.6,30.11,96.71,3.76,621
2023/06/25 16:47:20.589,LocalInferencer1,input,final_uav_1,34,636,-1648.25,-1741.48,87.42,147.6,29.49,98.06,3.6,622
2023/06/25 16:47:20.701,LocalInferencer1,input,final_uav_1,35,637,-1632.7,-1755.79,111.58,147.6,29.93,97.89,3.58,623
2023/06/25 16:47:20.823,LocalInferencer1,input,final_uav_1,36,638,-1636.82,-1743.36,123.93,147.6,28.45,97.86,3.25,624
2023/06/25 16:47:20.956,LocalInferencer1,input,final_uav_1,37,639,-1617.03,-1737.67,128.07,147.6,31.32,98.29,3.61,625
2023/06/25 16:47:21.037,LocalInferencer1,input,final_uav_1,38,640,-1663.4,-1790.1,79.91,147.6,29.05,94.65,6.22,626
2023/06/25 16:47:21.139,LocalInferencer1,input,final_uav_1,39,641,-1690.27,-1747.09,103.58,147.6,30.24,99.2,3.48,627
2023/06/25 16:47:21.222,LocalInferencer1,input,final_uav_1,40,642,-1666.79,-1780.34,83.24,147.6,29.46,99.38,3.52,628
2023/06/25 16:47:21.361,LocalInferencer1,input,final_uav_1,41,643,-1645.23,-1713.53,137.4,147.6,30.07,99.45,3.77,629
2023/06/25 16:47:21.615,LocalInferencer1,input,final_uav_1,42,644,-1507.13,-1654.14,214.71,147.6,59.63,99.31,10.12,630
2023/06/25 16:47:21.751,LocalInferencer1,input,final_uav_1,43,645,-1495.2,-1665.76,161.12,147.6,39.13,99.5,3.96,631
2023/06/25 16:47:21.861,LocalInferencer1,input,final_uav_1,44,646,-1551.66,-1737.52,122.24,147.6,29.82,100.03,3.51,632
2023/06/25 16:47:21.994,LocalInferencer1,input,final_uav_1,45,647,-1608.45,-1737.9,132.04,147.6,30.09,79.36,3.62,633
2023/06/25 16:47:22.140,LocalInferencer1,input,final_uav_1,46,648,-1597.41,-1723.63,144.73,147.6,30.45,98.22,3.72,634
2023/06/25 16:47:22.262,LocalInferencer1,input,final_uav_1,47,649,-1605.18,-1719.5,121.63,147.6,29.65,99.84,4.81,635
2023/06/25 16:47:22.357,LocalInferencer1,input,final_uav_1,48,650,-1625.5,-1772.22,95.19,147.6,28.32,100.37,3.88,636
2023/06/25 16:47:22.490,LocalInferencer1,input,final_uav_1,49,651,-1651.94,-1739.33,122.54,147.6,35.84,99.82,6.31,637
2023/06/25 16:47:22.587,LocalInferencer1,input,final_uav_1,50,652,-1639.98,-1764.69,100.76,147.6,32.01,100.14,3.55,638
2023/06/25 16:47:22.732,LocalInferencer1,input,final_uav_1,51,653,-1619.89,-1718.68,148.85,147.6,30.42,100.23,3.6,639
2023/06/25 16:47:22.916,LocalInferencer1,input,final_uav_1,52,654,-1589.33,-1691.16,132.0,147.6,28.65,100.09,56.98,640
2023/06/25 16:47:22.972,LocalInferencer1,input,final_uav_1,53,655,-1587.4,-1758.8,106.15,147.6,30.77,100.39,3.86,641
2023/06/25 16:47:23.079,LocalInferencer1,input,final_uav_1,54,656,-1654.03,-1739.05,108.79,147.6,29.54,97.8,3.99,642
2023/06/25 16:47:23.184,LocalInferencer1,input,final_uav_1,55,657,-1637.93,-1762.16,103.84,147.6,29.59,99.98,3.4,643
2023/06/25 16:47:23.287,LocalInferencer1,input,final_uav_1,56,658,-1661.67,-1764.05,102.98,147.6,29.17,100.02,3.44,644
2023/06/25 16:47:23.395,LocalInferencer1,input,final_uav_1,57,659,-1660.8,-1758.92,106.71,147.6,30.25,100.11,3.65,645
2023/06/25 16:47:23.494,LocalInferencer1,input,final_uav_1,58,660,-1665.22,-1771.6,98.76,147.6,29.35,99.95,3.4,646
2023/06/25 16:47:23.596,LocalInferencer1,input,final_uav_1,59,661,-1671.5,-1767.96,102.15,147.6,29.1,100.38,3.35,647
2023/06/25 16:47:23.682,LocalInferencer1,input,final_uav_1,60,662,-1683.88,-1782.52,85.86,147.6,28.67,100.15,3.57,648
2023/06/25 16:47:23.786,LocalInferencer1,input,final_uav_1,61,663,-1688.21,-1769.59,97.52,147.6,34.33,100.22,3.78,649
2023/06/25 16:47:23.886,LocalInferencer1,input,final_uav_1,62,664,-1666.96,-1762.17,104.89,147.6,28.83,100.39,3.91,650
2023/06/25 16:47:23.973,LocalInferencer1,input,final_uav_1,63,665,-1678.72,-1775.12,86.58,147.6,29.73,89.2,3.64,651
2023/06/25 16:47:24.078,LocalInferencer1,input,final_uav_1,64,666,-1680.56,-1744.53,98.18,147.6,28.72,98.98,10.65,652
2023/06/25 16:47:24.173,LocalInferencer1,input,final_uav_1,65,667,-1645.97,-1768.19,100.75,147.6,30.07,100.18,3.4,653
2023/06/25 16:47:24.295,LocalInferencer1,input,final_uav_1,66,668,-1648.41,-1739.8,122.7,147.6,28.44,99.86,3.39,654
2023/06/25 16:47:24.390,LocalInferencer1,input,final_uav_1,67,669,-1652.44,-1776.1,90.23,147.6,30.63,99.92,4.62,655
2023/06/25 16:47:24.492,LocalInferencer1,input,final_uav_1,68,670,-1679.36,-1763.78,99.79,147.6,33.53,100.29,3.73,656
2023/06/25 16:47:24.599,LocalInferencer1,input,final_uav_1,69,671,-1658.0,-1753.68,110.52,147.6,29.33,100.34,3.81,657
2023/06/25 16:47:24.682,LocalInferencer1,input,final_uav_1,70,672,-1674.39,-1781.25,83.86,147.6,28.41,100.36,3.36,658
2023/06/25 16:47:24.843,LocalInferencer1,input,final_uav_1,71,673,-1626.89,-1693.97,156.8,147.6,31.32,99.92,4.42,659
2023/06/25 16:47:24.952,LocalInferencer1,input,final_uav_1,72,674,-1588.34,-1734.25,108.14,147.6,31.66,99.96,3.83,660
2023/06/25 16:47:25.086,LocalInferencer1,input,final_uav_1,73,675,-1602.25,-1729.26,135.41,147.6,30.52,94.94,3.32,661
2023/06/25 16:47:25.192,LocalInferencer1,input,final_uav_1,74,676,-1626.41,-1763.11,105.72,147.6,30.2,98.59,3.78,662
2023/06/25 16:47:25.293,LocalInferencer1,input,final_uav_1,75,677,-1674.79,-1770.6,90.42,147.6,33.54,98.52,9.72,663
2023/06/25 16:47:25.387,LocalInferencer1,input,final_uav_1,76,678,-1668.85,-1763.36,104.22,147.6,29.1,98.53,3.88,664
2023/06/25 16:47:25.475,LocalInferencer1,input,final_uav_1,77,679,-1682.28,-1780.85,83.77,147.6,32.0,98.28,4.23,665
2023/06/25 16:47:25.592,LocalInferencer1,input,final_uav_1,78,680,-1666.55,-1742.1,118.18,147.6,31.19,98.58,3.68,666
2023/06/25 16:47:25.717,LocalInferencer1,input,final_uav_1,79,681,-1619.87,-1731.43,125.22,147.6,30.71,98.63,3.61,667
2023/06/25 16:47:25.845,LocalInferencer1,input,final_uav_1,80,682,-1608.53,-1736.72,125.14,147.6,32.83,98.4,3.67,668
2023/06/25 16:47:25.961,LocalInferencer1,input,final_uav_1,81,683,-1619.79,-1743.61,118.67,147.6,29.52,97.71,3.54,669
2023/06/25 16:47:26.106,LocalInferencer1,input,final_uav_1,82,684,-1601.98,-1725.9,144.03,147.6,30.16,93.81,3.88,670
2023/06/25 16:47:26.225,LocalInferencer1,input,final_uav_1,83,685,-1612.08,-1724.61,116.92,147.6,30.68,95.49,4.0,671
2023/06/25 16:47:26.296,LocalInferencer1,input,final_uav_1,84,686,-1654.97,-1796.26,71.64,147.6,30.3,92.15,3.68,672
2023/06/25 16:47:26.400,LocalInferencer1,input,final_uav_1,85,687,-1696.76,-1750.79,103.09,147.6,30.93,91.48,3.89,673
2023/06/25 16:47:26.510,LocalInferencer1,input,final_uav_1,86,688,-1648.8,-1763.38,103.89,147.6,30.71,92.26,9.67,674
2023/06/25 16:47:26.628,LocalInferencer1,input,final_uav_1,87,689,-1641.89,-1735.91,124.08,147.6,29.8,94.35,3.5,675
2023/06/25 16:47:26.762,LocalInferencer1,input,final_uav_1,88,690,-1606.84,-1737.21,131.18,147.6,30.99,95.65,4.74,676
2023/06/25 16:47:26.868,LocalInferencer1,input,final_uav_1,89,691,-1633.47,-1759.89,105.55,147.6,31.36,97.23,4.06,677
