asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 00:29:22.895,Client,final_uav_1,None,None,9307,-1387.47,8.27,102405.56,105.86,0.0,105.86,1.03,None
2023/06/26 00:29:22.930,Client,final_uav_1,nan,nan,9308,-1435.22,4.33,32.02,106.12,0.0,106.12,0.52,nan
2023/06/26 00:29:22.994,Client,final_uav_1,nan,nan,9309,-1572.81,4.7,61.26,105.94,0.0,105.94,0.0,nan
2023/06/26 00:29:23.110,Client,final_uav_1,nan,nan,9310,-1565.32,4.09,112.39,105.86,0.0,105.86,0.0,nan
2023/06/26 00:29:23.280,Client,final_uav_1,nan,nan,9311,-1540.45,3.58,167.48,103.62,0.0,103.62,0.0,nan
2023/06/26 00:29:23.401,Client,final_uav_1,nan,nan,9312,-1536.41,3.67,118.09,105.98,0.0,105.98,0.0,nan
2023/06/26 00:29:23.570,Client,final_uav_1,nan,nan,9313,-1506.02,4.77,166.1,105.84,0.0,105.84,0.0,nan
2023/06/26 00:29:23.705,Client,final_uav_1,nan,nan,9314,-1551.61,4.38,131.61,108.31,0.0,108.31,0.0,nan
2023/06/26 00:29:23.853,Client,final_uav_1,nan,nan,9315,-1544.65,4.43,145.05,108.31,0.0,108.31,0.0,nan
2023/06/26 00:29:23.967,Client,final_uav_1,nan,nan,9316,-1559.75,3.66,111.2,107.66,0.0,107.66,0.0,nan
2023/06/26 00:29:24.101,Client,final_uav_1,nan,nan,9317,-1558.74,6.78,131.15,107.41,0.0,107.41,1.0,nan
2023/06/26 00:29:24.233,Client,final_uav_1,nan,nan,9318,-1561.81,3.78,130.0,100.87,0.0,100.87,1.0,nan
2023/06/26 00:29:24.389,Client,final_uav_1,nan,nan,9319,-1538.26,4.4,152.57,105.8,0.0,105.8,0.0,nan
2023/06/26 00:29:24.536,Client,final_uav_1,nan,nan,9320,-1524.86,3.05,144.65,105.88,0.0,105.88,1.0,nan
2023/06/26 00:29:24.632,Client,final_uav_1,nan,nan,9321,-1561.54,4.95,92.87,105.95,0.0,105.95,0.0,nan
2023/06/26 00:29:24.733,Client,final_uav_1,nan,nan,9322,-1628.85,3.3,98.27,105.86,0.0,105.86,0.0,nan
2023/06/26 00:29:24.888,Client,final_uav_1,nan,nan,9323,-1573.12,4.14,151.85,105.87,0.0,105.87,1.0,nan
2023/06/26 00:29:25.005,Client,final_uav_1,nan,nan,9324,-1556.13,4.14,114.98,106.16,0.0,106.16,0.0,nan
2023/06/26 00:29:25.135,Client,final_uav_1,nan,nan,9325,-1561.61,3.56,126.91,106.19,0.0,106.19,0.0,nan
2023/06/26 00:29:25.271,Client,final_uav_1,nan,nan,9326,-1553.73,4.48,133.76,104.51,0.0,104.51,0.0,nan
2023/06/26 00:29:25.435,Client,final_uav_1,nan,nan,9327,-1528.33,7.06,160.57,105.75,0.0,105.75,0.0,nan
2023/06/26 00:29:25.565,Client,final_uav_1,nan,nan,9328,-1527.17,3.52,128.46,106.15,0.0,106.15,0.0,nan
2023/06/26 00:29:25.704,Client,final_uav_1,nan,nan,9329,-1524.16,5.76,136.24,105.99,0.0,105.99,0.0,nan
2023/06/26 00:29:25.834,Client,final_uav_1,nan,nan,9330,-1560.1,4.07,126.31,105.8,0.0,105.8,1.0,nan
2023/06/26 00:29:25.966,Client,final_uav_1,nan,nan,9331,-1561.03,4.38,130.33,105.77,0.0,105.77,1.01,nan
2023/06/26 00:29:26.101,Client,final_uav_1,nan,nan,9332,-1559.97,2.93,133.55,105.81,0.0,105.81,1.0,nan
2023/06/26 00:29:26.232,Client,final_uav_1,nan,nan,9333,-1561.42,4.6,127.67,100.46,0.0,100.46,0.0,nan
2023/06/26 00:29:26.376,Client,final_uav_1,nan,nan,9334,-1550.51,4.09,141.5,105.8,0.0,105.8,0.0,nan
2023/06/26 00:29:26.499,Client,final_uav_1,nan,nan,9335,-1560.02,3.25,120.15,105.47,0.0,105.47,0.0,nan
2023/06/26 00:29:26.629,Client,final_uav_1,nan,nan,9336,-1566.08,3.35,127.1,105.71,0.0,105.71,0.0,nan
2023/06/26 00:29:26.768,Client,final_uav_1,nan,nan,9337,-1554.7,6.6,136.24,105.72,0.0,105.72,0.0,nan
2023/06/26 00:29:26.900,Client,final_uav_1,nan,nan,9338,-1553.22,3.88,130.28,105.71,0.0,105.71,0.0,nan
2023/06/26 00:29:27.001,Client,final_uav_1,nan,nan,9339,-1593.15,4.3,97.4,105.66,0.0,105.66,0.0,nan
2023/06/26 00:29:27.139,Client,final_uav_1,nan,nan,9340,-1589.51,3.3,135.5,80.25,0.0,80.25,0.0,nan
2023/06/26 00:29:27.265,Client,final_uav_1,nan,nan,9341,-1562.39,4.18,122.77,104.97,0.0,104.97,0.0,nan
2023/06/26 00:29:27.401,Client,final_uav_1,nan,nan,9342,-1559.97,4.31,134.16,105.91,0.0,105.91,1.0,nan
2023/06/26 00:29:27.520,Client,final_uav_1,nan,nan,9343,-1574.68,4.11,115.81,105.9,0.0,105.9,0.0,nan
2023/06/26 00:29:27.642,Client,final_uav_1,nan,nan,9344,-1585.19,3.59,119.96,106.01,0.0,106.01,0.0,nan
2023/06/26 00:29:27.740,Client,final_uav_1,nan,nan,9345,-1587.43,3.16,94.5,105.8,0.0,105.8,0.0,nan
2023/06/26 00:29:27.868,Client,final_uav_1,nan,nan,9346,-1593.98,3.35,126.18,105.83,0.0,105.83,1.0,nan
2023/06/26 00:29:28.004,Client,final_uav_1,nan,nan,9347,-1555.79,7.04,132.69,105.6,0.0,105.6,0.0,nan
2023/06/26 00:29:28.126,Client,final_uav_1,nan,nan,9348,-1567.84,4.03,118.99,79.83,0.0,79.83,0.0,nan
2023/06/26 00:29:28.278,Client,final_uav_1,nan,nan,9349,-1547.06,4.42,150.39,102.97,0.0,102.97,0.0,nan
2023/06/26 00:29:28.375,Client,final_uav_1,nan,nan,9350,-1577.3,3.52,95.1,105.44,0.0,105.44,0.0,nan
2023/06/26 00:29:28.517,Client,final_uav_1,nan,nan,9351,-1589.06,3.81,140.28,105.39,0.0,105.39,0.0,nan
2023/06/26 00:29:28.653,Client,final_uav_1,nan,nan,9352,-1553.58,3.63,133.82,105.8,0.0,105.8,0.0,nan
2023/06/26 00:29:28.833,Client,final_uav_1,nan,nan,9353,-1511.15,4.02,177.38,110.09,0.0,110.09,0.0,nan
2023/06/26 00:29:29.010,Client,final_uav_1,nan,nan,9354,-1465.08,3.92,174.91,109.43,0.0,109.43,1.0,nan
2023/06/26 00:29:29.136,Client,final_uav_1,nan,nan,9355,-1520.62,4.51,122.59,108.45,0.0,108.45,0.0,nan
2023/06/26 00:29:29.276,Client,final_uav_1,nan,nan,9356,-1549.16,6.32,136.81,103.02,0.0,103.02,1.01,nan
2023/06/26 00:29:29.372,Client,final_uav_1,nan,nan,9357,-1587.69,3.9,95.58,105.69,0.0,105.69,0.99,nan
2023/06/26 00:29:29.593,Client,final_uav_1,nan,nan,9358,-1500.59,3.7,216.82,105.75,0.0,105.75,1.0,nan
2023/06/26 00:29:29.798,Client,final_uav_1,nan,nan,9359,-1402.21,3.7,203.0,105.5,0.0,105.5,0.0,nan
2023/06/26 00:29:29.909,Client,final_uav_1,nan,nan,9360,-1492.26,4.57,107.87,105.57,0.0,105.57,0.0,nan
2023/06/26 00:29:30.054,Client,final_uav_1,nan,nan,9361,-1568.53,5.35,140.77,105.95,0.0,105.95,0.0,nan
