asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/25 17:29:22.891,LocalInferencer1,input,final_uav_1,1,9358,-1684.69,-1683.23,130378.29,186.77,285.65,105.84,6.54,9307
2023/06/25 17:29:22.929,LocalInferencer1,input,final_uav_1,3,9360,-1478.83,-1673.76,104.98,186.77,37.82,106.11,3.08,9308
2023/06/25 17:29:22.993,LocalInferencer1,input,final_uav_1,4,9361,-1609.85,-1713.29,147.78,186.77,30.58,105.92,2.95,9309
2023/06/25 17:29:23.109,LocalInferencer1,input,final_uav_1,5,9362,-1601.72,-1742.25,115.55,186.77,30.26,105.85,3.1,9310
2023/06/25 17:29:23.280,LocalInferencer1,input,final_uav_1,6,9363,-1577.91,-1689.83,168.75,186.77,31.64,103.6,3.02,9311
2023/06/25 17:29:23.401,LocalInferencer1,input,final_uav_1,7,9364,-1571.71,-1708.58,122.88,186.77,29.93,105.97,2.82,9312
2023/06/25 17:29:23.570,LocalInferencer1,input,final_uav_1,8,9365,-1542.84,-1720.0,167.1,186.77,30.48,105.83,3.22,9313
2023/06/25 17:29:23.705,LocalInferencer1,input,final_uav_1,9,9366,-1591.81,-1730.75,130.62,186.77,33.49,108.29,3.54,9314
2023/06/25 17:29:23.853,LocalInferencer1,input,final_uav_1,10,9367,-1580.53,-1706.39,151.68,186.77,29.51,108.3,3.61,9315
2023/06/25 17:29:23.967,LocalInferencer1,input,final_uav_1,11,9368,-1595.1,-1725.62,114.43,186.77,29.3,107.65,3.37,9316
2023/06/25 17:29:24.102,LocalInferencer1,input,final_uav_1,12,9369,-1596.84,-1729.26,130.91,186.77,29.42,107.39,6.72,9317
2023/06/25 17:29:24.233,LocalInferencer1,input,final_uav_1,13,9370,-1597.11,-1727.46,134.1,186.77,29.92,100.86,3.05,9318
2023/06/25 17:29:24.388,LocalInferencer1,input,final_uav_1,14,9371,-1575.27,-1706.56,153.51,186.77,30.64,105.79,3.18,9319
2023/06/25 17:29:24.536,LocalInferencer1,input,final_uav_1,15,9372,-1561.7,-1691.74,146.15,186.77,31.53,105.86,3.01,9320
2023/06/25 17:29:24.631,LocalInferencer1,input,final_uav_1,16,9373,-1596.76,-1762.22,97.05,186.77,28.5,105.94,3.44,9321
2023/06/25 17:29:24.732,LocalInferencer1,input,final_uav_1,17,9374,-1663.43,-1760.22,100.28,186.77,29.45,105.84,2.94,9322
2023/06/25 17:29:24.886,LocalInferencer1,input,final_uav_1,18,9375,-1607.67,-1706.35,154.66,186.77,28.75,105.86,3.04,9323
2023/06/25 17:29:25.004,LocalInferencer1,input,final_uav_1,19,9376,-1591.14,-1722.81,116.99,186.77,29.68,106.15,2.81,9324
2023/06/25 17:29:25.134,LocalInferencer1,input,final_uav_1,20,9377,-1596.09,-1723.8,129.41,186.77,28.76,106.18,2.74,9325
2023/06/25 17:29:25.270,LocalInferencer1,input,final_uav_1,21,9378,-1589.89,-1724.63,134.69,186.77,30.28,104.49,2.77,9326
2023/06/25 17:29:25.434,LocalInferencer1,input,final_uav_1,22,9379,-1564.75,-1691.31,161.87,186.77,27.76,105.74,6.62,9327
2023/06/25 17:29:25.565,LocalInferencer1,input,final_uav_1,23,9380,-1562.55,-1696.81,132.04,186.77,29.78,106.13,3.03,9328
2023/06/25 17:29:25.703,LocalInferencer1,input,final_uav_1,24,9381,-1560.51,-1722.49,137.8,186.77,28.69,105.97,4.26,9329
2023/06/25 17:29:25.833,LocalInferencer1,input,final_uav_1,25,9382,-1594.92,-1724.7,130.32,186.77,29.33,105.78,3.04,9330
2023/06/25 17:29:25.966,LocalInferencer1,input,final_uav_1,26,9383,-1595.48,-1727.02,132.11,186.77,28.2,105.75,3.4,9331
2023/06/25 17:29:26.101,LocalInferencer1,input,final_uav_1,27,9384,-1594.27,-1723.31,135.21,186.77,29.25,105.8,2.84,9332
2023/06/25 17:29:26.232,LocalInferencer1,input,final_uav_1,28,9385,-1598.03,-1727.95,127.72,186.77,30.31,100.44,3.48,9333
2023/06/25 17:29:26.375,LocalInferencer1,input,final_uav_1,29,9386,-1587.06,-1717.38,142.81,186.77,29.93,105.78,3.49,9334
2023/06/25 17:29:26.498,LocalInferencer1,input,final_uav_1,30,9387,-1594.86,-1729.54,124.59,186.77,29.04,105.46,2.82,9335
2023/06/25 17:29:26.629,LocalInferencer1,input,final_uav_1,31,9388,-1601.05,-1723.57,129.49,186.77,29.26,105.69,3.04,9336
2023/06/25 17:29:26.767,LocalInferencer1,input,final_uav_1,32,9389,-1591.57,-1720.22,135.78,186.77,28.11,105.71,6.55,9337
2023/06/25 17:29:26.900,LocalInferencer1,input,final_uav_1,33,9390,-1589.09,-1725.94,133.7,186.77,29.98,105.69,3.12,9338
2023/06/25 17:29:27.000,LocalInferencer1,input,final_uav_1,34,9391,-1629.26,-1760.76,99.77,186.77,29.76,105.65,3.1,9339
