asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/20 21:04:00.034,UAVFrameProducer,None,input,1,-1,-1,0.0,3.65,12.42,0.0,12.45,99.72,704
2023/06/20 21:04:00.097,UAVFrameProducer,None,input,2,-1,-1,5.54,10.78,12.42,0.0,12.45,155.05,705
2023/06/20 21:04:00.180,UAVFrameProducer,None,input,3,-1,-1,14.08,5.85,12.42,0.0,12.45,221.34,706
2023/06/20 21:04:00.252,UAVFrameProducer,None,input,4,-1,-1,0.0,4.47,12.42,0.0,12.45,198.25,707
2023/06/20 21:04:00.308,UAVFrameProducer,None,input,5,-1,-1,0.0,2.11,12.42,0.0,12.45,164.1,708
2023/06/20 21:04:00.363,UAVFrameProducer,None,input,6,-1,-1,0.0,5.42,12.42,0.0,12.45,148.28,709
2023/06/20 21:04:00.419,UAVFrameProducer,None,input,7,-1,-1,0.0,10.74,12.42,0.0,12.45,144.87,710
2023/06/20 21:04:00.472,UAVFrameProducer,None,input,8,-1,-1,0.0,19.62,12.42,0.0,12.45,127.97,711
2023/06/20 21:04:00.538,UAVFrameProducer,None,input,9,-1,-1,0.0,4.75,12.42,0.0,12.45,154.35,712
2023/06/20 21:04:00.619,UAVFrameProducer,None,input,10,-1,-1,0.0,11.47,12.42,0.0,12.45,179.62,713
2023/06/20 21:04:00.671,UAVFrameProducer,None,input,11,-1,-1,0.0,14.65,12.42,0.0,12.45,169.45,714
2023/06/20 21:04:00.713,UAVFrameProducer,None,input,12,-1,-1,0.0,10.99,12.42,0.0,12.45,130.38,715
2023/06/20 21:04:00.774,UAVFrameProducer,None,input,13,-1,-1,0.0,9.36,12.42,0.0,12.45,133.37,716
2023/06/20 21:04:00.846,UAVFrameProducer,None,input,14,-1,-1,0.0,12.57,12.42,0.0,12.45,159.78,717
2023/06/20 21:04:00.904,UAVFrameProducer,None,input,15,-1,-1,0.0,12.94,12.42,0.0,12.45,164.09,718
2023/06/20 21:04:00.944,UAVFrameProducer,None,input,16,-1,-1,0.0,14.51,12.42,0.0,12.45,128.64,719
2023/06/20 21:04:01.014,UAVFrameProducer,None,input,17,-1,-1,0.0,4.58,12.42,0.0,12.45,150.17,720
2023/06/20 21:04:01.069,UAVFrameProducer,None,input,18,-1,-1,0.0,10.4,12.42,0.0,12.45,151.2,721
2023/06/20 21:04:01.148,UAVFrameProducer,None,input,19,-1,-1,0.0,3.32,12.42,0.0,12.45,171.58,722
2023/06/20 21:04:01.191,UAVFrameProducer,None,input,20,-1,-1,0.27,5.03,12.42,0.0,12.45,143.91,723
2023/06/20 21:04:01.239,UAVFrameProducer,None,input,21,-1,-1,0.0,13.04,12.42,0.0,12.45,127.38,724
2023/06/20 21:04:01.305,UAVFrameProducer,None,input,22,-1,-1,0.0,7.48,12.42,0.0,12.45,136.77,725
2023/06/20 21:04:01.345,UAVFrameProducer,None,input,23,-1,-1,0.0,3.93,12.42,0.0,12.45,133.17,726
2023/06/20 21:04:01.417,UAVFrameProducer,None,input,24,-1,-1,1.01,3.98,12.42,0.17,12.45,139.34,727
2023/06/20 21:04:01.471,UAVFrameProducer,None,input,25,-1,-1,0.0,4.83,12.42,0.0,12.45,141.17,728
2023/06/20 21:04:01.519,UAVFrameProducer,None,input,26,-1,-1,0.0,1.97,12.42,0.0,12.45,141.56,729
2023/06/20 21:04:01.566,UAVFrameProducer,None,input,27,-1,-1,0.0,7.93,12.42,0.0,12.45,129.07,730
2023/06/20 21:04:01.611,UAVFrameProducer,None,input,28,-1,-1,0.0,15.03,12.42,0.0,12.45,123.36,731
2023/06/20 21:04:01.665,UAVFrameProducer,None,input,29,-1,-1,0.0,9.49,12.42,0.0,12.45,116.38,732
2023/06/20 21:04:01.712,UAVFrameProducer,None,input,30,-1,-1,0.0,13.38,12.42,0.0,12.45,123.03,733
2023/06/20 21:04:01.773,UAVFrameProducer,None,input,31,-1,-1,0.0,4.2,12.42,0.0,12.45,134.8,734
2023/06/20 21:04:01.827,UAVFrameProducer,None,input,32,-1,-1,0.0,11.81,12.42,0.0,12.45,147.08,735
2023/06/20 21:04:01.874,UAVFrameProducer,None,input,33,-1,-1,0.0,13.27,12.42,0.0,12.45,135.3,736
2023/06/20 21:04:01.921,UAVFrameProducer,None,input,34,-1,-1,0.0,11.09,12.42,0.0,12.45,119.11,737
2023/06/20 21:04:01.971,UAVFrameProducer,None,input,35,-1,-1,0.0,3.99,12.42,0.0,12.45,125.88,738
2023/06/20 21:04:02.002,UAVFrameProducer,None,input,36,-1,-1,0.0,2.0,12.42,0.0,12.45,108.0,739
2023/06/20 21:04:02.048,UAVFrameProducer,None,input,37,-1,-1,0.0,2.81,12.42,0.0,12.45,107.0,740
2023/06/20 21:04:02.097,UAVFrameProducer,None,input,38,-1,-1,0.0,5.6,12.42,0.0,12.45,107.0,741
2023/06/20 21:04:02.142,UAVFrameProducer,None,input,39,-1,-1,0.0,4.94,12.42,0.0,12.45,123.17,742
2023/06/20 21:04:02.186,UAVFrameProducer,None,input,40,-1,-1,0.0,4.99,12.42,0.0,12.45,117.57,743
2023/06/20 21:04:02.237,UAVFrameProducer,None,input,41,-1,-1,0.0,7.09,12.42,0.0,12.45,120.27,744
2023/06/20 21:04:02.281,UAVFrameProducer,None,input,42,-1,-1,0.0,5.58,12.42,0.0,12.45,120.74,745
2023/06/20 21:04:02.349,UAVFrameProducer,None,input,43,-1,-1,0.0,2.84,12.42,0.0,12.45,141.68,746
2023/06/20 21:04:02.398,UAVFrameProducer,None,input,44,-1,-1,0.45,8.0,12.42,0.0,12.45,143.5,747
2023/06/20 21:04:02.451,UAVFrameProducer,None,input,45,-1,-1,0.0,4.0,12.42,0.0,12.45,137.57,748
2023/06/20 21:04:02.497,UAVFrameProducer,None,input,46,-1,-1,0.0,5.0,12.42,0.0,12.45,124.83,749
2023/06/20 21:04:02.574,UAVFrameProducer,None,input,47,-1,-1,0.0,6.66,12.42,0.0,12.45,153.01,750
2023/06/20 21:04:02.650,UAVFrameProducer,None,input,48,-1,-1,0.0,13.41,12.42,0.0,12.45,172.65,751
2023/06/20 21:04:02.701,UAVFrameProducer,None,input,49,-1,-1,0.0,12.91,12.42,0.0,12.45,169.15,752
2023/06/20 21:04:02.752,UAVFrameProducer,None,input,50,-1,-1,0.0,14.42,12.42,0.0,12.45,133.48,753
2023/06/20 21:04:02.838,UAVFrameProducer,None,input,51,-1,-1,0.0,8.31,12.42,0.0,12.45,174.93,754
2023/06/20 21:04:02.883,UAVFrameProducer,None,input,52,-1,-1,0.0,9.94,12.42,0.0,12.45,166.76,755
2023/06/20 21:04:02.934,UAVFrameProducer,None,input,53,-1,-1,0.0,17.98,12.42,0.0,12.45,124.2,756
2023/06/20 21:04:02.985,UAVFrameProducer,None,input,54,-1,-1,0.0,4.0,12.42,0.0,12.45,129.01,757
2023/06/20 21:04:03.028,UAVFrameProducer,None,input,55,-1,-1,0.0,2.0,12.42,0.0,12.45,107.24,758
2023/06/20 21:04:03.078,UAVFrameProducer,None,input,56,-1,-1,0.0,5.32,12.42,0.0,12.45,124.07,759
2023/06/20 21:04:03.121,UAVFrameProducer,None,input,57,-1,-1,0.0,6.96,12.42,0.0,12.45,119.99,760
2023/06/20 21:04:03.170,UAVFrameProducer,None,input,58,-1,-1,0.0,2.93,12.42,0.0,12.45,122.29,761
2023/06/20 21:04:03.217,UAVFrameProducer,None,input,59,-1,-1,0.0,6.28,12.42,0.0,12.45,120.58,762
2023/06/20 21:04:03.249,UAVFrameProducer,None,input,60,-1,-1,0.0,2.0,12.42,0.0,12.45,108.42,763
2023/06/20 21:04:03.306,UAVFrameProducer,None,input,61,-1,-1,0.0,7.01,12.42,0.0,12.45,112.01,764
2023/06/20 21:04:03.343,UAVFrameProducer,None,input,62,-1,-1,0.0,6.0,12.42,0.0,12.45,103.0,765
2023/06/20 21:04:03.372,UAVFrameProducer,None,input,63,-1,-1,0.0,6.9,12.42,0.0,12.45,106.33,766
2023/06/20 21:04:03.417,UAVFrameProducer,None,input,64,-1,-1,0.0,0.0,12.42,0.0,12.45,93.35,767
2023/06/20 21:04:03.469,UAVFrameProducer,None,input,65,-1,-1,0.0,10.0,12.42,0.0,12.45,109.89,768
2023/06/20 21:04:03.504,UAVFrameProducer,None,input,66,-1,-1,0.0,4.0,12.42,0.0,12.45,112.24,769
2023/06/20 21:04:03.542,UAVFrameProducer,None,input,67,-1,-1,0.0,3.66,12.42,1.0,12.45,92.52,770
2023/06/20 21:04:03.606,UAVFrameProducer,None,input,68,-1,-1,0.0,7.11,12.42,0.0,12.45,120.51,771
2023/06/20 21:04:03.668,UAVFrameProducer,None,input,69,-1,-1,0.0,11.99,12.42,0.0,12.45,146.38,772
2023/06/20 21:04:03.706,UAVFrameProducer,None,input,70,-1,-1,0.0,3.93,12.42,0.0,12.45,128.84,773
2023/06/20 21:04:03.764,UAVFrameProducer,None,input,71,-1,-1,0.0,4.0,12.42,0.0,12.45,123.32,774
2023/06/20 21:04:03.815,UAVFrameProducer,None,input,72,-1,-1,0.0,0.87,12.42,0.0,12.45,136.17,775
2023/06/20 21:04:03.879,UAVFrameProducer,None,input,73,-1,-1,0.0,13.61,12.42,0.0,12.45,140.92,776
2023/06/20 21:04:03.952,UAVFrameProducer,None,input,74,-1,-1,0.0,8.0,12.42,0.0,12.45,169.79,777
2023/06/20 21:04:04.005,UAVFrameProducer,None,input,75,-1,-1,0.51,12.0,12.42,0.0,12.45,151.63,778
2023/06/20 21:04:04.080,UAVFrameProducer,None,input,76,-1,-1,0.0,13.99,12.42,0.0,12.45,158.17,779
2023/06/20 21:04:04.119,UAVFrameProducer,None,input,77,-1,-1,0.0,9.51,12.42,0.0,12.45,148.92,780
2023/06/20 21:04:04.177,UAVFrameProducer,None,input,78,-1,-1,0.0,16.7,12.42,0.0,12.45,137.19,781
2023/06/20 21:04:04.228,UAVFrameProducer,None,input,79,-1,-1,0.0,10.99,12.42,0.0,12.45,122.19,782
2023/06/20 21:04:04.266,UAVFrameProducer,None,input,80,-1,-1,0.0,10.67,12.42,0.0,12.45,122.31,783
2023/06/20 21:04:04.292,UAVFrameProducer,None,input,81,-1,-1,0.0,5.91,12.42,0.0,12.45,99.65,784
2023/06/20 21:04:04.343,UAVFrameProducer,None,input,82,-1,-1,0.0,11.0,12.42,0.0,12.45,96.33,785
2023/06/20 21:04:04.419,UAVFrameProducer,None,input,83,-1,-1,0.0,8.79,12.42,0.0,12.45,133.12,786
2023/06/20 21:04:04.465,UAVFrameProducer,None,input,84,-1,-1,0.0,1.95,12.42,0.0,12.45,153.38,787
2023/06/20 21:04:04.547,UAVFrameProducer,None,input,85,-1,-1,0.0,9.3,12.42,0.0,12.45,161.61,788
2023/06/20 21:04:04.617,UAVFrameProducer,None,input,86,-1,-1,0.0,10.57,12.42,0.0,12.45,180.27,789
2023/06/20 21:04:04.646,UAVFrameProducer,None,input,87,-1,-1,0.0,11.99,12.42,0.0,12.45,152.14,790
2023/06/20 21:04:04.686,UAVFrameProducer,None,input,88,-1,-1,1.0,13.15,12.42,0.0,12.45,97.95,791
2023/06/20 21:04:04.738,UAVFrameProducer,None,input,89,-1,-1,0.0,6.0,12.42,0.0,12.45,98.97,792
2023/06/20 21:04:04.799,UAVFrameProducer,None,input,90,-1,-1,0.0,4.45,12.42,0.0,12.45,118.66,793
2023/06/20 21:04:04.849,UAVFrameProducer,None,input,91,-1,-1,0.0,29.09,12.42,0.0,12.45,139.69,794
2023/06/20 21:04:04.895,UAVFrameProducer,None,input,92,-1,-1,0.0,2.98,12.42,0.0,12.45,125.9,795
2023/06/20 21:04:04.941,UAVFrameProducer,None,input,93,-1,-1,0.0,3.96,12.42,0.0,12.45,123.52,796
2023/06/20 21:04:04.989,UAVFrameProducer,None,input,94,-1,-1,0.94,6.99,12.42,0.0,12.45,125.67,797
2023/06/20 21:04:05.022,UAVFrameProducer,None,input,95,-1,-1,0.0,5.0,12.42,0.0,12.45,108.41,798
2023/06/20 21:04:05.097,UAVFrameProducer,None,input,96,-1,-1,0.0,1.99,12.42,0.0,12.45,137.41,799
2023/06/20 21:04:05.143,UAVFrameProducer,None,input,97,-1,-1,0.0,2.84,12.42,0.0,12.45,136.54,800
2023/06/20 21:04:05.176,UAVFrameProducer,None,input,98,-1,-1,0.0,6.01,12.42,0.0,12.45,128.98,801
2023/06/20 21:04:05.223,UAVFrameProducer,None,input,99,-1,-1,0.0,3.0,12.42,0.0,12.45,108.83,802
2023/06/20 21:04:05.271,UAVFrameProducer,None,input,100,-1,-1,0.0,2.71,12.42,0.0,12.45,107.0,803
2023/06/20 21:04:05.312,UAVFrameProducer,None,input,101,-1,-1,0.0,2.88,12.42,0.0,12.45,114.16,804
2023/06/20 21:04:05.361,UAVFrameProducer,None,input,102,-1,-1,0.0,2.88,12.42,0.0,12.45,120.84,805
2023/06/20 21:04:05.408,UAVFrameProducer,None,input,103,-1,-1,0.0,4.0,12.42,0.0,12.45,126.78,806
2023/06/20 21:04:05.448,UAVFrameProducer,None,input,104,-1,-1,0.0,3.59,12.42,0.0,12.45,114.17,807
2023/06/20 21:04:05.495,UAVFrameProducer,None,input,105,-1,-1,0.0,2.99,12.42,0.0,12.45,116.78,808
2023/06/20 21:04:05.529,UAVFrameProducer,None,input,106,-1,-1,0.0,4.45,12.42,0.0,12.45,106.74,809
2023/06/20 21:04:05.580,UAVFrameProducer,None,input,107,-1,-1,0.0,2.79,12.42,0.0,12.45,112.26,810
2023/06/20 21:04:05.613,UAVFrameProducer,None,input,108,-1,-1,0.0,3.27,12.42,0.0,12.45,99.51,811
2023/06/20 21:04:05.645,UAVFrameProducer,None,input,109,-1,-1,0.0,5.83,12.42,0.0,12.45,96.19,812
2023/06/20 21:04:05.675,UAVFrameProducer,None,input,110,-1,-1,0.0,5.85,12.42,0.0,12.45,75.8,813
2023/06/20 21:04:05.724,UAVFrameProducer,None,input,111,-1,-1,0.0,2.86,12.42,0.0,12.45,92.1,814
2023/06/20 21:04:05.770,UAVFrameProducer,None,input,112,-1,-1,0.0,5.21,12.42,0.0,12.45,107.06,815
2023/06/20 21:04:05.819,UAVFrameProducer,None,input,113,-1,-1,0.0,1.99,12.42,0.0,12.45,124.1,816
2023/06/20 21:04:05.862,UAVFrameProducer,None,input,114,-1,-1,0.0,5.83,12.42,0.24,12.45,117.43,817
2023/06/20 21:04:05.895,UAVFrameProducer,None,input,115,-1,-1,0.0,4.99,12.42,0.0,12.45,107.29,818
2023/06/20 21:04:05.923,UAVFrameProducer,None,input,116,-1,-1,0.0,7.79,12.42,0.0,12.45,85.34,819
2023/06/20 21:04:05.957,UAVFrameProducer,None,input,117,-1,-1,0.0,3.78,12.42,0.0,12.45,74.25,820
2023/06/20 21:04:06.000,UAVFrameProducer,None,input,118,-1,-1,0.0,4.02,12.42,0.0,12.45,88.5,821
2023/06/20 21:04:06.033,UAVFrameProducer,None,input,119,-1,-1,0.0,2.85,12.42,0.0,12.45,90.97,822
2023/06/20 21:04:06.080,UAVFrameProducer,None,input,120,-1,-1,0.0,4.62,12.42,0.0,12.45,103.94,823
2023/06/20 21:04:06.114,UAVFrameProducer,None,input,121,-1,-1,0.0,3.95,12.42,0.0,12.45,96.14,824
2023/06/20 21:04:06.159,UAVFrameProducer,None,input,122,-1,-1,0.0,4.7,12.42,0.0,12.45,109.18,825
2023/06/20 21:04:06.190,UAVFrameProducer,None,input,123,-1,-1,0.0,4.37,12.42,0.0,12.45,92.46,826
2023/06/20 21:04:06.228,UAVFrameProducer,None,input,124,-1,-1,0.0,6.01,12.42,0.0,12.45,96.32,827
2023/06/20 21:04:06.279,UAVFrameProducer,None,input,125,-1,-1,0.0,3.0,12.42,0.0,12.45,100.16,828
2023/06/20 21:04:06.328,UAVFrameProducer,None,input,126,-1,-1,0.0,2.84,12.42,0.0,12.45,118.4,829
2023/06/20 21:04:06.351,UAVFrameProducer,None,input,127,-1,-1,0.0,3.29,12.42,0.0,12.45,105.95,830
2023/06/20 21:04:06.375,UAVFrameProducer,None,input,128,-1,-1,0.0,5.0,12.42,0.0,12.45,75.93,831
2023/06/20 21:04:06.409,UAVFrameProducer,None,input,129,-1,-1,0.0,6.06,12.42,0.0,12.45,57.0,832
2023/06/20 21:04:06.435,UAVFrameProducer,None,input,130,-1,-1,0.0,10.09,12.42,0.0,12.45,71.95,833
