asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/20 21:32:43.324,UAVFrameProducer,None,input,1,-1,-1,0.0,1.85,57.74,0.0,57.76,83.31,1076
2023/06/20 21:32:43.354,UAVFrameProducer,None,input,2,-1,-1,17.0,16.6,57.74,0.0,57.76,90.86,1077
2023/06/20 21:32:43.385,UAVFrameProducer,None,input,3,-1,-1,9.89,5.11,57.74,0.0,57.76,107.86,1078
2023/06/20 21:32:43.465,UAVFrameProducer,None,input,4,-1,-1,0.0,4.07,57.74,0.0,57.76,122.04,1079
2023/06/20 21:32:43.511,UAVFrameProducer,None,input,5,-1,-1,0.0,4.0,57.74,0.0,57.76,138.32,1080
2023/06/20 21:32:43.558,UAVFrameProducer,None,input,6,-1,-1,0.0,4.04,57.74,0.0,57.76,152.63,1081
2023/06/20 21:32:43.605,UAVFrameProducer,None,input,7,-1,-1,0.0,4.0,57.74,0.0,57.76,121.23,1082
2023/06/20 21:32:43.670,UAVFrameProducer,None,input,8,-1,-1,0.0,6.15,57.74,0.0,57.76,136.94,1083
2023/06/20 21:32:43.704,UAVFrameProducer,None,input,9,-1,-1,0.0,2.71,57.74,0.0,57.76,127.21,1084
2023/06/20 21:32:43.746,UAVFrameProducer,None,input,10,-1,-1,0.0,2.0,57.74,0.0,57.76,108.99,1085
2023/06/20 21:32:43.794,UAVFrameProducer,None,input,11,-1,-1,0.0,5.0,57.74,0.0,57.76,106.0,1086
2023/06/20 21:32:43.853,UAVFrameProducer,None,input,12,-1,-1,0.0,5.99,57.74,0.0,57.76,126.18,1087
2023/06/20 21:32:43.908,UAVFrameProducer,None,input,13,-1,-1,0.0,3.02,57.74,0.0,57.76,140.58,1088
2023/06/20 21:32:43.980,UAVFrameProducer,None,input,14,-1,-1,0.0,2.99,57.74,0.0,57.76,159.61,1089
2023/06/20 21:32:44.049,UAVFrameProducer,None,input,15,-1,-1,0.0,15.0,57.74,0.0,57.76,170.6,1090
2023/06/20 21:32:44.108,UAVFrameProducer,None,input,16,-1,-1,0.0,5.99,57.74,0.0,57.76,168.01,1091
2023/06/20 21:32:44.155,UAVFrameProducer,None,input,17,-1,-1,0.0,16.97,57.74,0.0,57.76,142.28,1092
2023/06/20 21:32:44.205,UAVFrameProducer,None,input,18,-1,-1,0.0,5.2,57.74,0.0,57.76,135.27,1093
2023/06/20 21:32:44.259,UAVFrameProducer,None,input,19,-1,-1,0.0,19.07,57.74,0.0,57.76,127.02,1094
2023/06/20 21:32:44.308,UAVFrameProducer,None,input,20,-1,-1,0.0,1.89,57.74,0.0,57.76,125.58,1095
2023/06/20 21:32:44.369,UAVFrameProducer,None,input,21,-1,-1,0.0,5.0,57.74,0.0,57.76,141.08,1096
2023/06/20 21:32:44.421,UAVFrameProducer,None,input,22,-1,-1,0.0,10.96,57.74,0.0,57.76,145.59,1097
2023/06/20 21:32:44.480,UAVFrameProducer,None,input,23,-1,-1,0.0,16.62,57.74,0.0,57.76,144.0,1098
2023/06/20 21:32:44.556,UAVFrameProducer,None,input,24,-1,-1,0.0,12.99,57.74,0.0,57.76,161.49,1099
2023/06/20 21:32:44.619,UAVFrameProducer,None,input,25,-1,-1,0.0,4.0,57.74,0.0,57.76,179.04,1100
2023/06/20 21:32:44.688,UAVFrameProducer,None,input,26,-1,-1,0.0,18.92,57.74,0.0,57.76,179.12,1101
2023/06/20 21:32:44.731,UAVFrameProducer,None,input,27,-1,-1,0.0,9.78,57.74,0.0,57.76,146.91,1102
2023/06/20 21:32:44.779,UAVFrameProducer,None,input,28,-1,-1,0.0,5.17,57.74,0.0,57.76,126.73,1103
2023/06/20 21:32:44.808,UAVFrameProducer,None,input,29,-1,-1,0.0,8.24,57.74,0.0,57.76,86.0,1104
2023/06/20 21:32:44.857,UAVFrameProducer,None,input,30,-1,-1,0.0,0.0,57.74,0.0,57.76,115.64,1105
2023/06/20 21:32:44.916,UAVFrameProducer,None,input,31,-1,-1,0.0,6.19,57.74,0.0,57.76,118.96,1106
2023/06/20 21:32:44.966,UAVFrameProducer,None,input,32,-1,-1,0.0,4.0,57.74,0.0,57.76,140.72,1107
2023/06/20 21:32:45.011,UAVFrameProducer,None,input,33,-1,-1,0.0,4.98,57.74,0.0,57.76,137.98,1108
2023/06/20 21:32:45.044,UAVFrameProducer,None,input,34,-1,-1,0.0,11.98,57.74,0.0,57.76,104.0,1109
2023/06/20 21:32:45.089,UAVFrameProducer,None,input,35,-1,-1,0.0,0.28,57.74,0.0,57.76,116.69,1110
2023/06/20 21:32:45.153,UAVFrameProducer,None,input,36,-1,-1,0.0,2.1,57.74,0.0,57.76,119.74,1111
2023/06/20 21:32:45.207,UAVFrameProducer,None,input,37,-1,-1,0.0,5.0,57.74,0.0,57.76,143.82,1112
2023/06/20 21:32:45.251,UAVFrameProducer,None,input,38,-1,-1,0.0,1.99,57.74,0.0,57.76,139.09,1113
2023/06/20 21:32:45.295,UAVFrameProducer,None,input,39,-1,-1,1.0,3.02,57.74,0.0,57.76,101.74,1114
2023/06/20 21:32:45.342,UAVFrameProducer,None,input,40,-1,-1,0.0,7.99,57.74,0.0,57.76,115.12,1115
2023/06/20 21:32:45.389,UAVFrameProducer,None,input,41,-1,-1,0.0,6.0,57.74,0.0,57.76,118.03,1116
2023/06/20 21:32:45.459,UAVFrameProducer,None,input,42,-1,-1,0.0,4.25,57.74,0.0,57.76,150.27,1117
2023/06/20 21:32:45.503,UAVFrameProducer,None,input,43,-1,-1,0.0,5.0,57.74,0.0,57.76,140.24,1118
2023/06/20 21:32:45.543,UAVFrameProducer,None,input,44,-1,-1,0.0,5.0,57.74,0.0,57.76,132.26,1119
2023/06/20 21:32:45.617,UAVFrameProducer,None,input,45,-1,-1,0.0,11.11,57.74,0.0,57.76,125.99,1120
2023/06/20 21:32:45.652,UAVFrameProducer,None,input,46,-1,-1,0.0,9.87,57.74,0.0,57.76,133.82,1121
2023/06/20 21:32:45.723,UAVFrameProducer,None,input,47,-1,-1,0.0,13.53,57.74,0.0,57.76,139.29,1122
2023/06/20 21:32:45.781,UAVFrameProducer,None,input,48,-1,-1,0.0,1.07,57.74,0.0,57.76,154.63,1123
2023/06/20 21:32:45.841,UAVFrameProducer,None,input,49,-1,-1,0.0,3.0,57.74,0.0,57.76,165.94,1124
2023/06/20 21:32:45.873,UAVFrameProducer,None,input,50,-1,-1,0.0,9.5,57.74,0.0,57.76,124.81,1125
2023/06/20 21:32:45.919,UAVFrameProducer,None,input,51,-1,-1,0.0,5.02,57.74,0.0,57.76,119.34,1126
2023/06/20 21:32:45.986,UAVFrameProducer,None,input,52,-1,-1,0.0,0.0,57.74,0.0,57.76,136.75,1127
2023/06/20 21:32:46.032,UAVFrameProducer,None,input,53,-1,-1,0.0,0.0,57.74,0.0,57.76,151.0,1128
2023/06/20 21:32:46.092,UAVFrameProducer,None,input,54,-1,-1,0.0,1.99,57.74,0.0,57.76,145.71,1129
