asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/21 02:38:15.439,UAVFrameProducer,None,input,1,-1,-1,0.0,2.0,57.74,0.0,10.59,85.0,5180
2023/06/21 02:38:15.468,UAVFrameProducer,None,input,2,-1,-1,14.96,17.0,57.74,0.0,10.53,92.26,5181
2023/06/21 02:38:15.498,UAVFrameProducer,None,input,3,-1,-1,11.12,6.2,57.74,0.0,10.71,106.21,5182
2023/06/21 02:38:15.529,UAVFrameProducer,None,input,4,-1,-1,0.0,5.99,57.74,0.0,10.67,70.57,5183
2023/06/21 02:38:15.578,UAVFrameProducer,None,input,5,-1,-1,0.0,5.94,57.74,0.0,10.68,89.51,5184
2023/06/21 02:38:15.608,UAVFrameProducer,None,input,6,-1,-1,0.0,7.23,57.74,0.0,10.44,91.06,5185
2023/06/21 02:38:15.639,UAVFrameProducer,None,input,7,-1,-1,0.0,3.0,57.74,0.0,10.6,90.43,5186
2023/06/21 02:38:15.687,UAVFrameProducer,None,input,8,-1,-1,0.0,5.0,57.74,0.0,10.69,92.0,5187
2023/06/21 02:38:15.735,UAVFrameProducer,None,input,9,-1,-1,0.0,3.21,57.74,0.0,8.93,106.0,5188
2023/06/21 02:38:15.779,UAVFrameProducer,None,input,10,-1,-1,0.0,6.0,57.74,0.0,10.72,133.49,5189
2023/06/21 02:38:15.810,UAVFrameProducer,None,input,11,-1,-1,0.0,4.98,57.74,0.0,10.72,100.49,5190
2023/06/21 02:38:15.858,UAVFrameProducer,None,input,12,-1,-1,0.0,5.1,57.74,0.0,10.64,105.0,5191
2023/06/21 02:38:15.906,UAVFrameProducer,None,input,13,-1,-1,0.0,2.41,57.74,0.0,10.64,106.92,5192
2023/06/21 02:38:15.955,UAVFrameProducer,None,input,14,-1,-1,0.0,2.0,57.74,0.0,10.64,126.51,5193
