asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/20 21:31:20.157,UAVFrameProducer,None,input,1,-1,-1,0.0,2.04,307.33,0.0,307.36,123.54,875
2023/06/20 21:31:20.261,UAVFrameProducer,None,input,2,-1,-1,21.0,19.05,307.33,0.0,307.36,200.45,876
2023/06/20 21:31:20.340,UAVFrameProducer,None,input,3,-1,-1,9.47,6.54,307.33,0.0,307.36,265.91,877
2023/06/20 21:31:20.409,UAVFrameProducer,None,input,4,-1,-1,0.0,5.0,307.33,0.0,307.36,234.98,878
2023/06/20 21:31:20.512,UAVFrameProducer,None,input,5,-1,-1,0.0,3.0,307.33,0.0,307.36,226.94,879
2023/06/20 21:31:20.616,UAVFrameProducer,None,input,6,-1,-1,0.0,3.98,307.33,0.0,307.36,256.93,880
2023/06/20 21:31:20.722,UAVFrameProducer,None,input,7,-1,-1,0.0,3.0,307.33,0.0,307.36,288.56,881
2023/06/20 21:31:20.818,UAVFrameProducer,None,input,8,-1,-1,0.0,14.36,307.33,0.0,307.36,279.54,882
2023/06/20 21:31:20.912,UAVFrameProducer,None,input,9,-1,-1,0.0,8.0,307.33,0.0,307.36,266.88,883
2023/06/20 21:31:21.012,UAVFrameProducer,None,input,10,-1,-1,0.0,2.96,307.33,0.0,307.36,264.08,884
2023/06/20 21:31:21.114,UAVFrameProducer,None,input,11,-1,-1,0.59,17.99,307.33,0.0,307.36,269.52,885
2023/06/20 21:31:21.201,UAVFrameProducer,None,input,12,-1,-1,0.0,3.0,307.33,0.0,307.36,262.71,886
2023/06/20 21:31:21.268,UAVFrameProducer,None,input,13,-1,-1,0.0,8.0,307.33,0.0,307.36,232.64,887
2023/06/20 21:31:21.401,UAVFrameProducer,None,input,14,-1,-1,0.0,11.0,307.33,0.0,307.36,271.76,888
2023/06/20 21:31:21.500,UAVFrameProducer,None,input,15,-1,-1,0.0,6.03,307.33,0.0,307.36,286.0,889
2023/06/20 21:31:21.610,UAVFrameProducer,None,input,16,-1,-1,0.0,5.0,307.33,0.0,307.36,316.68,890
2023/06/20 21:31:21.713,UAVFrameProducer,None,input,17,-1,-1,0.0,4.7,307.33,0.0,307.36,282.93,891
2023/06/20 21:31:21.793,UAVFrameProducer,None,input,18,-1,-1,0.0,3.98,307.33,0.0,307.36,273.12,892
2023/06/20 21:31:21.873,UAVFrameProducer,None,input,19,-1,-1,0.0,3.0,307.33,0.0,307.36,240.75,893
2023/06/20 21:31:21.983,UAVFrameProducer,None,input,20,-1,-1,0.0,17.98,307.33,0.0,307.36,242.21,894
2023/06/20 21:31:22.093,UAVFrameProducer,None,input,21,-1,-1,0.0,5.0,307.33,0.0,307.36,287.18,895
2023/06/20 21:31:22.212,UAVFrameProducer,None,input,22,-1,-1,1.0,2.0,307.33,0.0,307.36,297.74,896
2023/06/20 21:31:22.307,UAVFrameProducer,None,input,23,-1,-1,0.0,3.0,307.33,0.0,307.36,279.79,897
2023/06/20 21:31:22.394,UAVFrameProducer,None,input,24,-1,-1,0.0,2.76,307.33,0.0,307.36,253.78,898
2023/06/20 21:31:22.490,UAVFrameProducer,None,input,25,-1,-1,0.0,13.23,307.33,0.0,307.36,251.73,899
2023/06/20 21:31:22.579,UAVFrameProducer,None,input,26,-1,-1,0.0,4.0,307.33,0.0,307.36,258.31,900
2023/06/20 21:31:22.686,UAVFrameProducer,None,input,27,-1,-1,0.0,10.08,307.33,0.0,307.36,268.57,901
2023/06/20 21:31:22.812,UAVFrameProducer,None,input,28,-1,-1,0.0,8.59,307.33,0.0,307.36,309.5,902
2023/06/20 21:31:22.889,UAVFrameProducer,None,input,29,-1,-1,0.0,1.99,307.33,0.0,307.36,271.63,903
2023/06/20 21:31:22.992,UAVFrameProducer,None,input,30,-1,-1,0.0,18.35,307.33,0.0,307.36,293.62,904
2023/06/20 21:31:23.078,UAVFrameProducer,None,input,31,-1,-1,0.0,7.19,307.33,0.0,307.36,250.15,905
2023/06/20 21:31:23.180,UAVFrameProducer,None,input,32,-1,-1,0.0,18.18,307.33,0.0,307.36,259.03,906
2023/06/20 21:31:23.278,UAVFrameProducer,None,input,33,-1,-1,0.0,5.36,307.33,0.0,307.36,273.98,907
2023/06/20 21:31:23.382,UAVFrameProducer,None,input,34,-1,-1,0.0,8.46,307.33,0.0,307.36,290.15,908
2023/06/20 21:31:23.492,UAVFrameProducer,None,input,35,-1,-1,0.0,10.56,307.33,0.0,307.36,297.47,909
2023/06/20 21:31:23.583,UAVFrameProducer,None,input,36,-1,-1,0.0,11.6,307.33,0.0,307.36,277.79,910
