asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/21 15:54:48.823,UAVFrameProducer,None,input,1,-1,-1,0.0,1.4,921.74,0.0,12.56,142.43,56
2023/06/21 15:54:48.885,UAVFrameProducer,None,input,2,-1,-1,16.6,19.0,921.74,0.0,12.7,178.31,57
2023/06/21 15:54:48.945,UAVFrameProducer,None,input,3,-1,-1,6.73,11.87,921.74,0.0,12.83,216.68,58
2023/06/21 15:54:48.995,UAVFrameProducer,None,input,4,-1,-1,0.0,7.25,921.74,0.0,12.09,152.19,59
2023/06/21 15:54:49.052,UAVFrameProducer,None,input,5,-1,-1,0.0,6.47,921.74,0.0,12.38,146.13,60
2023/06/21 15:54:49.122,UAVFrameProducer,None,input,6,-1,-1,0.0,14.05,921.74,0.0,12.38,144.02,61
2023/06/21 15:54:49.175,UAVFrameProducer,None,input,7,-1,-1,0.0,6.21,921.74,0.0,12.55,167.34,62
2023/06/21 15:54:49.229,UAVFrameProducer,None,input,8,-1,-1,0.0,4.35,921.74,0.0,12.59,137.61,63
2023/06/21 15:54:49.276,UAVFrameProducer,None,input,9,-1,-1,0.0,7.99,921.74,0.0,12.61,125.37,64
2023/06/21 15:54:49.337,UAVFrameProducer,None,input,10,-1,-1,0.0,2.0,921.74,0.0,12.67,120.9,65
2023/06/21 15:54:49.384,UAVFrameProducer,None,input,11,-1,-1,0.0,6.74,921.74,0.0,12.66,144.14,66
2023/06/21 15:54:49.440,UAVFrameProducer,None,input,12,-1,-1,0.0,11.64,921.74,0.0,12.72,134.95,67
2023/06/21 15:54:49.507,UAVFrameProducer,None,input,13,-1,-1,0.0,3.0,921.74,0.0,12.71,144.37,68
2023/06/21 15:54:49.665,UAVFrameProducer,None,input,14,-1,-1,0.0,3.0,921.74,0.0,12.8,234.75,69
2023/06/21 15:54:49.705,UAVFrameProducer,None,input,15,-1,-1,0.0,4.94,921.74,0.0,12.61,237.46,70
2023/06/21 15:54:49.777,UAVFrameProducer,None,input,16,-1,-1,0.0,8.34,921.74,0.0,12.84,247.38,71
2023/06/21 15:54:49.823,UAVFrameProducer,None,input,17,-1,-1,0.0,12.31,921.74,0.0,10.75,135.04,72
2023/06/21 15:54:49.884,UAVFrameProducer,None,input,18,-1,-1,0.0,3.03,921.74,0.0,11.11,136.07,73
