asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/25 11:18:45.987,Client,final_uav_1,None,None,0,774.44,1312.51,25652.33,82.63,0.0,82.63,0.0,None
2023/06/25 11:18:46.019,Client,final_uav_1,nan,nan,1,195.48,1296.36,16.0,83.2,0.0,83.2,0.0,nan
2023/06/25 11:18:46.053,Client,final_uav_1,nan,nan,2,163.98,1292.31,33.95,75.18,0.0,75.18,0.0,nan
2023/06/25 11:18:46.110,Client,final_uav_1,nan,nan,3,177.52,1305.15,40.41,80.86,0.0,80.86,1.04,nan
2023/06/25 11:18:46.142,Client,final_uav_1,nan,nan,4,185.23,1299.61,26.46,82.0,0.0,82.0,1.0,nan
2023/06/25 11:18:46.210,Client,final_uav_1,nan,nan,5,204.24,1295.6,65.0,82.47,0.0,82.47,0.0,nan
2023/06/25 11:18:46.275,Client,final_uav_1,nan,nan,6,194.32,1306.85,61.25,82.54,0.0,82.54,0.28,nan
2023/06/25 11:18:46.311,Client,final_uav_1,nan,nan,7,153.97,1301.86,32.0,82.69,0.0,82.69,1.0,nan
2023/06/25 11:18:46.377,Client,final_uav_1,nan,nan,8,175.25,1300.86,58.03,82.74,0.0,82.74,0.93,nan
2023/06/25 11:18:46.407,Client,final_uav_1,nan,nan,9,157.94,1296.85,26.0,82.58,0.0,82.58,0.0,nan
2023/06/25 11:18:46.442,Client,final_uav_1,nan,nan,10,130.72,1296.58,31.0,83.14,0.0,83.14,0.0,nan
2023/06/25 11:18:46.483,Client,final_uav_1,nan,nan,11,148.0,1295.86,29.01,83.14,0.0,83.14,1.0,nan
2023/06/25 11:18:46.514,Client,final_uav_1,nan,nan,12,133.18,1292.04,23.13,82.57,0.0,82.57,0.97,nan
2023/06/25 11:18:46.607,Client,final_uav_1,nan,nan,13,181.0,1295.86,89.0,83.08,0.0,83.08,1.0,nan
2023/06/25 11:18:46.641,Client,final_uav_1,nan,nan,14,194.03,1294.89,29.65,82.93,0.0,82.93,0.0,nan
2023/06/25 11:18:46.692,Client,final_uav_1,nan,nan,15,183.0,1311.85,46.0,82.52,0.0,82.52,0.0,nan
2023/06/25 11:18:46.746,Client,final_uav_1,nan,nan,16,179.75,1292.86,49.0,82.31,0.0,82.31,1.26,nan
2023/06/25 11:18:46.812,Client,final_uav_1,nan,nan,17,203.72,1300.58,60.09,82.23,0.0,82.23,0.99,nan
2023/06/25 11:18:46.877,Client,final_uav_1,nan,nan,18,218.0,1301.85,61.37,82.94,0.0,82.94,0.0,nan
2023/06/25 11:18:46.941,Client,final_uav_1,nan,nan,19,185.0,1303.85,62.0,82.87,0.0,82.87,0.5,nan
2023/06/25 11:18:47.007,Client,final_uav_1,nan,nan,20,185.0,1300.85,59.99,82.89,0.0,82.89,0.0,nan
2023/06/25 11:18:47.036,Client,final_uav_1,nan,nan,21,175.02,1292.38,25.65,74.61,0.0,74.61,1.0,nan
2023/06/25 11:18:47.121,Client,final_uav_1,nan,nan,22,193.53,1316.38,81.0,80.62,0.0,80.62,0.0,nan
2023/06/25 11:18:47.176,Client,final_uav_1,nan,nan,23,179.72,1305.38,49.22,81.99,0.0,81.99,0.0,nan
