asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/25 11:38:22.210,Client,final_uav_1,None,None,6888,1123.57,1303.11,49309.22,77.52,0.0,77.52,0.0,None
2023/06/25 11:38:22.257,Client,final_uav_1,nan,nan,6889,239.14,1287.4,28.66,67.71,0.0,67.71,0.0,nan
2023/06/25 11:38:22.288,Client,final_uav_1,nan,nan,6890,182.83,1291.54,16.76,72.26,0.0,72.26,1.07,nan
2023/06/25 11:38:22.761,Client,final_uav_1,nan,nan,6891,604.61,1304.37,468.76,78.53,0.0,78.53,0.0,nan
2023/06/25 11:38:22.803,Client,final_uav_1,nan,nan,6892,224.7,1301.06,31.01,76.28,0.0,76.28,0.0,nan
2023/06/25 11:38:22.852,Client,final_uav_1,nan,nan,6893,221.29,1309.2,36.54,76.45,0.0,76.45,1.0,nan
2023/06/25 11:38:22.895,Client,final_uav_1,nan,nan,6894,214.99,1309.09,32.83,76.71,0.0,76.71,0.0,nan
2023/06/25 11:38:23.019,Client,final_uav_1,nan,nan,6895,262.31,1310.91,115.7,76.68,0.0,76.68,0.0,nan
2023/06/25 11:38:23.059,Client,final_uav_1,nan,nan,6896,250.5,1316.16,29.96,76.93,0.0,76.93,0.0,nan
2023/06/25 11:38:23.120,Client,final_uav_1,nan,nan,6897,240.55,1289.81,52.26,51.74,0.0,51.74,3.22,nan
2023/06/25 11:38:23.215,Client,final_uav_1,nan,nan,6898,250.6,1311.7,88.68,65.48,0.0,65.48,0.0,nan
2023/06/25 11:38:23.332,Client,final_uav_1,nan,nan,6899,293.85,1347.38,105.73,73.64,0.0,73.64,0.0,nan
2023/06/25 11:38:23.364,Client,final_uav_1,nan,nan,6900,254.51,1318.11,23.36,71.2,0.0,71.2,5.52,nan
2023/06/25 11:38:23.540,Client,final_uav_1,nan,nan,6901,347.72,1342.39,155.52,72.82,0.0,72.82,0.0,nan
2023/06/25 11:38:23.625,Client,final_uav_1,nan,nan,6902,352.37,1355.67,80.73,74.35,0.0,74.35,0.0,nan
2023/06/25 11:38:23.659,Client,final_uav_1,nan,nan,6903,295.03,1304.15,19.54,80.83,0.0,80.83,3.45,nan
2023/06/25 11:38:23.799,Client,final_uav_1,nan,nan,6904,339.81,1299.34,136.02,76.57,0.0,76.57,0.0,nan
2023/06/25 11:38:23.995,Client,final_uav_1,nan,nan,6905,217.64,1299.02,186.42,77.13,0.0,77.13,0.0,nan
2023/06/25 11:38:24.110,Client,final_uav_1,nan,nan,6906,192.59,1301.07,91.46,59.2,0.0,59.2,1.0,nan
2023/06/25 11:38:24.238,Client,final_uav_1,nan,nan,6907,197.98,1306.16,110.0,69.35,0.0,69.35,9.8,nan
2023/06/25 11:38:24.304,Client,final_uav_1,nan,nan,6908,208.11,1304.44,54.23,70.7,0.0,70.7,4.73,nan
2023/06/25 11:38:24.521,Client,final_uav_1,nan,nan,6909,262.67,1308.94,215.25,74.91,0.0,74.91,0.0,nan
2023/06/25 11:38:24.601,Client,final_uav_1,nan,nan,6910,283.64,1303.42,61.33,75.05,0.0,75.05,6.88,nan
2023/06/25 11:38:24.793,Client,final_uav_1,nan,nan,6911,249.21,1318.25,183.55,77.21,0.0,77.21,0.0,nan
2023/06/25 11:38:24.898,Client,final_uav_1,nan,nan,6912,290.32,1307.7,91.03,83.26,0.0,83.26,0.0,nan
2023/06/25 11:38:25.030,Client,final_uav_1,nan,nan,6913,279.07,1334.64,118.94,77.0,8.55,77.0,1.0,nan
2023/06/25 11:38:25.084,Client,final_uav_1,nan,nan,6914,261.76,1298.18,43.48,77.46,0.0,77.46,0.0,nan
2023/06/25 11:38:25.231,Client,final_uav_1,nan,nan,6915,252.77,1310.15,137.03,65.77,0.0,65.77,0.0,nan
2023/06/25 11:38:25.369,Client,final_uav_1,nan,nan,6916,271.78,1314.21,132.1,76.19,0.0,76.19,0.0,nan
2023/06/25 11:38:25.508,Client,final_uav_1,nan,nan,6917,365.4,1366.58,131.49,72.17,0.0,72.17,0.78,nan
2023/06/25 11:38:25.567,Client,final_uav_1,nan,nan,6918,356.6,1309.61,54.26,79.57,0.0,79.57,0.0,nan
2023/06/25 11:38:25.622,Client,final_uav_1,nan,nan,6919,263.7,1298.54,48.0,75.39,0.0,75.39,1.46,nan
2023/06/25 11:38:25.755,Client,final_uav_1,nan,nan,6920,275.71,1324.41,108.4,76.45,0.0,76.45,0.0,nan
2023/06/25 11:38:25.867,Client,final_uav_1,nan,nan,6921,287.08,1374.62,97.1,76.78,0.0,76.78,0.0,nan
2023/06/25 11:38:25.937,Client,final_uav_1,nan,nan,6922,284.12,1369.77,35.55,77.16,0.0,77.16,0.99,nan
2023/06/25 11:38:26.024,Client,final_uav_1,nan,nan,6923,317.35,1362.25,74.87,78.06,0.0,78.06,0.0,nan
2023/06/25 11:38:26.085,Client,final_uav_1,nan,nan,6924,292.08,1322.69,45.68,77.53,0.0,77.53,0.0,nan
2023/06/25 11:38:26.151,Client,final_uav_1,nan,nan,6925,253.64,1312.73,45.73,58.05,0.0,58.05,8.35,nan
2023/06/25 11:38:26.219,Client,final_uav_1,nan,nan,6926,248.03,1304.71,54.82,64.92,0.0,64.92,0.0,nan
2023/06/25 11:38:26.289,Client,final_uav_1,nan,nan,6927,235.06,1301.28,58.22,70.02,0.0,70.02,0.0,nan
2023/06/25 11:38:26.369,Client,final_uav_1,nan,nan,6928,237.61,1312.99,69.68,71.99,0.0,71.99,0.0,nan
2023/06/25 11:38:26.472,Client,final_uav_1,nan,nan,6929,242.56,1355.63,87.03,73.84,0.0,73.84,0.0,nan
2023/06/25 11:38:26.544,Client,final_uav_1,nan,nan,6930,261.78,1295.06,63.72,74.19,0.0,74.19,0.0,nan
2023/06/25 11:38:26.574,Client,final_uav_1,nan,nan,6931,233.73,1297.03,26.87,75.03,0.0,75.03,1.0,nan
2023/06/25 11:38:26.679,Client,final_uav_1,nan,nan,6932,235.48,1305.99,101.35,75.73,0.0,75.73,0.0,nan
2023/06/25 11:38:26.770,Client,final_uav_1,nan,nan,6933,273.39,1293.35,88.45,76.61,0.0,76.61,0.0,nan
2023/06/25 11:38:26.848,Client,final_uav_1,nan,nan,6934,283.33,1295.25,69.89,76.77,0.0,76.77,0.0,nan
2023/06/25 11:38:26.999,Client,final_uav_1,nan,nan,6935,190.44,1298.12,137.87,77.67,0.0,77.67,0.0,nan
2023/06/25 11:38:27.104,Client,final_uav_1,nan,nan,6936,167.27,1288.5,90.62,58.22,0.0,58.22,0.0,nan
2023/06/25 11:38:27.215,Client,final_uav_1,nan,nan,6937,197.08,1294.87,80.95,68.36,0.0,68.36,3.7,nan
2023/06/25 11:38:27.326,Client,final_uav_1,nan,nan,6938,199.6,1307.35,105.19,72.52,0.0,72.52,0.98,nan
