asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/24 21:37:10.835,UAVFrameProducer,None,input,1,-1,-1,0.0,1.02,186.77,0.0,3.75,162.63,0
2023/06/24 21:37:10.902,UAVFrameProducer,None,input,2,-1,-1,28.8,51.17,186.77,0.0,3.77,194.16,1
2023/06/24 21:37:10.904,UAVFrameProducer,None,input,3,-1,-1,12.68,6.64,186.77,0.0,3.74,178.7,2
2023/06/24 21:37:10.906,UAVFrameProducer,None,input,4,-1,-1,23.17,6.69,186.77,0.0,3.79,149.21,3
2023/06/24 21:37:10.909,UAVFrameProducer,None,input,5,-1,-1,26.26,8.99,186.77,0.0,3.69,119.0,4
2023/06/24 21:37:10.968,UAVFrameProducer,None,input,6,-1,-1,9.45,5.0,186.77,0.0,3.76,165.33,5
2023/06/24 21:37:10.970,UAVFrameProducer,None,input,7,-1,-1,0.0,3.0,186.77,0.0,3.76,116.02,6
2023/06/24 21:37:10.970,UAVFrameProducer,None,input,8,-1,-1,23.78,4.93,186.77,0.0,3.76,87.95,7
2023/06/24 21:37:10.974,UAVFrameProducer,None,input,9,-1,-1,11.0,7.0,186.77,0.0,3.79,73.79,8
2023/06/24 21:37:11.056,UAVFrameProducer,None,input,10,-1,-1,18.21,15.0,186.77,0.0,3.77,134.01,9
2023/06/24 21:37:11.058,UAVFrameProducer,None,input,11,-1,-1,20.51,3.5,186.77,0.0,3.77,114.21,10
2023/06/24 21:37:11.061,UAVFrameProducer,None,input,12,-1,-1,13.34,3.0,186.77,0.0,3.77,98.67,11
2023/06/24 21:37:11.119,UAVFrameProducer,None,input,13,-1,-1,42.69,16.45,186.77,0.0,3.77,102.99,12
2023/06/24 21:37:11.121,UAVFrameProducer,None,input,14,-1,-1,14.17,10.83,186.77,0.0,3.82,84.0,13
2023/06/24 21:37:11.123,UAVFrameProducer,None,input,15,-1,-1,14.14,4.83,186.77,0.0,3.78,69.0,14
2023/06/24 21:37:11.218,UAVFrameProducer,None,input,16,-1,-1,29.01,10.86,186.77,0.0,3.78,131.02,15
2023/06/24 21:37:11.220,UAVFrameProducer,None,input,17,-1,-1,11.08,2.99,186.77,0.0,3.79,118.37,16
2023/06/24 21:37:11.222,UAVFrameProducer,None,input,18,-1,-1,12.04,4.92,186.77,0.0,3.78,104.0,17
2023/06/24 21:37:11.281,UAVFrameProducer,None,input,19,-1,-1,37.02,9.98,186.77,0.64,3.78,116.55,18
2023/06/24 21:37:11.281,UAVFrameProducer,None,input,20,-1,-1,16.36,15.99,186.77,0.0,3.8,93.56,19
2023/06/24 21:37:11.289,UAVFrameProducer,None,input,21,-1,-1,20.61,4.08,186.77,0.0,3.75,76.29,20
2023/06/24 21:37:11.372,UAVFrameProducer,None,input,22,-1,-1,23.8,14.0,186.77,0.0,3.75,131.46,21
2023/06/24 21:37:11.380,UAVFrameProducer,None,input,23,-1,-1,8.63,3.0,186.77,0.0,3.78,126.07,22
2023/06/24 21:37:11.380,UAVFrameProducer,None,input,24,-1,-1,23.15,3.0,186.77,0.0,3.78,101.43,23
2023/06/24 21:37:11.467,UAVFrameProducer,None,input,25,-1,-1,39.04,14.34,186.77,0.0,3.77,137.86,24
2023/06/24 21:37:11.467,UAVFrameProducer,None,input,26,-1,-1,19.3,19.35,186.77,0.0,3.77,110.84,25
2023/06/24 21:37:11.473,UAVFrameProducer,None,input,27,-1,-1,13.03,4.33,186.77,0.0,3.57,100.29,26
2023/06/24 21:37:11.536,UAVFrameProducer,None,input,28,-1,-1,52.05,24.59,186.77,0.0,3.66,98.9,27
2023/06/24 21:37:11.540,UAVFrameProducer,None,input,29,-1,-1,15.29,19.69,186.77,0.0,3.71,85.39,28
2023/06/24 21:37:11.541,UAVFrameProducer,None,input,30,-1,-1,10.55,4.04,186.77,0.0,3.75,75.58,29
2023/06/24 21:37:11.609,UAVFrameProducer,None,input,31,-1,-1,15.67,9.6,186.77,0.0,3.75,125.08,30
2023/06/24 21:37:11.612,UAVFrameProducer,None,input,32,-1,-1,14.64,1.56,186.77,0.0,3.75,111.65,31
2023/06/24 21:37:11.615,UAVFrameProducer,None,input,33,-1,-1,16.44,1.43,186.77,0.0,3.76,84.35,32
2023/06/24 21:37:11.697,UAVFrameProducer,None,input,34,-1,-1,21.36,29.54,186.77,0.0,3.76,138.24,33
2023/06/24 21:37:11.701,UAVFrameProducer,None,input,35,-1,-1,25.53,8.55,186.77,0.0,3.76,110.47,34
2023/06/24 21:37:11.701,UAVFrameProducer,None,input,36,-1,-1,11.39,7.79,186.77,0.0,3.77,94.59,35
2023/06/24 21:37:11.752,UAVFrameProducer,None,input,37,-1,-1,30.84,14.82,186.77,0.0,3.78,113.73,36
2023/06/24 21:37:11.755,UAVFrameProducer,None,input,38,-1,-1,15.77,7.15,186.77,0.0,3.79,95.89,37
2023/06/24 21:37:11.756,UAVFrameProducer,None,input,39,-1,-1,22.25,6.14,186.77,0.0,3.79,64.96,38
2023/06/24 21:37:11.820,UAVFrameProducer,None,input,40,-1,-1,19.38,19.21,186.77,0.0,3.79,104.53,39
2023/06/24 21:37:11.823,UAVFrameProducer,None,input,41,-1,-1,16.19,1.46,186.77,0.0,3.78,88.5,40
2023/06/24 21:37:11.825,UAVFrameProducer,None,input,42,-1,-1,14.63,3.73,186.77,0.0,3.75,73.13,41
2023/06/24 21:37:11.870,UAVFrameProducer,None,input,43,-1,-1,30.64,8.82,186.77,0.0,3.75,83.72,42
2023/06/24 21:37:11.872,UAVFrameProducer,None,input,44,-1,-1,9.14,3.49,186.77,0.0,3.77,74.3,43
2023/06/24 21:37:11.875,UAVFrameProducer,None,input,45,-1,-1,17.0,3.3,186.77,0.0,3.78,57.0,44
2023/06/24 21:37:11.942,UAVFrameProducer,None,input,46,-1,-1,15.32,10.29,186.77,0.0,3.78,105.39,45
2023/06/24 21:37:11.947,UAVFrameProducer,None,input,47,-1,-1,10.53,3.13,186.77,0.0,3.8,95.48,46
2023/06/24 21:37:11.951,UAVFrameProducer,None,input,48,-1,-1,13.59,3.52,186.77,0.0,3.8,82.76,47
2023/06/24 21:37:12.016,UAVFrameProducer,None,input,49,-1,-1,18.5,13.57,186.77,0.0,3.76,126.01,48
2023/06/24 21:37:12.019,UAVFrameProducer,None,input,50,-1,-1,17.68,4.01,186.77,0.0,3.76,108.61,49
2023/06/24 21:37:12.021,UAVFrameProducer,None,input,51,-1,-1,20.28,4.74,186.77,0.0,3.78,82.45,50
2023/06/24 21:37:12.071,UAVFrameProducer,None,input,52,-1,-1,33.99,19.73,186.77,0.0,3.78,94.14,51
