asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/24 15:57:04.861,UAVFrameProducer,None,input,1,-1,-1,0.0,2.01,186.77,0.0,186.78,125.85,1066
2023/06/24 15:57:04.936,UAVFrameProducer,None,input,2,-1,-1,26.05,22.56,186.77,0.0,186.78,167.54,1067
2023/06/24 15:57:05.018,UAVFrameProducer,None,input,3,-1,-1,8.93,7.95,186.77,0.0,186.78,232.56,1068
2023/06/24 15:57:05.094,UAVFrameProducer,None,input,4,-1,-1,0.0,4.93,186.77,0.0,186.78,209.4,1069
2023/06/24 15:57:05.183,UAVFrameProducer,None,input,5,-1,-1,0.0,2.62,186.77,0.0,186.78,227.17,1070
2023/06/24 15:57:05.266,UAVFrameProducer,None,input,6,-1,-1,0.0,3.96,186.77,0.0,186.78,230.18,1071
2023/06/24 15:57:05.375,UAVFrameProducer,None,input,7,-1,-1,0.0,17.0,186.77,0.0,186.78,231.17,1072
2023/06/24 15:57:05.473,UAVFrameProducer,None,input,8,-1,-1,0.0,6.17,186.77,0.0,186.78,267.17,1073
2023/06/24 15:57:05.555,UAVFrameProducer,None,input,9,-1,-1,0.0,5.36,186.77,0.0,186.78,258.59,1074
2023/06/24 15:57:05.634,UAVFrameProducer,None,input,10,-1,-1,0.0,4.82,186.77,0.0,186.78,238.81,1075
2023/06/24 15:57:05.734,UAVFrameProducer,None,input,11,-1,-1,0.0,16.53,186.77,0.0,186.78,210.56,1076
2023/06/24 15:57:05.834,UAVFrameProducer,None,input,12,-1,-1,0.0,10.0,186.77,0.0,186.78,239.13,1077
2023/06/24 15:57:05.918,UAVFrameProducer,None,input,13,-1,-1,0.0,6.0,186.77,0.0,186.78,252.17,1078
2023/06/24 15:57:06.035,UAVFrameProducer,None,input,14,-1,-1,0.0,13.01,186.77,0.0,186.78,262.89,1079
2023/06/24 15:57:06.132,UAVFrameProducer,None,input,15,-1,-1,0.0,5.09,186.77,0.0,186.78,272.79,1080
2023/06/24 15:57:06.218,UAVFrameProducer,None,input,16,-1,-1,0.0,10.6,186.77,0.0,186.78,268.55,1081
2023/06/24 15:57:06.315,UAVFrameProducer,None,input,17,-1,-1,0.0,5.22,186.77,0.0,186.78,258.97,1082
2023/06/24 15:57:06.399,UAVFrameProducer,None,input,18,-1,-1,0.0,5.42,186.77,0.0,186.78,236.93,1083
2023/06/24 15:57:06.467,UAVFrameProducer,None,input,19,-1,-1,0.0,9.28,186.77,0.0,186.78,215.66,1084
2023/06/24 15:57:06.542,UAVFrameProducer,None,input,20,-1,-1,0.0,3.03,186.77,0.0,186.78,209.55,1085
2023/06/24 15:57:06.619,UAVFrameProducer,None,input,21,-1,-1,0.0,6.12,186.77,0.0,186.78,204.22,1086
2023/06/24 15:57:06.696,UAVFrameProducer,None,input,22,-1,-1,0.0,1.81,186.77,0.0,186.78,209.35,1087
2023/06/24 15:57:06.764,UAVFrameProducer,None,input,23,-1,-1,0.0,3.5,186.77,0.0,186.78,202.71,1088
2023/06/24 15:57:06.867,UAVFrameProducer,None,input,24,-1,-1,0.0,2.7,186.77,0.0,186.78,229.39,1089
2023/06/24 15:57:06.946,UAVFrameProducer,None,input,25,-1,-1,0.0,4.1,186.77,0.0,186.78,230.91,1090
2023/06/24 15:57:07.018,UAVFrameProducer,None,input,26,-1,-1,0.0,3.0,186.77,0.0,186.78,234.28,1091
2023/06/24 15:57:07.097,UAVFrameProducer,None,input,27,-1,-1,0.0,2.59,186.77,0.0,186.78,210.05,1092
2023/06/24 15:57:07.149,UAVFrameProducer,None,input,28,-1,-1,0.0,2.94,186.77,0.0,186.78,186.12,1093
2023/06/24 15:57:07.225,UAVFrameProducer,None,input,29,-1,-1,0.0,2.9,186.77,0.0,186.78,187.86,1094
2023/06/24 15:57:07.315,UAVFrameProducer,None,input,30,-1,-1,0.0,3.81,186.77,0.0,186.78,199.68,1095
2023/06/24 15:57:07.390,UAVFrameProducer,None,input,31,-1,-1,0.0,2.48,186.77,0.0,186.78,222.78,1096
2023/06/24 15:57:07.467,UAVFrameProducer,None,input,32,-1,-1,0.0,4.57,186.77,0.0,186.78,224.77,1097
2023/06/24 15:57:07.531,UAVFrameProducer,None,input,33,-1,-1,0.0,3.95,186.77,0.0,186.78,196.84,1098
2023/06/24 15:57:07.608,UAVFrameProducer,None,input,34,-1,-1,0.0,2.88,186.77,0.0,186.78,199.27,1099
2023/06/24 15:57:07.734,UAVFrameProducer,None,input,35,-1,-1,0.0,2.63,186.77,0.0,186.78,248.01,1100
2023/06/24 15:57:07.797,UAVFrameProducer,None,input,36,-1,-1,0.0,5.0,186.77,0.0,186.78,243.67,1101
2023/06/24 15:57:07.877,UAVFrameProducer,None,input,37,-1,-1,0.0,2.94,186.77,0.0,186.78,250.38,1102
2023/06/24 15:57:07.995,UAVFrameProducer,None,input,38,-1,-1,0.0,1.69,186.77,0.0,186.78,244.82,1103
2023/06/24 15:57:08.115,UAVFrameProducer,None,input,39,-1,-1,0.0,3.0,186.77,0.0,186.78,293.81,1104
2023/06/24 15:57:08.199,UAVFrameProducer,None,input,40,-1,-1,0.0,3.0,186.77,0.0,186.78,301.92,1105
2023/06/24 15:57:08.316,UAVFrameProducer,None,input,41,-1,-1,0.0,5.17,186.77,0.0,186.78,302.02,1106
2023/06/24 15:57:08.431,UAVFrameProducer,None,input,42,-1,-1,0.0,2.78,186.77,0.0,186.78,301.23,1107
2023/06/24 15:57:08.540,UAVFrameProducer,None,input,43,-1,-1,0.0,2.51,186.77,0.0,186.78,325.21,1108
2023/06/24 15:57:08.676,UAVFrameProducer,None,input,44,-1,-1,0.0,2.09,186.77,0.0,186.78,341.75,1109
2023/06/24 15:57:08.725,UAVFrameProducer,None,input,45,-1,-1,0.0,4.0,186.77,0.0,186.78,275.02,1110
2023/06/24 15:57:08.860,UAVFrameProducer,None,input,46,-1,-1,0.0,1.86,186.77,0.0,186.78,294.45,1111
2023/06/24 15:57:09.033,UAVFrameProducer,None,input,47,-1,-1,0.0,3.88,186.77,0.0,186.78,337.66,1112
2023/06/24 15:57:09.145,UAVFrameProducer,None,input,48,-1,-1,0.0,3.29,186.77,0.0,186.78,396.13,1113
2023/06/24 15:57:09.263,UAVFrameProducer,None,input,49,-1,-1,0.0,5.2,186.77,0.0,186.78,375.76,1114
2023/06/24 15:57:09.340,UAVFrameProducer,None,input,50,-1,-1,0.0,2.0,186.77,0.0,186.78,289.72,1115
2023/06/24 15:57:09.449,UAVFrameProducer,None,input,51,-1,-1,0.0,4.03,186.77,0.0,186.78,285.72,1116
2023/06/24 15:57:09.599,UAVFrameProducer,None,input,52,-1,-1,0.0,5.0,186.77,0.0,186.78,317.74,1117
2023/06/24 15:57:09.682,UAVFrameProducer,None,input,53,-1,-1,0.0,3.0,186.77,0.0,186.78,323.01,1118
2023/06/24 15:57:09.769,UAVFrameProducer,None,input,54,-1,-1,0.0,2.0,186.77,0.0,186.78,303.92,1119
2023/06/24 15:57:09.858,UAVFrameProducer,None,input,55,-1,-1,0.0,2.75,186.77,0.0,186.78,242.53,1120
2023/06/24 15:57:09.952,UAVFrameProducer,None,input,56,-1,-1,0.0,2.12,186.77,0.0,186.78,251.13,1121
2023/06/24 15:57:10.028,UAVFrameProducer,None,input,57,-1,-1,0.0,2.87,186.77,0.0,186.78,230.23,1122
2023/06/24 15:57:10.107,UAVFrameProducer,None,input,58,-1,-1,0.0,3.72,186.77,0.0,186.78,222.65,1123
2023/06/24 15:57:10.248,UAVFrameProducer,None,input,59,-1,-1,0.0,3.01,186.77,0.0,186.78,276.93,1124
2023/06/24 15:57:10.415,UAVFrameProducer,None,input,60,-1,-1,0.0,2.96,186.77,0.0,186.78,367.37,1125
2023/06/24 15:57:10.536,UAVFrameProducer,None,input,61,-1,-1,0.0,2.0,186.77,0.0,186.78,410.52,1126
2023/06/24 15:57:10.662,UAVFrameProducer,None,input,62,-1,-1,0.0,2.72,186.77,0.0,186.78,397.49,1127
2023/06/24 15:57:10.814,UAVFrameProducer,None,input,63,-1,-1,0.0,2.99,186.77,0.0,186.78,384.86,1128
2023/06/24 15:57:10.885,UAVFrameProducer,None,input,64,-1,-1,0.0,2.71,186.77,0.0,186.78,335.28,1129
2023/06/24 15:57:10.997,UAVFrameProducer,None,input,65,-1,-1,0.0,5.01,186.77,0.0,186.78,311.22,1130
2023/06/24 15:57:11.147,UAVFrameProducer,None,input,66,-1,-1,0.0,2.37,186.77,0.0,186.78,315.61,1131
2023/06/24 15:57:11.200,UAVFrameProducer,None,input,67,-1,-1,0.0,2.63,186.77,0.0,186.78,284.94,1132
2023/06/24 15:57:11.272,UAVFrameProducer,None,input,68,-1,-1,0.0,3.96,186.77,0.0,186.78,254.49,1133
2023/06/24 15:57:11.350,UAVFrameProducer,None,input,69,-1,-1,0.0,2.99,186.77,0.0,186.78,183.49,1134
2023/06/24 15:57:11.460,UAVFrameProducer,None,input,70,-1,-1,0.0,2.62,186.77,0.0,186.78,241.45,1135
2023/06/24 15:57:11.594,UAVFrameProducer,None,input,71,-1,-1,0.0,2.74,186.77,0.0,186.78,304.01,1136
2023/06/24 15:57:11.696,UAVFrameProducer,None,input,72,-1,-1,0.0,2.89,186.77,0.0,186.78,328.19,1137
2023/06/24 15:57:11.773,UAVFrameProducer,None,input,73,-1,-1,0.0,3.01,186.77,0.0,186.78,294.72,1138
2023/06/24 15:57:11.891,UAVFrameProducer,None,input,74,-1,-1,0.0,3.38,186.77,0.0,186.78,279.24,1139
2023/06/24 15:57:12.030,UAVFrameProducer,None,input,75,-1,-1,0.0,5.36,186.77,0.0,186.78,314.91,1140
2023/06/24 15:57:12.115,UAVFrameProducer,None,input,76,-1,-1,0.0,3.08,186.77,0.0,186.78,323.0,1141
2023/06/24 15:57:12.198,UAVFrameProducer,None,input,77,-1,-1,0.0,3.77,186.77,0.0,186.78,279.15,1142
2023/06/24 15:57:12.314,UAVFrameProducer,None,input,78,-1,-1,0.0,2.6,186.77,0.0,186.78,263.68,1143
2023/06/24 15:57:12.399,UAVFrameProducer,None,input,79,-1,-1,0.0,2.89,186.77,0.0,186.78,267.94,1144
2023/06/24 15:57:12.483,UAVFrameProducer,None,input,80,-1,-1,0.0,2.5,186.77,0.0,186.78,270.57,1145
2023/06/24 15:57:12.542,UAVFrameProducer,None,input,81,-1,-1,0.0,3.92,186.77,0.0,186.78,211.02,1146
2023/06/24 15:57:12.684,UAVFrameProducer,None,input,82,-1,-1,0.0,1.79,186.77,0.0,186.78,265.74,1147
2023/06/24 15:57:12.814,UAVFrameProducer,None,input,83,-1,-1,0.0,2.56,186.77,0.0,186.78,315.94,1148
2023/06/24 15:57:12.949,UAVFrameProducer,None,input,84,-1,-1,0.0,2.83,186.77,0.0,186.78,387.71,1149
2023/06/24 15:57:13.080,UAVFrameProducer,None,input,85,-1,-1,0.0,2.73,186.77,0.0,186.78,379.2,1150
2023/06/24 15:57:13.164,UAVFrameProducer,None,input,86,-1,-1,0.0,4.2,186.77,0.0,186.78,331.99,1151
2023/06/24 15:57:13.260,UAVFrameProducer,None,input,87,-1,-1,0.0,3.98,186.77,0.0,186.78,291.73,1152
2023/06/24 15:57:13.351,UAVFrameProducer,None,input,88,-1,-1,0.0,3.0,186.77,0.0,186.78,249.64,1153
2023/06/24 15:57:13.409,UAVFrameProducer,None,input,89,-1,-1,0.0,1.93,186.77,0.0,186.78,226.28,1154
2023/06/24 15:57:13.582,UAVFrameProducer,None,input,90,-1,-1,0.0,3.87,186.77,0.0,186.78,296.27,1155
2023/06/24 15:57:13.681,UAVFrameProducer,None,input,91,-1,-1,0.0,3.01,186.77,0.0,186.78,311.69,1156
2023/06/24 15:57:13.739,UAVFrameProducer,None,input,92,-1,-1,0.0,3.01,186.77,0.0,186.78,310.26,1157
2023/06/24 15:57:13.880,UAVFrameProducer,None,input,93,-1,-1,0.0,2.84,186.77,0.0,186.78,280.46,1158
