asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/24 16:13:34.908,UAVFrameProducer,None,input,1,-1,-1,0.0,2.09,147.6,0.0,147.62,202.06,2095
2023/06/24 16:13:35.164,UAVFrameProducer,None,input,2,-1,-1,16.65,11.14,147.6,0.0,147.62,442.19,2096
2023/06/24 16:13:35.851,UAVFrameProducer,None,input,3,-1,-1,25.33,7.13,147.6,0.0,147.62,1095.01,2097
2023/06/24 16:13:37.700,UAVFrameProducer,None,input,4,-1,-1,0.0,8.68,147.6,0.0,147.62,2744.75,2098
2023/06/24 16:13:38.184,UAVFrameProducer,None,input,5,-1,-1,0.0,3.75,147.6,0.0,147.62,2996.23,2099
2023/06/24 16:13:38.659,UAVFrameProducer,None,input,6,-1,-1,0.0,2.04,147.6,0.0,147.62,2788.82,2100
2023/06/24 16:13:39.084,UAVFrameProducer,None,input,7,-1,-1,0.0,3.16,147.6,0.0,147.62,1363.92,2101
2023/06/24 16:13:39.392,UAVFrameProducer,None,input,8,-1,-1,0.0,1.04,147.6,0.0,147.62,1171.88,2102
2023/06/24 16:13:42.816,UAVFrameProducer,None,input,9,-1,-1,0.0,3.0,147.6,1.04,147.62,4140.13,2103
2023/06/24 16:13:44.140,UAVFrameProducer,None,input,10,-1,-1,0.0,2.92,147.6,0.0,147.62,5036.44,2104
2023/06/24 16:13:45.817,UAVFrameProducer,None,input,11,-1,-1,0.0,2.63,147.6,0.0,147.62,6405.29,2105
2023/06/24 16:13:46.473,UAVFrameProducer,None,input,12,-1,-1,0.0,2.69,147.6,0.0,147.62,3638.31,2106
2023/06/24 16:13:47.219,UAVFrameProducer,None,input,13,-1,-1,0.0,4.44,147.6,0.0,147.62,3043.94,2107
2023/06/24 16:13:49.083,UAVFrameProducer,None,input,14,-1,-1,0.0,4.16,147.6,0.0,147.62,3239.02,2108
2023/06/24 16:13:49.417,UAVFrameProducer,None,input,15,-1,-1,0.0,3.39,147.6,0.0,147.62,2915.66,2109
2023/06/24 16:13:50.279,UAVFrameProducer,None,input,16,-1,-1,0.0,0.0,147.6,0.0,147.62,3053.0,2110
2023/06/24 16:13:50.597,UAVFrameProducer,None,input,17,-1,-1,0.0,3.56,147.6,0.0,147.62,1494.39,2111
2023/06/24 16:13:50.867,UAVFrameProducer,None,input,18,-1,-1,0.0,2.92,147.6,0.0,147.62,1432.56,2112
2023/06/24 16:13:50.966,UAVFrameProducer,None,input,19,-1,-1,0.0,3.73,147.6,0.0,147.62,672.53,2113
2023/06/24 16:13:51.203,UAVFrameProducer,None,input,20,-1,-1,0.0,3.53,147.6,0.0,147.62,570.79,2114
2023/06/24 16:13:51.650,UAVFrameProducer,None,input,21,-1,-1,0.0,2.0,147.6,0.0,147.62,767.16,2115
2023/06/24 16:13:51.917,UAVFrameProducer,None,input,22,-1,-1,0.0,3.68,147.6,0.0,147.62,919.51,2116
2023/06/24 16:13:52.351,UAVFrameProducer,None,input,23,-1,-1,0.0,3.92,147.6,0.0,147.62,1111.53,2117
2023/06/24 16:13:52.901,UAVFrameProducer,None,input,24,-1,-1,0.0,3.57,147.6,0.0,147.62,1224.46,2118
2023/06/24 16:13:53.333,UAVFrameProducer,None,input,25,-1,-1,0.0,2.01,147.6,0.0,147.62,1399.52,2119
2023/06/24 16:13:53.766,UAVFrameProducer,None,input,26,-1,-1,0.0,3.39,147.6,0.0,147.62,1397.74,2120
2023/06/24 16:13:54.180,UAVFrameProducer,None,input,27,-1,-1,0.0,3.83,147.6,0.0,147.62,1245.56,2121
2023/06/24 16:13:54.813,UAVFrameProducer,None,input,28,-1,-1,0.0,2.0,147.6,0.0,147.62,1456.89,2122
2023/06/24 16:13:55.037,UAVFrameProducer,None,input,29,-1,-1,0.0,3.0,147.6,0.0,147.62,1252.58,2123
2023/06/24 16:13:55.351,UAVFrameProducer,None,input,30,-1,-1,0.0,3.37,147.6,0.0,147.62,1151.06,2124
2023/06/24 16:13:55.686,UAVFrameProducer,None,input,31,-1,-1,0.0,12.0,147.6,0.0,147.62,801.97,2125
2023/06/24 16:13:56.088,UAVFrameProducer,None,input,32,-1,-1,0.0,3.23,147.6,0.0,147.62,975.42,2126
2023/06/24 16:13:56.332,UAVFrameProducer,None,input,33,-1,-1,0.0,10.47,147.6,0.0,147.62,932.46,2127
2023/06/24 16:13:56.724,UAVFrameProducer,None,input,34,-1,-1,0.0,3.0,147.6,0.0,147.62,1022.74,2128
2023/06/24 16:13:57.097,UAVFrameProducer,None,input,35,-1,-1,0.0,2.69,147.6,0.0,147.62,988.52,2129
2023/06/24 16:13:57.617,UAVFrameProducer,None,input,36,-1,-1,0.0,1.81,147.6,0.0,147.62,1266.16,2130
2023/06/24 16:13:57.982,UAVFrameProducer,None,input,37,-1,-1,0.0,3.01,147.6,0.0,147.62,1239.58,2131
2023/06/24 16:13:58.317,UAVFrameProducer,None,input,38,-1,-1,0.0,2.99,147.6,0.0,147.62,1183.3,2132
2023/06/24 16:13:58.583,UAVFrameProducer,None,input,39,-1,-1,0.0,3.34,147.6,0.0,147.62,931.41,2133
2023/06/24 16:13:58.832,UAVFrameProducer,None,input,40,-1,-1,0.0,1.07,147.6,0.0,147.62,833.5,2134
