asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/25 11:22:21.628,Client,final_uav_2,None,None,0,204.03,-5591.48,18764.88,82.62,0.0,82.62,0.0,None
2023/06/25 11:22:21.683,Client,final_uav_2,nan,nan,1,256.11,-5594.77,51.09,86.19,0.0,86.19,1.0,nan
2023/06/25 11:22:21.740,Client,final_uav_2,nan,nan,2,299.92,-5600.88,54.88,82.06,0.0,82.06,0.0,nan
2023/06/25 11:22:21.802,Client,final_uav_2,nan,nan,3,267.69,-5603.33,62.56,82.48,0.0,82.48,0.0,nan
2023/06/25 11:22:21.836,Client,final_uav_2,nan,nan,4,208.74,-5636.11,34.22,82.51,0.0,82.51,0.0,nan
2023/06/25 11:22:21.944,Client,final_uav_2,nan,nan,5,235.63,-5655.91,107.2,80.83,0.0,80.83,0.0,nan
2023/06/25 11:22:22.022,Client,final_uav_2,nan,nan,6,266.55,-5642.69,78.21,82.89,0.0,82.89,0.0,nan
2023/06/25 11:22:22.069,Client,final_uav_2,nan,nan,7,250.96,-5628.77,46.93,74.42,0.0,74.42,0.0,nan
2023/06/25 11:22:22.116,Client,final_uav_2,nan,nan,8,203.7,-5644.76,47.0,82.38,0.0,82.38,0.0,nan
2023/06/25 11:22:22.271,Client,final_uav_2,nan,nan,9,280.99,-5578.03,140.34,82.89,0.0,82.89,0.0,nan
2023/06/25 11:22:22.340,Client,final_uav_2,nan,nan,10,302.52,-5608.66,68.37,82.87,0.0,82.87,0.0,nan
2023/06/25 11:22:22.439,Client,final_uav_2,nan,nan,11,307.84,-5569.52,94.09,82.19,0.0,82.19,0.0,nan
2023/06/25 11:22:22.497,Client,final_uav_2,nan,nan,12,317.83,-5573.26,58.26,82.59,0.0,82.59,0.0,nan
2023/06/25 11:22:22.625,Client,final_uav_2,nan,nan,13,337.93,-5628.09,112.17,82.6,0.0,82.6,0.0,nan
2023/06/25 11:22:22.657,Client,final_uav_2,nan,nan,14,301.29,-5640.73,31.71,82.86,0.0,82.86,0.0,nan
2023/06/25 11:22:22.771,Client,final_uav_2,nan,nan,15,304.14,-5624.77,113.96,83.14,0.0,83.14,0.0,nan
2023/06/25 11:22:22.849,Client,final_uav_2,nan,nan,16,286.45,-5614.53,78.24,82.83,0.0,82.83,0.0,nan
2023/06/25 11:22:22.942,Client,final_uav_2,nan,nan,17,223.5,-5649.38,78.14,74.22,0.0,74.22,0.0,nan
2023/06/25 11:22:22.959,Client,final_uav_2,nan,nan,18,156.88,-5652.64,17.16,81.8,0.0,81.8,0.0,nan
2023/06/25 11:22:23.022,Client,final_uav_2,nan,nan,19,172.53,-5658.0,62.65,82.35,0.0,82.35,0.0,nan
2023/06/25 11:22:23.053,Client,final_uav_2,nan,nan,20,188.77,-5655.08,31.92,82.35,0.0,82.35,0.0,nan
2023/06/25 11:22:23.100,Client,final_uav_2,nan,nan,21,141.48,-5660.81,31.27,82.03,0.0,82.03,0.0,nan
2023/06/25 11:22:23.142,Client,final_uav_2,nan,nan,22,120.88,-5654.12,42.01,82.38,0.0,82.38,0.0,nan
2023/06/25 11:22:23.169,Client,final_uav_2,nan,nan,23,126.85,-5654.66,26.47,82.38,0.0,82.38,0.0,nan
2023/06/25 11:22:23.212,Client,final_uav_2,nan,nan,24,142.68,-5660.76,42.9,82.48,0.0,82.48,0.0,nan
2023/06/25 11:22:23.305,Client,final_uav_2,nan,nan,25,188.51,-5591.59,93.17,82.47,0.0,82.47,0.0,nan
2023/06/25 11:22:23.406,Client,final_uav_2,nan,nan,26,253.42,-5576.69,95.94,82.47,0.0,82.47,0.0,nan
2023/06/25 11:22:23.447,Client,final_uav_2,nan,nan,27,266.77,-5611.87,38.82,82.47,0.0,82.47,0.0,nan
2023/06/25 11:22:23.509,Client,final_uav_2,nan,nan,28,266.44,-5622.17,62.69,82.72,0.0,82.72,0.0,nan
2023/06/25 11:22:23.556,Client,final_uav_2,nan,nan,29,235.95,-5637.01,47.17,83.02,0.0,83.02,0.0,nan
2023/06/25 11:22:23.651,Client,final_uav_2,nan,nan,30,223.87,-5631.78,94.23,81.99,0.0,81.99,0.0,nan
2023/06/25 11:22:23.713,Client,final_uav_2,nan,nan,31,235.3,-5627.26,62.51,81.99,0.0,81.99,0.0,nan
2023/06/25 11:22:23.780,Client,final_uav_2,nan,nan,32,233.26,-5624.78,47.29,82.33,0.0,82.33,1.0,nan
2023/06/25 11:22:23.860,Client,final_uav_2,nan,nan,33,239.18,-5608.78,57.0,82.58,0.0,82.58,2.01,nan
2023/06/25 11:22:23.976,Client,final_uav_2,nan,nan,34,304.32,-5625.78,107.0,82.17,0.0,82.17,1.02,nan
2023/06/25 11:22:24.069,Client,final_uav_2,nan,nan,35,337.82,-5602.78,88.0,74.7,0.0,74.7,1.0,nan
2023/06/25 11:22:24.210,Client,final_uav_2,nan,nan,36,322.6,-5568.17,133.59,81.56,0.0,81.56,1.02,nan
2023/06/25 11:22:24.246,Client,final_uav_2,nan,nan,37,304.6,-5646.18,26.0,82.64,0.0,82.64,0.0,nan
2023/06/25 11:22:24.368,Client,final_uav_2,nan,nan,38,329.59,-5598.19,118.0,82.8,0.0,82.8,1.0,nan
2023/06/25 11:22:24.464,Client,final_uav_2,nan,nan,39,228.0,-5650.18,92.0,82.08,0.0,82.08,0.0,nan
2023/06/25 11:22:24.534,Client,final_uav_2,nan,nan,40,251.0,-5643.19,66.0,82.08,0.0,82.08,0.0,nan
2023/06/25 11:22:24.609,Client,final_uav_2,nan,nan,41,206.01,-5638.18,72.0,82.4,0.0,82.4,0.0,nan
2023/06/25 11:22:24.655,Client,final_uav_2,nan,nan,42,207.71,-5664.48,44.7,82.4,0.0,82.4,0.0,nan
2023/06/25 11:22:24.771,Client,final_uav_2,nan,nan,43,249.91,-5622.28,96.63,82.66,0.0,82.66,0.97,nan
2023/06/25 11:22:24.810,Client,final_uav_2,nan,nan,44,194.95,-5641.24,34.08,82.36,0.0,82.36,0.0,nan
2023/06/25 11:22:24.884,Client,final_uav_2,nan,nan,45,212.24,-5624.54,70.73,82.36,0.0,82.36,0.0,nan
2023/06/25 11:22:24.927,Client,final_uav_2,nan,nan,46,204.67,-5635.29,39.23,78.83,0.0,78.83,0.99,nan
