asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/25 11:38:20.920,Client,final_uav_1,None,None,6888,-164.02,15.03,90475.46,77.52,0.0,77.52,0.52,None
2023/06/25 11:38:20.964,Client,final_uav_1,nan,nan,6889,-1041.92,6.35,39.49,67.71,0.0,67.71,0.51,nan
2023/06/25 11:38:21.001,Client,final_uav_1,nan,nan,6890,-1104.18,4.53,32.77,72.26,0.0,72.26,0.52,nan
2023/06/25 11:38:21.462,Client,final_uav_1,nan,nan,6891,-693.62,6.64,456.85,78.53,0.0,78.53,0.53,nan
2023/06/25 11:38:21.501,Client,final_uav_1,nan,nan,6892,-1070.68,5.68,34.86,76.28,0.0,76.28,0.0,nan
2023/06/25 11:38:21.536,Client,final_uav_1,nan,nan,6893,-1084.23,3.68,30.0,76.45,0.0,76.45,1.01,nan
2023/06/25 11:38:21.585,Client,final_uav_1,nan,nan,6894,-1089.13,4.97,46.29,76.71,0.0,76.71,0.0,nan
2023/06/25 11:38:21.677,Client,final_uav_2,nan,nan,4799,5875.96,12.38,86.91,98.66,0.0,98.66,0.52,nan
2023/06/25 11:38:21.709,Client,final_uav_1,nan,nan,6895,-1041.63,6.96,28.76,76.68,0.0,76.68,0.52,nan
2023/06/25 11:38:21.743,Client,final_uav_1,nan,nan,6896,-1061.07,3.59,31.44,76.93,0.0,76.93,0.0,nan
2023/06/25 11:38:21.793,Client,final_uav_2,nan,nan,4800,5942.82,6.26,44.69,96.92,0.0,96.92,0.0,nan
2023/06/25 11:38:21.831,Client,final_uav_1,nan,nan,6897,-1043.23,6.04,34.67,51.74,0.0,51.74,0.51,nan
2023/06/25 11:38:21.871,Client,final_uav_2,nan,nan,4801,5899.75,7.43,36.12,98.08,0.0,98.08,0.0,nan
2023/06/25 11:38:21.905,Client,final_uav_1,nan,nan,6898,-1056.63,4.47,29.99,65.48,0.0,65.48,0.54,nan
2023/06/25 11:38:21.946,Client,final_uav_2,nan,nan,4802,5920.21,6.99,36.8,94.5,0.0,94.5,0.52,nan
2023/06/25 11:38:21.981,Client,final_uav_1,nan,nan,6899,-1048.69,4.85,32.19,73.64,0.0,73.64,0.52,nan
2023/06/25 11:38:22.044,Client,final_uav_1,nan,nan,6900,-1059.63,3.98,60.49,71.2,0.0,71.2,0.0,nan
2023/06/25 11:38:22.097,Client,final_uav_2,nan,nan,4803,5995.63,5.83,47.84,97.67,0.0,97.67,0.55,nan
2023/06/25 11:38:22.151,Client,final_uav_2,nan,nan,4804,5972.98,6.18,50.11,98.21,0.0,98.21,0.0,nan
2023/06/25 11:38:22.195,Client,final_uav_1,nan,nan,6901,-980.21,14.46,40.2,72.82,0.0,72.82,0.52,nan
2023/06/25 11:38:22.236,Client,final_uav_2,nan,nan,4805,5956.17,4.38,36.69,96.86,0.0,96.86,0.84,nan
2023/06/25 11:38:22.272,Client,final_uav_1,nan,nan,6902,-999.01,4.29,33.42,74.35,0.0,74.35,0.0,nan
2023/06/25 11:38:22.357,Client,final_uav_1,nan,nan,6903,-1002.97,6.14,79.85,80.83,0.0,80.83,0.64,nan
2023/06/25 11:38:22.391,Client,final_uav_2,nan,nan,4806,5997.98,5.18,29.5,68.86,0.0,68.86,1.0,nan
2023/06/25 11:38:22.434,Client,final_uav_2,nan,nan,4807,5951.22,7.92,38.7,97.21,0.0,97.21,0.53,nan
2023/06/25 11:38:22.468,Client,final_uav_2,nan,nan,4808,5908.02,7.36,31.11,98.58,0.0,98.58,0.58,nan
2023/06/25 11:38:22.506,Client,final_uav_1,nan,nan,6904,-953.3,6.23,34.17,76.57,0.0,76.57,0.52,nan
2023/06/25 11:38:22.545,Client,final_uav_2,nan,nan,4809,5874.85,6.58,35.26,98.11,0.0,98.11,1.0,nan
2023/06/25 11:38:22.584,Client,final_uav_2,nan,nan,4810,5882.11,7.14,33.56,98.39,0.0,98.39,1.0,nan
2023/06/25 11:38:22.618,Client,final_uav_2,nan,nan,4811,5853.68,5.7,30.51,97.57,0.0,97.57,0.52,nan
2023/06/25 11:38:22.658,Client,final_uav_2,nan,nan,4812,5846.76,6.16,35.72,68.58,0.0,68.58,0.52,nan
2023/06/25 11:38:22.696,Client,final_uav_1,nan,nan,6905,-1074.99,6.39,34.53,77.13,0.0,77.13,0.53,nan
2023/06/25 11:38:22.737,Client,final_uav_2,nan,nan,4813,5848.88,7.42,37.86,88.5,0.0,88.5,0.52,nan
2023/06/25 11:38:22.775,Client,final_uav_2,nan,nan,4814,5854.06,5.92,32.83,91.49,0.0,91.49,0.55,nan
2023/06/25 11:38:22.811,Client,final_uav_1,nan,nan,6906,-1102.36,6.12,31.02,59.2,0.0,59.2,0.0,nan
2023/06/25 11:38:22.850,Client,final_uav_2,nan,nan,4815,5866.98,6.22,35.04,94.48,0.0,94.48,0.53,nan
2023/06/25 11:38:22.898,Client,final_uav_2,nan,nan,4816,5883.76,13.9,44.48,94.93,0.0,94.93,0.53,nan
2023/06/25 11:38:22.928,Client,final_uav_1,nan,nan,6907,-1100.75,7.42,26.38,69.35,0.0,69.35,0.5,nan
2023/06/25 11:38:22.964,Client,final_uav_2,nan,nan,4817,5903.04,7.41,32.2,95.35,0.0,95.35,0.52,nan
