asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/25 04:18:44.690,LocalInferencer1,input,final_uav_1,1,0,-1059.13,-1058.47,71394.43,10.67,513.88,82.61,13.49,0
2023/06/25 04:18:44.729,LocalInferencer1,input,final_uav_1,11,10,-1143.8,-1202.85,34.8,10.67,41.26,83.19,5.03,1
2023/06/25 04:18:44.768,LocalInferencer1,input,final_uav_1,12,11,-1164.5,-1195.12,30.98,9.66,34.07,75.16,5.7,2
2023/06/25 04:18:44.803,LocalInferencer1,input,final_uav_1,13,12,-1163.0,-1187.31,51.51,10.42,33.56,80.84,4.08,3
2023/06/25 04:18:44.845,LocalInferencer1,input,final_uav_1,14,13,-1148.39,-1197.94,67.9,10.55,31.79,81.98,3.9,4
2023/06/25 04:18:44.919,LocalInferencer1,input,final_uav_1,15,14,-1122.59,-1192.16,75.84,10.61,30.02,82.45,4.05,5
2023/06/25 04:18:44.972,LocalInferencer1,input,final_uav_1,16,15,-1143.74,-1215.13,52.95,10.64,29.7,82.53,3.96,6
2023/06/25 04:18:45.013,LocalInferencer1,input,final_uav_1,17,16,-1180.4,-1218.45,40.65,10.65,30.99,82.67,4.12,7
2023/06/25 04:18:45.078,LocalInferencer1,input,final_uav_1,18,17,-1156.45,-1202.79,65.41,10.7,29.09,82.72,4.94,8
2023/06/25 04:18:45.115,LocalInferencer1,input,final_uav_1,19,18,-1173.35,-1232.39,13.01,10.65,32.45,82.56,5.58,9
2023/06/25 04:18:45.150,LocalInferencer1,input,final_uav_1,20,19,-1200.03,-1213.12,49.67,10.72,31.81,83.12,5.24,10
2023/06/25 04:18:45.185,LocalInferencer1,input,final_uav_1,21,20,-1181.44,-1222.52,36.12,10.72,31.7,83.12,4.46,11
2023/06/25 04:18:45.226,LocalInferencer1,input,final_uav_1,22,21,-1191.69,-1230.78,46.93,10.68,31.03,82.56,4.25,12
2023/06/25 04:18:45.316,LocalInferencer1,input,final_uav_1,23,22,-1196.68,-1211.77,40.98,10.75,79.88,83.06,4.78,13
2023/06/25 04:18:45.350,LocalInferencer1,input,final_uav_1,24,23,-1133.28,-1183.38,66.84,10.69,30.18,82.92,5.48,14
2023/06/25 04:18:45.383,LocalInferencer1,input,final_uav_1,25,24,-1160.35,-1213.44,44.33,10.64,29.99,82.51,4.86,15
2023/06/25 04:18:45.456,LocalInferencer1,input,final_uav_1,26,25,-1145.79,-1184.62,77.45,10.65,31.23,82.3,4.0,16
2023/06/25 04:18:45.515,LocalInferencer1,input,final_uav_1,27,26,-1127.93,-1176.97,60.19,10.6,29.2,82.22,4.17,17
2023/06/25 04:18:45.579,LocalInferencer1,input,final_uav_1,28,27,-1114.28,-1201.37,65.93,10.66,28.35,82.92,3.83,18
2023/06/25 04:18:45.641,LocalInferencer1,input,final_uav_1,29,28,-1151.64,-1208.69,59.23,10.67,30.53,82.86,3.83,19
2023/06/25 04:18:45.709,LocalInferencer1,input,final_uav_1,30,29,-1147.13,-1183.22,69.62,10.69,29.03,82.88,3.74,20
