asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/25 04:38:20.917,LocalInferencer1,input,final_uav_1,1,14503,-1155.11,-1152.94,355759.77,29.79,960.49,77.5,13.72,6888
2023/06/25 04:38:20.963,LocalInferencer1,input,final_uav_1,18,14520,-1094.48,-1150.14,48.36,25.75,44.36,67.69,5.25,6889
2023/06/25 04:38:21.000,LocalInferencer1,input,final_uav_1,20,14522,-1145.69,-1190.9,36.73,27.59,34.9,72.24,3.56,6890
2023/06/25 04:38:21.463,LocalInferencer1,input,final_uav_1,21,14523,-1130.98,-1179.16,73.2,27.86,429.39,78.52,5.3,6891
2023/06/25 04:38:21.501,LocalInferencer1,input,final_uav_1,28,14530,-1114.31,-1158.89,55.2,29.28,36.44,76.26,5.12,6892
2023/06/25 04:38:21.535,LocalInferencer1,input,final_uav_1,29,14531,-1122.48,-1171.51,79.71,29.27,32.49,76.44,3.1,6893
2023/06/25 04:38:21.584,LocalInferencer1,input,final_uav_1,30,14532,-1125.58,-1194.37,56.02,29.41,29.82,76.69,3.64,6894
2023/06/25 04:38:21.674,LocalInferencer1,input,final_uav_2,1,14533,5830.61,5831.13,81.54,38.29,30.71,98.64,10.79,4799
2023/06/25 04:38:21.709,LocalInferencer1,input,final_uav_1,31,14534,-1085.8,-1139.11,4.91,29.5,35.36,76.66,5.3,6895
2023/06/25 04:38:21.743,LocalInferencer1,input,final_uav_1,32,14536,-1100.37,-1163.64,13.5,29.52,33.55,76.91,3.21,6896
2023/06/25 04:38:21.792,LocalInferencer1,input,final_uav_2,3,14537,5903.98,5789.51,54.94,37.61,30.48,96.91,6.01,4800
2023/06/25 04:38:21.832,LocalInferencer1,input,final_uav_1,33,14538,-1085.91,-1167.58,14.36,19.65,34.28,51.72,5.81,6897
2023/06/25 04:38:21.871,LocalInferencer1,input,final_uav_2,4,14539,5854.88,5812.67,51.34,38.09,35.64,98.06,6.91,4801
