asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 00:37:16.647,Client,final_uav_1,None,None,10049,-1515.55,8.66,77693.38,90.03,0.0,90.03,0.99,None
2023/06/26 00:37:16.685,Client,final_uav_1,nan,nan,10050,-1711.02,5.19,35.0,89.56,0.0,89.56,0.0,nan
2023/06/26 00:37:16.719,Client,final_uav_1,nan,nan,10051,-1736.88,4.33,32.15,88.97,0.0,88.97,1.02,nan
2023/06/26 00:37:16.753,Client,final_uav_1,nan,nan,10052,-1761.19,3.21,31.33,89.47,0.0,89.47,0.0,nan
2023/06/26 00:37:16.789,Client,final_uav_1,nan,nan,10053,-1772.32,3.83,33.93,89.28,0.0,89.28,1.0,nan
2023/06/26 00:37:16.860,Client,final_uav_1,nan,nan,10054,-1733.04,4.19,67.33,89.76,0.0,89.76,0.0,nan
2023/06/26 00:37:16.906,Client,final_uav_1,nan,nan,10055,-1736.69,3.55,43.3,89.87,0.0,89.87,0.0,nan
2023/06/26 00:37:16.960,Client,final_uav_1,nan,nan,10056,-1761.82,3.42,50.94,89.75,0.0,89.75,0.0,nan
2023/06/26 00:37:17.028,Client,final_uav_1,nan,nan,10057,-1734.09,3.14,64.72,84.02,0.0,84.02,0.0,nan
2023/06/26 00:37:17.072,Client,final_uav_1,nan,nan,10058,-1745.98,3.26,42.12,87.44,0.0,87.44,0.0,nan
2023/06/26 00:37:17.120,Client,final_uav_1,nan,nan,10059,-1741.73,4.04,45.78,89.54,0.0,89.54,0.0,nan
2023/06/26 00:37:17.181,Client,final_uav_1,nan,nan,10060,-1746.35,5.3,58.85,90.21,0.0,90.21,0.52,nan
2023/06/26 00:37:17.220,Client,final_uav_1,nan,nan,10061,-1750.64,3.92,35.95,90.46,0.0,90.46,0.52,nan
2023/06/26 00:37:17.525,Client,final_uav_1,nan,nan,10062,-1508.96,4.66,302.63,95.84,0.0,95.84,0.0,nan
2023/06/26 00:37:17.558,Client,final_uav_1,nan,nan,10063,-1748.02,3.78,30.09,90.65,0.0,90.65,0.0,nan
2023/06/26 00:37:17.611,Client,final_uav_1,nan,nan,10064,-1747.06,4.08,49.28,90.58,0.0,90.58,0.0,nan
2023/06/26 00:37:17.656,Client,final_uav_1,nan,nan,10065,-1759.98,4.1,43.02,90.69,0.0,90.69,0.0,nan
2023/06/26 00:37:17.708,Client,final_uav_1,nan,nan,10066,-1750.46,3.28,51.18,90.69,0.0,90.69,0.0,nan
2023/06/26 00:37:17.761,Client,final_uav_1,nan,nan,10067,-1749.13,3.32,50.0,90.52,0.0,90.52,0.0,nan
2023/06/26 00:37:17.812,Client,final_uav_1,nan,nan,10068,-1757.55,3.75,48.92,90.66,0.0,90.66,0.0,nan
2023/06/26 00:37:17.866,Client,final_uav_1,nan,nan,10069,-1752.78,6.45,50.7,90.66,0.0,90.66,0.0,nan
2023/06/26 00:37:17.913,Client,final_uav_1,nan,nan,10070,-1758.82,4.34,44.89,90.82,0.0,90.82,0.0,nan
2023/06/26 00:37:17.954,Client,final_uav_1,nan,nan,10071,-1767.08,3.46,39.1,90.45,0.0,90.45,0.0,nan
2023/06/26 00:37:18.003,Client,final_uav_1,nan,nan,10072,-1761.53,4.69,46.19,84.73,0.0,84.73,0.53,nan
2023/06/26 00:37:18.043,Client,final_uav_1,nan,nan,10073,-1765.3,3.91,37.05,92.06,0.0,92.06,0.0,nan
2023/06/26 00:37:18.084,Client,final_uav_1,nan,nan,10074,-1776.25,4.03,38.95,88.89,0.0,88.89,1.0,nan
2023/06/26 00:37:18.134,Client,final_uav_1,nan,nan,10075,-1761.25,3.19,48.16,90.0,0.0,90.0,1.0,nan
2023/06/26 00:37:18.196,Client,final_uav_1,nan,nan,10076,-1743.01,9.59,57.4,90.88,0.0,90.88,0.0,nan
2023/06/26 00:37:18.275,Client,final_uav_1,nan,nan,10077,-1715.32,9.46,72.87,91.03,0.0,91.03,0.0,nan
2023/06/26 00:37:18.334,Client,final_uav_1,nan,nan,10078,-1718.92,4.77,55.26,90.52,0.0,90.52,0.52,nan
2023/06/26 00:37:18.395,Client,final_uav_1,nan,nan,10079,-1727.38,8.43,55.88,90.3,0.0,90.3,0.0,nan
2023/06/26 00:37:18.429,Client,final_uav_1,nan,nan,10080,-1757.35,4.42,31.0,90.72,0.0,90.72,0.0,nan
2023/06/26 00:37:18.461,Client,final_uav_1,nan,nan,10081,-1768.6,4.43,30.0,90.36,0.0,90.36,0.0,nan
2023/06/26 00:37:18.515,Client,final_uav_1,nan,nan,10082,-1757.69,3.33,50.91,90.59,0.0,90.59,0.0,nan
2023/06/26 00:37:18.587,Client,final_uav_1,nan,nan,10083,-1718.59,3.18,69.84,90.69,0.0,90.69,1.0,nan
2023/06/26 00:37:18.634,Client,final_uav_1,nan,nan,10084,-1740.6,3.35,45.19,90.42,0.0,90.42,1.0,nan
2023/06/26 00:37:18.702,Client,final_uav_1,nan,nan,10085,-1744.13,4.13,64.77,95.64,0.0,95.64,1.0,nan
2023/06/26 00:37:18.745,Client,final_uav_1,nan,nan,10086,-1746.31,3.81,40.69,90.31,0.0,90.31,1.0,nan
2023/06/26 00:37:18.807,Client,final_uav_1,nan,nan,10087,-1736.62,3.71,58.9,90.0,0.0,90.0,0.0,nan
2023/06/26 00:37:18.878,Client,final_uav_1,nan,nan,10088,-1724.17,3.68,67.98,90.18,0.0,90.18,0.0,nan
2023/06/26 00:37:18.947,Client,final_uav_1,nan,nan,10089,-1719.02,3.93,66.25,89.88,0.0,89.88,0.0,nan
2023/06/26 00:37:19.003,Client,final_uav_1,nan,nan,10090,-1730.78,5.27,52.27,89.97,0.0,89.97,0.53,nan
2023/06/26 00:37:19.036,Client,final_uav_1,nan,nan,10091,-1766.32,3.66,30.21,84.06,0.0,84.06,0.0,nan
2023/06/26 00:37:19.088,Client,final_uav_1,nan,nan,10092,-1760.5,5.81,49.15,88.13,0.0,88.13,0.0,nan
2023/06/26 00:37:19.132,Client,final_uav_1,nan,nan,10093,-1753.25,3.83,42.02,88.59,0.0,88.59,0.0,nan
2023/06/26 00:37:19.178,Client,final_uav_1,nan,nan,10094,-1773.63,4.15,42.32,88.33,0.0,88.33,0.0,nan
2023/06/26 00:37:19.219,Client,final_uav_1,nan,nan,10095,-1765.27,2.99,38.83,88.01,0.0,88.01,0.0,nan
2023/06/26 00:37:19.293,Client,final_uav_1,nan,nan,10096,-1737.05,3.21,71.23,88.23,0.0,88.23,0.0,nan
2023/06/26 00:37:19.355,Client,final_uav_1,nan,nan,10097,-1728.73,3.53,60.32,88.39,0.0,88.39,0.0,nan
2023/06/26 00:37:19.410,Client,final_uav_1,nan,nan,10098,-1699.14,4.12,51.57,88.51,0.0,88.51,0.0,nan
2023/06/26 00:37:19.453,Client,final_uav_1,nan,nan,10099,-1759.9,3.36,41.26,88.73,0.0,88.73,0.0,nan
2023/06/26 00:37:19.501,Client,final_uav_1,nan,nan,10100,-1772.13,3.14,46.77,88.44,0.0,88.44,1.02,nan
2023/06/26 00:37:19.551,Client,final_uav_1,nan,nan,10101,-1758.28,4.03,47.33,88.16,0.0,88.16,0.56,nan
2023/06/26 00:37:19.609,Client,final_uav_1,nan,nan,10102,-1747.87,3.45,57.3,88.2,0.0,88.2,0.0,nan
2023/06/26 00:37:19.674,Client,final_uav_1,nan,nan,10103,-1735.35,3.96,62.51,88.26,0.0,88.26,0.0,nan
2023/06/26 00:37:19.721,Client,final_uav_1,nan,nan,10104,-1752.77,4.65,43.69,88.03,0.0,88.03,0.0,nan
2023/06/26 00:37:19.768,Client,final_uav_1,nan,nan,10105,-1763.05,3.26,43.62,88.46,0.0,88.46,0.0,nan
2023/06/26 00:37:19.817,Client,final_uav_1,nan,nan,10106,-1763.9,3.75,45.15,88.08,0.0,88.08,0.52,nan
