asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/25 17:09:24.365,LocalInferencer1,input,final_uav_1,1,5167,-1751.93,-1750.59,81691.42,186.77,279.56,98.87,6.51,5133
2023/06/25 17:09:24.406,LocalInferencer1,input,final_uav_1,4,5170,-1663.44,-1727.89,80.01,186.77,38.84,98.3,5.02,5134
2023/06/25 17:09:24.438,LocalInferencer1,input,final_uav_1,5,5171,-1687.02,-1766.41,87.11,186.77,29.57,97.96,2.71,5135
2023/06/25 17:09:24.549,LocalInferencer1,input,final_uav_1,6,5172,-1660.14,-1739.57,114.25,186.77,31.78,98.52,2.99,5136
2023/06/25 17:09:24.631,LocalInferencer1,input,final_uav_1,7,5173,-1663.33,-1748.85,82.36,186.77,31.37,98.17,3.14,5137
2023/06/25 17:09:24.697,LocalInferencer1,input,final_uav_1,8,5174,-1691.85,-1793.19,67.12,186.77,29.38,98.69,3.12,5138
2023/06/25 17:09:24.801,LocalInferencer1,input,final_uav_1,9,5175,-1691.63,-1757.17,104.56,186.77,28.87,98.19,2.86,5139
2023/06/25 17:09:24.881,LocalInferencer1,input,final_uav_1,10,5176,-1680.21,-1760.52,80.14,186.77,27.93,98.26,2.9,5140
2023/06/25 17:09:24.971,LocalInferencer1,input,final_uav_1,11,5177,-1674.8,-1773.68,89.34,186.77,28.52,98.16,2.96,5141
2023/06/25 17:09:25.049,LocalInferencer1,input,final_uav_1,12,5178,-1701.41,-1784.13,78.0,186.77,27.6,86.77,2.77,5142
2023/06/25 17:09:25.189,LocalInferencer1,input,final_uav_1,13,5179,-1650.48,-1723.56,135.55,186.77,31.1,95.63,2.99,5143
2023/06/25 17:09:25.261,LocalInferencer1,input,final_uav_1,14,5180,-1653.1,-1751.25,74.19,186.77,28.26,97.83,3.1,5144
2023/06/25 17:09:25.356,LocalInferencer1,input,final_uav_1,15,5181,-1658.25,-1764.37,95.17,186.77,27.89,98.85,2.89,5145
2023/06/25 17:09:25.440,LocalInferencer1,input,final_uav_1,16,5182,-1685.85,-1775.96,83.75,186.77,27.3,98.27,2.94,5146
